Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.2291,$0.2292,$0.228,$0.2282,"$5,078","$11,110,472"
"Dec 30, 2022",$0.2248,$0.2299,$0.03219,$0.2291,"$5,091","$11,153,160"
"Dec 29, 2022",$0.1578,$0.2249,$0.1576,$0.2248,"$5,445","$10,943,948"
"Dec 28, 2022",$0.151,$0.1583,$0.04139,$0.1578,"$4,583","$7,680,215"
"Dec 27, 2022",$0.1498,$0.1518,$0.1495,$0.151,"$3,190","$7,353,277"
"Dec 26, 2022",$0.1486,$0.1498,$0.1485,$0.1498,"$3,295","$7,293,487"
"Dec 25, 2022",$0.0661,$0.1486,$0.0552,$0.1486,"$12,077","$7,235,538"
"Dec 24, 2022",$0.1206,$0.1209,$0.0599,$0.0661,$0,"$3,217,839"
"Dec 23, 2022",$0.1208,$0.1219,$0.0618,$0.1206,"$5,286","$5,872,858"
"Dec 22, 2022",$0.1199,$0.1209,$0.1198,$0.1208,"$2,683","$5,878,839"
"Dec 21, 2022",$0.1188,$0.1202,$0.1185,$0.1199,"$5,035","$5,835,835"
"Dec 20, 2022",$0.1185,$0.1206,$0.1185,$0.1189,"$2,852","$5,785,888"
"Dec 19, 2022",$0.07021,$0.1192,$0.05871,$0.1185,"$9,207","$5,770,082"
"Dec 18, 2022",$0.1188,$0.1188,$0.06691,$0.07021,$0,"$3,417,988"
"Dec 17, 2022",$0.1524,$0.153,$0.05931,$0.1188,"$2,891","$5,783,024"
"Dec 16, 2022",$0.1556,$0.1562,$0.05801,$0.1524,$305,"$7,420,433"
"Dec 15, 2022",$0.1727,$0.1729,$0.1554,$0.1556,"$4,507","$7,574,668"
"Dec 14, 2022",$0.0182,$0.1823,$0.0182,$0.1727,"$12,694","$8,407,387"
"Dec 13, 2022",$0.1845,$0.1944,$0.0182,$0.0182,$10,"$886,023"
"Dec 12, 2022",$0.07241,$0.1845,$0.07241,$0.1845,"$7,645","$8,982,009"
"Dec 11, 2022",$0.1832,$0.1836,$0.07051,$0.07241,$0,"$3,524,833"
"Dec 10, 2022",$0.1833,$0.1837,$0.1832,$0.1832,"$7,617","$8,919,519"
"Dec 09, 2022",$0.1859,$0.1862,$0.1831,$0.1832,"$5,175","$8,920,727"
"Dec 08, 2022",$0.1817,$0.1861,$0.1815,$0.1859,"$3,748","$9,052,160"
"Dec 07, 2022",$0.0709,$0.1818,$0.0548,$0.1817,"$8,051","$8,845,905"
"Dec 06, 2022",$0.1781,$0.1787,$0.0557,$0.07091,$0,"$3,451,801"
"Dec 05, 2022",$0.1768,$0.1787,$0.1764,$0.1781,"$6,057","$8,671,322"
"Dec 04, 2022",$0.1788,$0.18,$0.06731,$0.1768,"$9,442","$8,607,147"
"Dec 03, 2022",$0.1705,$0.1792,$0.1698,$0.1788,"$3,931","$8,703,015"
"Dec 02, 2022",$0.1826,$0.1829,$0.1694,$0.1704,"$10,564","$8,297,743"
"Dec 01, 2022",$0.1852,$0.1853,$0.1822,$0.1826,"$4,019","$8,890,579"
"Nov 30, 2022",$0.1217,$0.1853,$0.1217,$0.1852,"$9,473","$9,015,824"
"Nov 29, 2022",$0.09614,$0.1218,$0.0959,$0.1217,"$8,383","$5,923,090"
"Nov 28, 2022",$0.1456,$0.1458,$0.0961,$0.09614,"$6,512","$4,680,064"
"Nov 27, 2022",$0.2035,$0.2041,$0.1099,$0.1457,"$8,847","$7,091,275"
"Nov 26, 2022",$0.2244,$0.2419,$0.2033,$0.2035,"$5,895","$9,907,695"
"Nov 25, 2022",$0.1833,$0.2246,$0.06737,$0.2244,"$6,875","$10,923,595"
"Nov 24, 2022",$0.1746,$0.1834,$0.1743,$0.1834,"$9,178","$8,926,084"
"Nov 23, 2022",$0.1753,$0.1773,$0.1732,$0.1746,"$4,555","$8,501,570"
"Nov 22, 2022",$0.1812,$0.1819,$0.1712,$0.1753,"$7,582","$8,531,754"
"Nov 21, 2022",$0.1892,$0.1892,$0.1802,$0.1812,"$5,473","$8,822,068"
"Nov 20, 2022",$0.1917,$0.1919,$0.189,$0.1892,"$12,879","$9,212,974"
"Nov 19, 2022",$0.1876,$0.1922,$0.1869,$0.1917,"$12,179","$9,330,921"
"Nov 18, 2022",$0.193,$0.1945,$0.182,$0.1876,"$15,387","$9,132,527"
"Nov 17, 2022",$0.1989,$0.1992,$0.1914,$0.193,"$12,878","$9,394,604"
"Nov 16, 2022",$0.2394,$0.2395,$0.0118,$0.1989,"$2,597","$9,682,327"
"Nov 15, 2022",$0.2404,$0.242,$0.0944,$0.2394,"$14,425","$11,652,179"
"Nov 14, 2022",$0.2475,$0.2477,$0.235,$0.2404,"$6,368","$11,701,316"
"Nov 13, 2022",$0.2487,$0.2519,$0.09757,$0.2475,"$20,478","$12,048,466"
"Nov 12, 2022",$0.2483,$0.2499,$0.2455,$0.2487,"$8,455","$12,108,170"
"Nov 11, 2022",$0.2578,$0.2584,$0.2447,$0.2483,"$9,195","$12,086,503"
"Nov 10, 2022",$0.2432,$0.2614,$0.2428,$0.2579,"$3,868","$12,553,923"
"Nov 09, 2022",$0.2834,$0.2838,$0.2417,$0.2432,"$12,943","$11,839,109"
"Nov 08, 2022",$0.2994,$0.2999,$0.2763,$0.2834,"$14,237","$13,797,320"
"Nov 07, 2022",$0.2996,$0.3014,$0.2976,$0.2994,"$9,619","$14,575,287"
"Nov 06, 2022",$0.3038,$0.3043,$0.2996,$0.2997,"$17,642","$14,588,017"
"Nov 05, 2022",$0.3002,$0.3042,$0.2981,$0.3038,"$14,306","$14,790,352"
"Nov 04, 2022",$0.2973,$0.3033,$0.2971,$0.3002,"$26,080","$14,613,545"
"Nov 03, 2022",$0.2949,$0.2983,$0.2948,$0.2973,"$22,003","$14,473,063"
"Nov 02, 2022",$0.2947,$0.2986,$0.294,$0.2949,"$18,862","$14,356,724"
"Nov 01, 2022",$0.2933,$0.2948,$0.2913,$0.2948,"$23,803","$14,349,286"
"Oct 31, 2022",$0.3149,$0.3184,$0.2889,$0.2933,"$15,343","$14,278,328"
"Oct 30, 2022",$0.3086,$0.317,$0.3079,$0.3149,"$26,916","$15,328,647"
"Oct 29, 2022",$0.2993,$0.3095,$0.2991,$0.3086,"$12,641","$15,021,784"
"Oct 28, 2022",$0.2928,$0.3105,$0.2915,$0.2993,"$10,339","$14,572,301"
"Oct 27, 2022",$0.2076,$0.2944,$0.2054,$0.2928,"$21,632","$14,255,063"
"Oct 26, 2022",$0.1671,$0.2103,$0.1667,$0.2076,"$13,317","$10,107,440"
"Oct 25, 2022",$0.1684,$0.1707,$0.1666,$0.1672,"$11,165","$8,137,894"
"Oct 24, 2022",$0.1708,$0.1709,$0.1678,$0.1684,"$6,991","$8,198,395"
"Oct 23, 2022",$0.1687,$0.1712,$0.1684,$0.1708,"$9,850","$8,313,672"
"Oct 22, 2022",$0.1693,$0.1695,$0.1671,$0.1687,"$14,172","$8,214,935"
"Oct 21, 2022",$0.1689,$0.1696,$0.1676,$0.1693,"$9,480","$8,240,661"
"Oct 20, 2022",$0.1679,$0.1691,$0.1671,$0.1689,"$13,968","$8,222,861"
"Oct 19, 2022",$0.1654,$0.1687,$0.1649,$0.1679,"$11,133","$8,175,516"
"Oct 18, 2022",$0.1638,$0.1664,$0.1556,$0.1654,"$7,967","$8,053,287"
"Oct 17, 2022",$0.163,$0.1642,$0.1628,$0.1638,"$4,921","$7,973,346"
"Oct 16, 2022",$0.1631,$0.1638,$0.1628,$0.163,"$16,006","$7,935,869"
"Oct 15, 2022",$0.1621,$0.1632,$0.1621,$0.1631,"$12,275","$7,941,240"
"Oct 14, 2022",$0.1632,$0.1653,$0.1578,$0.1621,"$14,342","$7,893,193"
"Oct 13, 2022",$0.1696,$0.1697,$0.1613,$0.1632,"$13,077","$7,942,920"
"Oct 12, 2022",$0.1698,$0.1702,$0.1695,$0.1696,"$14,906","$8,258,598"
"Oct 11, 2022",$0.1722,$0.1722,$0.1696,$0.1698,"$17,672","$8,267,469"
"Oct 10, 2022",$0.1739,$0.177,$0.1695,$0.1722,"$18,784","$8,383,698"
"Oct 09, 2022",$0.1857,$0.1858,$0.1738,$0.1739,"$13,223","$8,467,641"
"Oct 08, 2022",$0.1881,$0.1899,$0.1855,$0.1857,"$6,343","$9,038,697"
"Oct 07, 2022",$0.1851,$0.1882,$0.1846,$0.1881,"$9,345","$9,155,843"
"Oct 06, 2022",$0.1871,$0.1895,$0.1838,$0.1851,"$11,368","$9,012,690"
"Oct 05, 2022",$0.1891,$0.1897,$0.1849,$0.1871,"$13,524","$9,110,647"
"Oct 04, 2022",$0.1893,$0.1902,$0.188,$0.1891,"$7,177","$9,204,672"
"Oct 03, 2022",$0.1876,$0.1908,$0.1874,$0.1893,"$6,434","$9,217,658"
"Oct 02, 2022",$0.1859,$0.1886,$0.1843,$0.1876,"$10,885","$9,134,365"
"Oct 01, 2022",$0.185,$0.1859,$0.1839,$0.1859,"$11,580","$9,049,002"
"Sep 30, 2022",$0.1825,$0.1866,$0.1817,$0.185,"$5,049","$9,007,694"
"Sep 29, 2022",$0.2405,$0.2435,$0.07246,$0.1825,"$8,088","$8,886,219"
"Sep 28, 2022",$0.2421,$0.2426,$0.2391,$0.2405,"$9,671","$11,708,524"
"Sep 27, 2022",$0.2427,$0.2465,$0.2385,$0.2421,"$7,649","$11,786,141"
"Sep 26, 2022",$0.2413,$0.2434,$0.2403,$0.2427,"$8,086","$11,813,157"
"Sep 25, 2022",$0.24,$0.2425,$0.2368,$0.2413,"$7,827","$11,748,876"
"Sep 24, 2022",$0.243,$0.2431,$0.2399,$0.24,"$6,532","$11,683,410"
"Sep 23, 2022",$0.2423,$0.2433,$0.2408,$0.2431,"$7,489","$11,832,138"
"Sep 22, 2022",$0.2316,$0.2424,$0.2312,$0.2423,"$5,907","$11,797,228"
"Sep 21, 2022",$0.2409,$0.242,$0.2307,$0.2317,"$9,119","$11,278,143"
"Sep 20, 2022",$0.2421,$0.2422,$0.2332,$0.2409,"$6,007","$11,725,934"
"Sep 19, 2022",$0.24,$0.2436,$0.2331,$0.2421,"$6,956","$11,785,349"
"Sep 18, 2022",$0.2367,$0.2406,$0.2353,$0.24,"$9,157","$11,684,182"
"Sep 17, 2022",$0.2388,$0.2433,$0.2365,$0.2367,"$9,282","$11,524,146"
"Sep 16, 2022",$0.2378,$0.2389,$0.2368,$0.2388,"$1,633","$11,625,367"
"Sep 15, 2022",$0.2427,$0.2428,$0.2361,$0.2378,"$8,924","$11,574,258"
"Sep 14, 2022",$0.2429,$0.2443,$0.2383,$0.2427,"$9,620","$11,816,236"
"Sep 13, 2022",$0.2428,$0.2433,$0.2373,$0.2433,"$9,372","$11,843,086"
"Sep 12, 2022",$0.2431,$0.2445,$0.2401,$0.2428,"$11,094","$11,821,813"
"Sep 11, 2022",$0.243,$0.2448,$0.2406,$0.2431,"$3,862","$11,832,898"
"Sep 10, 2022",$0.2451,$0.2464,$0.243,$0.243,"$10,560","$11,829,708"
"Sep 09, 2022",$0.3207,$0.3326,$0.243,$0.2451,"$10,931","$11,932,501"
"Sep 08, 2022",$0.3185,$0.3214,$0.3182,$0.3207,"$2,085","$15,612,578"
"Sep 07, 2022",$0.3201,$0.322,$0.3183,$0.3185,"$9,548","$15,503,742"
"Sep 06, 2022",$0.3232,$0.3263,$0.3107,$0.3201,"$9,014","$15,581,736"
"Sep 05, 2022",$0.455,$0.4561,$0.3226,$0.3231,"$8,689","$15,730,533"
"Sep 04, 2022",$0.45,$0.455,$0.45,$0.455,"$5,468","$22,151,552"
"Sep 03, 2022",$0.45,$0.4501,$0.45,$0.45,"$2,344","$21,908,393"
"Sep 02, 2022",$0.455,$0.455,$0.45,$0.45,"$2,190","$21,908,727"
"Sep 01, 2022",$0.4931,$0.5061,$0.4495,$0.455,"$5,654","$22,150,424"
"Aug 31, 2022",$0.5618,$0.5658,$0.481,$0.4931,"$4,274","$24,005,774"
"Aug 30, 2022",$0.565,$0.5692,$0.5611,$0.5618,"$4,347","$27,348,414"
"Aug 29, 2022",$0.5655,$0.5685,$0.5604,$0.565,"$10,938","$27,504,103"
"Aug 28, 2022",$0.4666,$0.5757,$0.466,$0.5655,"$6,769","$27,529,077"
"Aug 27, 2022",$0.4517,$0.4668,$0.4501,$0.4666,"$10,992","$22,713,674"
"Aug 26, 2022",$0.4463,$0.4541,$0.4379,$0.4517,"$8,545","$21,988,044"
"Aug 25, 2022",$0.3771,$0.4487,$0.377,$0.4463,"$8,730","$21,728,945"
"Aug 24, 2022",$0.3867,$0.3895,$0.3771,$0.3771,"$10,814","$18,357,954"
"Aug 23, 2022",$0.3833,$0.387,$0.3817,$0.3868,"$8,138","$18,827,843"
"Aug 22, 2022",$0.3667,$0.3879,$0.3537,$0.3833,"$6,188","$18,658,007"
"Aug 21, 2022",$0.2931,$0.3677,$0.293,$0.3667,"$7,936","$17,851,606"
"Aug 20, 2022",$0.2046,$0.2935,$0.127,$0.2932,"$8,562","$14,271,975"
"Aug 19, 2022",$0.02889,$0.2186,$0.003011,$0.2046,"$6,706","$9,960,426"
"Aug 18, 2022",$0.02885,$0.029,$0.02882,$0.02889,"$5,924","$1,406,518"
"Aug 17, 2022",$0.02895,$0.02928,$0.02875,$0.02885,"$6,595","$1,404,553"
"Aug 16, 2022",$0.02898,$0.02915,$0.02883,$0.02895,"$6,377","$1,409,314"
"Aug 15, 2022",$0.0291,$0.02959,$0.02856,$0.02898,"$6,859","$1,411,026"
"Aug 14, 2022",$0.02892,$0.02925,$0.02879,$0.0291,"$3,739","$1,416,487"
"Aug 13, 2022",$0.02914,$0.02942,$0.02888,$0.02891,"$6,958","$1,407,491"
"Aug 12, 2022",$0.02878,$0.02925,$0.02871,$0.02914,"$7,054","$1,418,764"
"Aug 11, 2022",$0.02911,$0.02953,$0.02875,$0.02878,"$5,503","$1,401,088"
"Aug 10, 2022",$0.02898,$0.02956,$0.02876,$0.02911,"$7,166","$1,417,248"
"Aug 09, 2022",$0.02891,$0.02907,$0.02869,$0.02898,"$6,038","$1,410,924"
"Aug 08, 2022",$0.02888,$0.02934,$0.02882,$0.02891,"$5,808","$1,407,546"
"Aug 07, 2022",$0.02887,$0.02915,$0.02883,$0.02887,"$6,242","$1,405,665"
"Aug 06, 2022",$0.02906,$0.02908,$0.02886,$0.02886,"$4,576","$1,405,142"
"Aug 05, 2022",$0.0291,$0.02957,$0.02886,$0.02906,"$6,952","$1,414,592"
"Aug 04, 2022",$0.02868,$0.02917,$0.02867,$0.0291,"$6,057","$1,416,639"
