Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.018,$0.0189,$0.01793,$0.01838,"$14,152","$1,103,270"
"Dec 30, 2022",$0.01793,$0.01874,$0.01789,$0.01799,"$18,969","$1,079,435"
"Dec 29, 2022",$0.01907,$0.01921,$0.01779,$0.01793,"$14,091","$1,076,250"
"Dec 28, 2022",$0.01928,$0.01989,$0.01866,$0.01907,"$52,051","$1,144,613"
"Dec 27, 2022",$0.01787,$0.01935,$0.01783,$0.01926,"$30,275","$1,156,022"
"Dec 26, 2022",$0.01755,$0.01802,$0.01733,$0.01787,"$16,943","$1,072,512"
"Dec 25, 2022",$0.01697,$0.01858,$0.0167,$0.01755,"$38,992","$1,053,002"
"Dec 24, 2022",$0.01743,$0.01814,$0.01675,$0.01697,"$28,151","$1,018,262"
"Dec 23, 2022",$0.01839,$0.01839,$0.01667,$0.01743,"$25,039","$1,046,206"
"Dec 22, 2022",$0.01821,$0.01855,$0.0173,$0.01839,"$20,930","$1,103,895"
"Dec 21, 2022",$0.01827,$0.01889,$0.01731,$0.0182,"$47,986","$1,091,965"
"Dec 20, 2022",$0.0159,$0.01827,$0.01579,$0.01827,"$46,244","$1,096,666"
"Dec 19, 2022",$0.0167,$0.01674,$0.01582,$0.0159,"$26,533","$954,406"
"Dec 18, 2022",$0.01687,$0.01706,$0.01649,$0.0167,"$9,717","$1,002,333"
"Dec 17, 2022",$0.01797,$0.01838,$0.01673,$0.01687,"$37,307","$1,012,627"
"Dec 16, 2022",$0.01683,$0.01866,$0.01682,$0.01797,"$48,368","$1,078,433"
"Dec 15, 2022",$0.01703,$0.01822,$0.01683,$0.01683,"$31,056","$1,009,934"
"Dec 14, 2022",$0.01994,$0.02014,$0.0151,$0.01703,"$81,107","$1,022,078"
"Dec 13, 2022",$0.02,$0.02044,$0.01978,$0.01992,"$15,455","$1,195,370"
"Dec 12, 2022",$0.02034,$0.02061,$0.01986,$0.01999,"$13,190","$1,199,634"
"Dec 11, 2022",$0.01953,$0.02125,$0.01947,$0.02034,"$27,609","$1,220,599"
"Dec 10, 2022",$0.0209,$0.02174,$0.01945,$0.01953,"$32,875","$1,172,027"
"Dec 09, 2022",$0.0197,$0.02148,$0.01862,$0.0209,"$50,731","$1,254,390"
"Dec 08, 2022",$0.02047,$0.0205,$0.01934,$0.0197,"$25,467","$1,182,442"
"Dec 07, 2022",$0.02099,$0.0217,$0.0196,$0.02047,"$68,129","$1,228,226"
"Dec 06, 2022",$0.02269,$0.02279,$0.02004,$0.02097,"$86,347","$1,258,455"
"Dec 05, 2022",$0.02396,$0.02407,$0.02205,$0.02269,"$43,055","$1,361,468"
"Dec 04, 2022",$0.02349,$0.02417,$0.02324,$0.02393,"$45,539","$1,436,187"
"Dec 03, 2022",$0.02532,$0.02575,$0.02335,$0.0235,"$49,762","$1,410,130"
"Dec 02, 2022",$0.02511,$0.02583,$0.02467,$0.02532,"$39,379","$1,519,751"
"Dec 01, 2022",$0.02671,$0.02758,$0.02499,$0.02511,"$51,027","$1,507,012"
"Nov 30, 2022",$0.02915,$0.02951,$0.02472,$0.02671,"$98,782","$1,602,740"
"Nov 29, 2022",$0.02472,$0.02926,$0.02368,$0.02915,"$117,857","$1,749,234"
"Nov 28, 2022",$0.02613,$0.02625,$0.02303,$0.02472,"$80,406","$1,483,492"
"Nov 27, 2022",$0.02496,$0.02744,$0.02421,$0.02613,"$87,196","$1,567,969"
"Nov 26, 2022",$0.02021,$0.02733,$0.02015,$0.02497,"$195,225","$1,498,590"
"Nov 25, 2022",$0.02061,$0.02112,$0.01983,$0.02019,"$23,237","$1,211,801"
"Nov 24, 2022",$0.02129,$0.02147,$0.02042,$0.02061,"$29,632","$1,236,714"
"Nov 23, 2022",$0.0206,$0.02251,$0.02045,$0.0213,"$53,053","$1,278,489"
"Nov 22, 2022",$0.01971,$0.02229,$0.01968,$0.02063,"$59,128","$1,237,962"
"Nov 21, 2022",$0.0193,$0.01971,$0.0179,$0.01971,"$63,777","$1,182,539"
"Nov 20, 2022",$0.0198,$0.02102,$0.01787,$0.01933,"$113,085","$1,160,210"
"Nov 19, 2022",$0.02236,$0.02245,$0.01908,$0.0198,"$81,423","$1,188,341"
"Nov 18, 2022",$0.01945,$0.02634,$0.01938,$0.02236,"$481,323","$1,341,888"
"Nov 17, 2022",$0.0136,$0.02111,$0.01343,$0.01941,"$197,896","$1,164,931"
"Nov 16, 2022",$0.01553,$0.01637,$0.01343,$0.01361,"$72,011","$816,538"
"Nov 15, 2022",$0.01951,$0.02022,$0.01569,$0.01574,"$97,760","$944,312"
"Nov 14, 2022",$0.01885,$0.02054,$0.01793,$0.01951,"$83,944","$1,170,774"
"Nov 13, 2022",$0.02082,$0.0212,$0.01875,$0.01886,"$52,260","$1,131,551"
"Nov 12, 2022",$0.02169,$0.02265,$0.02023,$0.02082,"$90,692","$1,249,260"
"Nov 11, 2022",$0.02424,$0.02617,$0.02124,$0.02167,"$208,079","$1,300,247"
"Nov 10, 2022",$0.02156,$0.02572,$0.01922,$0.02426,"$265,683","$1,455,699"
"Nov 09, 2022",$0.02476,$0.02693,$0.01926,$0.02155,"$399,180","$1,293,314"
"Nov 08, 2022",$0.02601,$0.03261,$0.02302,$0.02476,"$602,340","$1,485,866"
"Nov 07, 2022",$0.02857,$0.03531,$0.02299,$0.02601,"$375,326","$1,560,661"
"Nov 06, 2022",$0.04007,$0.04605,$0.02611,$0.02857,"$581,682","$1,714,534"
"Nov 05, 2022",$0.03793,$0.07052,$0.0364,$0.04052,"$1,172,270","$2,431,811"
"Nov 04, 2022",$0.03012,$0.04836,$0.02564,$0.03779,"$1,143,979","$2,268,029"
"Nov 03, 2022",$0.01848,$0.03018,$0.01253,$0.03015,"$1,594,569","$1,809,589"
"Nov 02, 2022",$0.008456,$0.01947,$0.008097,$0.01848,"$562,571","$1,109,050"
"Nov 01, 2022",$0.006971,$0.008634,$0.00664,$0.008456,"$139,467","$507,445"
"Oct 31, 2022",$0.006161,$0.007247,$0.005908,$0.006971,"$106,441","$418,320"
"Oct 30, 2022",$0.005802,$0.006168,$0.005791,$0.006161,"$89,313","$369,729"
