Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$2.29,$2.32,$2.28,$2.30,"$831,117","$9,558,288"
"Dec 30, 2022",$2.31,$2.33,$2.27,$2.29,"$811,945","$9,485,879"
"Dec 29, 2022",$2.29,$2.35,$2.27,$2.31,"$726,364","$9,560,276"
"Dec 28, 2022",$2.35,$2.35,$2.28,$2.29,"$678,126","$9,483,122"
"Dec 27, 2022",$2.35,$2.36,$2.33,$2.35,"$663,023","$9,727,013"
"Dec 26, 2022",$2.34,$2.35,$2.33,$2.35,"$431,278","$9,748,489"
"Dec 25, 2022",$2.37,$2.38,$2.34,$2.34,"$881,781","$9,714,805"
"Dec 24, 2022",$2.35,$2.51,$2.34,$2.37,"$2,734,382","$9,825,123"
"Dec 23, 2022",$2.31,$2.36,$2.30,$2.35,"$1,097,141","$9,734,466"
"Dec 22, 2022",$2.31,$2.32,$2.27,$2.31,"$645,184","$9,597,315"
"Dec 21, 2022",$2.33,$2.33,$2.27,$2.31,"$874,465","$9,593,884"
"Dec 20, 2022",$2.23,$2.33,$2.23,$2.33,"$666,096","$9,654,506"
"Dec 19, 2022",$2.33,$2.35,$2.22,$2.23,"$1,118,353","$9,247,778"
"Dec 18, 2022",$2.34,$2.42,$2.28,$2.33,"$2,037,386","$9,666,605"
"Dec 17, 2022",$2.27,$2.39,$2.21,$2.34,"$6,790,676","$9,686,917"
"Dec 16, 2022",$2.43,$2.46,$2.26,$2.26,"$2,976,610","$9,389,201"
"Dec 15, 2022",$2.53,$2.58,$2.42,$2.44,"$5,537,715","$10,099,076"
"Dec 14, 2022",$2.44,$2.53,$2.41,$2.53,"$2,500,424","$10,473,183"
"Dec 13, 2022",$2.45,$2.49,$2.35,$2.44,"$3,710,793","$10,134,662"
"Dec 12, 2022",$2.51,$2.51,$2.41,$2.45,"$3,378,772","$10,175,389"
"Dec 11, 2022",$2.57,$2.60,$2.50,$2.51,"$1,404,561","$10,392,451"
"Dec 10, 2022",$2.59,$2.61,$2.56,$2.57,"$1,258,859","$10,671,381"
"Dec 09, 2022",$2.57,$2.60,$2.55,$2.59,"$1,303,356","$10,729,492"
"Dec 08, 2022",$2.57,$2.58,$2.51,$2.57,"$1,094,531","$10,660,564"
"Dec 07, 2022",$2.62,$2.62,$2.53,$2.57,"$1,244,004","$10,642,626"
"Dec 06, 2022",$2.63,$2.63,$2.59,$2.62,"$1,357,332","$10,862,403"
"Dec 05, 2022",$2.64,$2.66,$2.60,$2.63,"$1,276,869","$10,902,005"
"Dec 04, 2022",$2.63,$2.67,$2.63,$2.64,"$1,640,924","$10,946,031"
"Dec 03, 2022",$2.69,$2.71,$2.62,$2.63,"$1,721,934","$10,893,711"
"Dec 02, 2022",$2.65,$2.72,$2.61,$2.69,"$2,104,685","$11,157,638"
"Dec 01, 2022",$2.64,$2.66,$2.60,$2.65,"$2,110,135","$10,982,721"
"Nov 30, 2022",$2.65,$2.67,$2.58,$2.64,"$2,695,670","$10,948,462"
"Nov 29, 2022",$2.49,$2.70,$2.49,$2.65,"$4,127,457","$10,972,709"
"Nov 28, 2022",$2.51,$2.52,$2.40,$2.49,"$1,741,499","$10,312,878"
"Nov 27, 2022",$2.59,$2.62,$2.51,$2.51,"$2,153,068","$10,427,201"
"Nov 26, 2022",$2.63,$2.74,$2.57,$2.59,"$4,079,722","$10,735,906"
"Nov 25, 2022",$2.49,$2.80,$2.40,$2.63,"$6,319,163","$10,910,734"
"Nov 24, 2022",$2.53,$2.53,$2.45,$2.49,"$1,917,058","$10,307,352"
"Nov 23, 2022",$2.48,$2.57,$2.44,$2.53,"$2,017,544","$10,475,743"
"Nov 22, 2022",$2.42,$2.49,$2.36,$2.48,"$2,706,832","$10,277,267"
"Nov 21, 2022",$2.54,$2.57,$2.39,$2.42,"$2,746,259","$10,052,047"
"Nov 20, 2022",$2.80,$2.89,$2.53,$2.55,"$5,247,772","$10,554,948"
"Nov 19, 2022",$3.03,$3.03,$2.77,$2.80,"$3,849,560","$11,604,807"
"Nov 18, 2022",$2.78,$3.08,$2.77,$3.04,"$8,485,362","$12,589,211"
"Nov 17, 2022",$2.73,$2.85,$2.61,$2.78,"$4,953,468","$11,549,484"
