Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.07804,$0.08281,$0.07788,$0.08241,$313,"$1,304,616"
"Dec 30, 2022",$0.07838,$0.07839,$0.07712,$0.07803,$12,"$1,235,363"
"Dec 29, 2022",$0.08243,$0.08304,$0.07834,$0.07839,$24,"$1,240,956"
"Dec 28, 2022",$0.06748,$0.08334,$0.06719,$0.08243,$327,"$1,305,016"
"Dec 27, 2022",$0.08265,$0.08469,$0.06668,$0.06748,$79,"$1,068,279"
"Dec 26, 2022",$0.08227,$0.08265,$0.08213,$0.08265,$0,"$1,308,522"
"Dec 25, 2022",$0.08373,$0.0838,$0.08185,$0.08227,$0,"$1,302,503"
"Dec 24, 2022",$0.07088,$0.08382,$0.07087,$0.08373,$62,"$1,325,621"
"Dec 23, 2022",$0.06143,$0.07259,$0.06135,$0.07088,$73,"$1,122,184"
"Dec 22, 2022",$0.06004,$0.06594,$0.05923,$0.06143,$115,"$972,538"
"Dec 21, 2022",$0.06704,$0.07485,$0.05966,$0.06004,$148,"$950,499"
"Dec 20, 2022",$0.05903,$0.07102,$0.05897,$0.06704,$164,"$1,061,388"
"Dec 19, 2022",$0.05715,$0.06013,$0.05482,$0.05902,$39,"$934,348"
"Dec 18, 2022",$0.05828,$0.0592,$0.05235,$0.05714,$68,"$904,684"
"Dec 17, 2022",$0.05161,$0.07325,$0.05138,$0.05828,$43,"$922,641"
"Dec 16, 2022",$0.0903,$0.09086,$0.05095,$0.05161,$55,"$817,017"
"Dec 15, 2022",$0.08987,$0.09224,$0.08901,$0.0903,$0,"$1,429,538"
"Dec 14, 2022",$0.07984,$0.09006,$0.07965,$0.08988,$0,"$1,422,931"
"Dec 13, 2022",$0.06883,$0.08824,$0.06855,$0.07984,$292,"$1,263,954"
"Dec 12, 2022",$0.06602,$0.06885,$0.06202,$0.06883,$181,"$1,089,612"
"Dec 11, 2022",$0.07708,$0.0772,$0.0499,$0.06602,$403,"$1,045,228"
"Dec 10, 2022",$0.05826,$0.07733,$0.05825,$0.07708,$0,"$1,220,277"
"Dec 09, 2022",$0.05066,$0.07336,$0.05032,$0.05825,$3,"$922,226"
"Dec 08, 2022",$0.04852,$0.07151,$0.04701,$0.05067,$53,"$802,123"
"Dec 07, 2022",$0.04739,$0.04936,$0.04728,$0.04852,$42,"$768,184"
"Dec 06, 2022",$0.05364,$0.054,$0.04733,$0.04739,$89,"$750,329"
"Dec 05, 2022",$0.04933,$0.0547,$0.04923,$0.05364,$67,"$849,207"
"Dec 04, 2022",$0.05614,$0.05661,$0.04885,$0.04934,$36,"$781,058"
"Dec 03, 2022",$0.04905,$0.05638,$0.04889,$0.05614,$187,"$888,704"
"Dec 02, 2022",$0.04734,$0.05479,$0.04713,$0.04904,$99,"$776,445"
"Dec 01, 2022",$0.05099,$0.05194,$0.04713,$0.04734,$20,"$749,434"
"Nov 30, 2022",$0.04884,$0.05172,$0.04884,$0.05099,$4,"$807,256"
"Nov 29, 2022",$0.04817,$0.04984,$0.04793,$0.04884,$271,"$773,234"
"Nov 28, 2022",$0.07612,$0.07632,$0.0451,$0.04817,$31,"$762,529"
"Nov 27, 2022",$0.04528,$0.07683,$0.04526,$0.07614,$0,"$1,205,386"
"Nov 26, 2022",$0.1024,$0.1033,$0.04514,$0.04528,$11,"$716,797"
"Nov 25, 2022",$0.04698,$0.1026,$0.04638,$0.1024,$0,"$1,621,702"
"Nov 24, 2022",$0.05349,$0.05486,$0.04685,$0.04699,$154,"$743,930"
"Nov 23, 2022",$0.04697,$0.05355,$0.04686,$0.05349,$56,"$846,769"
"Nov 22, 2022",$0.04711,$0.04852,$0.04501,$0.04695,$111,"$743,292"
"Nov 21, 2022",$0.04529,$0.04722,$0.04363,$0.04713,$33,"$746,089"
"Nov 20, 2022",$0.04546,$0.05337,$0.04501,$0.04529,$340,"$717,027"
"Nov 19, 2022",$0.04608,$0.04608,$0.04525,$0.04546,$51,"$719,625"
"Nov 18, 2022",$0.04522,$0.05271,$0.04522,$0.04609,$406,"$729,607"
"Nov 17, 2022",$0.03501,$0.05303,$0.035,$0.04522,"$2,272","$715,949"
"Nov 16, 2022",$0.06399,$0.06428,$0.03286,$0.03501,"$1,624","$554,193"
"Nov 15, 2022",$0.06863,$0.0697,$0.05255,$0.06399,$200,"$1,013,098"
"Nov 14, 2022",$0.06709,$0.07319,$0.04961,$0.06863,"$1,610","$1,086,563"
"Nov 13, 2022",$0.0706,$0.0711,$0.05619,$0.0671,$60,"$1,062,248"
"Nov 12, 2022",$0.07667,$0.08349,$0.07047,$0.07059,$783,"$1,117,620"
"Nov 11, 2022",$0.06937,$0.07674,$0.06526,$0.07665,$24,"$1,213,550"
"Nov 10, 2022",$0.06909,$0.07926,$0.06888,$0.06938,$0,"$1,098,384"
"Nov 09, 2022",$0.07223,$0.0772,$0.06747,$0.06908,$120,"$1,093,659"
"Nov 08, 2022",$0.07828,$0.08933,$0.06842,$0.07222,"$1,108","$1,143,298"
"Nov 07, 2022",$0.08094,$0.08144,$0.07786,$0.07829,$55,"$1,239,456"
"Nov 06, 2022",$0.09749,$0.09776,$0.08092,$0.08094,$185,"$1,281,461"
"Nov 05, 2022",$0.08881,$0.1068,$0.08861,$0.09747,$124,"$1,543,167"
"Nov 04, 2022",$0.08498,$0.08908,$0.08489,$0.08882,$23,"$1,406,124"
"Nov 03, 2022",$0.08488,$0.08571,$0.08446,$0.08498,$0,"$1,345,405"
"Nov 02, 2022",$0.08726,$0.08752,$0.08457,$0.08487,$6,"$1,343,640"
"Nov 01, 2022",$0.08649,$0.09581,$0.08629,$0.08727,$35,"$1,381,568"
"Oct 31, 2022",$0.09987,$0.1001,$0.08561,$0.08649,$27,"$1,369,297"
"Oct 30, 2022",$0.1178,$0.1179,$0.08769,$0.09988,$336,"$1,581,188"
"Oct 29, 2022",$0.1007,$0.1185,$0.0981,$0.1178,$225,"$1,865,713"
"Oct 28, 2022",$0.1037,$0.13,$0.1007,$0.1007,$249,"$1,594,406"
"Oct 27, 2022",$0.1231,$0.1234,$0.1035,$0.1037,$62,"$1,641,099"
"Oct 26, 2022",$0.119,$0.1241,$0.119,$0.1231,$0,"$1,948,296"
"Oct 25, 2022",$0.1035,$0.1206,$0.103,$0.1191,$0,"$1,885,019"
"Oct 24, 2022",$0.1156,$0.1158,$0.1027,$0.1035,$50,"$1,638,537"
"Oct 23, 2022",$0.1135,$0.1161,$0.113,$0.1156,$2,"$1,830,766"
"Oct 22, 2022",$0.1246,$0.1247,$0.1132,$0.1135,$265,"$1,797,194"
"Oct 21, 2022",$0.1115,$0.125,$0.1095,$0.1246,$0,"$1,972,933"
"Oct 20, 2022",$0.1124,$0.1137,$0.1111,$0.1115,$0,"$1,765,738"
"Oct 19, 2022",$0.1221,$0.1222,$0.1123,$0.1124,$0,"$1,778,934"
"Oct 18, 2022",$0.1155,$0.1222,$0.1129,$0.1221,$271,"$1,933,071"
"Oct 17, 2022",$0.1139,$0.116,$0.1133,$0.1155,$42,"$1,829,215"
"Oct 16, 2022",$0.1127,$0.115,$0.1127,$0.1139,$116,"$1,802,798"
"Oct 15, 2022",$0.1172,$0.1174,$0.1126,$0.1127,"$1,402","$1,784,043"
"Oct 14, 2022",$0.1184,$0.1288,$0.1168,$0.1172,$2,"$1,856,014"
"Oct 13, 2022",$0.117,$0.1189,$0.1119,$0.1184,$80,"$1,874,913"
"Oct 12, 2022",$0.1164,$0.1225,$0.1163,$0.1171,$181,"$1,853,104"
"Oct 11, 2022",$0.1208,$0.1208,$0.1158,$0.1164,$150,"$1,842,848"
"Oct 10, 2022",$0.1227,$0.1231,$0.1198,$0.1208,$4,"$1,912,167"
"Oct 09, 2022",$0.1247,$0.1248,$0.1224,$0.1227,$30,"$1,942,630"
"Oct 08, 2022",$0.1233,$0.1248,$0.1221,$0.1247,$71,"$1,973,461"
"Oct 07, 2022",$0.1259,$0.1265,$0.1224,$0.1233,$470,"$1,952,661"
"Oct 06, 2022",$0.1272,$0.1413,$0.1256,$0.1259,$114,"$1,993,479"
"Oct 05, 2022",$0.1283,$0.1284,$0.1249,$0.1272,$5,"$2,014,477"
"Oct 04, 2022",$0.1278,$0.1335,$0.1249,$0.1283,$641,"$2,031,582"
"Oct 03, 2022",$0.1292,$0.1309,$0.1256,$0.1278,$233,"$2,022,886"
"Oct 02, 2022",$0.1305,$0.1307,$0.1239,$0.1292,$311,"$2,046,187"
"Oct 01, 2022",$0.1265,$0.1309,$0.1258,$0.1305,$12,"$2,066,793"
"Sep 30, 2022",$0.1327,$0.1331,$0.1256,$0.1265,$434,"$2,001,984"
"Sep 29, 2022",$0.1315,$0.1334,$0.1252,$0.1327,$152,"$2,100,997"
"Sep 28, 2022",$0.1259,$0.1333,$0.1118,$0.1315,$37,"$2,082,136"
"Sep 27, 2022",$0.1251,$0.1379,$0.1248,$0.1259,$53,"$1,993,051"
"Sep 26, 2022",$0.1228,$0.1301,$0.1219,$0.1251,$125,"$1,980,790"
"Sep 25, 2022",$0.1275,$0.1286,$0.1221,$0.1228,$6,"$1,943,391"
"Sep 24, 2022",$0.1256,$0.1357,$0.1235,$0.1275,"$1,418","$2,018,050"
"Sep 23, 2022",$0.1264,$0.1267,$0.1212,$0.1256,$102,"$1,988,869"
