Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.07947,$0.08837,$0.07902,$0.08377,"$685,197","$14,616,801"
"Dec 30, 2022",$0.08036,$0.0812,$0.0788,$0.07948,"$236,048","$13,868,020"
"Dec 29, 2022",$0.08471,$0.08499,$0.07967,$0.08032,"$362,304","$14,014,250"
"Dec 28, 2022",$0.08569,$0.08672,$0.08397,$0.08482,"$294,256","$14,798,918"
"Dec 27, 2022",$0.08757,$0.08767,$0.08552,$0.08572,"$213,292","$14,956,079"
"Dec 26, 2022",$0.08687,$0.08779,$0.08646,$0.08752,"$256,254","$15,270,919"
"Dec 25, 2022",$0.08848,$0.08891,$0.08684,$0.08697,"$281,225","$15,174,499"
"Dec 24, 2022",$0.08917,$0.08947,$0.08814,$0.08851,"$266,447","$15,442,990"
"Dec 23, 2022",$0.08911,$0.08956,$0.08849,$0.08918,"$284,854","$15,559,584"
"Dec 22, 2022",$0.09214,$0.09284,$0.08822,$0.08929,"$292,608","$15,578,555"
"Dec 21, 2022",$0.09393,$0.09433,$0.09138,$0.09213,"$314,467","$16,074,168"
"Dec 20, 2022",$0.08754,$0.09419,$0.08744,$0.09394,"$299,919","$16,390,659"
"Dec 19, 2022",$0.09012,$0.09142,$0.08745,$0.08752,"$296,803","$15,270,159"
"Dec 18, 2022",$0.0906,$0.09076,$0.08866,$0.0901,"$269,550","$15,719,804"
"Dec 17, 2022",$0.0884,$0.09139,$0.08823,$0.0906,"$536,617","$15,807,722"
"Dec 16, 2022",$0.0945,$0.09471,$0.08795,$0.08838,"$641,649","$15,420,360"
"Dec 15, 2022",$0.09651,$0.09655,$0.09278,$0.09454,"$450,323","$16,495,207"
"Dec 14, 2022",$0.09409,$0.09709,$0.09355,$0.09656,"$398,466","$16,847,693"
"Dec 13, 2022",$0.09682,$0.09724,$0.09155,$0.09406,"$432,038","$16,411,305"
"Dec 12, 2022",$0.09894,$0.09894,$0.094,$0.09693,"$498,583","$16,912,243"
"Dec 11, 2022",$0.09989,$0.101,$0.09899,$0.099,"$268,763","$17,273,636"
"Dec 10, 2022",$0.0997,$0.1028,$0.09959,$0.09994,"$386,174","$17,437,710"
"Dec 09, 2022",$0.1004,$0.1014,$0.09946,$0.09962,"$380,848","$17,382,014"
"Dec 08, 2022",$0.1058,$0.1061,$0.09915,$0.1003,"$726,574","$17,507,993"
"Dec 07, 2022",$0.1121,$0.115,$0.1043,$0.1057,"$1,064,973","$18,448,803"
"Dec 06, 2022",$0.1037,$0.1122,$0.1034,$0.1122,"$1,043,159","$19,568,739"
"Dec 05, 2022",$0.104,$0.1068,$0.1023,$0.1036,"$541,381","$18,079,484"
"Dec 04, 2022",$0.1007,$0.1046,$0.1003,$0.104,"$701,356","$18,143,670"
"Dec 03, 2022",$0.1083,$0.1102,$0.1003,$0.1007,"$932,738","$17,565,031"
"Dec 02, 2022",$0.1033,$0.1092,$0.103,$0.1085,"$642,190","$18,933,387"
"Dec 01, 2022",$0.1156,$0.1196,$0.1032,$0.1033,"$1,576,990","$18,016,123"
"Nov 30, 2022",$0.09663,$0.1235,$0.09642,$0.1154,"$3,806,238","$20,126,762"
"Nov 29, 2022",$0.09615,$0.0981,$0.09583,$0.09665,"$470,128","$16,862,610"
"Nov 28, 2022",$0.09754,$0.09932,$0.0933,$0.09619,"$707,695","$16,782,335"
"Nov 27, 2022",$0.1011,$0.1029,$0.09725,$0.09755,"$538,573","$17,020,984"
"Nov 26, 2022",$0.09742,$0.1047,$0.09737,$0.1012,"$800,304","$17,662,173"
"Nov 25, 2022",$0.09506,$0.09965,$0.09443,$0.09749,"$705,170","$17,009,274"
"Nov 24, 2022",$0.1003,$0.1003,$0.09309,$0.09489,"$563,373","$16,555,771"
"Nov 23, 2022",$0.09211,$0.1004,$0.09211,$0.1002,"$528,122","$17,475,575"
"Nov 22, 2022",$0.09444,$0.09864,$0.08958,$0.09201,"$1,285,171","$16,053,946"
"Nov 21, 2022",$0.08647,$0.09473,$0.08349,$0.09441,"$973,049","$16,473,111"
"Nov 20, 2022",$0.08964,$0.1025,$0.08659,$0.08659,"$1,946,537","$15,107,978"
"Nov 19, 2022",$0.08285,$0.09141,$0.08145,$0.08965,"$987,981","$15,641,684"
"Nov 18, 2022",$0.08966,$0.09017,$0.08257,$0.08284,"$534,067","$14,454,029"
"Nov 17, 2022",$0.1035,$0.1038,$0.08519,$0.08967,"$1,798,714","$15,644,882"
"Nov 16, 2022",$0.0824,$0.1141,$0.08233,$0.1035,"$3,637,600","$18,060,362"
"Nov 15, 2022",$0.07831,$0.08431,$0.07824,$0.08237,"$311,211","$14,371,297"
"Nov 14, 2022",$0.07895,$0.08108,$0.07381,$0.07824,"$448,910","$13,652,127"
"Nov 13, 2022",$0.08426,$0.08447,$0.07884,$0.07888,"$474,684","$13,762,874"
"Nov 12, 2022",$0.08553,$0.08628,$0.08226,$0.08427,"$306,375","$14,703,641"
"Nov 11, 2022",$0.09014,$0.09155,$0.08157,$0.08552,"$659,319","$14,921,422"
"Nov 10, 2022",$0.07662,$0.09278,$0.06986,$0.09023,"$1,967,333","$15,744,027"
"Nov 09, 2022",$0.1032,$0.1057,$0.07689,$0.07697,"$2,235,624","$13,430,520"
"Nov 08, 2022",$0.131,$0.1315,$0.1008,$0.1032,"$2,920,651","$18,010,903"
"Nov 07, 2022",$0.1282,$0.1333,$0.1282,$0.131,"$1,908,176","$22,853,976"
"Nov 06, 2022",$0.1285,$0.1334,$0.1282,$0.1282,"$1,924,249","$22,366,153"
"Nov 05, 2022",$0.1275,$0.1301,$0.1265,$0.1284,"$1,776,406","$22,397,522"
"Nov 04, 2022",$0.1255,$0.1283,$0.1242,$0.1275,"$1,968,819","$22,243,888"
"Nov 03, 2022",$0.1319,$0.1396,$0.1237,$0.1254,"$2,613,355","$21,874,237"
"Nov 02, 2022",$0.1307,$0.132,$0.1266,$0.1319,"$1,946,665","$23,013,791"
"Nov 01, 2022",$0.1308,$0.1317,$0.1272,$0.1307,"$1,720,728","$22,812,065"
"Oct 31, 2022",$0.1363,$0.1376,$0.1302,$0.1307,"$1,899,817","$22,810,753"
