Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$13.62,$13.83,$13.61,$13.75,"$460,838","$23,023,997"
"Dec 30, 2022",$13.94,$14.05,$13.57,$13.62,"$836,594","$22,797,616"
"Dec 29, 2022",$14.22,$14.28,$13.86,$13.94,"$708,398","$23,326,721"
"Dec 28, 2022",$14.51,$14.58,$14.16,$14.22,"$692,484","$23,801,393"
"Dec 27, 2022",$15.01,$15.05,$14.48,$14.51,"$642,668","$24,260,131"
"Dec 26, 2022",$14.62,$15.10,$14.60,$15.03,"$973,577","$25,089,893"
"Dec 25, 2022",$14.61,$15.21,$14.55,$14.63,"$1,174,079","$24,420,510"
"Dec 24, 2022",$14.60,$14.99,$14.54,$14.61,"$951,409","$24,388,961"
"Dec 23, 2022",$14.26,$14.63,$14.22,$14.60,"$627,424","$24,377,791"
"Dec 22, 2022",$14.60,$14.63,$14.08,$14.26,"$906,002","$23,809,382"
"Dec 21, 2022",$14.85,$14.87,$14.49,$14.60,"$629,948","$24,374,529"
"Dec 20, 2022",$14.31,$14.95,$14.26,$14.85,"$988,329","$24,778,061"
"Dec 19, 2022",$15.12,$15.14,$14.14,$14.31,"$1,000,431","$23,851,881"
"Dec 18, 2022",$15.44,$15.44,$14.98,$15.12,"$483,046","$25,191,356"
"Dec 17, 2022",$14.55,$15.44,$14.54,$15.44,"$1,278,947","$25,732,063"
"Dec 16, 2022",$16.35,$16.44,$14.44,$14.55,"$1,446,942","$24,249,252"
"Dec 15, 2022",$16.76,$16.79,$16.32,$16.36,"$683,692","$26,981,149"
"Dec 14, 2022",$16.81,$17.15,$16.72,$16.77,"$992,288","$27,664,076"
"Dec 13, 2022",$16.89,$17.01,$16.51,$16.81,"$1,193,085","$27,722,122"
"Dec 12, 2022",$17.39,$17.42,$16.67,$16.88,"$1,123,844","$27,828,543"
"Dec 11, 2022",$17.47,$17.62,$17.38,$17.39,"$1,164,705","$28,631,292"
"Dec 10, 2022",$17.67,$17.86,$17.47,$17.47,"$2,476,771","$28,751,374"
"Dec 09, 2022",$17.55,$17.85,$17.49,$17.67,"$938,763","$29,070,956"
"Dec 08, 2022",$17.52,$17.65,$17.10,$17.54,"$1,396,776","$28,863,551"
"Dec 07, 2022",$18.25,$18.46,$17.41,$17.51,"$2,321,663","$28,633,056"
"Dec 06, 2022",$18.38,$18.45,$18.10,$18.25,"$1,312,588","$29,833,346"
"Dec 05, 2022",$18.61,$19.49,$18.25,$18.38,"$4,381,544","$30,043,955"
"Dec 04, 2022",$18.04,$18.74,$18.04,$18.62,"$1,868,580","$30,428,595"
"Dec 03, 2022",$18.67,$18.89,$18.03,$18.05,"$2,103,426","$29,494,930"
"Dec 02, 2022",$18.17,$18.68,$18.06,$18.67,"$1,422,697","$30,514,269"
"Dec 01, 2022",$18.54,$18.57,$18.10,$18.17,"$1,654,515","$29,662,647"
"Nov 30, 2022",$17.89,$18.59,$17.79,$18.55,"$3,860,567","$30,279,339"
