Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.01205,$0.01223,$0.01204,$0.01211,"$4,243,207","$40,241,581"
"Dec 30, 2022",$0.01214,$0.01222,$0.01196,$0.01205,"$4,717,628","$40,010,604"
"Dec 29, 2022",$0.01215,$0.01268,$0.01191,$0.01214,"$10,359,538","$40,284,008"
"Dec 28, 2022",$0.0126,$0.01261,$0.012,$0.01214,"$3,574,870","$40,274,454"
"Dec 27, 2022",$0.01269,$0.01273,$0.01243,$0.0126,"$2,900,183","$41,783,340"
"Dec 26, 2022",$0.01254,$0.01271,$0.01251,$0.01269,"$2,999,112","$42,050,587"
"Dec 25, 2022",$0.01261,$0.01261,$0.01242,$0.01254,"$2,506,360","$41,544,661"
"Dec 24, 2022",$0.0127,$0.01281,$0.01257,$0.01261,"$2,578,559","$41,766,214"
"Dec 23, 2022",$0.01265,$0.01273,$0.01255,$0.0127,"$2,907,400","$42,046,594"
"Dec 22, 2022",$0.01268,$0.0128,$0.0122,$0.01265,"$3,421,338","$41,842,701"
"Dec 21, 2022",$0.01301,$0.01301,$0.01247,$0.01268,"$3,537,466","$41,898,455"
"Dec 20, 2022",$0.01244,$0.01311,$0.01241,$0.01301,"$3,746,626","$43,000,376"
"Dec 19, 2022",$0.01317,$0.0134,$0.0122,$0.01244,"$5,271,372","$41,089,166"
"Dec 18, 2022",$0.0134,$0.0137,$0.01316,$0.01317,"$4,939,474","$43,461,603"
"Dec 17, 2022",$0.01334,$0.01353,$0.01296,$0.0134,"$5,738,768","$44,212,926"
"Dec 16, 2022",$0.01515,$0.0154,$0.01317,$0.01334,"$9,010,768","$44,018,500"
"Dec 15, 2022",$0.01552,$0.01565,$0.01516,$0.01516,"$6,734,874","$49,999,234"
"Dec 14, 2022",$0.01572,$0.01615,$0.01532,$0.01552,"$12,370,328","$51,125,900"
"Dec 13, 2022",$0.01539,$0.01647,$0.01513,$0.01572,"$28,530,325","$51,762,054"
"Dec 12, 2022",$0.01533,$0.01546,$0.01487,$0.01539,"$8,233,124","$50,650,385"
"Dec 11, 2022",$0.01586,$0.016,$0.01527,$0.01532,"$7,489,041","$50,385,570"
"Dec 10, 2022",$0.01544,$0.01602,$0.01544,$0.01586,"$10,782,088","$52,125,126"
"Dec 09, 2022",$0.01556,$0.01571,$0.01538,$0.01544,"$5,415,452","$50,736,714"
"Dec 08, 2022",$0.01526,$0.01556,$0.01504,$0.01556,"$6,161,241","$51,085,893"
"Dec 07, 2022",$0.01607,$0.01612,$0.01521,$0.01526,"$6,193,065","$50,089,367"
"Dec 06, 2022",$0.01597,$0.01609,$0.01573,$0.01607,"$7,805,751","$52,730,348"
"Dec 05, 2022",$0.01617,$0.01636,$0.01562,$0.01597,"$9,416,266","$52,377,966"
"Dec 04, 2022",$0.01565,$0.01674,$0.01564,$0.01616,"$13,385,104","$52,896,205"
"Dec 03, 2022",$0.01602,$0.01634,$0.01564,$0.01566,"$9,949,122","$51,242,933"
"Dec 02, 2022",$0.01579,$0.01607,$0.01572,$0.01602,"$10,038,294","$52,409,674"
"Dec 01, 2022",$0.01606,$0.01611,$0.01567,$0.01578,"$9,918,902","$51,611,224"
"Nov 30, 2022",$0.01525,$0.01621,$0.01525,$0.01606,"$14,169,521","$52,503,435"
"Nov 29, 2022",$0.01525,$0.01557,$0.01507,$0.01525,"$9,121,458","$49,828,445"
"Nov 28, 2022",$0.01533,$0.01557,$0.01476,$0.01525,"$11,628,269","$49,809,920"
