Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.2427,$0.2448,$0.2423,$0.2443,"$2,197,247","$34,592,857"
"Dec 30, 2022",$0.2457,$0.2458,$0.2422,$0.2432,"$2,039,566","$34,432,442"
"Dec 29, 2022",$0.2478,$0.248,$0.2442,$0.2457,"$2,313,837","$34,788,265"
"Dec 28, 2022",$0.2504,$0.2505,$0.2443,$0.2479,"$2,733,354","$35,100,486"
"Dec 27, 2022",$0.2528,$0.2533,$0.2478,$0.2503,"$2,285,071","$35,450,215"
"Dec 26, 2022",$0.2529,$0.2573,$0.2512,$0.2529,"$5,296,052","$35,808,642"
"Dec 25, 2022",$0.2506,$0.2548,$0.2501,$0.2529,"$2,559,344","$35,813,436"
"Dec 24, 2022",$0.2504,$0.2517,$0.2495,$0.2505,"$2,296,239","$35,473,449"
"Dec 23, 2022",$0.2529,$0.2539,$0.2503,$0.2504,"$2,239,456","$35,462,957"
"Dec 22, 2022",$0.2566,$0.26,$0.2508,$0.2529,"$2,735,827","$35,805,122"
"Dec 21, 2022",$0.2587,$0.2592,$0.2522,$0.2567,"$2,479,622","$36,355,175"
"Dec 20, 2022",$0.2507,$0.2595,$0.2507,$0.2587,"$2,600,179","$36,634,416"
"Dec 19, 2022",$0.2532,$0.261,$0.2474,$0.2506,"$3,529,799","$35,490,707"
"Dec 18, 2022",$0.2526,$0.2668,$0.2507,$0.2532,"$4,816,112","$35,857,820"
"Dec 17, 2022",$0.2434,$0.27,$0.2409,$0.2526,"$10,208,495","$35,771,472"
"Dec 16, 2022",$0.2475,$0.2633,$0.241,$0.2425,"$5,587,207","$34,332,258"
"Dec 15, 2022",$0.2559,$0.2683,$0.247,$0.2475,"$5,232,535","$35,040,221"
"Dec 14, 2022",$0.2559,$0.2578,$0.2532,$0.2558,"$2,476,577","$36,225,191"
"Dec 13, 2022",$0.2603,$0.2612,$0.2498,$0.2563,"$3,701,019","$36,300,005"
"Dec 12, 2022",$0.2679,$0.2679,$0.2576,$0.2603,"$3,147,812","$36,860,693"
"Dec 11, 2022",$0.2678,$0.2706,$0.2673,$0.2679,"$2,632,615","$37,938,576"
"Dec 10, 2022",$0.2769,$0.2777,$0.2667,$0.2678,"$3,175,919","$37,919,118"
"Dec 09, 2022",$0.2742,$0.2786,$0.2726,$0.2769,"$2,438,956","$39,212,722"
"Dec 08, 2022",$0.2693,$0.2749,$0.2659,$0.2741,"$2,635,284","$38,814,310"
"Dec 07, 2022",$0.2794,$0.2803,$0.2669,$0.2694,"$2,943,370","$38,141,159"
"Dec 06, 2022",$0.2837,$0.2871,$0.2778,$0.2793,"$3,565,936","$39,555,708"
