Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$2.02,$2.03,$2.02,$2.02,"$1,595,230","$22,985,456"
"Dec 30, 2022",$2.05,$2.08,$2.01,$2.02,"$3,823,471","$22,933,418"
"Dec 29, 2022",$2.01,$2.08,$2.01,$2.05,"$4,055,227","$23,271,186"
"Dec 28, 2022",$2.10,$2.10,$2.01,$2.01,"$2,535,325","$22,831,079"
"Dec 27, 2022",$2.12,$2.12,$2.09,$2.10,"$2,199,859","$23,822,098"
"Dec 26, 2022",$2.11,$2.13,$2.10,$2.12,"$2,170,683","$24,074,445"
"Dec 25, 2022",$2.15,$2.15,$2.10,$2.11,"$2,183,866","$23,916,452"
"Dec 24, 2022",$2.14,$2.19,$2.13,$2.15,"$4,590,522","$24,441,151"
"Dec 23, 2022",$2.17,$2.17,$2.13,$2.14,"$3,188,654","$24,283,303"
"Dec 22, 2022",$2.09,$2.30,$2.09,$2.17,"$13,545,702","$24,631,540"
"Dec 21, 2022",$2.16,$2.16,$2.09,$2.09,"$1,651,246","$23,717,241"
"Dec 20, 2022",$2.09,$2.17,$2.07,$2.16,"$2,296,510","$24,572,557"
"Dec 19, 2022",$2.25,$2.25,$2.09,$2.09,"$3,110,636","$23,720,886"
"Dec 18, 2022",$2.30,$2.36,$2.25,$2.25,"$3,493,282","$25,562,264"
"Dec 17, 2022",$2.25,$2.35,$2.23,$2.30,"$2,801,655","$26,173,963"
"Dec 16, 2022",$2.44,$2.45,$2.24,$2.25,"$2,932,879","$25,524,570"
"Dec 15, 2022",$2.50,$2.56,$2.42,$2.44,"$4,294,363","$27,728,504"
"Dec 14, 2022",$2.45,$2.52,$2.44,$2.50,"$3,904,746","$28,450,473"
"Dec 13, 2022",$2.50,$2.50,$2.38,$2.45,"$4,295,898","$27,843,269"
"Dec 12, 2022",$2.62,$2.62,$2.47,$2.50,"$3,103,822","$28,382,826"
"Dec 11, 2022",$2.64,$2.66,$2.61,$2.62,"$2,904,878","$29,768,664"
"Dec 10, 2022",$2.72,$2.76,$2.63,$2.64,"$6,654,791","$29,944,039"
"Dec 09, 2022",$2.62,$2.92,$2.61,$2.72,"$17,373,405","$30,892,614"
