Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$1.06,$1.06,$1.02,$1.02,"$7,310,752","$72,939,836"
"Dec 30, 2022",$1.14,$1.14,$1.06,$1.06,"$6,332,671","$76,331,846"
"Dec 29, 2022",$1.16,$1.17,$1.13,$1.14,"$3,131,977","$81,788,555"
"Dec 28, 2022",$1.18,$1.20,$1.14,$1.16,"$4,855,561","$83,199,943"
"Dec 27, 2022",$1.21,$1.21,$1.16,$1.18,"$3,022,577","$84,727,118"
"Dec 26, 2022",$1.20,$1.21,$1.19,$1.21,"$3,015,169","$86,704,427"
"Dec 25, 2022",$1.20,$1.21,$1.18,$1.20,"$2,654,800","$85,816,981"
"Dec 24, 2022",$1.19,$1.21,$1.19,$1.20,"$2,585,469","$86,089,076"
"Dec 23, 2022",$1.20,$1.21,$1.19,$1.19,"$3,041,847","$85,578,898"
"Dec 22, 2022",$1.19,$1.21,$1.17,$1.20,"$3,343,700","$86,031,065"
"Dec 21, 2022",$1.18,$1.19,$1.16,$1.19,"$3,560,831","$85,642,105"
"Dec 20, 2022",$1.13,$1.19,$1.13,$1.18,"$3,042,274","$84,934,064"
"Dec 19, 2022",$1.19,$1.20,$1.12,$1.13,"$3,203,076","$81,178,396"
"Dec 18, 2022",$1.20,$1.20,$1.18,$1.19,"$2,801,821","$85,145,139"
"Dec 17, 2022",$1.16,$1.20,$1.13,$1.20,"$3,864,949","$85,772,314"
"Dec 16, 2022",$1.34,$1.35,$1.15,$1.16,"$5,058,684","$83,223,067"
"Dec 15, 2022",$1.36,$1.37,$1.34,$1.34,"$3,426,475","$75,864,851"
"Dec 14, 2022",$1.38,$1.40,$1.35,$1.36,"$4,670,963","$77,004,031"
"Dec 13, 2022",$1.39,$1.39,$1.31,$1.38,"$5,613,973","$77,979,043"
"Dec 12, 2022",$1.42,$1.42,$1.36,$1.39,"$4,686,548","$78,644,160"
"Dec 11, 2022",$1.46,$1.48,$1.42,$1.42,"$3,815,574","$80,557,972"
"Dec 10, 2022",$1.44,$1.48,$1.44,$1.46,"$5,547,717","$82,660,629"
"Dec 09, 2022",$1.43,$1.47,$1.42,$1.44,"$4,431,527","$81,648,252"
"Dec 08, 2022",$1.40,$1.44,$1.38,$1.43,"$4,191,425","$80,973,992"
"Dec 07, 2022",$1.45,$1.46,$1.38,$1.40,"$5,104,538","$79,363,138"
"Dec 06, 2022",$1.45,$1.47,$1.43,$1.45,"$3,705,669","$82,104,397"
"Dec 05, 2022",$1.48,$1.50,$1.43,$1.45,"$5,702,951","$82,110,440"
"Dec 04, 2022",$1.46,$1.49,$1.46,$1.48,"$7,400,500","$83,505,805"
"Dec 03, 2022",$1.51,$1.52,$1.46,$1.46,"$3,466,105","$82,687,368"
"Dec 02, 2022",$1.48,$1.51,$1.47,$1.51,"$5,112,054","$85,274,741"
"Dec 01, 2022",$1.55,$1.56,$1.46,$1.47,"$9,733,200","$83,402,353"
"Nov 30, 2022",$1.55,$1.60,$1.50,$1.55,"$6,365,692","$87,930,309"
"Nov 29, 2022",$1.54,$1.58,$1.51,$1.55,"$7,875,288","$87,693,564"
"Nov 28, 2022",$1.49,$1.62,$1.42,$1.54,"$19,448,885","$87,081,382"
"Nov 27, 2022",$1.49,$1.55,$1.47,$1.49,"$6,342,972","$84,087,007"
"Nov 26, 2022",$1.46,$1.50,$1.45,$1.49,"$6,322,551","$84,116,368"
"Nov 25, 2022",$1.46,$1.48,$1.41,$1.47,"$7,228,074","$82,847,275"
"Nov 24, 2022",$1.47,$1.49,$1.44,$1.46,"$5,482,943","$82,397,866"
"Nov 23, 2022",$1.40,$1.47,$1.38,$1.47,"$4,687,755","$82,947,522"
"Nov 22, 2022",$1.37,$1.40,$1.32,$1.40,"$3,375,057","$79,097,529"
"Nov 21, 2022",$1.37,$1.39,$1.32,$1.38,"$4,607,998","$77,775,419"
"Nov 20, 2022",$1.43,$1.45,$1.36,$1.37,"$4,109,603","$77,595,871"
"Nov 19, 2022",$1.42,$1.44,$1.39,$1.43,"$2,364,158","$81,083,747"
"Nov 18, 2022",$1.43,$1.46,$1.40,$1.42,"$3,277,454","$80,492,302"
"Nov 17, 2022",$1.44,$1.46,$1.41,$1.43,"$2,967,483","$81,069,189"
"Nov 16, 2022",$1.48,$1.52,$1.41,$1.44,"$5,279,583","$81,458,147"
"Nov 15, 2022",$1.45,$1.52,$1.43,$1.48,"$4,647,678","$83,804,810"
"Nov 14, 2022",$1.37,$1.48,$1.29,$1.44,"$9,521,499","$81,682,169"
"Nov 13, 2022",$1.45,$1.49,$1.35,$1.37,"$6,392,737","$77,399,217"
"Nov 12, 2022",$1.59,$1.59,$1.44,$1.45,"$5,401,694","$82,044,586"
"Nov 11, 2022",$1.61,$1.65,$1.52,$1.58,"$11,322,174","$89,618,906"
"Nov 10, 2022",$1.40,$1.64,$1.40,$1.61,"$13,676,061","$91,087,520"
"Nov 09, 2022",$1.83,$1.84,$1.37,$1.41,"$15,605,449","$79,511,641"
"Nov 08, 2022",$1.96,$1.98,$1.58,$1.83,"$21,527,304","$103,253,700"
"Nov 07, 2022",$1.95,$2.03,$1.91,$1.96,"$11,225,115","$110,679,743"
"Nov 06, 2022",$2.12,$2.18,$1.94,$1.95,"$12,735,236","$110,342,767"
"Nov 05, 2022",$2.12,$2.16,$2.06,$2.12,"$16,443,093","$119,861,806"
"Nov 04, 2022",$2.20,$2.20,$2.06,$2.12,"$20,038,369","$119,656,205"
"Nov 03, 2022",$1.90,$2.44,$1.86,$2.20,"$87,246,596","$124,548,113"
"Nov 02, 2022",$1.78,$2.07,$1.75,$1.90,"$32,391,171","$107,617,885"
"Nov 01, 2022",$1.75,$1.83,$1.75,$1.78,"$9,721,694","$100,668,259"
"Oct 31, 2022",$1.73,$1.76,$1.71,$1.75,"$6,310,342","$99,204,603"
"Oct 30, 2022",$1.82,$1.84,$1.70,$1.73,"$9,419,562","$97,808,246"
"Oct 29, 2022",$1.78,$1.85,$1.77,$1.82,"$10,395,013","$103,112,270"
"Oct 28, 2022",$1.73,$1.82,$1.72,$1.78,"$13,319,810","$100,867,446"
"Oct 27, 2022",$1.69,$1.76,$1.69,$1.73,"$9,441,056","$97,775,508"
"Oct 26, 2022",$1.67,$1.72,$1.67,$1.69,"$7,103,593","$95,598,771"
"Oct 25, 2022",$1.65,$1.72,$1.64,$1.67,"$5,116,868","$94,663,766"
"Oct 24, 2022",$1.67,$1.67,$1.62,$1.65,"$4,086,509","$93,149,046"
"Oct 23, 2022",$1.63,$1.69,$1.62,$1.67,"$4,905,312","$94,406,336"
"Oct 22, 2022",$1.65,$1.66,$1.62,$1.63,"$3,684,774","$92,071,293"
"Oct 21, 2022",$1.59,$1.65,$1.55,$1.65,"$5,994,570","$93,101,634"
"Oct 20, 2022",$1.58,$1.63,$1.56,$1.59,"$6,507,735","$89,806,862"
"Oct 19, 2022",$1.62,$1.62,$1.57,$1.58,"$6,193,888","$89,124,802"
"Oct 18, 2022",$1.62,$1.64,$1.59,$1.62,"$6,681,142","$91,741,367"
"Oct 17, 2022",$1.58,$1.62,$1.56,$1.61,"$3,967,232","$91,307,843"
"Oct 16, 2022",$1.55,$1.60,$1.54,$1.58,"$4,209,941","$89,516,423"
"Oct 15, 2022",$1.53,$1.56,$1.52,$1.55,"$3,531,337","$87,375,428"
"Oct 14, 2022",$1.55,$1.60,$1.52,$1.53,"$4,346,360","$86,732,106"
"Oct 13, 2022",$1.59,$1.59,$1.45,$1.55,"$6,797,222","$87,732,045"
"Oct 12, 2022",$1.59,$1.62,$1.58,$1.59,"$3,027,161","$89,700,753"
"Oct 11, 2022",$1.64,$1.64,$1.58,$1.59,"$5,168,838","$90,047,624"
"Oct 10, 2022",$1.73,$1.76,$1.63,$1.64,"$7,183,975","$92,505,376"
"Oct 09, 2022",$1.76,$1.77,$1.72,$1.73,"$5,097,029","$98,037,809"
"Oct 08, 2022",$1.72,$1.78,$1.72,$1.76,"$8,416,051","$99,575,697"
"Oct 07, 2022",$1.71,$1.75,$1.69,$1.72,"$5,592,487","$97,440,662"
"Oct 06, 2022",$1.72,$1.74,$1.68,$1.71,"$6,271,180","$96,907,955"
"Oct 05, 2022",$1.74,$1.75,$1.69,$1.72,"$5,545,827","$97,158,927"
"Oct 04, 2022",$1.70,$1.76,$1.69,$1.74,"$5,371,402","$98,257,504"
"Oct 03, 2022",$1.63,$1.71,$1.61,$1.70,"$10,220,161","$96,354,435"
"Oct 02, 2022",$1.65,$1.66,$1.60,$1.63,"$5,098,325","$91,925,925"
"Oct 01, 2022",$1.64,$1.69,$1.63,$1.65,"$5,257,021","$93,410,717"
"Sep 30, 2022",$1.67,$1.68,$1.62,$1.64,"$6,421,328","$92,856,829"
"Sep 29, 2022",$1.61,$1.67,$1.57,$1.67,"$10,626,038","$94,239,498"
"Sep 28, 2022",$1.59,$1.69,$1.54,$1.61,"$15,804,413","$91,107,617"
"Sep 27, 2022",$1.60,$1.66,$1.56,$1.59,"$7,000,410","$89,849,113"
"Sep 26, 2022",$1.59,$1.62,$1.53,$1.60,"$7,947,760","$90,744,426"
"Sep 25, 2022",$1.58,$1.65,$1.57,$1.59,"$6,607,965","$89,963,239"
"Sep 24, 2022",$1.63,$1.66,$1.57,$1.58,"$8,519,072","$89,185,453"
"Sep 23, 2022",$1.62,$1.65,$1.52,$1.63,"$8,572,042","$92,254,579"
