Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.02774,$0.02811,$0.02762,$0.02804,"$820,278","$11,713,122"
"Dec 30, 2022",$0.02815,$0.02819,$0.02768,$0.02773,"$829,669","$11,585,085"
"Dec 29, 2022",$0.02844,$0.0285,$0.02787,$0.02815,"$779,468","$11,759,107"
"Dec 28, 2022",$0.02884,$0.02914,$0.02836,$0.02844,"$973,753","$11,881,191"
"Dec 27, 2022",$0.02891,$0.02905,$0.02872,$0.02881,"$922,777","$12,036,503"
"Dec 26, 2022",$0.02915,$0.02932,$0.02881,$0.02891,"$907,384","$12,078,674"
"Dec 25, 2022",$0.02923,$0.02939,$0.02906,$0.02914,"$964,748","$12,175,663"
"Dec 24, 2022",$0.02922,$0.02944,$0.02915,$0.02923,"$868,380","$12,209,546"
"Dec 23, 2022",$0.02933,$0.02948,$0.02915,$0.02922,"$946,506","$12,208,427"
"Dec 22, 2022",$0.02938,$0.02959,$0.02922,$0.02934,"$957,719","$12,255,517"
"Dec 21, 2022",$0.02945,$0.02964,$0.02935,$0.02935,"$855,379","$12,261,828"
"Dec 20, 2022",$0.02979,$0.03001,$0.02936,$0.02945,"$609,821","$12,302,281"
"Dec 19, 2022",$0.02985,$0.03007,$0.02973,$0.02979,"$550,692","$12,447,251"
"Dec 18, 2022",$0.03,$0.03011,$0.02977,$0.02985,"$327,396","$12,471,009"
"Dec 17, 2022",$0.0301,$0.03016,$0.02974,$0.02993,"$834,286","$12,505,312"
"Dec 16, 2022",$0.0303,$0.03038,$0.02991,$0.0301,"$968,024","$12,574,256"
"Dec 15, 2022",$0.03006,$0.03036,$0.02979,$0.03031,"$912,488","$12,661,587"
"Dec 14, 2022",$0.03002,$0.03018,$0.02966,$0.03006,"$983,285","$12,559,298"
"Dec 13, 2022",$0.03048,$0.0305,$0.02973,$0.02998,"$936,670","$12,526,497"
"Dec 12, 2022",$0.03085,$0.03094,$0.03041,$0.03046,"$920,111","$12,727,259"
"Dec 11, 2022",$0.03102,$0.03111,$0.03079,$0.03085,"$699,739","$12,888,708"
"Dec 10, 2022",$0.03102,$0.03123,$0.0308,$0.03102,"$652,520","$12,959,546"
"Dec 09, 2022",$0.03095,$0.03129,$0.0308,$0.03102,"$722,651","$12,958,972"
"Dec 08, 2022",$0.03153,$0.0319,$0.03055,$0.03095,"$1,073,258","$12,930,136"
"Dec 07, 2022",$0.0278,$0.03171,$0.02767,$0.03153,"$1,009,932","$13,173,853"
"Dec 06, 2022",$0.02834,$0.02847,$0.02772,$0.02778,"$855,689","$11,604,086"
"Dec 05, 2022",$0.02829,$0.02856,$0.02821,$0.02834,"$879,046","$11,837,655"
"Dec 04, 2022",$0.02872,$0.02888,$0.02823,$0.02825,"$923,623","$11,800,434"
"Dec 03, 2022",$0.02951,$0.02956,$0.02862,$0.02872,"$874,159","$11,997,098"
"Dec 02, 2022",$0.0294,$0.02968,$0.02858,$0.02951,"$1,038,169","$12,328,669"
"Dec 01, 2022",$0.02941,$0.0295,$0.02911,$0.0294,"$911,865","$12,284,106"
"Nov 30, 2022",$0.02929,$0.0295,$0.02918,$0.02941,"$877,293","$12,286,000"
"Nov 29, 2022",$0.02929,$0.02952,$0.02917,$0.02929,"$870,991","$12,235,748"
"Nov 28, 2022",$0.02949,$0.02955,$0.02916,$0.02929,"$837,385","$12,235,145"
"Nov 27, 2022",$0.02875,$0.02971,$0.02871,$0.02949,"$835,261","$12,321,809"
"Nov 26, 2022",$0.02994,$0.03002,$0.02875,$0.02877,"$855,903","$12,019,284"
"Nov 25, 2022",$0.0329,$0.03295,$0.02969,$0.02992,"$953,007","$12,500,110"
"Nov 24, 2022",$0.0331,$0.03318,$0.03254,$0.0329,"$941,374","$13,742,739"
"Nov 23, 2022",$0.03267,$0.03316,$0.03238,$0.03313,"$963,051","$13,840,712"
"Nov 22, 2022",$0.03261,$0.03284,$0.03243,$0.03272,"$855,513","$13,668,116"
"Nov 21, 2022",$0.03368,$0.03377,$0.03251,$0.03261,"$997,537","$13,623,616"
"Nov 20, 2022",$0.03242,$0.03376,$0.03224,$0.03376,"$1,102,757","$14,102,886"
"Nov 19, 2022",$0.03167,$0.03275,$0.03157,$0.03242,"$1,127,316","$13,542,671"
"Nov 18, 2022",$0.03198,$0.03215,$0.03159,$0.03167,"$852,641","$13,231,231"
"Nov 17, 2022",$0.03319,$0.03329,$0.03182,$0.0319,"$955,479","$13,314,378"
"Nov 16, 2022",$0.03309,$0.03345,$0.03291,$0.0332,"$846,827","$13,857,835"
"Nov 15, 2022",$0.03456,$0.03463,$0.03294,$0.03305,"$955,476","$13,776,198"
"Nov 14, 2022",$0.02639,$0.03462,$0.02612,$0.03457,"$1,666,874","$14,434,996"
"Nov 13, 2022",$0.02437,$0.02656,$0.0243,$0.02641,"$951,549","$11,027,480"
"Nov 12, 2022",$0.02441,$0.02557,$0.02394,$0.02437,"$801,191","$10,177,525"
"Nov 11, 2022",$0.02423,$0.0246,$0.02419,$0.02438,"$941,070","$10,179,331"
"Nov 10, 2022",$0.02402,$0.02449,$0.02346,$0.02425,"$902,660","$10,125,084"
"Nov 09, 2022",$0.02759,$0.02779,$0.02399,$0.024,"$981,050","$10,023,292"
"Nov 08, 2022",$0.03327,$0.03356,$0.02754,$0.02759,"$1,116,804","$11,298,639"
"Nov 07, 2022",$0.03327,$0.03355,$0.03312,$0.03327,"$918,312","$13,623,023"
"Nov 06, 2022",$0.0332,$0.03352,$0.03301,$0.03327,"$924,222","$13,578,452"
"Nov 05, 2022",$0.033,$0.0333,$0.03286,$0.03318,"$911,609","$13,542,106"
"Nov 04, 2022",$0.03103,$0.03307,$0.03069,$0.03298,"$951,858","$13,446,883"
"Nov 03, 2022",$0.03073,$0.03117,$0.03053,$0.03106,"$868,967","$12,519,448"
"Nov 02, 2022",$0.03177,$0.03201,$0.03051,$0.03073,"$840,490","$12,420,915"
"Nov 01, 2022",$0.03153,$0.03196,$0.0312,$0.03177,"$897,772","$12,840,857"
"Oct 31, 2022",$0.03086,$0.03154,$0.03061,$0.03153,"$853,478","$12,743,936"
"Oct 30, 2022",$0.03081,$0.03109,$0.03073,$0.03086,"$853,707","$12,473,941"
"Oct 29, 2022",$0.0307,$0.03104,$0.03063,$0.03081,"$837,428","$12,410,746"
"Oct 28, 2022",$0.03051,$0.03096,$0.03044,$0.0307,"$830,258","$12,363,250"
"Oct 27, 2022",$0.0305,$0.03081,$0.03027,$0.03051,"$874,950","$12,290,163"
"Oct 26, 2022",$0.02975,$0.03062,$0.02969,$0.0305,"$842,337","$12,438,228"
"Oct 25, 2022",$0.02978,$0.0299,$0.02965,$0.02975,"$603,976","$12,106,870"
"Oct 24, 2022",$0.02979,$0.02999,$0.02941,$0.02978,"$570,665","$12,120,203"
"Oct 23, 2022",$0.02964,$0.0299,$0.02962,$0.02979,"$517,381","$12,124,779"
"Oct 22, 2022",$0.0296,$0.02985,$0.02916,$0.02964,"$521,475","$12,064,411"
"Oct 21, 2022",$0.0294,$0.02977,$0.0279,$0.0296,"$514,402","$12,044,478"
"Oct 20, 2022",$0.02915,$0.02969,$0.0283,$0.0294,"$484,716","$11,963,690"
"Oct 19, 2022",$0.02938,$0.02988,$0.02915,$0.02915,"$570,381","$11,863,842"
"Oct 18, 2022",$0.0299,$0.02993,$0.02851,$0.02938,"$512,159","$11,957,330"
