Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$3.42,$3.49,$3.33,$3.45,"$80,134,881","$448,719,716"
"Dec 30, 2022",$3.21,$3.42,$3.13,$3.42,"$98,897,504","$444,329,851"
"Dec 29, 2022",$3.24,$3.26,$3.09,$3.21,"$64,465,899","$417,564,940"
"Dec 28, 2022",$3.59,$3.60,$3.21,$3.24,"$94,132,723","$421,111,383"
"Dec 27, 2022",$3.65,$3.67,$3.54,$3.59,"$39,738,541","$467,232,997"
"Dec 26, 2022",$3.58,$3.65,$3.56,$3.65,"$33,089,867","$473,892,895"
"Dec 25, 2022",$3.70,$3.72,$3.54,$3.58,"$40,978,183","$465,525,247"
"Dec 24, 2022",$3.75,$3.77,$3.70,$3.70,"$22,688,621","$481,635,880"
"Dec 23, 2022",$3.71,$3.81,$3.70,$3.75,"$38,964,027","$487,462,579"
"Dec 22, 2022",$3.76,$3.78,$3.58,$3.71,"$60,949,761","$482,093,815"
"Dec 21, 2022",$3.90,$3.90,$3.69,$3.76,"$53,879,235","$489,295,207"
"Dec 20, 2022",$3.81,$3.92,$3.80,$3.90,"$62,564,291","$507,212,688"
"Dec 19, 2022",$4.06,$4.11,$3.75,$3.81,"$68,992,404","$495,256,526"
"Dec 18, 2022",$4.09,$4.10,$4.00,$4.06,"$57,587,828","$527,645,667"
"Dec 17, 2022",$4.05,$4.14,$3.98,$4.09,"$77,162,683","$532,319,635"
"Dec 16, 2022",$4.67,$4.72,$4.00,$4.05,"$103,187,774","$527,129,918"
"Dec 15, 2022",$4.70,$4.78,$4.53,$4.67,"$98,946,312","$606,581,344"
"Dec 14, 2022",$4.63,$4.72,$4.56,$4.71,"$81,558,782","$611,722,121"
"Dec 13, 2022",$4.53,$4.65,$4.31,$4.63,"$87,863,004","$601,641,288"
"Dec 12, 2022",$4.67,$4.70,$4.39,$4.53,"$68,166,300","$588,332,695"
"Dec 11, 2022",$4.78,$4.90,$4.67,$4.67,"$44,380,638","$607,569,565"
"Dec 10, 2022",$4.81,$4.84,$4.77,$4.78,"$31,476,781","$621,958,275"
"Dec 09, 2022",$4.92,$4.94,$4.76,$4.81,"$49,175,267","$625,005,248"
"Dec 08, 2022",$4.82,$4.94,$4.73,$4.92,"$81,153,970","$639,744,625"
"Dec 07, 2022",$5.05,$5.05,$4.74,$4.82,"$98,685,739","$626,342,584"
"Dec 06, 2022",$5.16,$5.39,$4.91,$5.05,"$102,185,217","$656,975,685"
"Dec 05, 2022",$5.19,$5.40,$5.02,$5.16,"$119,079,407","$671,015,903"
"Dec 04, 2022",$5.11,$5.36,$5.08,$5.19,"$143,548,505","$675,326,264"
"Dec 03, 2022",$4.91,$5.24,$4.89,$5.11,"$172,182,318","$664,017,726"
"Dec 02, 2022",$4.65,$5.02,$4.56,$4.91,"$111,016,785","$638,315,868"
"Dec 01, 2022",$4.78,$4.79,$4.60,$4.65,"$61,694,938","$603,938,541"
"Nov 30, 2022",$4.68,$4.85,$4.60,$4.78,"$91,144,831","$620,843,748"
"Nov 29, 2022",$4.48,$4.76,$4.44,$4.68,"$101,113,072","$608,015,546"
"Nov 28, 2022",$4.79,$4.79,$4.35,$4.48,"$106,811,395","$582,802,811"
"Nov 27, 2022",$4.77,$5.01,$4.66,$4.79,"$137,749,662","$622,090,462"
"Nov 26, 2022",$4.43,$5.00,$4.42,$4.77,"$225,885,264","$619,924,687"
"Nov 25, 2022",$4.44,$4.54,$4.28,$4.43,"$87,493,032","$575,958,146"
"Nov 24, 2022",$4.44,$4.68,$4.25,$4.45,"$128,060,094","$578,014,878"
"Nov 23, 2022",$4.32,$4.57,$4.26,$4.44,"$112,618,897","$577,400,778"
"Nov 22, 2022",$4.06,$4.48,$3.89,$4.32,"$135,898,407","$561,001,016"
"Nov 21, 2022",$4.09,$4.14,$3.91,$4.07,"$141,358,232","$528,711,229"
"Nov 20, 2022",$4.63,$4.63,$4.06,$4.09,"$106,295,381","$532,256,224"
"Nov 19, 2022",$4.72,$4.76,$4.53,$4.63,"$85,115,298","$602,101,423"
"Nov 18, 2022",$4.67,$4.89,$4.59,$4.72,"$169,525,287","$613,230,184"
"Nov 17, 2022",$4.51,$4.80,$4.37,$4.67,"$260,154,917","$606,703,296"
"Nov 16, 2022",$4.33,$4.87,$4.18,$4.51,"$281,689,115","$585,756,688"
"Nov 15, 2022",$4.19,$4.68,$4.13,$4.34,"$193,401,338","$563,868,850"
"Nov 14, 2022",$4.23,$4.48,$3.80,$4.18,"$187,926,877","$544,049,062"
"Nov 13, 2022",$4.53,$4.59,$4.16,$4.23,"$141,540,550","$549,585,631"
"Nov 12, 2022",$5.14,$5.15,$4.48,$4.53,"$137,786,926","$589,060,267"
"Nov 11, 2022",$5.14,$5.29,$4.59,$5.14,"$303,074,926","$667,680,859"
"Nov 10, 2022",$3.94,$5.39,$3.88,$5.14,"$499,997,318","$668,594,071"
"Nov 09, 2022",$5.37,$5.38,$3.60,$3.94,"$491,391,441","$511,638,252"
"Nov 08, 2022",$6.99,$7.01,$4.88,$5.37,"$648,703,258","$698,269,294"
"Nov 07, 2022",$7.30,$7.44,$6.88,$6.99,"$337,173,352","$909,123,624"
"Nov 06, 2022",$7.63,$8.21,$7.26,$7.30,"$451,095,887","$948,800,425"
"Nov 05, 2022",$7.66,$7.97,$7.54,$7.63,"$338,772,743","$991,965,194"
"Nov 04, 2022",$7.23,$7.76,$7.17,$7.67,"$285,451,797","$996,492,163"
"Nov 03, 2022",$7.38,$7.54,$7.20,$7.23,"$228,148,317","$939,771,831"
"Nov 02, 2022",$8.18,$8.19,$7.18,$7.38,"$490,408,273","$958,843,976"
"Nov 01, 2022",$7.94,$8.29,$7.83,$8.18,"$360,913,949","$1,063,143,808"
"Oct 31, 2022",$7.82,$8.19,$7.75,$7.95,"$345,247,064","$1,033,011,823"
"Oct 30, 2022",$7.95,$8.32,$7.71,$7.83,"$451,802,445","$1,017,417,665"
"Oct 29, 2022",$8.17,$8.35,$7.76,$7.95,"$529,621,532","$1,033,709,318"
"Oct 28, 2022",$8.70,$8.79,$7.97,$8.17,"$559,120,148","$1,061,657,860"
"Oct 27, 2022",$9.20,$9.58,$8.68,$8.70,"$611,107,035","$1,130,986,306"
"Oct 26, 2022",$8.79,$9.24,$8.64,$9.20,"$635,713,216","$1,195,395,298"
"Oct 25, 2022",$9.53,$9.55,$8.55,$8.79,"$750,677,399","$1,143,246,641"
"Oct 24, 2022",$9.77,$9.89,$9.28,$9.53,"$859,797,309","$1,239,015,630"
"Oct 23, 2022",$8.94,$10.25,$8.93,$9.77,"$1,563,614,567","$1,269,929,045"
"Oct 22, 2022",$7.50,$9.23,$7.36,$8.93,"$1,010,096,593","$1,161,416,225"
"Oct 21, 2022",$7.36,$7.66,$7.06,$7.50,"$538,678,089","$974,459,006"
"Oct 20, 2022",$7.27,$7.70,$6.96,$7.36,"$529,639,711","$956,803,224"
"Oct 19, 2022",$8.38,$8.55,$6.69,$7.24,"$1,893,697,459","$941,276,572"
