Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.09847,$0.09918,$0.09555,$0.09759,"$236,720","$9,618,390"
"Dec 30, 2022",$0.1002,$0.1003,$0.09797,$0.09848,"$189,572","$9,706,004"
"Dec 29, 2022",$0.101,$0.1011,$0.09909,$0.09984,"$307,900","$9,839,796"
"Dec 28, 2022",$0.1006,$0.102,$0.09954,$0.101,"$235,566","$9,956,095"
"Dec 27, 2022",$0.09941,$0.1018,$0.09887,$0.1008,"$225,489","$9,929,678"
"Dec 26, 2022",$0.09945,$0.102,$0.0985,$0.09934,"$270,460","$9,790,637"
"Dec 25, 2022",$0.1032,$0.1034,$0.09858,$0.09947,"$243,783","$9,802,827"
"Dec 24, 2022",$0.1011,$0.1038,$0.1004,$0.1032,"$234,231","$10,174,540"
"Dec 23, 2022",$0.1013,$0.1018,$0.09898,$0.1011,"$271,392","$9,963,617"
"Dec 22, 2022",$0.1018,$0.1043,$0.09841,$0.1013,"$332,876","$9,982,188"
"Dec 21, 2022",$0.1005,$0.1037,$0.1005,$0.1018,"$264,418","$10,030,722"
"Dec 20, 2022",$0.1019,$0.1027,$0.1004,$0.1005,"$213,214","$9,902,791"
"Dec 19, 2022",$0.1051,$0.1054,$0.1014,$0.1019,"$261,476","$10,039,881"
"Dec 18, 2022",$0.09918,$0.1063,$0.09867,$0.1053,"$455,345","$10,379,108"
"Dec 17, 2022",$0.09876,$0.1006,$0.09806,$0.09918,"$229,737","$9,774,425"
"Dec 16, 2022",$0.1058,$0.1066,$0.09858,$0.09877,"$268,770","$9,733,827"
"Dec 15, 2022",$0.1051,$0.1072,$0.1024,$0.1058,"$247,573","$10,427,601"
"Dec 14, 2022",$0.1042,$0.1082,$0.1035,$0.1051,"$330,293","$10,361,409"
"Dec 13, 2022",$0.1026,$0.1064,$0.1007,$0.1042,"$328,698","$10,265,031"
"Dec 12, 2022",$0.1043,$0.1044,$0.1012,$0.1026,"$233,833","$10,107,598"
"Dec 11, 2022",$0.1044,$0.1063,$0.1033,$0.1045,"$308,156","$10,294,194"
"Dec 10, 2022",$0.1026,$0.1049,$0.1009,$0.1044,"$308,731","$10,288,005"
"Dec 09, 2022",$0.109,$0.1104,$0.101,$0.1026,"$510,020","$10,114,353"
"Dec 08, 2022",$0.1091,$0.1151,$0.1082,$0.1089,"$864,209","$10,736,667"
"Dec 07, 2022",$0.1035,$0.128,$0.1019,$0.1092,"$1,215,139","$10,759,067"
"Dec 06, 2022",$0.1026,$0.1042,$0.1025,$0.1035,"$230,062","$10,202,479"
"Dec 05, 2022",$0.1044,$0.1047,$0.1021,$0.1026,"$211,413","$10,108,493"
"Dec 04, 2022",$0.1054,$0.1055,$0.1027,$0.1043,"$248,635","$10,284,091"
"Dec 03, 2022",$0.1036,$0.1073,$0.1036,$0.1055,"$438,465","$10,394,153"
"Dec 02, 2022",$0.1017,$0.1041,$0.1009,$0.1037,"$250,931","$10,224,541"
"Dec 01, 2022",$0.1041,$0.1045,$0.1003,$0.1017,"$243,164","$10,023,606"
"Nov 30, 2022",$0.09969,$0.1046,$0.09893,$0.1041,"$377,767","$10,261,583"
"Nov 29, 2022",$0.09815,$0.104,$0.09772,$0.09972,"$978,406","$9,827,356"
"Nov 28, 2022",$0.1013,$0.1084,$0.09531,$0.09816,"$797,344","$9,674,001"
"Nov 27, 2022",$0.09747,$0.1021,$0.09673,$0.1013,"$256,303","$9,984,628"
"Nov 26, 2022",$0.09679,$0.09905,$0.09663,$0.09748,"$224,161","$9,606,803"
"Nov 25, 2022",$0.09801,$0.09826,$0.0965,$0.0968,"$258,642","$9,540,490"
"Nov 24, 2022",$0.09758,$0.0989,$0.09687,$0.09803,"$253,420","$9,661,417"
"Nov 23, 2022",$0.09571,$0.09835,$0.09538,$0.09761,"$350,358","$9,620,306"
"Nov 22, 2022",$0.09586,$0.09939,$0.09065,$0.09567,"$566,795","$9,429,165"
"Nov 21, 2022",$0.1058,$0.1079,$0.09452,$0.09581,"$482,585","$9,442,812"
"Nov 20, 2022",$0.1069,$0.1079,$0.1039,$0.1059,"$360,695","$10,440,335"
"Nov 19, 2022",$0.1057,$0.108,$0.1056,$0.107,"$371,551","$10,544,085"
"Nov 18, 2022",$0.1076,$0.1089,$0.1045,$0.1057,"$459,270","$10,420,739"
"Nov 17, 2022",$0.104,$0.1081,$0.1003,$0.1077,"$576,653","$10,611,408"
"Nov 16, 2022",$0.1047,$0.1415,$0.0968,$0.104,"$3,246,737","$10,248,815"
"Nov 15, 2022",$0.09266,$0.1134,$0.09206,$0.1053,"$848,549","$10,374,002"
"Nov 14, 2022",$0.09346,$0.1011,$0.08664,$0.09263,"$568,016","$9,129,058"
"Nov 13, 2022",$0.1008,$0.1016,$0.09105,$0.09347,"$453,682","$9,211,474"
"Nov 12, 2022",$0.1072,$0.1076,$0.09796,$0.1009,"$319,618","$9,941,649"
"Nov 11, 2022",$0.1151,$0.1169,$0.1051,$0.1072,"$422,465","$10,563,825"
"Nov 10, 2022",$0.09764,$0.1161,$0.09713,$0.1151,"$501,123","$11,341,428"
"Nov 09, 2022",$0.1084,$0.1092,$0.0965,$0.09737,"$506,940","$9,596,471"
"Nov 08, 2022",$0.1234,$0.1244,$0.106,$0.1084,"$598,489","$10,683,479"
"Nov 07, 2022",$0.1263,$0.1264,$0.1226,$0.1235,"$343,610","$12,167,313"
"Nov 06, 2022",$0.1289,$0.1292,$0.1262,$0.1263,"$423,489","$12,445,934"
"Nov 05, 2022",$0.1297,$0.1303,$0.127,$0.129,"$553,342","$12,713,307"
"Nov 04, 2022",$0.1233,$0.1298,$0.1223,$0.1297,"$609,657","$12,785,399"
"Nov 03, 2022",$0.1232,$0.1261,$0.1211,$0.1233,"$520,881","$12,147,178"
"Nov 02, 2022",$0.1208,$0.1233,$0.1173,$0.1233,"$448,522","$12,147,355"
"Nov 01, 2022",$0.1236,$0.1237,$0.1197,$0.1208,"$551,110","$11,902,942"
"Oct 31, 2022",$0.1234,$0.1248,$0.1219,$0.1236,"$350,104","$12,183,165"
"Oct 30, 2022",$0.1263,$0.127,$0.1231,$0.1234,"$438,467","$12,157,144"
"Oct 29, 2022",$0.1256,$0.1312,$0.1246,$0.1262,"$774,272","$12,440,464"
"Oct 28, 2022",$0.1234,$0.1281,$0.123,$0.1256,"$586,530","$12,381,828"
"Oct 27, 2022",$0.1229,$0.1247,$0.122,$0.1233,"$636,062","$12,147,416"
"Oct 26, 2022",$0.1253,$0.127,$0.1221,$0.1229,"$1,040,972","$12,109,050"
"Oct 25, 2022",$0.1247,$0.126,$0.1233,$0.1253,"$574,729","$12,346,232"
"Oct 24, 2022",$0.128,$0.1289,$0.1235,$0.1247,"$562,727","$12,291,228"
"Oct 23, 2022",$0.1281,$0.1336,$0.1241,$0.1281,"$888,861","$12,622,031"
"Oct 22, 2022",$0.1355,$0.1367,$0.1254,$0.1282,"$715,523","$12,632,862"
"Oct 21, 2022",$0.1379,$0.146,$0.1299,$0.1355,"$828,648","$13,350,806"
"Oct 20, 2022",$0.1352,$0.1378,$0.1299,$0.1378,"$631,609","$13,580,397"
"Oct 19, 2022",$0.133,$0.1376,$0.129,$0.1352,"$1,703,409","$13,328,508"
"Oct 18, 2022",$0.1351,$0.1372,$0.1303,$0.133,"$2,192,694","$13,104,495"
