Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.005984,$0.00944,$0.005618,$0.008471,"$55,935","$2,353,446"
"Dec 30, 2022",$0.005657,$0.006873,$0.005052,$0.005983,"$31,050","$1,662,214"
"Dec 29, 2022",$0.005221,$0.006434,$0.005214,$0.005657,"$33,161","$1,571,669"
"Dec 28, 2022",$0.008328,$0.008332,$0.005219,$0.005221,"$37,171","$1,450,399"
"Dec 27, 2022",$0.005897,$0.00833,$0.005458,$0.008328,"$26,070","$2,313,551"
"Dec 26, 2022",$0.007214,$0.007214,$0.005756,$0.005897,"$30,143","$1,638,164"
"Dec 25, 2022",$0.00608,$0.007889,$0.005552,$0.007214,"$24,527","$2,004,016"
"Dec 24, 2022",$0.007736,$0.007767,$0.006078,$0.00608,"$33,864","$1,689,032"
"Dec 23, 2022",$0.005715,$0.007978,$0.005706,$0.007736,"$39,754","$2,149,158"
"Dec 22, 2022",$0.005546,$0.006056,$0.00485,$0.005715,"$44,901","$1,587,614"
"Dec 21, 2022",$0.006656,$0.006659,$0.00554,$0.005546,"$14,387","$1,540,617"
"Dec 20, 2022",$0.003972,$0.006673,$0.00397,$0.006657,"$57,236","$1,849,265"
"Dec 19, 2022",$0.007423,$0.008533,$0.003967,$0.003972,"$19,022","$1,103,393"
"Dec 18, 2022",$0.005207,$0.008015,$0.005198,$0.007423,"$64,028","$2,062,101"
"Dec 17, 2022",$0.006962,$0.008025,$0.005176,$0.005206,"$34,161","$1,446,401"
"Dec 16, 2022",$0.006825,$0.007105,$0.006604,$0.006962,"$51,758","$1,934,124"
"Dec 15, 2022",$0.008459,$0.008466,$0.005776,$0.006825,"$47,355","$1,895,981"
"Dec 14, 2022",$0.006739,$0.01266,$0.004629,$0.008459,"$52,191","$2,349,975"
"Dec 13, 2022",$0.006396,$0.006795,$0.006372,$0.006739,"$44,459","$1,872,102"
"Dec 12, 2022",$0.006605,$0.006608,$0.006319,$0.006396,"$47,544","$1,776,871"
"Dec 11, 2022",$0.006837,$0.007412,$0.006291,$0.006606,"$11,334","$1,835,147"
"Dec 10, 2022",$0.005371,$0.007011,$0.004874,$0.006836,"$26,579","$1,899,217"
"Dec 09, 2022",$0.004429,$0.00682,$0.004342,$0.005371,"$54,689","$1,492,021"
"Dec 08, 2022",$0.004987,$0.005511,$0.004379,$0.004429,"$5,135","$1,230,416"
"Dec 07, 2022",$0.005339,$0.005343,$0.004765,$0.004987,"$5,163","$1,385,410"
"Dec 06, 2022",$0.003904,$0.005886,$0.003722,$0.005339,"$45,256","$1,483,200"
"Dec 05, 2022",$0.004625,$0.004692,$0.003892,$0.003904,"$16,615","$1,084,621"
"Dec 04, 2022",$0.004718,$0.004737,$0.004589,$0.004625,"$4,952","$1,284,926"
"Dec 03, 2022",$0.004169,$0.004729,$0.003899,$0.004718,"$16,133","$1,310,631"
"Dec 02, 2022",$0.004489,$0.004657,$0.004134,$0.004168,"$26,351","$1,158,020"
"Dec 01, 2022",$0.00396,$0.004721,$0.003953,$0.004489,"$13,059","$1,247,060"
"Nov 30, 2022",$0.004165,$0.004712,$0.003937,$0.00396,"$20,253","$1,100,201"
"Nov 29, 2022",$0.004838,$0.004859,$0.004112,$0.004165,"$28,998","$1,157,031"
"Nov 28, 2022",$0.005163,$0.005172,$0.004838,$0.004838,"$11,095","$1,344,031"
