Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.06499,$0.06729,$0.06488,$0.06678,"$3,311,673","$66,716,698"
"Dec 30, 2022",$0.06828,$0.06828,$0.06434,$0.06496,"$2,327,306","$64,892,910"
"Dec 29, 2022",$0.06864,$0.06881,$0.06618,$0.06828,"$3,122,043","$68,215,951"
"Dec 28, 2022",$0.07359,$0.07418,$0.06857,$0.06865,"$6,268,361","$68,584,795"
"Dec 27, 2022",$0.07613,$0.07613,$0.07217,$0.07359,"$6,328,316","$73,517,528"
"Dec 26, 2022",$0.0727,$0.07758,$0.07196,$0.07609,"$20,979,788","$76,010,315"
"Dec 25, 2022",$0.07228,$0.07777,$0.07056,$0.07267,"$23,678,629","$72,598,835"
"Dec 24, 2022",$0.0695,$0.08812,$0.06917,$0.07228,"$21,484,304","$72,203,415"
"Dec 23, 2022",$0.06979,$0.07033,$0.06877,$0.0695,"$3,898,633","$69,431,362"
"Dec 22, 2022",$0.06931,$0.07772,$0.06837,$0.06996,"$41,710,688","$69,887,798"
"Dec 21, 2022",$0.06812,$0.07117,$0.06751,$0.06928,"$9,953,336","$69,208,271"
"Dec 20, 2022",$0.06445,$0.08795,$0.06415,$0.06809,"$7,486,869","$68,024,204"
"Dec 19, 2022",$0.06861,$0.06877,$0.06323,$0.06446,"$3,191,180","$64,392,191"
"Dec 18, 2022",$0.06669,$0.0837,$0.06654,$0.06857,"$13,865,577","$68,505,375"
"Dec 17, 2022",$0.06779,$0.06899,$0.06559,$0.06671,"$1,517,121","$66,641,991"
"Dec 16, 2022",$0.07236,$0.07735,$0.06747,$0.06778,"$3,075,934","$67,715,150"
"Dec 15, 2022",$0.07488,$0.07488,$0.07213,$0.07236,"$1,506,834","$72,291,324"
"Dec 14, 2022",$0.07543,$0.0761,$0.0743,$0.07489,"$1,700,798","$74,810,312"
"Dec 13, 2022",$0.07421,$0.0761,$0.07203,$0.07542,"$2,474,261","$75,339,971"
"Dec 12, 2022",$0.07699,$0.07699,$0.07309,$0.07422,"$2,845,424","$74,143,432"
"Dec 11, 2022",$0.08032,$0.08116,$0.0769,$0.07701,"$5,723,082","$76,935,981"
"Dec 10, 2022",$0.07773,$0.1273,$0.07679,$0.08032,"$36,322,726","$80,243,766"
"Dec 09, 2022",$0.07557,$0.07859,$0.07531,$0.07776,"$1,615,992","$77,680,840"
"Dec 08, 2022",$0.07373,$0.07601,$0.07339,$0.07557,"$1,358,212","$75,496,304"
"Dec 07, 2022",$0.07803,$0.0782,$0.07341,$0.07371,"$1,892,908","$73,631,870"
"Dec 06, 2022",$0.07814,$0.07838,$0.07676,$0.07807,"$1,395,182","$77,996,607"
"Dec 05, 2022",$0.07857,$0.07916,$0.07658,$0.07809,"$1,763,269","$78,007,831"
"Dec 04, 2022",$0.07662,$0.07881,$0.07653,$0.07856,"$1,612,057","$78,477,666"
"Dec 03, 2022",$0.07752,$0.07791,$0.07659,$0.07659,"$1,144,171","$76,515,726"
"Dec 02, 2022",$0.08026,$0.08043,$0.07699,$0.07751,"$2,047,563","$77,427,894"
"Dec 01, 2022",$0.07813,$0.08021,$0.07615,$0.08021,"$1,902,103","$80,133,330"
"Nov 30, 2022",$0.07498,$0.07867,$0.07498,$0.0777,"$1,873,005","$77,621,026"
"Nov 29, 2022",$0.07355,$0.07631,$0.07294,$0.07574,"$1,763,779","$75,668,213"
"Nov 28, 2022",$0.07671,$0.07709,$0.07238,$0.07353,"$1,638,887","$73,453,091"
"Nov 27, 2022",$0.07878,$0.07915,$0.07673,$0.07673,"$1,476,306","$76,653,468"
"Nov 26, 2022",$0.0797,$0.08001,$0.07854,$0.07878,"$1,755,905","$78,701,932"
"Nov 25, 2022",$0.07716,$0.07995,$0.07612,$0.07973,"$2,236,376","$79,654,817"
"Nov 24, 2022",$0.07395,$0.07812,$0.07378,$0.07708,"$2,651,423","$77,006,624"
"Nov 23, 2022",$0.07112,$0.07462,$0.07057,$0.07395,"$2,103,207","$73,873,222"
"Nov 22, 2022",$0.06882,$0.07251,$0.0681,$0.07111,"$2,919,234","$71,036,851"
"Nov 21, 2022",$0.07061,$0.07158,$0.06804,$0.06883,"$1,988,341","$68,756,411"
"Nov 20, 2022",$0.07358,$0.08083,$0.0705,$0.07066,"$9,482,421","$70,593,170"
"Nov 19, 2022",$0.06976,$0.07401,$0.06917,$0.07361,"$3,414,816","$73,538,855"
"Nov 18, 2022",$0.06857,$0.07007,$0.06848,$0.06969,"$3,008,768","$69,619,277"
"Nov 17, 2022",$0.06745,$0.06946,$0.06716,$0.06856,"$4,344,284","$68,495,462"
