Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.007714,$0.007919,$0.007547,$0.007816,"$246,509","$9,442,869"
"Dec 30, 2022",$0.007982,$0.008163,$0.007633,$0.007684,"$302,943","$9,283,581"
"Dec 29, 2022",$0.008196,$0.008918,$0.007916,$0.007992,"$336,702","$9,655,773"
"Dec 28, 2022",$0.008594,$0.008675,$0.008065,$0.008197,"$286,429","$9,903,100"
"Dec 27, 2022",$0.008853,$0.008993,$0.008242,$0.008622,"$469,735","$10,417,738"
"Dec 26, 2022",$0.009556,$0.009557,$0.008487,$0.008836,"$520,834","$10,675,817"
"Dec 25, 2022",$0.01074,$0.01079,$0.009045,$0.009552,"$1,432,965","$11,541,333"
"Dec 24, 2022",$0.008835,$0.01081,$0.008517,$0.01074,"$1,822,646","$12,970,257"
"Dec 23, 2022",$0.008833,$0.009368,$0.008524,$0.00885,"$359,283","$10,692,191"
"Dec 22, 2022",$0.008459,$0.009739,$0.008368,$0.008853,"$460,511","$10,696,264"
"Dec 21, 2022",$0.008291,$0.008957,$0.008291,$0.008406,"$218,155","$10,156,477"
"Dec 20, 2022",$0.008771,$0.008771,$0.008222,$0.008293,"$633,351","$10,148,546"
"Dec 19, 2022",$0.009594,$0.009661,$0.008358,$0.008779,"$613,774","$10,743,102"
"Dec 18, 2022",$0.009882,$0.00989,$0.009538,$0.009598,"$133,271","$11,744,507"
"Dec 17, 2022",$0.009872,$0.01005,$0.009629,$0.009876,"$583,899","$12,085,564"
"Dec 16, 2022",$0.01127,$0.01153,$0.009748,$0.00986,"$485,992","$12,065,639"
"Dec 15, 2022",$0.01149,$0.01201,$0.01117,$0.01126,"$604,516","$13,780,199"
"Dec 14, 2022",$0.01176,$0.01204,$0.01139,$0.01153,"$497,488","$14,105,741"
"Dec 13, 2022",$0.01242,$0.01246,$0.01156,$0.01175,"$503,464","$14,381,026"
"Dec 12, 2022",$0.01211,$0.01263,$0.01197,$0.01242,"$422,718","$15,192,599"
"Dec 11, 2022",$0.01213,$0.01286,$0.01199,$0.01211,"$604,763","$14,821,235"
"Dec 10, 2022",$0.01232,$0.0129,$0.01196,$0.0121,"$615,667","$14,812,921"
"Dec 09, 2022",$0.01231,$0.01239,$0.01223,$0.01232,"$173,029","$15,072,404"
"Dec 08, 2022",$0.01205,$0.01232,$0.01165,$0.0123,"$275,516","$15,056,124"
"Dec 07, 2022",$0.0124,$0.01242,$0.01197,$0.01202,"$252,015","$14,707,832"
"Dec 06, 2022",$0.01215,$0.01243,$0.0121,$0.0124,"$221,813","$15,174,010"
"Dec 05, 2022",$0.0121,$0.01245,$0.01203,$0.01216,"$235,280","$14,878,918"
"Dec 04, 2022",$0.0125,$0.01262,$0.01191,$0.0121,"$297,547","$14,800,957"
"Dec 03, 2022",$0.0128,$0.01309,$0.01231,$0.01252,"$180,398","$15,324,817"
"Dec 02, 2022",$0.01215,$0.01338,$0.01213,$0.01278,"$504,337","$15,641,966"
"Dec 01, 2022",$0.01208,$0.01249,$0.01202,$0.01215,"$265,555","$14,867,887"
"Nov 30, 2022",$0.01185,$0.01237,$0.01173,$0.01213,"$211,217","$14,680,103"
"Nov 29, 2022",$0.01196,$0.01227,$0.01161,$0.01184,"$381,895","$14,332,309"
"Nov 28, 2022",$0.01288,$0.01288,$0.01164,$0.01191,"$1,609,538","$14,412,915"
"Nov 27, 2022",$0.01184,$0.01366,$0.01169,$0.01278,"$1,289,646","$15,467,716"
"Nov 26, 2022",$0.01203,$0.0122,$0.01177,$0.01192,"$286,210","$14,423,485"
"Nov 25, 2022",$0.01195,$0.01216,$0.01174,$0.01203,"$391,192","$14,558,158"
