Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0001899,$0.0001913,$0.0001893,$0.0001905,"$32,317","$1,899,779"
"Dec 30, 2022",$0.0001911,$0.0002042,$0.0001897,$0.00019,"$31,867","$1,895,014"
"Dec 29, 2022",$0.0001903,$0.0002174,$0.0001887,$0.0001911,"$39,132","$1,906,730"
"Dec 28, 2022",$0.000192,$0.0002127,$0.0001875,$0.0001903,"$41,387","$1,898,019"
"Dec 27, 2022",$0.0001914,$0.0002082,$0.0001899,$0.000192,"$35,261","$1,915,368"
"Dec 26, 2022",$0.0001902,$0.0002104,$0.0001895,$0.0001914,"$32,265","$1,909,003"
"Dec 25, 2022",$0.0002036,$0.0002096,$0.0001898,$0.0001902,"$34,124","$1,896,969"
"Dec 24, 2022",$0.0002066,$0.000207,$0.0001904,$0.0002036,"$32,431","$2,030,826"
"Dec 23, 2022",$0.0002134,$0.0002136,$0.0001914,$0.0002066,"$35,488","$2,060,582"
"Dec 22, 2022",$0.0002036,$0.000214,$0.0001903,$0.0002134,"$35,170","$2,128,319"
"Dec 21, 2022",$0.0002026,$0.0002062,$0.0001841,$0.0002035,"$40,066","$2,030,396"
"Dec 20, 2022",$0.0001892,$0.0002038,$0.0001689,$0.0002026,"$35,448","$2,020,823"
"Dec 19, 2022",$0.0001892,$0.0001906,$0.0001686,$0.0001892,"$13,959","$1,886,893"
"Dec 18, 2022",$0.0001892,$0.0002062,$0.0001685,$0.0001892,"$36,075","$1,887,113"
"Dec 17, 2022",$0.0001902,$0.0002169,$0.0001869,$0.0001892,"$68,231","$1,887,489"
"Dec 16, 2022",$0.0002074,$0.000223,$0.00019,$0.0001902,"$31,850","$1,897,632"
"Dec 15, 2022",$0.0001946,$0.0002237,$0.0001919,$0.0002074,"$42,868","$2,069,278"
"Dec 14, 2022",$0.0001941,$0.0002096,$0.0001934,$0.0001946,"$35,641","$1,941,380"
"Dec 13, 2022",$0.0001968,$0.0002152,$0.0001911,$0.0001941,"$12,390","$1,936,461"
"Dec 12, 2022",$0.0001916,$0.0002179,$0.0001915,$0.0001968,"$60,935","$1,962,598"
"Dec 11, 2022",$0.0001918,$0.0001928,$0.0001908,$0.0001916,"$48,079","$1,911,398"
"Dec 10, 2022",$0.0002105,$0.000211,$0.0001855,$0.0001918,"$60,958","$1,913,255"
"Dec 09, 2022",$0.0001949,$0.0002114,$0.0001944,$0.0002105,"$33,097","$2,100,001"
