Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.6573,$0.6675,$0.6556,$0.6593,"$11,370","$6,329,376"
"Dec 30, 2022",$0.6659,$0.6664,$0.6529,$0.6573,"$9,154","$6,309,842"
"Dec 29, 2022",$0.6626,$0.6719,$0.6491,$0.6659,"$21,145","$6,392,513"
"Dec 28, 2022",$0.6657,$0.6883,$0.6485,$0.6626,"$46,581","$6,360,546"
"Dec 27, 2022",$0.6601,$0.6668,$0.6437,$0.6657,"$34,199","$6,390,699"
"Dec 26, 2022",$0.6636,$0.6712,$0.6475,$0.6601,"$14,212","$6,337,005"
"Dec 25, 2022",$0.6286,$0.6656,$0.6076,$0.6636,"$55,761","$6,370,481"
"Dec 24, 2022",$0.6115,$0.6301,$0.6035,$0.6286,"$8,465","$6,034,783"
"Dec 23, 2022",$0.6184,$0.6335,$0.604,$0.6115,"$14,180","$5,870,701"
"Dec 22, 2022",$0.6213,$0.624,$0.6042,$0.6182,"$23,172","$5,934,899"
"Dec 21, 2022",$0.6336,$0.6401,$0.6117,$0.6213,"$47,634","$5,964,453"
"Dec 20, 2022",$0.6222,$0.6408,$0.6162,$0.6336,"$48,645","$6,083,028"
"Dec 19, 2022",$0.6175,$0.628,$0.6126,$0.6222,"$24,454","$5,973,004"
"Dec 18, 2022",$0.6087,$0.644,$0.6086,$0.6175,"$17,859","$5,927,874"
"Dec 17, 2022",$0.6429,$0.6477,$0.6037,$0.6087,"$32,022","$5,843,420"
"Dec 16, 2022",$0.6822,$0.6858,$0.6417,$0.6429,"$40,688","$6,172,254"
"Dec 15, 2022",$0.6532,$0.6874,$0.6478,$0.6823,"$46,253","$6,549,630"
"Dec 14, 2022",$0.6388,$0.6672,$0.6216,$0.6532,"$89,046","$6,270,271"
"Dec 13, 2022",$0.5683,$0.6426,$0.5656,$0.6388,"$80,903","$6,132,623"
"Dec 12, 2022",$0.5835,$0.5882,$0.549,$0.5683,"$23,948","$5,456,025"
"Dec 11, 2022",$0.5873,$0.5915,$0.5744,$0.5835,"$16,884","$5,601,718"
"Dec 10, 2022",$0.5572,$0.6046,$0.5402,$0.5873,"$40,072","$5,638,151"
"Dec 09, 2022",$0.5577,$0.6295,$0.5265,$0.558,"$118,947","$5,357,106"
"Dec 08, 2022",$0.5043,$0.5832,$0.4819,$0.5577,"$107,462","$5,354,307"
"Dec 07, 2022",$0.5485,$0.5717,$0.496,$0.5043,"$47,910","$4,841,699"
"Dec 06, 2022",$0.5257,$0.5509,$0.5171,$0.5485,"$33,182","$5,265,662"
"Dec 05, 2022",$0.5976,$0.5976,$0.5143,$0.5257,"$77,391","$5,046,952"
"Dec 04, 2022",$0.5246,$0.833,$0.5191,$0.5976,"$243,541","$5,736,633"
"Dec 03, 2022",$0.5118,$0.5266,$0.5093,$0.5242,"$18,888","$5,032,221"
"Dec 02, 2022",$0.4868,$0.5249,$0.4842,$0.5118,"$24,529","$4,913,110"
"Dec 01, 2022",$0.5114,$0.5145,$0.4699,$0.4868,"$89,627","$4,672,825"
"Nov 30, 2022",$0.4957,$0.5439,$0.4434,$0.5114,"$90,305","$4,909,879"
"Nov 29, 2022",$0.5278,$0.5313,$0.4634,$0.4957,"$95,282","$4,758,515"
"Nov 28, 2022",$0.5062,$0.5438,$0.5056,$0.5278,"$81,121","$5,067,318"
"Nov 27, 2022",$0.5468,$0.5717,$0.4994,$0.5062,"$80,201","$4,859,712"
"Nov 26, 2022",$0.5544,$0.676,$0.5468,$0.5468,"$86,137","$5,249,416"
"Nov 25, 2022",$0.5531,$0.5766,$0.5388,$0.5544,"$94,397","$5,322,391"
"Nov 24, 2022",$0.5851,$0.5954,$0.5277,$0.5531,"$104,046","$5,309,621"
"Nov 23, 2022",$0.5779,$0.6017,$0.5417,$0.5851,"$93,296","$5,617,205"
"Nov 22, 2022",$0.6174,$0.7548,$0.5492,$0.5779,"$147,869","$5,547,384"
"Nov 21, 2022",$0.5706,$0.773,$0.4743,$0.6169,"$384,294","$5,922,155"
"Nov 20, 2022",$0.7916,$0.8141,$0.5034,$0.5708,"$528,524","$5,479,381"
"Nov 19, 2022",$0.319,$0.9884,$0.3124,$0.7906,"$1,067,854","$7,589,848"
"Nov 18, 2022",$0.3574,$0.3633,$0.313,$0.319,"$238,866","$3,062,201"
"Nov 17, 2022",$0.3614,$0.3779,$0.3442,$0.3574,"$109,828","$3,430,628"
"Nov 16, 2022",$0.3633,$0.3905,$0.3529,$0.3614,"$120,068","$3,469,452"
"Nov 15, 2022",$0.4587,$0.5075,$0.3519,$0.3633,"$142,529","$3,487,934"
"Nov 14, 2022",$0.4473,$0.4647,$0.3971,$0.4587,"$167,060","$4,403,363"
"Nov 13, 2022",$0.5416,$0.5416,$0.4238,$0.443,"$81,181","$4,253,220"
"Nov 12, 2022",$0.5348,$0.5818,$0.5093,$0.5417,"$119,357","$5,199,940"
"Nov 11, 2022",$0.5802,$0.7714,$0.4845,$0.5349,"$169,376","$5,134,587"
"Nov 10, 2022",$0.6341,$0.7661,$0.4625,$0.5817,"$204,138","$5,583,916"
"Nov 09, 2022",$1.04,$1.04,$0.6173,$0.635,"$396,088","$6,096,312"
"Nov 08, 2022",$1.15,$1.15,$0.9452,$1.04,"$970,638","$9,968,624"
"Nov 07, 2022",$1.21,$1.21,$1.14,$1.15,"$884,716","$11,053,253"
"Nov 06, 2022",$1.19,$1.22,$1.18,$1.21,"$1,117,507","$11,634,991"
"Nov 05, 2022",$1.10,$1.19,$1.10,$1.19,"$994,312","$11,417,387"
"Nov 04, 2022",$1.10,$1.11,$1.10,$1.10,"$734,758","$10,566,993"
"Nov 03, 2022",$1.09,$1.10,$1.09,$1.10,"$664,614","$10,528,693"
"Nov 02, 2022",$1.11,$1.12,$1.09,$1.09,"$803,843","$10,484,008"
"Nov 01, 2022",$1.10,$1.12,$1.10,$1.11,"$871,814","$10,689,361"
"Oct 31, 2022",$1.12,$1.12,$1.10,$1.10,"$880,099","$10,588,685"
"Oct 30, 2022",$1.13,$1.13,$1.11,$1.12,"$866,278","$10,721,501"
"Oct 29, 2022",$1.12,$1.13,$1.12,$1.13,"$972,020","$10,826,526"
"Oct 28, 2022",$1.12,$1.12,$1.11,$1.12,"$875,012","$10,754,302"
"Oct 27, 2022",$1.12,$1.15,$1.12,$1.12,"$1,186,074","$10,791,584"
"Oct 26, 2022",$1.09,$1.12,$1.08,$1.12,"$973,204","$10,764,018"
"Oct 25, 2022",$1.05,$1.09,$1.04,$1.09,"$992,833","$10,499,515"
"Oct 24, 2022",$1.06,$1.08,$1.05,$1.05,"$878,840","$10,085,224"
"Oct 23, 2022",$1.07,$1.08,$1.05,$1.06,"$1,034,874","$10,194,780"
"Oct 22, 2022",$1.07,$1.09,$1.05,$1.07,"$1,132,297","$10,249,984"
"Oct 21, 2022",$1.06,$1.09,$1.06,$1.07,"$834,490","$10,282,575"
"Oct 20, 2022",$1.06,$1.07,$1.05,$1.06,"$759,239","$10,217,663"
"Oct 19, 2022",$1.05,$1.07,$1.04,$1.06,"$901,567","$10,138,545"
"Oct 18, 2022",$1.05,$1.06,$1.04,$1.05,"$789,739","$10,098,120"
"Oct 17, 2022",$1.05,$1.06,$1.03,$1.05,"$883,444","$10,113,721"
"Oct 16, 2022",$1.08,$1.08,$1.04,$1.05,"$2,685,268","$10,054,577"
"Oct 15, 2022",$1.14,$1.15,$1.07,$1.08,"$919,138","$10,335,894"
"Oct 14, 2022",$1.14,$1.16,$1.13,$1.14,"$840,081","$10,980,613"
"Oct 13, 2022",$1.16,$1.17,$1.14,$1.14,"$914,728","$10,987,725"
"Oct 12, 2022",$1.16,$1.17,$1.15,$1.16,"$830,583","$11,138,656"
"Oct 11, 2022",$1.24,$1.25,$1.15,$1.16,"$999,453","$11,127,592"
"Oct 10, 2022",$1.25,$1.25,$1.24,$1.24,"$988,323","$11,893,529"
"Oct 09, 2022",$1.25,$1.30,$1.21,$1.25,"$885,941","$12,012,301"
"Oct 08, 2022",$1.24,$1.25,$1.24,$1.25,"$704,274","$11,972,203"
"Oct 07, 2022",$1.26,$1.27,$1.24,$1.24,"$941,325","$11,910,736"
"Oct 06, 2022",$1.26,$1.27,$1.25,$1.26,"$786,344","$12,055,265"
"Oct 05, 2022",$1.26,$1.26,$1.24,$1.26,"$805,598","$12,058,428"
"Oct 04, 2022",$1.27,$1.28,$1.26,$1.26,"$875,882","$12,111,663"
"Oct 03, 2022",$1.29,$1.47,$1.27,$1.27,"$1,107,881","$12,206,606"
"Oct 02, 2022",$1.31,$1.31,$1.29,$1.29,"$749,207","$12,428,218"
"Oct 01, 2022",$1.31,$1.43,$1.31,$1.31,"$818,640","$12,545,191"
"Sep 30, 2022",$1.30,$1.31,$1.30,$1.31,"$855,241","$12,560,090"
"Sep 29, 2022",$1.32,$1.42,$1.30,$1.30,"$897,372","$12,519,355"
"Sep 28, 2022",$1.33,$1.34,$1.32,$1.32,"$837,927","$12,719,073"
"Sep 27, 2022",$1.33,$1.42,$1.32,$1.33,"$878,990","$12,747,533"
"Sep 26, 2022",$1.37,$1.37,$1.32,$1.33,"$829,670","$12,720,239"
"Sep 25, 2022",$1.37,$1.38,$1.36,$1.37,"$830,910","$13,184,346"
"Sep 24, 2022",$1.38,$1.38,$1.37,$1.37,"$853,235","$13,153,317"
"Sep 23, 2022",$1.38,$1.38,$1.37,$1.38,"$824,022","$13,253,517"
"Sep 22, 2022",$1.39,$1.42,$1.32,$1.38,"$971,349","$13,287,277"
"Sep 21, 2022",$1.40,$1.43,$1.38,$1.39,"$885,621","$13,346,466"
"Sep 20, 2022",$1.41,$1.42,$1.37,$1.40,"$850,164","$13,471,843"
"Sep 19, 2022",$1.40,$1.42,$1.40,$1.41,"$846,985","$13,575,595"
"Sep 18, 2022",$1.44,$1.44,$1.40,$1.40,"$895,074","$13,466,271"
"Sep 17, 2022",$1.44,$1.48,$1.43,$1.44,"$914,866","$13,780,488"
"Sep 16, 2022",$1.48,$1.48,$1.43,$1.44,"$827,623","$13,810,647"
"Sep 15, 2022",$1.51,$1.54,$1.48,$1.48,"$818,720","$14,163,157"
