Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$1.14,$1.15,$1.13,$1.15,"$55,510","$6,873,538"
"Dec 30, 2022",$1.17,$1.19,$1.14,$1.14,"$25,084","$6,847,883"
"Dec 29, 2022",$1.19,$1.19,$1.17,$1.17,"$20,760","$7,012,160"
"Dec 28, 2022",$1.25,$1.31,$1.19,$1.19,"$50,713","$7,134,198"
"Dec 27, 2022",$1.21,$1.26,$1.20,$1.25,"$44,267","$7,497,405"
"Dec 26, 2022",$1.21,$1.21,$1.20,$1.21,"$12,366","$7,240,138"
"Dec 25, 2022",$1.22,$1.24,$1.21,$1.21,"$31,139","$7,254,929"
"Dec 24, 2022",$1.21,$1.23,$1.21,$1.22,"$30,441","$7,346,761"
"Dec 23, 2022",$1.23,$1.23,$1.21,$1.21,"$35,525","$7,250,737"
"Dec 22, 2022",$1.27,$1.39,$1.23,$1.23,"$76,309","$7,359,535"
"Dec 21, 2022",$1.32,$1.61,$1.21,$1.27,"$390,997","$7,649,165"
"Dec 20, 2022",$1.17,$1.36,$1.17,$1.32,"$161,077","$7,896,945"
"Dec 19, 2022",$1.24,$1.24,$1.17,$1.17,"$81,227","$7,013,319"
"Dec 18, 2022",$1.23,$1.30,$1.21,$1.24,"$38,761","$7,455,614"
"Dec 17, 2022",$1.30,$1.30,$1.23,$1.23,"$52,850","$7,398,003"
"Dec 16, 2022",$1.34,$1.36,$1.29,$1.30,"$45,764","$7,823,241"
"Dec 15, 2022",$1.35,$1.37,$1.32,$1.34,"$31,416","$8,024,903"
"Dec 14, 2022",$1.36,$1.38,$1.35,$1.35,"$26,381","$8,090,217"
"Dec 13, 2022",$1.28,$1.40,$1.28,$1.36,"$24,670","$8,184,184"
"Dec 12, 2022",$1.42,$1.44,$1.24,$1.28,"$50,391","$7,672,723"
"Dec 11, 2022",$1.43,$1.44,$1.42,$1.42,"$75,506","$8,523,201"
"Dec 10, 2022",$1.51,$1.51,$1.34,$1.43,"$30,746","$8,564,808"
"Dec 09, 2022",$1.42,$1.52,$1.42,$1.51,"$23,040","$9,031,815"
"Dec 08, 2022",$1.41,$1.43,$1.41,$1.42,"$29,138","$8,533,383"
"Dec 07, 2022",$1.41,$1.42,$1.41,$1.41,"$25,809","$8,436,757"
"Dec 06, 2022",$1.40,$1.43,$1.40,$1.41,"$21,973","$8,482,443"
"Dec 05, 2022",$1.42,$1.43,$1.40,$1.40,"$32,142","$8,397,905"
"Dec 04, 2022",$1.42,$1.42,$1.38,$1.42,"$32,325","$8,494,595"
"Dec 03, 2022",$1.40,$1.43,$1.40,$1.42,"$37,832","$8,512,740"
"Dec 02, 2022",$1.43,$1.43,$1.29,$1.40,"$51,436","$8,394,511"
"Dec 01, 2022",$1.42,$1.43,$1.37,$1.43,"$27,885","$8,577,016"
"Nov 30, 2022",$1.39,$1.44,$1.39,$1.42,"$46,589","$8,518,866"
"Nov 29, 2022",$1.38,$1.39,$1.38,$1.39,"$13,508","$8,320,414"
"Nov 28, 2022",$1.41,$1.41,$1.38,$1.38,"$26,911","$8,270,235"
"Nov 27, 2022",$1.37,$1.44,$1.37,$1.41,"$56,759","$8,476,839"
"Nov 26, 2022",$1.46,$1.49,$1.36,$1.37,"$42,110","$8,248,669"
"Nov 25, 2022",$1.51,$1.51,$1.46,$1.46,"$21,644","$8,771,333"
"Nov 24, 2022",$1.44,$1.51,$1.44,$1.51,"$24,168","$9,040,950"
"Nov 23, 2022",$1.41,$1.44,$1.41,$1.44,"$30,176","$8,656,678"
"Nov 22, 2022",$1.44,$1.44,$1.40,$1.41,"$59,848","$8,447,578"
"Nov 21, 2022",$1.47,$1.49,$1.19,$1.44,"$122,423","$8,638,926"
"Nov 20, 2022",$1.48,$1.48,$1.39,$1.47,"$77,037","$8,797,509"
"Nov 19, 2022",$1.49,$1.49,$1.40,$1.48,"$66,398","$8,860,977"
"Nov 18, 2022",$1.60,$1.60,$1.49,$1.49,"$52,365","$8,928,867"
"Nov 17, 2022",$1.67,$1.68,$1.52,$1.60,"$206,209","$9,603,915"
"Nov 16, 2022",$1.38,$1.75,$1.38,$1.67,"$535,419","$10,017,733"
"Nov 15, 2022",$1.47,$1.48,$1.22,$1.38,"$106,013","$8,309,468"
"Nov 14, 2022",$1.40,$1.49,$1.40,$1.47,"$49,066","$8,838,292"
"Nov 13, 2022",$1.44,$1.55,$1.40,$1.40,"$54,383","$8,376,608"
"Nov 12, 2022",$1.56,$1.67,$1.44,$1.44,"$69,191","$8,623,396"
"Nov 11, 2022",$1.54,$1.56,$1.33,$1.56,"$280,809","$9,348,136"
"Nov 10, 2022",$1.24,$1.60,$1.24,$1.54,"$157,464","$9,255,426"
"Nov 09, 2022",$1.71,$1.72,$1.24,$1.24,"$281,761","$7,426,440"
