Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1659,$0.1661,$0.1574,$0.1653,"$35,316","$46,799,495"
"Dec 30, 2022",$0.1662,$0.1663,$0.1639,$0.1659,"$35,246","$46,955,438"
"Dec 29, 2022",$0.1649,$0.1663,$0.1539,$0.1663,"$34,279","$47,067,906"
"Dec 28, 2022",$0.1666,$0.1672,$0.1643,$0.1649,"$21,685","$46,696,779"
"Dec 27, 2022",$0.1689,$0.1693,$0.1658,$0.1666,"$20,578","$47,161,127"
"Dec 26, 2022",$0.1681,$0.1689,$0.1678,$0.1689,"$30,654","$47,804,627"
"Dec 25, 2022",$0.1681,$0.1683,$0.1672,$0.1681,"$30,555","$47,584,763"
"Dec 24, 2022",$0.1695,$0.17,$0.1679,$0.1681,"$30,517","$47,601,060"
"Dec 23, 2022",$0.1706,$0.1714,$0.1694,$0.1695,"$27,200","$47,974,020"
"Dec 22, 2022",$0.1705,$0.171,$0.1621,$0.1706,"$25,422","$48,301,089"
"Dec 21, 2022",$0.1648,$0.171,$0.1635,$0.1705,"$18,928","$48,264,518"
"Dec 20, 2022",$0.1604,$0.168,$0.1604,$0.1648,"$17,319","$46,649,186"
"Dec 19, 2022",$0.1526,$0.169,$0.1516,$0.1604,"$4,098","$45,406,860"
"Dec 18, 2022",$0.1657,$0.1663,$0.1526,$0.1526,"$1,894","$43,212,180"
"Dec 17, 2022",$0.1544,$0.1657,$0.1541,$0.1657,"$1,820","$46,900,429"
"Dec 16, 2022",$0.1611,$0.1624,$0.1538,$0.1544,"$12,505","$43,713,335"
"Dec 15, 2022",$0.1652,$0.1655,$0.1607,$0.1611,"$12,019","$45,594,909"
"Dec 14, 2022",$0.1649,$0.1699,$0.1645,$0.1653,"$24,214","$46,784,206"
"Dec 13, 2022",$0.1717,$0.1719,$0.1584,$0.1649,"$20,539","$46,693,673"
"Dec 12, 2022",$0.1488,$0.1718,$0.1471,$0.1717,"$15,951","$48,614,339"
"Dec 11, 2022",$0.1552,$0.1561,$0.1487,$0.1489,"$21,049","$42,140,405"
"Dec 10, 2022",$0.162,$0.1628,$0.1548,$0.1552,"$27,752","$43,933,290"
"Dec 09, 2022",$0.1629,$0.1634,$0.1617,$0.162,"$22,471","$45,863,091"
"Dec 08, 2022",$0.1593,$0.1633,$0.1587,$0.1629,"$26,827","$46,131,447"
"Dec 07, 2022",$0.1616,$0.1618,$0.1584,$0.1593,"$41,435","$45,100,598"
"Dec 06, 2022",$0.1526,$0.1616,$0.1441,$0.1616,"$32,393","$45,747,032"
"Dec 05, 2022",$0.154,$0.1562,$0.1521,$0.1526,"$6,787","$43,202,517"
"Dec 04, 2022",$0.1599,$0.162,$0.1537,$0.154,"$6,851","$43,598,687"
"Dec 03, 2022",$0.1617,$0.1619,$0.1597,$0.1599,"$19,721","$45,261,375"
"Dec 02, 2022",$0.1605,$0.1617,$0.1525,$0.1617,"$32,674","$45,771,080"
"Dec 01, 2022",$0.1625,$0.1627,$0.1598,$0.1605,"$4,441","$45,440,337"
"Nov 30, 2022",$0.153,$0.1627,$0.1432,$0.1625,"$15,375","$46,006,572"
"Nov 29, 2022",$0.1588,$0.1616,$0.1527,$0.153,"$23,659","$43,310,638"
"Nov 28, 2022",$0.1578,$0.1605,$0.1531,$0.1588,"$8,361","$44,954,212"
"Nov 27, 2022",$0.1637,$0.1649,$0.1577,$0.1578,"$14,432","$44,674,917"
"Nov 26, 2022",$0.1643,$0.1657,$0.1633,$0.1637,"$34,110","$46,353,912"
"Nov 25, 2022",$0.1651,$0.1651,$0.163,$0.1643,"$34,140","$46,515,953"
"Nov 24, 2022",$0.1651,$0.1669,$0.159,$0.1651,"$34,354","$46,748,910"
"Nov 23, 2022",$0.1611,$0.1655,$0.1608,$0.1651,"$32,526","$46,742,633"
"Nov 22, 2022",$0.1569,$0.1616,$0.1556,$0.161,"$22,849","$45,581,321"
"Nov 21, 2022",$0.1619,$0.1619,$0.1551,$0.1569,"$49,403","$44,425,329"
"Nov 20, 2022",$0.1661,$0.1665,$0.1615,$0.1619,"$58,415","$45,845,437"
"Nov 19, 2022",$0.166,$0.167,$0.1636,$0.1661,"$59,927","$47,026,533"
"Nov 18, 2022",$0.1581,$0.167,$0.1244,$0.166,"$59,484","$46,986,863"
"Nov 17, 2022",$0.1563,$0.1581,$0.1516,$0.158,"$32,878","$44,744,349"
"Nov 16, 2022",$0.1535,$0.1566,$0.1489,$0.1563,"$17,582","$44,259,510"
"Nov 15, 2022",$0.1552,$0.1591,$0.1506,$0.1535,"$18,178","$43,447,862"
"Nov 14, 2022",$0.1453,$0.156,$0.141,$0.1553,"$12,340","$43,952,994"
"Nov 13, 2022",$0.1568,$0.1579,$0.145,$0.1453,"$8,867","$41,129,098"
"Nov 12, 2022",$0.1595,$0.1598,$0.1553,$0.1568,"$26,109","$44,383,227"
"Nov 11, 2022",$0.1629,$0.1653,$0.1475,$0.1595,"$11,107","$45,159,014"
"Nov 10, 2022",$0.1443,$0.164,$0.1438,$0.163,"$20,470","$46,131,828"
"Nov 09, 2022",$0.1685,$0.169,$0.1425,$0.1443,"$7,455","$40,840,746"
"Nov 08, 2022",$0.1776,$0.178,$0.1503,$0.1685,"$21,052","$47,707,493"
"Nov 07, 2022",$0.1737,$0.1809,$0.1713,$0.1776,"$7,480","$50,283,824"
"Nov 06, 2022",$0.1802,$0.1807,$0.1737,$0.1737,"$12,339","$49,180,000"
"Nov 05, 2022",$0.1845,$0.1872,$0.1797,$0.1802,"$10,474","$51,006,253"
"Nov 04, 2022",$0.1765,$0.1852,$0.1763,$0.1846,"$6,325","$52,248,301"
"Nov 03, 2022",$0.176,$0.1779,$0.1753,$0.1765,"$16,252","$49,962,939"
"Nov 02, 2022",$0.1704,$0.1812,$0.1684,$0.176,"$8,350","$49,812,659"
"Nov 01, 2022",$0.1748,$0.1751,$0.1693,$0.1704,"$1,809","$48,247,968"
"Oct 31, 2022",$0.176,$0.1773,$0.173,$0.1748,"$9,189","$49,484,112"
"Oct 30, 2022",$0.1775,$0.1784,$0.1753,$0.176,"$9,268","$49,821,300"
"Oct 29, 2022",$0.1756,$0.1791,$0.1754,$0.1775,"$9,354","$50,263,257"
"Oct 28, 2022",$0.1768,$0.1806,$0.1751,$0.1756,"$9,214","$49,724,839"
"Oct 27, 2022",$0.181,$0.1844,$0.1765,$0.1767,"$8,673","$50,033,953"
"Oct 26, 2022",$0.1818,$0.1893,$0.1781,$0.181,"$10,741","$51,229,303"
"Oct 25, 2022",$0.1757,$0.1849,$0.1751,$0.1819,"$17,894","$51,483,668"
"Oct 24, 2022",$0.1765,$0.1767,$0.1674,$0.1757,"$20,405","$49,750,152"
"Oct 23, 2022",$0.1725,$0.1772,$0.1717,$0.1765,"$2,232","$49,958,104"
"Oct 22, 2022",$0.1722,$0.1729,$0.1718,$0.1725,"$48,118","$48,835,651"
"Oct 21, 2022",$0.1747,$0.1755,$0.1635,$0.1722,"$48,307","$48,744,087"
"Oct 20, 2022",$0.1749,$0.1766,$0.1735,$0.1747,"$35,650","$49,467,683"
"Oct 19, 2022",$0.1719,$0.1759,$0.1621,$0.1749,"$11,370","$49,508,791"
"Oct 18, 2022",$0.1731,$0.176,$0.1615,$0.1719,"$4,422","$48,674,277"
"Oct 17, 2022",$0.1712,$0.1759,$0.1631,$0.1731,"$16,380","$49,012,571"
"Oct 16, 2022",$0.1693,$0.1723,$0.1693,$0.1712,"$6,177","$48,458,162"
"Oct 15, 2022",$0.1721,$0.1734,$0.1672,$0.1693,"$5,962","$47,925,437"
"Oct 14, 2022",$0.167,$0.1786,$0.1666,$0.1721,"$4,430","$48,735,796"
"Oct 13, 2022",$0.1719,$0.1735,$0.1512,$0.167,"$80,316","$47,286,525"
"Oct 12, 2022",$0.1628,$0.1726,$0.1622,$0.1719,"$23,016","$48,656,177"
"Oct 11, 2022",$0.1626,$0.1677,$0.1608,$0.1628,"$19,037","$46,075,235"
"Oct 10, 2022",$0.1716,$0.1739,$0.1552,$0.1626,"$15,179","$46,039,976"
"Oct 09, 2022",$0.1733,$0.1751,$0.1669,$0.1716,"$2,304","$48,569,034"
"Oct 08, 2022",$0.1732,$0.1744,$0.1587,$0.1732,"$2,651","$49,047,390"
"Oct 07, 2022",$0.1743,$0.178,$0.1695,$0.1732,"$4,215","$49,041,343"
"Oct 06, 2022",$0.1737,$0.1801,$0.1487,$0.1743,"$15,438","$49,338,672"
"Oct 05, 2022",$0.1787,$0.1821,$0.1592,$0.1737,"$11,164","$49,164,659"
"Oct 04, 2022",$0.1727,$0.1791,$0.1703,$0.1787,"$43,164","$50,599,679"
"Oct 03, 2022",$0.1697,$0.1749,$0.1614,$0.1727,"$19,931","$48,900,096"
"Oct 02, 2022",$0.1552,$0.1721,$0.1535,$0.1697,"$1,841","$48,044,958"
"Oct 01, 2022",$0.1581,$0.1584,$0.1544,$0.1552,"$58,935","$43,926,576"
"Sep 30, 2022",$0.1711,$0.1738,$0.157,$0.1581,"$86,995","$44,752,857"
"Sep 29, 2022",$0.1729,$0.1744,$0.1673,$0.1711,"$39,874","$48,433,723"
"Sep 28, 2022",$0.1607,$0.1739,$0.156,$0.1729,"$86,445","$48,951,868"
"Sep 27, 2022",$0.1647,$0.1739,$0.159,$0.1607,"$101,191","$45,498,383"
"Sep 26, 2022",$0.1537,$0.1696,$0.1505,$0.1647,"$29,998","$46,632,119"
"Sep 25, 2022",$0.1544,$0.1566,$0.1506,$0.1537,"$109,411","$43,507,757"
"Sep 24, 2022",$0.1566,$0.1585,$0.1507,$0.1544,"$32,479","$43,713,643"
"Sep 23, 2022",$0.1627,$0.1631,$0.1517,$0.1566,"$11,183","$44,338,313"
"Sep 22, 2022",$0.1551,$0.1639,$0.154,$0.1627,"$18,202","$46,051,802"
"Sep 21, 2022",$0.1514,$0.1645,$0.1513,$0.1552,"$64,871","$43,949,357"
"Sep 20, 2022",$0.1571,$0.1582,$0.1509,$0.1514,"$85,156","$42,864,114"
"Sep 19, 2022",$0.1589,$0.1589,$0.1478,$0.1571,"$49,057","$44,483,500"
"Sep 18, 2022",$0.1677,$0.1678,$0.1564,$0.1589,"$15,532","$44,980,947"
"Sep 17, 2022",$0.1648,$0.168,$0.1639,$0.1677,"$57,734","$47,473,221"
"Sep 16, 2022",$0.1649,$0.1657,$0.1568,$0.1647,"$55,155","$46,635,094"
"Sep 15, 2022",$0.1694,$0.1701,$0.1623,$0.1649,"$53,285","$46,685,010"
"Sep 14, 2022",$0.1668,$0.1702,$0.1528,$0.1694,"$49,484","$47,963,968"
"Sep 13, 2022",$0.1749,$0.1762,$0.1376,$0.1588,"$38,180","$44,956,419"
"Sep 12, 2022",$0.1733,$0.1773,$0.1687,$0.1749,"$7,171","$49,503,135"
"Sep 11, 2022",$0.1726,$0.1733,$0.1698,$0.1733,"$100,861","$49,056,968"
"Sep 10, 2022",$0.1699,$0.1734,$0.1664,$0.1726,"$29,250","$48,857,044"
"Sep 09, 2022",$0.1535,$0.1709,$0.153,$0.17,"$123,780","$48,121,847"
"Sep 08, 2022",$0.1532,$0.1547,$0.1515,$0.1535,"$24,436","$43,450,291"
"Sep 07, 2022",$0.1497,$0.1543,$0.1481,$0.1532,"$16,499","$43,361,476"
"Sep 06, 2022",$0.1645,$0.1671,$0.1493,$0.1497,"$16,412","$42,371,316"
"Sep 05, 2022",$0.166,$0.1663,$0.1633,$0.1645,"$56,495","$46,571,926"
"Sep 04, 2022",$0.1647,$0.1661,$0.1631,$0.166,"$57,174","$46,984,543"
"Sep 03, 2022",$0.1658,$0.1664,$0.1636,$0.1647,"$55,058","$46,620,187"
"Sep 02, 2022",$0.1672,$0.1694,$0.1645,$0.1658,"$66,515","$46,939,536"
"Sep 01, 2022",$0.1665,$0.1697,$0.1632,$0.1672,"$36,447","$47,326,390"
"Aug 31, 2022",$0.1585,$0.1703,$0.1567,$0.1665,"$44,223","$47,136,740"
"Aug 30, 2022",$0.1626,$0.1721,$0.1551,$0.1585,"$115,541","$44,866,337"
"Aug 29, 2022",$0.1491,$0.171,$0.149,$0.1626,"$55,925","$46,039,752"
"Aug 28, 2022",$0.1523,$0.1531,$0.1491,$0.1491,"$107,635","$42,205,663"
"Aug 27, 2022",$0.154,$0.1546,$0.1512,$0.1523,"$109,692","$43,120,126"
"Aug 26, 2022",$0.1641,$0.1657,$0.1535,$0.154,"$110,690","$43,589,637"
"Aug 25, 2022",$0.1626,$0.1656,$0.1623,$0.1642,"$120,225","$46,474,644"
"Aug 24, 2022",$0.1636,$0.1655,$0.1611,$0.1626,"$96,274","$46,031,108"
"Aug 23, 2022",$0.1624,$0.1663,$0.1599,$0.1636,"$41,280","$46,316,346"
"Aug 22, 2022",$0.1614,$0.1633,$0.1522,$0.1623,"$4,214","$45,957,394"
"Aug 21, 2022",$0.1586,$0.1624,$0.1582,$0.1614,"$116,855","$45,701,447"
"Aug 20, 2022",$0.1565,$0.1601,$0.1564,$0.1587,"$114,828","$44,920,654"
"Aug 19, 2022",$0.174,$0.174,$0.1564,$0.1565,"$113,284","$44,308,366"
"Aug 18, 2022",$0.175,$0.1766,$0.1737,$0.174,"$124,208","$49,263,464"
"Aug 17, 2022",$0.1789,$0.1829,$0.1742,$0.1749,"$90,775","$49,518,380"
"Aug 16, 2022",$0.1805,$0.1814,$0.1777,$0.1789,"$58,292","$50,658,866"
"Aug 15, 2022",$0.182,$0.1881,$0.1769,$0.1806,"$24,743","$51,123,901"
"Aug 14, 2022",$0.1806,$0.1871,$0.1781,$0.182,"$28,195","$51,525,092"
"Aug 13, 2022",$0.1781,$0.1835,$0.1777,$0.1806,"$49,613","$51,127,187"
"Aug 12, 2022",$0.1749,$0.1782,$0.1727,$0.1781,"$63,302","$50,421,428"
