Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.02576,$0.02579,$0.02438,$0.02506,"$475,804","$8,580,941"
"Dec 30, 2022",$0.0263,$0.02642,$0.0256,$0.02575,"$388,824","$8,803,264"
"Dec 29, 2022",$0.02695,$0.02723,$0.02618,$0.0263,"$387,206","$8,975,181"
"Dec 28, 2022",$0.02719,$0.02732,$0.0268,$0.02692,"$350,184","$9,169,475"
"Dec 27, 2022",$0.02712,$0.02722,$0.02695,$0.02717,"$336,576","$9,239,440"
"Dec 26, 2022",$0.02712,$0.02726,$0.02695,$0.02713,"$341,583","$9,213,206"
"Dec 25, 2022",$0.02722,$0.02731,$0.02696,$0.02712,"$342,501","$9,194,255"
"Dec 24, 2022",$0.02799,$0.02809,$0.02691,$0.02723,"$374,570","$9,213,687"
"Dec 23, 2022",$0.02816,$0.02837,$0.02773,$0.028,"$353,760","$9,457,888"
"Dec 22, 2022",$0.02813,$0.02845,$0.02778,$0.02816,"$399,669","$9,497,705"
"Dec 21, 2022",$0.02868,$0.0289,$0.0281,$0.02813,"$366,703","$9,470,628"
"Dec 20, 2022",$0.0289,$0.0295,$0.02845,$0.02868,"$464,274","$9,639,990"
"Dec 19, 2022",$0.02947,$0.02975,$0.02861,$0.0289,"$527,403","$9,697,471"
"Dec 18, 2022",$0.02975,$0.03016,$0.0294,$0.02948,"$211,282","$9,875,864"
"Dec 17, 2022",$0.02725,$0.02986,$0.02706,$0.02977,"$501,027","$9,957,198"
"Dec 16, 2022",$0.03077,$0.03135,$0.02719,$0.02724,"$541,940","$9,095,333"
"Dec 15, 2022",$0.03018,$0.03097,$0.03,$0.03078,"$437,121","$10,260,174"
"Dec 14, 2022",$0.0326,$0.0327,$0.02981,$0.03019,"$533,422","$10,044,998"
"Dec 13, 2022",$0.03354,$0.03366,$0.03248,$0.03255,"$451,039","$10,810,611"
"Dec 12, 2022",$0.03485,$0.03493,$0.0332,$0.03356,"$409,939","$11,128,965"
"Dec 11, 2022",$0.0335,$0.03508,$0.03298,$0.03484,"$1,202,515","$11,531,851"
"Dec 10, 2022",$0.0327,$0.03365,$0.03248,$0.03351,"$353,578","$11,074,690"
"Dec 09, 2022",$0.03469,$0.03989,$0.03267,$0.0327,"$914,906","$10,788,626"
"Dec 08, 2022",$0.03013,$0.03469,$0.03012,$0.03469,"$712,664","$11,425,182"
"Dec 07, 2022",$0.03022,$0.03033,$0.02955,$0.03016,"$433,954","$9,680,432"
"Dec 06, 2022",$0.02907,$0.03072,$0.02869,$0.03021,"$512,175","$9,695,955"
"Dec 05, 2022",$0.02889,$0.02987,$0.02887,$0.02906,"$916,867","$9,329,349"
"Dec 04, 2022",$0.02691,$0.02897,$0.02687,$0.02891,"$1,582,372","$9,279,160"
"Dec 03, 2022",$0.02888,$0.02894,$0.02639,$0.02694,"$1,712,265","$8,648,574"
"Dec 02, 2022",$0.02598,$0.02929,$0.02563,$0.02888,"$1,717,994","$9,270,843"
"Dec 01, 2022",$0.02703,$0.02709,$0.02589,$0.02599,"$1,376,640","$8,343,088"
"Nov 30, 2022",$0.0279,$0.02794,$0.02651,$0.02705,"$284,953","$8,681,708"
"Nov 29, 2022",$0.0279,$0.02832,$0.02772,$0.02792,"$224,908","$8,961,881"
"Nov 28, 2022",$0.02892,$0.0292,$0.02781,$0.02788,"$270,698","$8,948,994"
"Nov 27, 2022",$0.02892,$0.02927,$0.02866,$0.02892,"$225,163","$9,284,239"
"Nov 26, 2022",$0.02851,$0.02931,$0.02847,$0.02891,"$489,310","$9,281,057"
"Nov 25, 2022",$0.02893,$0.02893,$0.02839,$0.02851,"$652,589","$9,149,710"
"Nov 24, 2022",$0.02859,$0.02926,$0.02855,$0.02892,"$689,775","$9,282,476"
"Nov 23, 2022",$0.02767,$0.02881,$0.02753,$0.0286,"$730,646","$9,175,543"
"Nov 22, 2022",$0.02756,$0.02781,$0.02713,$0.02768,"$1,286,885","$8,863,899"
"Nov 21, 2022",$0.02945,$0.02946,$0.02744,$0.02755,"$1,360,563","$8,807,583"
"Nov 20, 2022",$0.02917,$0.03003,$0.02874,$0.02943,"$1,372,608","$9,391,760"
