Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$3.27,$3.45,$3.21,$3.30,"$3,159,858","$26,093,311"
"Dec 30, 2022",$3.29,$3.32,$3.22,$3.27,"$1,296,475","$25,811,272"
"Dec 29, 2022",$3.28,$3.36,$3.24,$3.29,"$1,756,923","$26,005,340"
"Dec 28, 2022",$3.46,$3.47,$3.27,$3.28,"$2,200,214","$25,924,645"
"Dec 27, 2022",$3.56,$3.56,$3.45,$3.46,"$1,887,316","$27,356,910"
"Dec 26, 2022",$3.50,$3.56,$3.47,$3.56,"$5,928,354","$28,154,893"
"Dec 25, 2022",$3.59,$3.64,$3.49,$3.50,"$2,473,023","$27,685,368"
"Dec 24, 2022",$3.50,$3.64,$3.50,$3.59,"$3,358,955","$28,377,430"
"Dec 23, 2022",$3.48,$3.52,$3.46,$3.50,"$1,923,929","$27,659,491"
"Dec 22, 2022",$3.51,$3.53,$3.40,$3.47,"$2,542,971","$27,430,512"
"Dec 21, 2022",$3.58,$3.59,$3.48,$3.51,"$2,531,835","$27,675,304"
"Dec 20, 2022",$3.46,$3.67,$3.45,$3.58,"$3,792,519","$28,098,755"
"Dec 19, 2022",$3.60,$3.81,$3.44,$3.46,"$12,510,945","$34,302,334"
"Dec 18, 2022",$3.51,$3.96,$3.43,$3.60,"$9,231,492","$35,758,297"
"Dec 17, 2022",$3.49,$3.54,$3.40,$3.51,"$3,085,175","$34,859,706"
"Dec 16, 2022",$3.75,$3.78,$3.46,$3.49,"$3,710,860","$34,651,345"
"Dec 15, 2022",$3.82,$3.82,$3.74,$3.75,"$2,652,892","$37,221,079"
"Dec 14, 2022",$3.85,$3.92,$3.77,$3.82,"$4,570,059","$37,921,334"
"Dec 13, 2022",$3.89,$3.93,$3.71,$3.85,"$5,794,092","$38,241,419"
"Dec 12, 2022",$3.98,$3.98,$3.84,$3.89,"$2,936,192","$38,561,657"
"Dec 11, 2022",$4.03,$4.13,$3.97,$3.98,"$3,405,736","$39,444,808"
"Dec 10, 2022",$3.97,$4.16,$3.95,$4.03,"$5,346,633","$39,967,410"
"Dec 09, 2022",$3.92,$4.03,$3.92,$3.97,"$8,228,987","$39,403,670"
"Dec 08, 2022",$3.90,$3.98,$3.84,$3.93,"$3,151,795","$38,945,312"
"Dec 07, 2022",$4.01,$4.11,$3.87,$3.90,"$8,046,912","$38,694,620"
"Dec 06, 2022",$3.98,$4.07,$3.97,$4.01,"$6,542,748","$39,783,034"
"Dec 05, 2022",$4.12,$4.27,$3.97,$3.98,"$4,914,670","$39,515,116"
"Dec 04, 2022",$3.96,$4.34,$3.96,$4.12,"$13,716,422","$40,912,150"
"Dec 03, 2022",$4.00,$4.11,$3.94,$3.96,"$4,178,400","$39,306,867"
"Dec 02, 2022",$3.93,$4.08,$3.88,$4.00,"$4,049,817","$39,675,165"
"Dec 01, 2022",$4.02,$4.09,$3.90,$3.93,"$4,545,122","$39,012,332"
"Nov 30, 2022",$3.80,$4.11,$3.80,$4.01,"$9,105,855","$39,810,968"
"Nov 29, 2022",$3.76,$3.93,$3.73,$3.80,"$3,121,675","$37,682,765"
"Nov 28, 2022",$3.86,$3.88,$3.73,$3.76,"$3,389,557","$37,249,524"
"Nov 27, 2022",$3.97,$4.03,$3.86,$3.86,"$2,973,920","$38,269,440"
"Nov 26, 2022",$3.96,$4.08,$3.92,$3.97,"$6,095,784","$39,398,640"
"Nov 25, 2022",$4.00,$4.25,$3.92,$3.95,"$13,148,707","$39,175,386"
"Nov 24, 2022",$3.80,$4.17,$3.76,$4.00,"$8,852,752","$39,648,380"
"Nov 23, 2022",$3.72,$3.91,$3.71,$3.80,"$4,772,406","$37,720,208"
"Nov 22, 2022",$3.76,$3.81,$3.65,$3.72,"$7,264,636","$36,857,767"
"Nov 21, 2022",$3.67,$4.49,$3.63,$3.76,"$39,567,473","$37,323,187"
"Nov 20, 2022",$3.63,$3.88,$3.61,$3.67,"$6,442,092","$36,416,219"
"Nov 19, 2022",$3.73,$3.73,$3.60,$3.64,"$1,864,432","$36,050,598"
"Nov 18, 2022",$3.60,$3.73,$3.60,$3.73,"$2,149,827","$36,965,587"
"Nov 17, 2022",$3.69,$3.69,$3.59,$3.60,"$1,940,523","$35,671,827"
"Nov 16, 2022",$3.73,$3.76,$3.56,$3.69,"$2,251,442","$36,553,185"
"Nov 15, 2022",$3.69,$3.78,$3.68,$3.73,"$3,213,664","$36,944,304"
"Nov 14, 2022",$3.76,$3.79,$3.54,$3.69,"$4,158,288","$36,574,948"
"Nov 13, 2022",$4.34,$4.36,$3.69,$3.76,"$9,073,999","$37,252,096"
"Nov 12, 2022",$3.62,$4.75,$3.62,$4.33,"$35,137,213","$42,925,799"
