Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.000969,$0.00115,$0.0009185,$0.001048,"$748,246","$7,807,543"
"Dec 30, 2022",$0.0009739,$0.00101,$0.000903,$0.0009703,"$36,658","$7,227,877"
"Dec 29, 2022",$0.0009647,$0.001215,$0.0009311,$0.000974,"$421,363","$7,255,402"
"Dec 28, 2022",$0.0009877,$0.001004,$0.0009189,$0.0009647,"$77,455","$7,186,459"
"Dec 27, 2022",$0.001009,$0.001015,$0.0009523,$0.0009877,"$86,433","$7,357,601"
"Dec 26, 2022",$0.0009905,$0.001012,$0.0009295,$0.001009,"$101,138","$7,518,331"
"Dec 25, 2022",$0.001,$0.001057,$0.000947,$0.0009905,"$247,034","$7,378,597"
"Dec 24, 2022",$0.001013,$0.001019,$0.0009511,$0.001,"$176,399","$7,451,995"
"Dec 23, 2022",$0.000998,$0.001107,$0.000972,$0.001013,"$409,106","$7,546,094"
"Dec 22, 2022",$0.001009,$0.001056,$0.0009585,$0.0009977,"$131,330","$7,431,964"
"Dec 21, 2022",$0.001022,$0.001055,$0.0009717,$0.001008,"$73,021","$7,510,809"
"Dec 20, 2022",$0.0009957,$0.001032,$0.0009721,$0.001022,"$50,709","$7,616,809"
"Dec 19, 2022",$0.001015,$0.001032,$0.0009736,$0.0009957,"$78,424","$7,417,362"
"Dec 18, 2022",$0.0009704,$0.001058,$0.0009691,$0.001016,"$60,035","$7,569,891"
"Dec 17, 2022",$0.0009924,$0.001044,$0.0009696,$0.0009704,"$103,801","$7,228,867"
"Dec 16, 2022",$0.001116,$0.001117,$0.0009848,$0.0009924,"$160,745","$7,392,600"
"Dec 15, 2022",$0.001074,$0.001228,$0.001049,$0.001116,"$746,303","$8,315,147"
"Dec 14, 2022",$0.001055,$0.001162,$0.001049,$0.001074,"$35,374","$8,002,530"
"Dec 13, 2022",$0.001108,$0.001108,$0.001048,$0.001055,"$39,463","$7,855,976"
"Dec 12, 2022",$0.001082,$0.00111,$0.00104,$0.001108,"$28,621","$8,250,627"
"Dec 11, 2022",$0.001091,$0.001102,$0.001044,$0.001082,"$42,024","$8,057,527"
"Dec 10, 2022",$0.001022,$0.001142,$0.001022,$0.001091,"$117,277","$8,127,110"
"Dec 09, 2022",$0.001019,$0.0011,$0.001013,$0.001022,"$71,322","$7,615,298"
"Dec 08, 2022",$0.001062,$0.001082,$0.00101,$0.001019,"$79,040","$7,592,182"
"Dec 07, 2022",$0.001024,$0.001088,$0.0009953,$0.001062,"$29,024","$7,913,543"
"Dec 06, 2022",$0.00108,$0.001099,$0.001014,$0.001024,"$63,560","$7,628,002"
"Dec 05, 2022",$0.001083,$0.001106,$0.001038,$0.001081,"$101,119","$8,049,077"
"Dec 04, 2022",$0.001029,$0.001105,$0.001029,$0.001083,"$72,140","$8,066,668"
"Dec 03, 2022",$0.001113,$0.001113,$0.00102,$0.001029,"$19,704","$7,664,978"
"Dec 02, 2022",$0.001081,$0.001113,$0.001012,$0.001113,"$67,226","$8,288,629"
"Dec 01, 2022",$0.001038,$0.001081,$0.001029,$0.001081,"$25,745","$8,051,368"
"Nov 30, 2022",$0.001007,$0.001112,$0.001007,$0.001038,"$53,668","$7,735,774"
"Nov 29, 2022",$0.0009988,$0.001056,$0.0009927,$0.001007,"$30,376","$7,498,658"
"Nov 28, 2022",$0.001063,$0.001064,$0.000988,$0.0009989,"$30,021","$7,441,083"
"Nov 27, 2022",$0.001047,$0.001067,$0.001024,$0.001063,"$18,487","$7,921,784"
"Nov 26, 2022",$0.001062,$0.001127,$0.001022,$0.001047,"$32,708","$7,802,635"
"Nov 25, 2022",$0.001011,$0.001066,$0.0009964,$0.001062,"$50,732","$7,911,125"
"Nov 24, 2022",$0.001014,$0.001058,$0.001007,$0.001011,"$60,947","$7,531,213"
"Nov 23, 2022",$0.001011,$0.001054,$0.000967,$0.001013,"$55,248","$7,544,469"
"Nov 22, 2022",$0.001026,$0.00106,$0.0009626,$0.001011,"$21,370","$7,532,127"
"Nov 21, 2022",$0.001026,$0.001062,$0.0009856,$0.001026,"$126,006","$7,643,921"
"Nov 20, 2022",$0.001099,$0.001112,$0.00101,$0.001026,"$68,454","$7,645,417"
"Nov 19, 2022",$0.001079,$0.00112,$0.001055,$0.001099,"$39,529","$8,185,991"
"Nov 18, 2022",$0.001038,$0.001123,$0.0009998,$0.001079,"$125,454","$8,039,758"
"Nov 17, 2022",$0.001029,$0.001052,$0.0009739,$0.001038,"$24,066","$7,733,593"
"Nov 16, 2022",$0.001067,$0.001127,$0.001013,$0.001029,"$69,039","$7,667,653"
"Nov 15, 2022",$0.0009712,$0.001087,$0.0009702,$0.001067,"$80,058","$7,950,208"
"Nov 14, 2022",$0.001058,$0.001058,$0.0009128,$0.000971,"$183,887","$7,233,137"
"Nov 13, 2022",$0.001097,$0.001127,$0.001,$0.001043,"$124,522","$7,771,780"
"Nov 12, 2022",$0.001123,$0.001135,$0.001064,$0.001097,"$31,253","$8,172,082"
"Nov 11, 2022",$0.00114,$0.001218,$0.001059,$0.001123,"$59,733","$8,363,254"
"Nov 10, 2022",$0.0009633,$0.001204,$0.0009589,$0.00114,"$178,887","$8,490,566"
"Nov 09, 2022",$0.001266,$0.001268,$0.000933,$0.0009633,"$397,008","$7,175,624"
"Nov 08, 2022",$0.001416,$0.001419,$0.001207,$0.001266,"$396,281","$9,432,197"
"Nov 07, 2022",$0.001456,$0.001457,$0.001382,$0.001417,"$47,119","$10,554,072"
"Nov 06, 2022",$0.001447,$0.001504,$0.001375,$0.001456,"$445,816","$10,849,177"
"Nov 05, 2022",$0.001353,$0.001483,$0.001348,$0.001447,"$294,875","$10,779,059"
"Nov 04, 2022",$0.001332,$0.001429,$0.001289,$0.001353,"$253,406","$10,078,523"
"Nov 03, 2022",$0.001334,$0.00135,$0.001284,$0.001332,"$232,243","$9,920,773"
"Nov 02, 2022",$0.001378,$0.001412,$0.001296,$0.001334,"$267,962","$9,934,824"
"Nov 01, 2022",$0.001367,$0.001417,$0.001305,$0.001378,"$288,059","$10,261,907"
"Oct 31, 2022",$0.001361,$0.001381,$0.001297,$0.001365,"$285,221","$10,165,934"
"Oct 30, 2022",$0.001394,$0.00141,$0.001346,$0.001361,"$259,567","$10,141,606"
"Oct 29, 2022",$0.001394,$0.001414,$0.001303,$0.001395,"$256,976","$10,388,959"
"Oct 28, 2022",$0.001375,$0.001395,$0.001297,$0.001394,"$249,458","$10,387,828"
"Oct 27, 2022",$0.001413,$0.001415,$0.001318,$0.001376,"$246,875","$10,246,915"
"Oct 26, 2022",$0.001354,$0.001427,$0.001326,$0.001413,"$315,960","$10,527,953"
"Oct 25, 2022",$0.001367,$0.001429,$0.001294,$0.001355,"$672,124","$10,092,435"
"Oct 24, 2022",$0.001341,$0.001397,$0.001266,$0.001364,"$440,824","$10,161,942"
"Oct 23, 2022",$0.001333,$0.001409,$0.001321,$0.001341,"$340,012","$9,991,799"
"Oct 22, 2022",$0.001315,$0.001392,$0.001263,$0.001333,"$228,667","$9,933,095"
"Oct 21, 2022",$0.00132,$0.00134,$0.001213,$0.001315,"$194,512","$9,794,042"
"Oct 20, 2022",$0.001389,$0.001468,$0.001249,$0.00132,"$875,983","$9,833,554"
"Oct 19, 2022",$0.001448,$0.001464,$0.001378,$0.001389,"$263,026","$10,343,912"
"Oct 18, 2022",$0.001493,$0.001495,$0.001445,$0.001448,"$325,784","$10,785,034"
"Oct 17, 2022",$0.00147,$0.001508,$0.001443,$0.001493,"$309,644","$11,119,057"
"Oct 16, 2022",$0.001502,$0.001504,$0.001444,$0.001471,"$265,736","$10,954,804"
"Oct 15, 2022",$0.001477,$0.001535,$0.001458,$0.001502,"$535,606","$11,187,283"
"Oct 14, 2022",$0.001493,$0.001529,$0.001458,$0.001477,"$276,059","$11,004,581"
"Oct 13, 2022",$0.00156,$0.001567,$0.001427,$0.001493,"$355,827","$11,119,932"
"Oct 12, 2022",$0.001514,$0.001564,$0.001502,$0.00156,"$346,968","$11,623,949"
"Oct 11, 2022",$0.001533,$0.001563,$0.001507,$0.001512,"$319,815","$11,263,729"
"Oct 10, 2022",$0.001599,$0.001611,$0.001533,$0.001533,"$422,270","$11,422,086"
"Oct 09, 2022",$0.001597,$0.00163,$0.001568,$0.001599,"$469,703","$11,911,244"
"Oct 08, 2022",$0.001591,$0.001642,$0.001545,$0.001597,"$407,731","$11,899,440"
"Oct 07, 2022",$0.001617,$0.001655,$0.001581,$0.001589,"$365,307","$11,839,223"
"Oct 06, 2022",$0.001613,$0.001738,$0.001551,$0.001617,"$444,395","$12,044,651"
"Oct 05, 2022",$0.001604,$0.001651,$0.001519,$0.001613,"$267,480","$12,012,620"
"Oct 04, 2022",$0.001643,$0.001645,$0.001528,$0.001604,"$98,254","$11,948,043"
"Oct 03, 2022",$0.001549,$0.001661,$0.001539,$0.001643,"$193,429","$12,235,496"
"Oct 02, 2022",$0.001529,$0.001747,$0.001511,$0.001549,"$419,149","$11,542,084"
"Oct 01, 2022",$0.001604,$0.001705,$0.001507,$0.001515,"$123,760","$11,284,905"
"Sep 30, 2022",$0.001563,$0.001644,$0.001483,$0.001603,"$103,230","$11,941,545"
"Sep 29, 2022",$0.001616,$0.00162,$0.001485,$0.001563,"$148,049","$11,639,998"
"Sep 28, 2022",$0.001638,$0.001638,$0.001527,$0.001616,"$88,445","$12,037,821"
"Sep 27, 2022",$0.001623,$0.001736,$0.001525,$0.001639,"$620,969","$12,206,516"
"Sep 26, 2022",$0.001653,$0.001727,$0.001572,$0.001623,"$232,948","$12,089,923"
"Sep 25, 2022",$0.001694,$0.001768,$0.001543,$0.001649,"$244,921","$12,283,924"
"Sep 24, 2022",$0.001684,$0.001717,$0.001561,$0.001694,"$137,145","$12,621,707"
"Sep 23, 2022",$0.00169,$0.001721,$0.001602,$0.001684,"$90,150","$12,547,043"
"Sep 22, 2022",$0.001652,$0.001696,$0.001607,$0.001689,"$58,492","$12,584,957"
"Sep 21, 2022",$0.001686,$0.001717,$0.001632,$0.001652,"$147,914","$12,306,292"
"Sep 20, 2022",$0.001741,$0.001754,$0.001616,$0.001686,"$83,112","$12,561,517"
"Sep 19, 2022",$0.001698,$0.001759,$0.001624,$0.001741,"$203,516","$12,972,597"
"Sep 18, 2022",$0.001798,$0.001973,$0.001672,$0.001698,"$590,411","$12,647,329"
"Sep 17, 2022",$0.001784,$0.001846,$0.001754,$0.001798,"$141,284","$13,391,109"
"Sep 16, 2022",$0.001752,$0.001811,$0.001729,$0.001784,"$184,264","$13,287,513"
"Sep 15, 2022",$0.001782,$0.001863,$0.001721,$0.001752,"$366,885","$13,052,272"
"Sep 14, 2022",$0.001677,$0.002059,$0.001666,$0.001781,"$2,627,395","$13,270,525"
"Sep 13, 2022",$0.001884,$0.001916,$0.001664,$0.001716,"$309,575","$12,784,210"
"Sep 12, 2022",$0.001837,$0.001913,$0.001768,$0.0019,"$239,634","$14,152,584"
"Sep 11, 2022",$0.00183,$0.001873,$0.001751,$0.001837,"$135,185","$13,685,556"
"Sep 10, 2022",$0.001764,$0.002042,$0.001751,$0.00183,"$232,079","$13,635,613"
"Sep 09, 2022",$0.001729,$0.001798,$0.001706,$0.001764,"$137,904","$13,139,386"
"Sep 08, 2022",$0.001648,$0.001764,$0.001617,$0.001729,"$180,356","$12,879,938"
"Sep 07, 2022",$0.001581,$0.002045,$0.001546,$0.001648,"$370,688","$12,274,956"
"Sep 06, 2022",$0.001655,$0.001736,$0.001558,$0.001581,"$180,747","$11,775,393"
"Sep 05, 2022",$0.001685,$0.001704,$0.001611,$0.001655,"$96,226","$12,325,012"
"Sep 04, 2022",$0.001674,$0.001721,$0.001634,$0.001686,"$152,022","$12,561,315"
"Sep 03, 2022",$0.001755,$0.001771,$0.001658,$0.001674,"$563,801","$12,473,278"
"Sep 02, 2022",$0.002322,$0.002426,$0.001714,$0.001753,"$4,639,385","$13,059,238"
"Sep 01, 2022",$0.001885,$0.002344,$0.001807,$0.002321,"$1,289,077","$17,291,309"
"Aug 31, 2022",$0.001914,$0.001945,$0.001878,$0.001886,"$247,955","$14,048,921"
"Aug 30, 2022",$0.001934,$0.002013,$0.001891,$0.001897,"$431,118","$14,128,981"
"Aug 29, 2022",$0.001924,$0.002149,$0.001864,$0.001934,"$452,908","$14,408,153"
"Aug 28, 2022",$0.001958,$0.002003,$0.001905,$0.001924,"$29,771","$14,333,556"
"Aug 27, 2022",$0.001969,$0.001999,$0.001912,$0.001958,"$29,440","$14,583,404"
"Aug 26, 2022",$0.002043,$0.002079,$0.001932,$0.001969,"$322,178","$14,669,636"
"Aug 25, 2022",$0.002033,$0.002096,$0.001969,$0.002043,"$245,231","$15,216,848"
"Aug 24, 2022",$0.002036,$0.002059,$0.001957,$0.002032,"$298,779","$15,135,523"
"Aug 23, 2022",$0.00204,$0.002117,$0.001955,$0.002036,"$321,378","$15,164,867"
"Aug 22, 2022",$0.00204,$0.002091,$0.001934,$0.00204,"$79,135","$15,195,120"
"Aug 21, 2022",$0.00209,$0.002109,$0.001996,$0.00204,"$111,387","$15,194,550"
"Aug 20, 2022",$0.001929,$0.002131,$0.001861,$0.00209,"$362,378","$15,568,330"
"Aug 19, 2022",$0.002362,$0.002366,$0.001869,$0.001928,"$597,131","$14,365,556"
"Aug 18, 2022",$0.002343,$0.002435,$0.00228,$0.002362,"$390,190","$17,598,063"
"Aug 17, 2022",$0.00232,$0.002481,$0.002312,$0.002327,"$382,599","$17,336,629"
"Aug 16, 2022",$0.002255,$0.002457,$0.002244,$0.00232,"$417,967","$17,279,303"
"Aug 15, 2022",$0.002492,$0.002625,$0.002226,$0.002256,"$320,371","$16,806,452"
"Aug 14, 2022",$0.002684,$0.002728,$0.002468,$0.002492,"$77,063","$18,565,025"
"Aug 13, 2022",$0.002592,$0.002692,$0.002515,$0.002684,"$141,366","$19,991,333"
"Aug 12, 2022",$0.002469,$0.002637,$0.002459,$0.002592,"$110,869","$19,306,211"
"Aug 11, 2022",$0.002632,$0.002697,$0.002473,$0.002545,"$251,864","$18,954,794"
"Aug 10, 2022",$0.002361,$0.002721,$0.002243,$0.00254,"$925,953","$18,920,603"
"Aug 09, 2022",$0.002355,$0.002404,$0.002257,$0.002361,"$272,571","$17,591,026"
"Aug 08, 2022",$0.002281,$0.00248,$0.002222,$0.002356,"$603,388","$17,547,156"
"Aug 07, 2022",$0.002201,$0.002368,$0.00212,$0.002281,"$486,214","$16,988,454"
"Aug 06, 2022",$0.002099,$0.002228,$0.002014,$0.002194,"$511,336","$16,344,493"
"Aug 05, 2022",$0.002072,$0.002186,$0.002017,$0.002099,"$512,776","$15,638,444"
"Aug 04, 2022",$0.002088,$0.002138,$0.00204,$0.002072,"$390,416","$15,437,397"
"Aug 03, 2022",$0.002062,$0.00216,$0.001958,$0.002089,"$365,665","$15,558,389"
"Aug 02, 2022",$0.002066,$0.002098,$0.00199,$0.002062,"$729,243","$15,357,036"
"Aug 01, 2022",$0.002084,$0.002111,$0.001942,$0.002066,"$457,301","$15,389,561"
"Jul 31, 2022",$0.002083,$0.002137,$0.001946,$0.002083,"$68,004","$15,519,595"
"Jul 30, 2022",$0.002055,$0.002108,$0.002015,$0.002083,"$104,218","$15,520,174"
"Jul 29, 2022",$0.002042,$0.002134,$0.001971,$0.00201,"$158,318","$14,976,576"
"Jul 28, 2022",$0.00202,$0.002066,$0.00194,$0.002042,"$172,723","$14,575,201"
"Jul 27, 2022",$0.002036,$0.002075,$0.001925,$0.00202,"$147,404","$14,265,618"
"Jul 26, 2022",$0.002096,$0.002116,$0.001793,$0.002036,"$126,238","$14,381,295"
"Jul 25, 2022",$0.002169,$0.002182,$0.001961,$0.002096,"$179,218","$14,807,371"
"Jul 24, 2022",$0.002066,$0.00219,$0.002016,$0.002168,"$70,500","$15,315,181"
"Jul 23, 2022",$0.002108,$0.002134,$0.002031,$0.002066,"$104,382","$14,590,427"
"Jul 22, 2022",$0.002085,$0.002301,$0.001961,$0.002108,"$516,270","$14,889,356"
"Jul 21, 2022",$0.001939,$0.002231,$0.00189,$0.002086,"$508,530","$14,731,017"
"Jul 20, 2022",$0.002013,$0.002063,$0.001926,$0.001939,"$178,186","$13,696,102"
"Jul 19, 2022",$0.001901,$0.002015,$0.00187,$0.002013,"$178,417","$14,217,506"
"Jul 18, 2022",$0.001874,$0.001969,$0.001762,$0.001902,"$189,930","$13,433,867"
"Jul 17, 2022",$0.001967,$0.002022,$0.001767,$0.001873,"$230,439","$13,229,493"
"Jul 16, 2022",$0.00192,$0.002018,$0.001882,$0.001967,"$273,381","$13,895,995"
"Jul 15, 2022",$0.0019,$0.001938,$0.00185,$0.00192,"$32,775","$13,564,131"
"Jul 14, 2022",$0.001871,$0.001931,$0.001806,$0.0019,"$71,439","$13,421,355"
"Jul 13, 2022",$0.001815,$0.001883,$0.001754,$0.001871,"$91,141","$13,215,954"
"Jul 12, 2022",$0.001889,$0.00192,$0.001789,$0.001815,"$80,738","$12,821,042"
"Jul 11, 2022",$0.001885,$0.001952,$0.001829,$0.001873,"$126,968","$13,227,309"
"Jul 10, 2022",$0.002031,$0.002219,$0.001873,$0.001885,"$119,450","$13,315,855"
"Jul 09, 2022",$0.002056,$0.002078,$0.001964,$0.00203,"$51,231","$14,341,406"
"Jul 08, 2022",$0.002039,$0.002112,$0.00194,$0.002057,"$162,536","$14,526,525"
"Jul 07, 2022",$0.001967,$0.002246,$0.001876,$0.002039,"$207,976","$14,403,322"
"Jul 06, 2022",$0.001895,$0.002001,$0.00184,$0.001967,"$109,274","$13,891,557"
"Jul 05, 2022",$0.001958,$0.001969,$0.001808,$0.001894,"$75,792","$13,379,686"
"Jul 04, 2022",$0.001916,$0.001965,$0.001757,$0.001959,"$134,169","$13,836,073"
"Jul 03, 2022",$0.00182,$0.001927,$0.001806,$0.001923,"$35,118","$13,579,660"
"Jul 02, 2022",$0.001906,$0.001944,$0.001785,$0.00182,"$55,460","$12,853,608"
"Jul 01, 2022",$0.001921,$0.002003,$0.001839,$0.001906,"$165,278","$13,459,408"
"Jun 30, 2022",$0.001859,$0.00202,$0.001781,$0.001917,"$246,204","$13,538,511"
"Jun 29, 2022",$0.002058,$0.002191,$0.00185,$0.001859,"$329,702","$13,128,081"
"Jun 28, 2022",$0.002085,$0.002259,$0.001933,$0.002058,"$298,223","$14,535,604"
"Jun 27, 2022",$0.002121,$0.002151,$0.001936,$0.002085,"$366,173","$14,730,029"
"Jun 26, 2022",$0.002243,$0.002324,$0.00212,$0.002122,"$353,025","$14,987,162"
"Jun 25, 2022",$0.002264,$0.00229,$0.002028,$0.002247,"$704,771","$15,868,378"
"Jun 24, 2022",$0.00165,$0.002858,$0.001551,$0.002274,"$6,512,680","$16,064,938"
"Jun 23, 2022",$0.001532,$0.001966,$0.001485,$0.001649,"$360,198","$11,645,502"
"Jun 22, 2022",$0.001531,$0.00164,$0.001509,$0.001532,"$94,064","$10,822,157"
"Jun 21, 2022",$0.001536,$0.001717,$0.001508,$0.001531,"$145,008","$10,815,054"
"Jun 20, 2022",$0.001504,$0.001584,$0.001474,$0.001536,"$70,983","$10,849,470"
"Jun 19, 2022",$0.00148,$0.001519,$0.001376,$0.001505,"$166,861","$10,627,745"
"Jun 18, 2022",$0.00156,$0.001643,$0.001419,$0.00148,"$233,840","$10,457,333"
"Jun 17, 2022",$0.001552,$0.001662,$0.001467,$0.00156,"$189,114","$11,019,324"
"Jun 16, 2022",$0.0016,$0.001654,$0.001499,$0.001552,"$289,022","$10,960,119"
"Jun 15, 2022",$0.001528,$0.001603,$0.001393,$0.0016,"$235,143","$11,302,314"
"Jun 14, 2022",$0.001497,$0.001606,$0.001327,$0.001529,"$216,699","$10,800,156"
"Jun 13, 2022",$0.00178,$0.00178,$0.001477,$0.001497,"$221,749","$10,573,503"
"Jun 12, 2022",$0.001899,$0.001945,$0.001758,$0.00178,"$136,866","$12,574,675"
"Jun 11, 2022",$0.002136,$0.002188,$0.001846,$0.001898,"$250,625","$13,409,543"
"Jun 10, 2022",$0.00213,$0.002167,$0.00203,$0.002136,"$234,031","$15,085,256"
"Jun 09, 2022",$0.002194,$0.002293,$0.002115,$0.00213,"$279,113","$15,044,280"
"Jun 08, 2022",$0.002249,$0.003474,$0.002141,$0.002198,"$658,118","$15,528,726"
"Jun 07, 2022",$0.002255,$0.002276,$0.002167,$0.002262,"$215,842","$15,976,125"
"Jun 06, 2022",$0.002255,$0.002514,$0.00222,$0.002255,"$573,862","$15,929,674"
