Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.6796,$0.6796,$0.6487,$0.6546,"$1,679,179","$43,965,743"
"Dec 30, 2022",$0.696,$0.6974,$0.6348,$0.679,"$1,652,929","$45,599,387"
"Dec 29, 2022",$0.6904,$0.7043,$0.6853,$0.6961,"$1,545,076","$43,793,914"
"Dec 28, 2022",$0.6683,$0.7045,$0.6662,$0.6903,"$1,582,240","$43,428,588"
"Dec 27, 2022",$0.673,$0.7364,$0.6501,$0.6687,"$1,626,608","$63,240,485"
"Dec 26, 2022",$0.6882,$0.7053,$0.6435,$0.6734,"$1,545,334","$42,363,927"
"Dec 25, 2022",$0.6641,$0.7079,$0.6486,$0.6879,"$1,680,137","$43,621,780"
"Dec 24, 2022",$0.6702,$0.6732,$0.6582,$0.6641,"$1,459,032","$41,780,506"
"Dec 23, 2022",$0.676,$0.6816,$0.6493,$0.6699,"$1,511,074","$42,142,587"
"Dec 22, 2022",$0.7033,$0.7039,$0.6731,$0.676,"$1,442,174","$43,200,463"
"Dec 21, 2022",$0.6975,$0.7031,$0.6879,$0.699,"$1,459,959","$43,972,375"
"Dec 20, 2022",$0.6788,$0.7794,$0.6675,$0.6978,"$1,267,176","$43,895,638"
"Dec 19, 2022",$0.6726,$0.6872,$0.6584,$0.6771,"$1,438,038","$45,985,290"
"Dec 18, 2022",$0.6836,$0.6903,$0.6657,$0.6736,"$1,405,153","$42,373,664"
"Dec 17, 2022",$0.6813,$0.7026,$0.6648,$0.6807,"$1,458,516","$42,820,895"
"Dec 16, 2022",$0.6776,$0.6988,$0.6605,$0.6746,"$1,571,784","$43,116,473"
"Dec 15, 2022",$0.675,$0.7053,$0.6633,$0.6743,"$1,621,433","$42,419,302"
"Dec 14, 2022",$0.6014,$0.7675,$0.5859,$0.6726,"$1,775,505","$42,313,933"
"Dec 13, 2022",$0.5721,$0.6163,$0.5645,$0.6005,"$1,555,109","$37,775,043"
"Dec 12, 2022",$0.6411,$0.6482,$0.5511,$0.5691,"$1,713,062","$35,805,058"
"Dec 11, 2022",$0.6411,$0.6626,$0.6391,$0.6413,"$1,310,308","$40,665,876"
"Dec 10, 2022",$0.684,$0.6887,$0.634,$0.641,"$1,466,115","$40,326,209"
"Dec 09, 2022",$0.7453,$0.756,$0.6806,$0.684,"$1,457,507","$43,033,021"
"Dec 08, 2022",$0.726,$0.7708,$0.7227,$0.7449,"$1,639,695","$46,861,148"
"Dec 07, 2022",$0.7047,$0.808,$0.691,$0.7256,"$1,189,852","$49,278,118"
"Dec 06, 2022",$0.6702,$0.7797,$0.6645,$0.7045,"$1,545,523","$44,319,268"
"Dec 05, 2022",$0.7276,$0.7279,$0.6493,$0.6702,"$1,552,402","$42,161,553"
"Dec 04, 2022",$0.7895,$0.7898,$0.7145,$0.7281,"$1,349,491","$45,807,041"
"Dec 03, 2022",$0.9013,$0.9204,$0.7177,$0.7905,"$1,560,912","$49,728,925"
"Dec 02, 2022",$0.9183,$0.946,$0.8885,$0.9013,"$1,774,890","$56,703,526"
"Dec 01, 2022",$0.92,$0.9613,$0.8968,$0.9178,"$1,952,335","$57,740,392"
"Nov 30, 2022",$0.8888,$0.9491,$0.8697,$0.9198,"$1,770,520","$57,867,727"
"Nov 29, 2022",$0.8697,$0.9165,$0.8409,$0.8854,"$1,932,715","$38,877,706"
"Nov 28, 2022",$0.9489,$0.9598,$0.8649,$0.8695,"$1,809,910","$38,179,783"
"Nov 27, 2022",$0.9437,$0.9621,$0.8317,$0.9484,"$2,038,823","$43,540,646"
"Nov 26, 2022",$0.8309,$0.9967,$0.8124,$0.9416,"$2,005,410","$41,344,441"
"Nov 25, 2022",$0.6576,$0.9892,$0.657,$0.8298,"$1,729,404","$36,437,140"
"Nov 24, 2022",$0.5205,$0.6576,$0.5186,$0.657,"$2,138,094","$34,323,152"
"Nov 23, 2022",$0.5324,$0.5791,$0.1061,$0.5203,"$1,562,567","$22,845,328"
"Nov 22, 2022",$0.4932,$0.544,$0.4783,$0.5175,"$1,408,266","$28,696,790"
"Nov 21, 2022",$0.5077,$0.5322,$0.4856,$0.4929,"$1,526,138","$21,643,370"
"Nov 20, 2022",$0.5149,$0.5232,$0.4915,$0.5078,"$2,063,901","$22,299,424"
"Nov 19, 2022",$0.4338,$0.5424,$0.4136,$0.5093,"$2,157,396","$22,364,985"
"Nov 18, 2022",$0.3606,$0.4404,$0.3554,$0.435,"$5,008,901","$19,100,365"
"Nov 17, 2022",$0.3494,$0.3646,$0.3465,$0.361,"$2,332,122","$15,852,582"
"Nov 16, 2022",$0.349,$0.3512,$0.344,$0.3485,"$2,260,611","$18,207,382"
"Nov 15, 2022",$0.3524,$0.3546,$0.3441,$0.3487,"$2,235,124","$15,309,575"
"Nov 14, 2022",$0.3524,$0.3561,$0.3282,$0.353,"$2,754,273","$18,440,479"
"Nov 13, 2022",$0.3479,$0.3538,$0.3421,$0.3524,"$1,143,592","$19,537,379"
"Nov 12, 2022",$0.3489,$0.3531,$0.3313,$0.348,"$285,673","$15,281,504"
"Nov 11, 2022",$0.351,$0.3533,$0.3369,$0.3488,"$304,488","$15,314,869"
