Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.3862,$0.392,$0.3862,$0.3885,"$1,134,697","$18,648,974"
"Dec 30, 2022",$0.3853,$0.3887,$0.3777,$0.3861,"$1,521,572","$18,534,930"
"Dec 29, 2022",$0.3861,$0.3932,$0.3803,$0.3852,"$1,479,509","$18,490,624"
"Dec 28, 2022",$0.3993,$0.4003,$0.3822,$0.3862,"$1,875,208","$18,539,167"
"Dec 27, 2022",$0.4044,$0.405,$0.3942,$0.3993,"$1,370,793","$19,168,592"
"Dec 26, 2022",$0.3992,$0.4044,$0.3974,$0.4044,"$1,240,674","$19,411,020"
"Dec 25, 2022",$0.4042,$0.4069,$0.3938,$0.3991,"$2,044,683","$19,157,462"
"Dec 24, 2022",$0.404,$0.4087,$0.4034,$0.4042,"$1,260,850","$19,403,505"
"Dec 23, 2022",$0.4036,$0.4087,$0.4014,$0.4039,"$1,409,457","$19,387,316"
"Dec 22, 2022",$0.3992,$0.4037,$0.3921,$0.4036,"$1,737,929","$19,372,500"
"Dec 21, 2022",$0.412,$0.412,$0.3968,$0.3991,"$1,825,412","$19,158,413"
"Dec 20, 2022",$0.3925,$0.4124,$0.3911,$0.4121,"$2,016,860","$19,780,519"
"Dec 19, 2022",$0.4198,$0.427,$0.3881,$0.3925,"$2,406,739","$18,838,967"
"Dec 18, 2022",$0.4194,$0.4241,$0.4144,$0.4197,"$1,871,709","$20,147,080"
"Dec 17, 2022",$0.4152,$0.4225,$0.4037,$0.4194,"$2,257,450","$20,130,677"
"Dec 16, 2022",$0.4655,$0.47,$0.4129,$0.4152,"$3,050,382","$19,930,231"
"Dec 15, 2022",$0.4667,$0.472,$0.4562,$0.4657,"$2,640,487","$22,352,690"
"Dec 14, 2022",$0.4693,$0.4813,$0.4607,$0.4668,"$5,233,814","$22,405,835"
"Dec 13, 2022",$0.4587,$0.4696,$0.4384,$0.4694,"$4,042,331","$22,529,070"
"Dec 12, 2022",$0.4614,$0.4614,$0.4431,$0.4587,"$3,449,016","$22,015,693"
"Dec 11, 2022",$0.468,$0.4786,$0.4608,$0.4615,"$3,994,084","$22,153,937"
"Dec 10, 2022",$0.4612,$0.4738,$0.4612,$0.4679,"$5,196,030","$22,461,126"
"Dec 09, 2022",$0.46,$0.4671,$0.4578,$0.4612,"$3,005,413","$22,137,958"
"Dec 08, 2022",$0.4601,$0.4626,$0.4475,$0.46,"$6,937,330","$22,081,995"
"Dec 07, 2022",$0.4717,$0.4739,$0.4441,$0.4601,"$9,453,930","$22,082,692"
"Dec 06, 2022",$0.466,$0.5024,$0.4617,$0.4718,"$14,875,313","$22,645,776"
"Dec 05, 2022",$0.4634,$0.4734,$0.4577,$0.4659,"$4,273,786","$22,361,476"
"Dec 04, 2022",$0.4604,$0.4688,$0.4526,$0.4635,"$6,940,271","$22,249,630"
"Dec 03, 2022",$0.4759,$0.4811,$0.4591,$0.4604,"$6,378,000","$22,097,258"
"Dec 02, 2022",$0.4655,$0.4828,$0.4605,$0.4758,"$8,845,776","$22,837,551"
"Dec 01, 2022",$0.466,$0.4968,$0.4572,$0.4655,"$16,985,556","$22,345,926"
"Nov 30, 2022",$0.4447,$0.4675,$0.4446,$0.4662,"$10,174,315","$22,376,386"
"Nov 29, 2022",$0.4435,$0.4628,$0.439,$0.4446,"$5,856,354","$21,340,126"
"Nov 28, 2022",$0.4296,$0.4618,$0.408,$0.4435,"$8,617,439","$21,285,983"
"Nov 27, 2022",$0.4376,$0.4557,$0.429,$0.4306,"$6,254,872","$20,669,714"
"Nov 26, 2022",$0.4318,$0.4488,$0.4317,$0.4376,"$7,198,791","$21,006,821"
"Nov 25, 2022",$0.4325,$0.4401,$0.4216,$0.4318,"$5,202,489","$20,726,121"
"Nov 24, 2022",$0.4377,$0.445,$0.4281,$0.4325,"$4,651,390","$20,758,722"
"Nov 23, 2022",$0.4388,$0.453,$0.4166,$0.4376,"$10,603,218","$21,004,369"
"Nov 22, 2022",$0.4037,$0.4834,$0.3755,$0.4387,"$25,508,690","$21,059,773"
"Nov 21, 2022",$0.387,$0.4044,$0.3743,$0.4038,"$4,636,213","$19,381,524"
"Nov 20, 2022",$0.4095,$0.4366,$0.3871,$0.3871,"$9,603,773","$18,583,187"
"Nov 19, 2022",$0.4023,$0.4149,$0.3968,$0.4097,"$3,667,522","$19,664,397"
"Nov 18, 2022",$0.3986,$0.4104,$0.3985,$0.4025,"$1,814,770","$19,317,725"
"Nov 17, 2022",$0.4058,$0.4118,$0.3973,$0.3986,"$2,108,442","$19,132,047"
"Nov 16, 2022",$0.4131,$0.4186,$0.3941,$0.4058,"$2,647,581","$19,477,180"
"Nov 15, 2022",$0.4038,$0.4311,$0.4011,$0.4132,"$3,162,245","$19,831,251"
"Nov 14, 2022",$0.3953,$0.4059,$0.3767,$0.4037,"$4,050,691","$19,377,321"
"Nov 13, 2022",$0.3965,$0.433,$0.3841,$0.3954,"$9,996,988","$18,979,548"
"Nov 12, 2022",$0.4157,$0.4163,$0.3843,$0.3964,"$2,292,352","$19,029,585"
"Nov 11, 2022",$0.4274,$0.4327,$0.396,$0.4156,"$6,628,918","$19,948,650"
"Nov 10, 2022",$0.3639,$0.4368,$0.3586,$0.4275,"$6,330,232","$20,520,021"
"Nov 09, 2022",$0.4669,$0.4691,$0.3542,$0.364,"$8,185,729","$17,472,268"
"Nov 08, 2022",$0.5734,$0.5801,$0.4301,$0.4667,"$14,412,718","$22,403,744"
"Nov 07, 2022",$0.5743,$0.5902,$0.5617,$0.5736,"$4,866,603","$27,533,241"
"Nov 06, 2022",$0.6083,$0.6196,$0.574,$0.5743,"$4,050,601","$27,564,214"
"Nov 05, 2022",$0.6213,$0.6331,$0.6045,$0.6082,"$7,304,286","$29,195,205"
