Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.02504,$0.02522,$0.02484,$0.02504,"$155,196","$2,693,984"
"Dec 30, 2022",$0.02528,$0.02534,$0.0248,$0.02499,"$131,883","$2,689,194"
"Dec 29, 2022",$0.02591,$0.02613,$0.02499,$0.02528,"$150,633","$2,719,950"
"Dec 28, 2022",$0.02676,$0.02689,$0.02577,$0.02591,"$151,043","$2,787,749"
"Dec 27, 2022",$0.02633,$0.02686,$0.026,$0.02672,"$157,497","$2,875,785"
"Dec 26, 2022",$0.02645,$0.02663,$0.02617,$0.02647,"$162,795","$2,848,378"
"Dec 25, 2022",$0.0266,$0.02678,$0.02627,$0.02647,"$161,507","$2,848,265"
"Dec 24, 2022",$0.02665,$0.02688,$0.0265,$0.0266,"$155,334","$2,862,394"
"Dec 23, 2022",$0.02674,$0.02707,$0.02658,$0.02664,"$133,590","$2,867,118"
"Dec 22, 2022",$0.0268,$0.02726,$0.02608,$0.02674,"$132,642","$2,877,180"
"Dec 21, 2022",$0.02746,$0.02781,$0.02673,$0.02678,"$160,140","$2,881,831"
"Dec 20, 2022",$0.02718,$0.02783,$0.02687,$0.02746,"$171,961","$2,955,239"
"Dec 19, 2022",$0.02814,$0.0284,$0.02682,$0.02718,"$168,701","$2,924,408"
"Dec 18, 2022",$0.02756,$0.02846,$0.02725,$0.02814,"$92,473","$3,028,170"
"Dec 17, 2022",$0.02601,$0.0277,$0.02513,$0.02756,"$160,655","$2,965,854"
"Dec 16, 2022",$0.02826,$0.02903,$0.02566,$0.02601,"$163,140","$2,798,892"
"Dec 15, 2022",$0.02906,$0.02962,$0.02809,$0.02825,"$164,981","$3,039,709"
"Dec 14, 2022",$0.03104,$0.03169,$0.0288,$0.02909,"$188,864","$3,129,991"
"Dec 13, 2022",$0.03095,$0.03185,$0.03004,$0.03101,"$169,728","$3,336,493"
"Dec 12, 2022",$0.03186,$0.03201,$0.03065,$0.03101,"$176,370","$3,336,393"
"Dec 11, 2022",$0.03247,$0.0328,$0.0318,$0.03186,"$219,929","$3,428,158"
"Dec 10, 2022",$0.0326,$0.03275,$0.03209,$0.03247,"$215,988","$3,494,249"
"Dec 09, 2022",$0.03379,$0.03381,$0.03246,$0.0326,"$166,386","$3,507,941"
"Dec 08, 2022",$0.03356,$0.03381,$0.03282,$0.03379,"$201,815","$3,636,510"
"Dec 07, 2022",$0.03544,$0.03557,$0.03331,$0.03356,"$215,476","$3,611,171"
"Dec 06, 2022",$0.03479,$0.03557,$0.03449,$0.03541,"$209,235","$3,810,646"
"Dec 05, 2022",$0.03529,$0.03609,$0.03448,$0.03479,"$202,558","$3,743,499"
"Dec 04, 2022",$0.03571,$0.03603,$0.03492,$0.03539,"$150,397","$3,807,801"
"Dec 03, 2022",$0.03675,$0.03683,$0.03548,$0.0358,"$144,240","$3,852,887"
"Dec 02, 2022",$0.03647,$0.03684,$0.03575,$0.03677,"$181,760","$3,956,231"
"Dec 01, 2022",$0.03736,$0.03768,$0.03624,$0.03646,"$158,308","$3,923,670"
"Nov 30, 2022",$0.03968,$0.04094,$0.03712,$0.03737,"$202,762","$4,021,224"
"Nov 29, 2022",$0.03966,$0.04118,$0.03942,$0.03968,"$185,837","$4,270,132"
"Nov 28, 2022",$0.04132,$0.04168,$0.03948,$0.03965,"$186,504","$4,266,132"
"Nov 27, 2022",$0.04181,$0.04254,$0.04116,$0.04132,"$158,418","$4,446,238"
"Nov 26, 2022",$0.04194,$0.04345,$0.04147,$0.04182,"$169,014","$4,500,500"
"Nov 25, 2022",$0.04173,$0.04394,$0.04061,$0.0419,"$197,070","$4,509,201"
"Nov 24, 2022",$0.04232,$0.04309,$0.04126,$0.04173,"$182,598","$4,490,797"
"Nov 23, 2022",$0.03922,$0.04269,$0.03904,$0.04235,"$172,317","$4,557,415"
"Nov 22, 2022",$0.03757,$0.03958,$0.03712,$0.03935,"$197,200","$4,234,642"
"Nov 21, 2022",$0.03833,$0.04199,$0.03685,$0.03754,"$223,901","$4,040,054"
"Nov 20, 2022",$0.04003,$0.04022,$0.03818,$0.03836,"$209,153","$4,128,048"
"Nov 19, 2022",$0.03941,$0.04105,$0.03856,$0.04003,"$234,896","$4,307,408"
"Nov 18, 2022",$0.03854,$0.04028,$0.03849,$0.03941,"$228,934","$4,240,537"
"Nov 17, 2022",$0.03812,$0.03964,$0.03696,$0.03852,"$209,481","$4,145,178"
"Nov 16, 2022",$0.03846,$0.03904,$0.03771,$0.03814,"$204,893","$4,104,208"
"Nov 15, 2022",$0.03819,$0.03929,$0.03779,$0.0385,"$211,212","$4,143,051"
"Nov 14, 2022",$0.03756,$0.0397,$0.03645,$0.03806,"$237,024","$4,095,190"
"Nov 13, 2022",$0.03822,$0.03876,$0.03715,$0.03752,"$179,054","$4,037,566"
"Nov 12, 2022",$0.03948,$0.04845,$0.03732,$0.03823,"$160,810","$4,113,645"
"Nov 11, 2022",$0.04113,$0.0414,$0.03812,$0.03941,"$195,863","$4,240,987"
"Nov 10, 2022",$0.03608,$0.0417,$0.03586,$0.04119,"$251,889","$4,431,873"
"Nov 09, 2022",$0.04777,$0.04835,$0.03541,$0.03621,"$250,369","$3,896,709"
"Nov 08, 2022",$0.05512,$0.06059,$0.04651,$0.0478,"$346,055","$5,144,100"
"Nov 07, 2022",$0.05534,$0.05635,$0.05356,$0.05512,"$320,940","$5,931,212"
"Nov 06, 2022",$0.05663,$0.05873,$0.0553,$0.05536,"$311,603","$5,957,709"
"Nov 05, 2022",$0.05742,$0.05886,$0.05644,$0.05669,"$315,917","$6,100,030"
"Nov 04, 2022",$0.05225,$0.05774,$0.05218,$0.05729,"$333,469","$6,164,506"
"Nov 03, 2022",$0.05036,$0.05258,$0.05018,$0.05248,"$204,422","$5,647,780"
"Nov 02, 2022",$0.05263,$0.05306,$0.04929,$0.05044,"$288,091","$5,428,227"
"Nov 01, 2022",$0.05447,$0.05564,$0.05236,$0.05263,"$247,425","$5,663,095"
"Oct 31, 2022",$0.05345,$0.05641,$0.05241,$0.05447,"$250,360","$5,861,160"
"Oct 30, 2022",$0.05299,$0.05466,$0.05277,$0.05345,"$178,115","$5,751,389"
"Oct 29, 2022",$0.0516,$0.05391,$0.05101,$0.05299,"$225,894","$5,702,254"
"Oct 28, 2022",$0.05094,$0.05237,$0.05066,$0.0516,"$220,187","$5,552,228"
"Oct 27, 2022",$0.05228,$0.05253,$0.05031,$0.05094,"$218,106","$5,481,803"
"Oct 26, 2022",$0.0503,$0.05251,$0.05011,$0.05228,"$219,759","$5,625,312"
"Oct 25, 2022",$0.04942,$0.05134,$0.04894,$0.05027,"$222,055","$5,409,321"
"Oct 24, 2022",$0.04927,$0.04977,$0.04869,$0.04942,"$213,698","$5,318,445"
"Oct 23, 2022",$0.04977,$0.05053,$0.04914,$0.04927,"$231,440","$5,301,740"
"Oct 22, 2022",$0.05125,$0.05131,$0.04924,$0.04977,"$208,917","$5,356,056"
"Oct 21, 2022",$0.05202,$0.05235,$0.05034,$0.05125,"$231,350","$5,515,210"
"Oct 20, 2022",$0.05094,$0.05241,$0.05072,$0.05202,"$207,038","$5,597,653"
"Oct 19, 2022",$0.05053,$0.05161,$0.05008,$0.05094,"$213,026","$5,481,667"
"Oct 18, 2022",$0.04937,$0.05456,$0.04937,$0.05053,"$353,388","$5,437,104"
