Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.2717,$0.2737,$0.2675,$0.2707,"$2,943,941","$69,042,085"
"Dec 30, 2022",$0.2657,$0.2821,$0.2629,$0.2717,"$4,753,046","$69,282,422"
"Dec 29, 2022",$0.2644,$0.2684,$0.2614,$0.2658,"$1,955,882","$67,790,351"
"Dec 28, 2022",$0.2744,$0.2755,$0.2642,$0.2644,"$3,033,098","$67,436,542"
"Dec 27, 2022",$0.2833,$0.2964,$0.2721,$0.2744,"$4,241,795","$69,989,372"
"Dec 26, 2022",$0.2667,$0.2952,$0.2656,$0.2833,"$6,942,252","$72,243,676"
"Dec 25, 2022",$0.2705,$0.2707,$0.2646,$0.2667,"$2,171,628","$68,007,774"
"Dec 24, 2022",$0.2678,$0.2731,$0.2671,$0.2706,"$2,201,699","$69,002,516"
"Dec 23, 2022",$0.267,$0.2703,$0.2656,$0.2678,"$1,889,582","$68,288,531"
"Dec 22, 2022",$0.2633,$0.2721,$0.2577,$0.267,"$3,102,311","$68,103,149"
"Dec 21, 2022",$0.2705,$0.2705,$0.2615,$0.2633,"$2,619,615","$67,146,393"
"Dec 20, 2022",$0.267,$0.283,$0.2666,$0.2705,"$3,564,982","$68,995,468"
"Dec 19, 2022",$0.2666,$0.2921,$0.2633,$0.267,"$5,694,350","$66,091,660"
"Dec 18, 2022",$0.2725,$0.2732,$0.2635,$0.2667,"$1,916,634","$66,003,755"
"Dec 17, 2022",$0.2625,$0.2725,$0.2591,$0.2724,"$3,029,293","$67,420,811"
"Dec 16, 2022",$0.2972,$0.3087,$0.2604,$0.2625,"$4,089,563","$64,978,923"
"Dec 15, 2022",$0.3148,$0.3153,$0.2958,$0.2974,"$3,392,616","$73,601,009"
"Dec 14, 2022",$0.3213,$0.3233,$0.3136,$0.3148,"$3,347,399","$77,916,009"
"Dec 13, 2022",$0.3358,$0.3361,$0.3113,$0.3214,"$7,085,517","$79,541,164"
"Dec 12, 2022",$0.3073,$0.347,$0.3066,$0.3359,"$11,981,688","$83,133,244"
"Dec 11, 2022",$0.3018,$0.3328,$0.3014,$0.3071,"$13,573,725","$76,007,011"
"Dec 10, 2022",$0.2952,$0.3219,$0.2924,$0.3016,"$7,143,671","$74,658,885"
"Dec 09, 2022",$0.2981,$0.3019,$0.2931,$0.2952,"$2,568,856","$73,062,789"
"Dec 08, 2022",$0.293,$0.2985,$0.2873,$0.2982,"$2,499,087","$73,798,095"
"Dec 07, 2022",$0.309,$0.3109,$0.2878,$0.2933,"$2,964,326","$72,586,180"
"Dec 06, 2022",$0.3114,$0.3139,$0.3036,$0.309,"$2,587,590","$76,248,231"
"Dec 05, 2022",$0.3147,$0.3234,$0.306,$0.3113,"$3,130,514","$76,824,499"
"Dec 04, 2022",$0.3066,$0.3174,$0.3062,$0.3149,"$3,017,255","$77,692,414"
"Dec 03, 2022",$0.3143,$0.3223,$0.3058,$0.3067,"$3,193,774","$75,670,868"
"Dec 02, 2022",$0.3073,$0.3194,$0.3034,$0.3143,"$3,897,524","$77,548,088"
"Dec 01, 2022",$0.3171,$0.322,$0.3063,$0.3072,"$4,531,720","$75,792,457"
"Nov 30, 2022",$0.2995,$0.328,$0.2982,$0.3171,"$7,489,052","$72,449,368"
"Nov 29, 2022",$0.2837,$0.3277,$0.2827,$0.2995,"$11,216,989","$68,419,282"
"Nov 28, 2022",$0.2885,$0.2889,$0.274,$0.2838,"$3,336,318","$64,843,580"
"Nov 27, 2022",$0.289,$0.2949,$0.288,$0.2885,"$3,254,508","$65,901,594"
"Nov 26, 2022",$0.2883,$0.2982,$0.2863,$0.2889,"$3,321,675","$66,010,745"
"Nov 25, 2022",$0.2923,$0.3002,$0.2804,$0.2881,"$3,811,953","$65,830,485"
"Nov 24, 2022",$0.2923,$0.2958,$0.2843,$0.2923,"$2,650,906","$66,786,106"
"Nov 23, 2022",$0.2787,$0.3018,$0.2764,$0.2921,"$4,969,289","$66,738,793"
"Nov 22, 2022",$0.2716,$0.2807,$0.262,$0.2786,"$3,414,703","$63,658,654"
"Nov 21, 2022",$0.2794,$0.2878,$0.2653,$0.2715,"$4,015,839","$62,025,359"
"Nov 20, 2022",$0.2808,$0.2901,$0.2712,$0.2794,"$4,247,841","$63,829,534"
"Nov 19, 2022",$0.2868,$0.2873,$0.2779,$0.2808,"$3,130,742","$64,153,687"
"Nov 18, 2022",$0.2982,$0.3015,$0.2827,$0.2868,"$4,426,368","$65,512,163"
"Nov 17, 2022",$0.303,$0.3036,$0.2941,$0.2981,"$3,648,049","$68,115,254"
"Nov 16, 2022",$0.3136,$0.325,$0.2962,$0.303,"$3,159,910","$69,234,058"
"Nov 15, 2022",$0.302,$0.3342,$0.3002,$0.3135,"$4,406,994","$71,612,737"
"Nov 14, 2022",$0.3046,$0.3113,$0.2838,$0.3019,"$4,482,511","$68,982,119"
"Nov 13, 2022",$0.3199,$0.3284,$0.3034,$0.3046,"$5,785,031","$67,310,262"
"Nov 12, 2022",$0.2894,$0.366,$0.2877,$0.3199,"$24,807,596","$70,677,587"
"Nov 11, 2022",$0.3106,$0.3108,$0.278,$0.2894,"$4,843,324","$63,945,020"
"Nov 10, 2022",$0.2667,$0.3174,$0.2632,$0.3106,"$5,934,915","$68,629,860"
"Nov 09, 2022",$0.3379,$0.3385,$0.2555,$0.2666,"$11,244,896","$58,913,906"
"Nov 08, 2022",$0.404,$0.4061,$0.3129,$0.3379,"$11,818,303","$74,657,855"
"Nov 07, 2022",$0.411,$0.4178,$0.3972,$0.404,"$6,796,062","$89,269,601"
"Nov 06, 2022",$0.4369,$0.443,$0.411,$0.411,"$5,853,478","$90,808,454"
"Nov 05, 2022",$0.4458,$0.4621,$0.4336,$0.4369,"$8,180,418","$96,537,074"
"Nov 04, 2022",$0.4239,$0.4725,$0.4237,$0.4458,"$17,672,371","$98,497,429"
"Nov 03, 2022",$0.387,$0.4446,$0.3867,$0.4241,"$20,373,259","$93,698,785"
