Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.05043,$0.05234,$0.05014,$0.05198,"$477,186","$56,577,144"
"Dec 30, 2022",$0.05252,$0.05846,$0.04981,$0.05039,"$640,763","$54,848,239"
"Dec 29, 2022",$0.05183,$0.05274,$0.05146,$0.05252,"$204,879","$57,171,425"
"Dec 28, 2022",$0.05404,$0.05414,$0.0518,$0.05188,"$322,691","$56,472,863"
"Dec 27, 2022",$0.05539,$0.05562,$0.05296,$0.05405,"$234,350","$58,832,815"
"Dec 26, 2022",$0.05586,$0.05586,$0.05485,$0.0554,"$408,302","$60,302,665"
"Dec 25, 2022",$0.05508,$0.0575,$0.05408,$0.05581,"$244,491","$60,742,650"
"Dec 24, 2022",$0.05441,$0.05632,$0.05425,$0.05508,"$311,199","$59,949,692"
"Dec 23, 2022",$0.05309,$0.05452,$0.05286,$0.05443,"$499,937","$59,239,946"
"Dec 22, 2022",$0.05319,$0.05423,$0.05271,$0.05314,"$237,335","$57,836,715"
"Dec 21, 2022",$0.05454,$0.0546,$0.05309,$0.05319,"$195,707","$57,894,993"
"Dec 20, 2022",$0.05198,$0.06589,$0.05185,$0.05457,"$465,933","$59,397,593"
"Dec 19, 2022",$0.055,$0.05551,$0.05045,$0.05198,"$313,795","$56,578,782"
"Dec 18, 2022",$0.05428,$0.05551,$0.0527,$0.055,"$397,186","$59,860,299"
"Dec 17, 2022",$0.0575,$0.05781,$0.05355,$0.05428,"$549,227","$59,082,202"
"Dec 16, 2022",$0.06243,$0.06628,$0.05733,$0.0575,"$1,393,429","$62,588,558"
"Dec 15, 2022",$0.06031,$0.06405,$0.05917,$0.06242,"$2,082,533","$67,939,003"
"Dec 14, 2022",$0.06386,$0.06418,$0.06009,$0.06026,"$336,813","$65,589,239"
"Dec 13, 2022",$0.06264,$0.06662,$0.06245,$0.06384,"$384,121","$69,488,052"
"Dec 12, 2022",$0.06286,$0.0639,$0.06112,$0.06265,"$447,016","$68,188,638"
"Dec 11, 2022",$0.06232,$0.06422,$0.06227,$0.06286,"$1,210,222","$67,285,064"
"Dec 10, 2022",$0.06227,$0.06546,$0.06174,$0.06232,"$268,033","$66,710,134"
"Dec 09, 2022",$0.06385,$0.0653,$0.06221,$0.06228,"$453,790","$66,660,277"
"Dec 08, 2022",$0.06594,$0.06819,$0.06362,$0.06385,"$952,805","$68,350,788"
"Dec 07, 2022",$0.07001,$0.07014,$0.06565,$0.06594,"$1,029,898","$70,585,153"
"Dec 06, 2022",$0.06821,$0.07004,$0.06789,$0.06998,"$1,164,603","$74,905,569"
"Dec 05, 2022",$0.06935,$0.07104,$0.06758,$0.06821,"$1,408,146","$73,012,579"
"Dec 04, 2022",$0.06356,$0.07285,$0.06231,$0.06939,"$1,287,031","$74,278,068"
"Dec 03, 2022",$0.06552,$0.06758,$0.06159,$0.0635,"$545,587","$67,969,713"
"Dec 02, 2022",$0.06454,$0.06587,$0.06373,$0.0654,"$597,452","$70,007,839"
"Dec 01, 2022",$0.06924,$0.07128,$0.06394,$0.06449,"$1,017,286","$69,029,146"
"Nov 30, 2022",$0.06246,$0.0818,$0.06194,$0.06924,"$7,096,637","$74,117,371"
"Nov 29, 2022",$0.06323,$0.06486,$0.06173,$0.06246,"$209,961","$66,855,258"
