Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0005994,$0.0006024,$0.000594,$0.0006002,$0,"$5,671,709"
"Dec 30, 2022",$0.0005981,$0.000601,$0.0005927,$0.0005994,$0,"$5,663,825"
"Dec 29, 2022",$0.0006007,$0.000603,$0.000594,$0.0005982,$0,"$5,651,974"
"Dec 28, 2022",$0.0006012,$0.0006074,$0.0005975,$0.0006007,$0,"$5,675,864"
"Dec 27, 2022",$0.00059,$0.0006058,$0.0005866,$0.0006012,$0,"$5,680,789"
"Dec 26, 2022",$0.00059,$0.000593,$0.0005868,$0.0005901,$0,"$5,575,498"
"Dec 25, 2022",$0.0005901,$0.0005904,$0.0005869,$0.00059,$0,"$5,575,275"
"Dec 24, 2022",$0.0005873,$0.0005907,$0.0005856,$0.0005901,$0,"$5,576,363"
"Dec 23, 2022",$0.0005853,$0.0005887,$0.000584,$0.0005873,$0,"$5,549,079"
"Dec 22, 2022",$0.0005713,$0.000586,$0.0005707,$0.0005854,$0,"$5,531,032"
"Dec 21, 2022",$0.0005672,$0.0005738,$0.0005643,$0.0005713,$0,"$5,398,445"
"Dec 20, 2022",$0.0005577,$0.0005725,$0.0005566,$0.0005672,$0,"$5,359,866"
"Dec 19, 2022",$0.0005942,$0.0005959,$0.0005556,$0.0005576,$0,"$5,269,012"
"Dec 18, 2022",$0.0005872,$0.0006311,$0.0005866,$0.0005942,$0,"$5,614,605"
"Dec 17, 2022",$0.0005722,$0.0005992,$0.0005671,$0.0005872,$0,"$5,548,462"
"Dec 16, 2022",$0.0006052,$0.0006081,$0.0005719,$0.0005722,$0,"$5,406,840"
"Dec 15, 2022",$0.000615,$0.0006219,$0.0006029,$0.0006052,$0,"$5,718,749"
"Dec 14, 2022",$0.0006094,$0.0006352,$0.0005826,$0.000615,$0,"$5,811,633"
"Dec 13, 2022",$0.0005965,$0.0006148,$0.0005937,$0.0006094,$0,"$5,758,422"
"Dec 12, 2022",$0.0005959,$0.0005968,$0.0005863,$0.0005965,$0,"$5,636,428"
"Dec 11, 2022",$0.0005961,$0.0006009,$0.0005941,$0.000596,$0,"$5,631,727"
