Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$1.00,$1.00,$0.9998,$1.00,"$2,690,117,726","$16,695,767,094"
"Dec 30, 2022",$1.00,$1.00,$0.9993,$1.00,"$4,282,713,395","$16,717,382,251"
"Dec 29, 2022",$1.00,$1.00,$0.9993,$1.00,"$4,528,743,837","$16,887,761,287"
"Dec 28, 2022",$1.00,$1.00,$0.9993,$1.00,"$5,136,431,856","$17,028,459,123"
"Dec 27, 2022",$1.00,$1.00,$0.9993,$1.00,"$4,511,338,382","$17,182,919,667"
"Dec 26, 2022",$1.00,$1.00,$0.9993,$1.00,"$2,891,652,706","$17,304,964,002"
"Dec 25, 2022",$1.00,$1.00,$0.9994,$1.00,"$2,742,694,443","$17,393,414,910"
"Dec 24, 2022",$1.00,$1.00,$0.9994,$1.00,"$1,966,930,385","$17,549,515,336"
"Dec 23, 2022",$1.00,$1.00,$0.9995,$1.00,"$3,799,544,918","$17,628,862,004"
"Dec 22, 2022",$0.9998,$1.00,$0.9992,$1.00,"$4,095,404,239","$17,993,104,921"
"Dec 21, 2022",$1.00,$1.00,$0.9993,$0.9996,"$3,745,056,661","$18,049,959,144"
"Dec 20, 2022",$0.9999,$1.00,$0.9992,$1.00,"$5,509,011,995","$18,074,366,639"
"Dec 19, 2022",$1.00,$1.00,$0.9992,$0.9999,"$4,575,546,070","$18,338,626,117"
"Dec 18, 2022",$1.00,$1.00,$0.9992,$1.00,"$2,744,176,088","$18,443,448,366"
"Dec 17, 2022",$1.00,$1.00,$0.9992,$0.9996,"$4,321,525,257","$18,433,916,240"
"Dec 16, 2022",$0.9998,$1.00,$0.9989,$1.00,"$6,499,618,945","$18,446,408,579"
"Dec 15, 2022",$1.00,$1.00,$0.999,$0.9998,"$5,440,033,506","$18,634,286,141"
"Dec 14, 2022",$1.00,$1.00,$0.9989,$1.00,"$7,293,948,776","$18,570,379,674"
"Dec 13, 2022",$1.00,$1.00,$0.9987,$1.00,"$10,928,458,036","$18,803,618,217"
