Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$28.19,$28.19,$28.09,$28.09,$12,"$12,640,876"
"Dec 30, 2022",$28.19,$28.19,$28.19,$28.19,$0,"$12,686,702"
"Dec 29, 2022",$28.19,$28.19,$28.19,$28.19,$0,"$12,686,702"
"Dec 28, 2022",$28.20,$28.20,$28.19,$28.19,$12,"$12,686,009"
"Dec 27, 2022",$28.20,$28.20,$28.20,$28.20,$0,"$12,688,639"
"Dec 26, 2022",$28.20,$28.20,$28.20,$28.20,$12,"$12,689,937"
"Dec 25, 2022",$28.20,$28.20,$28.20,$28.20,$0,"$12,689,789"
"Dec 24, 2022",$28.20,$28.20,$28.20,$28.20,$12,"$12,689,904"
"Dec 23, 2022",$28.20,$28.20,$28.20,$28.20,$0,"$12,690,287"
"Dec 22, 2022",$28.20,$28.20,$28.20,$28.20,$12,"$12,690,144"
"Dec 21, 2022",$21.46,$28.20,$21.46,$28.20,$0,"$12,691,003"
"Dec 20, 2022",$21.54,$21.54,$21.46,$21.47,$12,"$9,659,421"
"Dec 19, 2022",$25.13,$25.30,$9.29,$21.54,$0,"$9,691,620"
"Dec 18, 2022",$24.67,$25.13,$24.49,$25.13,$0,"$11,309,904"
"Dec 17, 2022",$25.04,$25.04,$16.28,$24.67,$13,"$11,101,816"
"Dec 16, 2022",$21.61,$25.04,$21.61,$25.04,$0,"$11,269,155"
"Dec 15, 2022",$24.89,$29.50,$20.61,$21.61,$10,"$9,726,118"
"Dec 14, 2022",$16.01,$24.89,$16.01,$24.89,$13,"$11,199,839"
"Dec 13, 2022",$24.96,$29.22,$16.01,$16.01,$0.9,"$7,205,355"
"Dec 12, 2022",$25.37,$25.37,$24.96,$24.96,$13,"$11,231,729"
"Dec 11, 2022",$29.21,$29.21,$24.95,$25.37,$0,"$11,414,535"
"Dec 10, 2022",$29.21,$29.21,$29.21,$29.21,$13,"$13,146,134"
"Dec 09, 2022",$25.22,$29.21,$24.78,$29.21,$13,"$13,146,280"
"Dec 08, 2022",$24.77,$29.22,$24.76,$25.22,$0,"$11,349,231"
"Dec 07, 2022",$29.21,$29.21,$24.76,$24.76,$13,"$11,144,198"
"Dec 06, 2022",$29.21,$29.22,$29.21,$29.21,$0,"$13,146,605"
