Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.002239,$0.00234,$0.002189,$0.002285,"$425,987","$17,708,148"
"Dec 30, 2022",$0.002035,$0.00229,$0.002018,$0.00224,"$401,945","$17,358,847"
"Dec 29, 2022",$0.002305,$0.002312,$0.002026,$0.002035,"$467,723","$15,773,427"
"Dec 28, 2022",$0.002287,$0.002398,$0.002274,$0.002305,"$436,542","$17,860,664"
"Dec 27, 2022",$0.002257,$0.002311,$0.002247,$0.002287,"$424,973","$17,726,546"
"Dec 26, 2022",$0.002223,$0.002297,$0.002211,$0.002255,"$395,469","$17,476,478"
"Dec 25, 2022",$0.002219,$0.002273,$0.002193,$0.002224,"$321,799","$17,234,245"
"Dec 24, 2022",$0.002328,$0.002356,$0.002217,$0.00222,"$447,247","$17,202,128"
"Dec 23, 2022",$0.002211,$0.002381,$0.0022,$0.002328,"$569,796","$18,044,961"
"Dec 22, 2022",$0.002169,$0.002237,$0.002112,$0.002209,"$217,511","$17,118,277"
"Dec 21, 2022",$0.002205,$0.002217,$0.002153,$0.002168,"$253,442","$16,804,668"
"Dec 20, 2022",$0.002136,$0.002258,$0.00213,$0.002205,"$352,933","$17,091,774"
"Dec 19, 2022",$0.002208,$0.002222,$0.001999,$0.002136,"$307,034","$16,555,449"
"Dec 18, 2022",$0.002282,$0.002297,$0.002171,$0.002207,"$270,584","$17,108,156"
"Dec 17, 2022",$0.002239,$0.002328,$0.00208,$0.002282,"$303,308","$17,684,046"
"Dec 16, 2022",$0.002433,$0.002453,$0.002208,$0.00224,"$377,373","$17,363,720"
"Dec 15, 2022",$0.002466,$0.002507,$0.002384,$0.002433,"$313,539","$18,858,556"
"Dec 14, 2022",$0.002487,$0.002503,$0.002437,$0.002465,"$280,774","$19,107,698"
"Dec 13, 2022",$0.002469,$0.002521,$0.002405,$0.002488,"$494,689","$19,281,682"
"Dec 12, 2022",$0.002455,$0.002509,$0.002378,$0.002469,"$590,114","$19,132,181"
"Dec 11, 2022",$0.002491,$0.002517,$0.002406,$0.002456,"$372,767","$19,030,936"
"Dec 10, 2022",$0.002595,$0.002646,$0.002481,$0.002491,"$335,365","$19,305,648"
"Dec 09, 2022",$0.002627,$0.002753,$0.002558,$0.002595,"$765,379","$20,114,768"
"Dec 08, 2022",$0.002579,$0.002647,$0.002515,$0.002627,"$486,991","$20,358,674"
"Dec 07, 2022",$0.002619,$0.002656,$0.002526,$0.002579,"$442,331","$19,988,215"
"Dec 06, 2022",$0.002651,$0.002732,$0.002602,$0.002619,"$477,329","$20,296,447"
"Dec 05, 2022",$0.002753,$0.002803,$0.002614,$0.002652,"$433,985","$20,549,617"
"Dec 04, 2022",$0.002784,$0.002791,$0.002705,$0.002753,"$279,655","$21,336,466"
"Dec 03, 2022",$0.002827,$0.002941,$0.002781,$0.002783,"$1,276,525","$21,569,152"
"Dec 02, 2022",$0.002826,$0.002937,$0.002742,$0.002828,"$819,095","$21,913,659"
"Dec 01, 2022",$0.002927,$0.002983,$0.002737,$0.002826,"$1,102,457","$21,898,586"
"Nov 30, 2022",$0.002914,$0.003045,$0.002853,$0.002927,"$847,642","$22,686,323"
"Nov 29, 2022",$0.002955,$0.003091,$0.002899,$0.002914,"$1,025,329","$22,580,686"
"Nov 28, 2022",$0.003107,$0.003124,$0.00281,$0.002956,"$1,325,139","$22,910,900"
"Nov 27, 2022",$0.003151,$0.003318,$0.003041,$0.003107,"$1,183,493","$24,079,294"
"Nov 26, 2022",$0.003392,$0.003516,$0.003127,$0.003149,"$1,130,165","$24,408,519"
"Nov 25, 2022",$0.00338,$0.003647,$0.003224,$0.003393,"$1,221,114","$26,293,032"
"Nov 24, 2022",$0.003613,$0.003717,$0.003378,$0.003379,"$1,316,218","$26,191,033"
"Nov 23, 2022",$0.003451,$0.003983,$0.003321,$0.003613,"$1,516,352","$27,999,139"
"Nov 22, 2022",$0.003955,$0.004082,$0.003237,$0.003451,"$1,490,846","$26,745,143"
"Nov 21, 2022",$0.004159,$0.004333,$0.003834,$0.003955,"$1,383,668","$30,648,821"
"Nov 20, 2022",$0.004614,$0.004632,$0.004154,$0.004155,"$1,849,094","$32,201,423"
"Nov 19, 2022",$0.005061,$0.005127,$0.004585,$0.004613,"$1,651,535","$35,754,723"
"Nov 18, 2022",$0.005078,$0.005195,$0.004847,$0.00506,"$1,581,344","$39,213,530"
"Nov 17, 2022",$0.005169,$0.005215,$0.004844,$0.005078,"$1,246,474","$39,355,584"
"Nov 16, 2022",$0.004675,$0.005308,$0.004663,$0.005169,"$1,131,640","$40,063,004"
"Nov 15, 2022",$0.004294,$0.004884,$0.004273,$0.004674,"$1,030,533","$36,227,356"
"Nov 14, 2022",$0.00419,$0.004503,$0.004012,$0.004294,"$938,946","$33,276,381"
"Nov 13, 2022",$0.004336,$0.004526,$0.004066,$0.00419,"$966,639","$32,474,800"
"Nov 12, 2022",$0.004554,$0.004589,$0.004112,$0.004337,"$823,795","$33,609,921"
"Nov 11, 2022",$0.004727,$0.004895,$0.004337,$0.004552,"$1,188,738","$35,281,162"
"Nov 10, 2022",$0.00399,$0.005145,$0.003908,$0.004727,"$1,488,916","$36,633,353"
"Nov 09, 2022",$0.005442,$0.00564,$0.00399,$0.00399,"$1,756,042","$30,926,488"
"Nov 08, 2022",$0.006696,$0.006812,$0.005421,$0.005441,"$2,067,240","$42,170,429"
"Nov 07, 2022",$0.006744,$0.007152,$0.00651,$0.006696,"$1,483,592","$51,897,462"
"Nov 06, 2022",$0.006495,$0.007047,$0.006456,$0.006749,"$1,807,751","$52,308,317"
"Nov 05, 2022",$0.00648,$0.006579,$0.006379,$0.006495,"$1,226,601","$50,334,884"
"Nov 04, 2022",$0.006497,$0.006587,$0.006366,$0.00648,"$1,151,651","$50,219,780"
"Nov 03, 2022",$0.00627,$0.006669,$0.006235,$0.006497,"$1,513,902","$50,348,997"
"Nov 02, 2022",$0.006363,$0.006442,$0.006067,$0.00627,"$1,152,670","$48,591,635"
"Nov 01, 2022",$0.00611,$0.006517,$0.006037,$0.006375,"$1,383,001","$49,404,856"
"Oct 31, 2022",$0.006024,$0.006298,$0.005934,$0.00611,"$1,493,813","$47,354,932"
"Oct 30, 2022",$0.005721,$0.006383,$0.005529,$0.006025,"$1,643,892","$46,690,845"
