Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.5589,$0.5591,$0.4752,$0.4938,$164,"$2,363,100"
"Dec 30, 2022",$0.5324,$0.6147,$0.515,$0.5588,$267,"$2,674,489"
"Dec 29, 2022",$0.4822,$0.5326,$0.4809,$0.5324,$4,"$2,547,884"
"Dec 28, 2022",$0.4869,$0.4885,$0.4806,$0.4822,$0,"$2,307,581"
"Dec 27, 2022",$0.5414,$0.5427,$0.4848,$0.487,$0,"$2,330,528"
"Dec 26, 2022",$0.5388,$0.5414,$0.4899,$0.5414,$11,"$2,591,173"
"Dec 25, 2022",$0.5258,$0.539,$0.5251,$0.5388,$59,"$2,578,449"
"Dec 24, 2022",$0.5242,$0.5263,$0.5241,$0.5258,$0,"$2,516,441"
"Dec 23, 2022",$0.5253,$0.5276,$0.5242,$0.5242,$0,"$2,508,853"
"Dec 22, 2022",$0.5249,$0.5264,$0.5178,$0.5253,$0,"$2,513,840"
"Dec 21, 2022",$0.5276,$0.528,$0.523,$0.5249,$0,"$2,511,928"
"Dec 20, 2022",$0.5036,$0.531,$0.5032,$0.5276,$13,"$2,525,187"
"Dec 19, 2022",$0.5133,$0.5148,$0.5023,$0.5035,$0,"$2,409,857"
"Dec 18, 2022",$0.5022,$0.5151,$0.5001,$0.5133,$69,"$2,456,516"
"Dec 17, 2022",$0.4977,$0.5023,$0.4968,$0.5022,$0,"$2,403,281"
"Dec 16, 2022",$0.54,$0.5444,$0.4959,$0.4978,$45,"$2,382,159"
"Dec 15, 2022",$0.5173,$0.5431,$0.5043,$0.54,$22,"$2,584,537"
"Dec 14, 2022",$0.5477,$0.5492,$0.5152,$0.5174,$164,"$2,475,992"
"Dec 13, 2022",$0.53,$0.5522,$0.5271,$0.5477,$0,"$2,620,992"
"Dec 12, 2022",$0.5081,$0.5301,$0.5021,$0.53,$28,"$2,536,254"
"Dec 11, 2022",$0.4971,$0.5124,$0.4971,$0.5082,$54,"$2,431,959"
"Dec 10, 2022",$0.4972,$0.4996,$0.4968,$0.4971,$0,"$2,378,885"
"Dec 09, 2022",$0.5002,$0.55,$0.4963,$0.4972,$41,"$2,379,500"
"Dec 08, 2022",$0.4891,$0.5013,$0.4874,$0.5003,$0,"$2,394,258"
"Dec 07, 2022",$0.4961,$0.4967,$0.4863,$0.4891,$0,"$2,340,721"
"Dec 06, 2022",$0.4928,$0.4962,$0.4918,$0.4961,$10,"$2,374,256"
"Dec 05, 2022",$0.5224,$0.53,$0.4913,$0.4928,$4,"$2,358,323"
"Dec 04, 2022",$0.5409,$0.5455,$0.5167,$0.5225,$5,"$2,500,464"
"Dec 03, 2022",$0.4972,$0.5428,$0.4928,$0.5409,$2,"$2,588,592"
"Dec 02, 2022",$0.4936,$0.4971,$0.491,$0.4971,$0,"$2,379,046"
"Dec 01, 2022",$0.4994,$0.5003,$0.4913,$0.4936,$0,"$2,362,127"
"Nov 30, 2022",$0.5427,$0.5557,$0.4874,$0.4994,$15,"$2,390,170"
"Nov 29, 2022",$0.5345,$0.5446,$0.4754,$0.5427,$116,"$2,597,158"
"Nov 28, 2022",$0.5419,$0.5433,$0.5292,$0.5345,$0,"$2,558,099"
