Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0001185,$0.0001185,$0.0001139,$0.0001169,"$5,135","$1,398,480"
"Dec 30, 2022",$0.0001168,$0.0001185,$0.0001113,$0.0001183,"$12,523","$1,415,196"
"Dec 29, 2022",$0.0001103,$0.000117,$0.0001103,$0.0001168,"$4,302","$1,396,700"
"Dec 28, 2022",$0.0001089,$0.0001115,$0.0001073,$0.0001103,"$10,697","$1,318,808"
"Dec 27, 2022",$0.000108,$0.0001099,$0.0001069,$0.0001087,$215,"$1,299,758"
"Dec 26, 2022",$0.0001108,$0.0001108,$0.0001061,$0.0001085,"$13,055","$1,296,707"
"Dec 25, 2022",$0.0001058,$0.000114,$0.0001049,$0.0001108,"$11,022","$1,323,364"
"Dec 24, 2022",$0.000105,$0.0001063,$0.0001045,$0.0001058,"$6,668","$1,263,659"
"Dec 23, 2022",$0.0001098,$0.0001113,$0.0001042,$0.000105,"$10,285","$1,253,806"
"Dec 22, 2022",$0.0001079,$0.0001134,$0.0001074,$0.0001098,"$5,882","$1,310,991"
"Dec 21, 2022",$0.0001104,$0.0001104,$0.0001073,$0.0001078,"$8,330","$1,286,806"
"Dec 20, 2022",$0.0001048,$0.0001141,$0.0001044,$0.0001104,"$12,979","$1,316,362"
"Dec 19, 2022",$0.0001073,$0.000109,$0.0001036,$0.0001048,"$12,295","$1,249,166"
"Dec 18, 2022",$0.0001034,$0.000111,$0.0001026,$0.0001073,"$12,160","$1,279,335"
"Dec 17, 2022",$0.00009657,$0.0001039,$0.00009318,$0.0001034,"$18,967","$1,232,545"
"Dec 16, 2022",$0.0001051,$0.0001077,$0.00009383,$0.00009657,"$8,976","$1,150,522"
"Dec 15, 2022",$0.0001135,$0.0001136,$0.0001045,$0.0001051,"$4,865","$1,251,263"
"Dec 14, 2022",$0.0001135,$0.000117,$0.0001128,$0.0001136,"$14,688","$1,352,725"
"Dec 13, 2022",$0.0001247,$0.0001257,$0.0001118,$0.0001134,"$22,818","$1,349,576"
"Dec 12, 2022",$0.0001286,$0.0001295,$0.0001212,$0.0001249,"$28,936","$1,485,822"
"Dec 11, 2022",$0.0001304,$0.0001335,$0.0001282,$0.0001286,"$46,481","$1,529,263"
