Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.02824,$0.02901,$0.02765,$0.02836,"$2,010,283","$3,727,711"
"Dec 30, 2022",$0.02872,$0.02897,$0.02806,$0.02824,"$2,567,746","$3,711,347"
"Dec 29, 2022",$0.03044,$0.0305,$0.0287,$0.02872,"$2,631,190","$3,774,405"
"Dec 28, 2022",$0.0303,$0.03079,$0.03012,$0.03044,"$2,870,959","$4,001,032"
"Dec 27, 2022",$0.0309,$0.03096,$0.03017,$0.0303,"$2,478,973","$3,981,523"
"Dec 26, 2022",$0.03083,$0.03102,$0.03033,$0.0309,"$2,134,594","$4,060,794"
"Dec 25, 2022",$0.0305,$0.03087,$0.03017,$0.03083,"$1,967,135","$4,051,615"
"Dec 24, 2022",$0.03051,$0.03078,$0.03018,$0.0305,"$1,818,522","$4,007,910"
"Dec 23, 2022",$0.0311,$0.03111,$0.0297,$0.03051,"$2,370,933","$4,009,829"
"Dec 22, 2022",$0.03078,$0.03165,$0.03062,$0.0311,"$2,543,684","$4,087,502"
"Dec 21, 2022",$0.03098,$0.03113,$0.03,$0.03078,"$2,522,308","$4,044,572"
"Dec 20, 2022",$0.0306,$0.03116,$0.03031,$0.03098,"$2,957,599","$4,071,104"
"Dec 19, 2022",$0.02938,$0.03128,$0.02923,$0.0306,"$3,032,594","$4,021,308"
"Dec 18, 2022",$0.02979,$0.03012,$0.02911,$0.02937,"$2,399,041","$3,860,490"
"Dec 17, 2022",$0.02936,$0.03001,$0.02883,$0.02979,"$2,985,978","$3,914,531"
"Dec 16, 2022",$0.03092,$0.03129,$0.02889,$0.02936,"$3,325,297","$3,858,337"
"Dec 15, 2022",$0.03215,$0.03218,$0.03036,$0.03092,"$2,907,084","$4,064,198"
"Dec 14, 2022",$0.0319,$0.03265,$0.03086,$0.03216,"$3,327,658","$4,225,938"
"Dec 13, 2022",$0.03168,$0.03274,$0.03147,$0.0319,"$3,713,838","$4,192,596"
"Dec 12, 2022",$0.03212,$0.03236,$0.03078,$0.03168,"$3,034,100","$4,163,966"
"Dec 11, 2022",$0.03343,$0.03358,$0.03197,$0.03212,"$2,188,908","$4,221,836"
"Dec 10, 2022",$0.03188,$0.03344,$0.03176,$0.03342,"$2,254,404","$4,392,614"
"Dec 09, 2022",$0.03285,$0.03285,$0.03115,$0.03188,"$2,760,600","$4,189,926"
"Dec 08, 2022",$0.03276,$0.03362,$0.03233,$0.03285,"$3,078,631","$4,317,481"
"Dec 07, 2022",$0.03233,$0.0339,$0.03184,$0.03275,"$3,160,624","$4,304,644"
"Dec 06, 2022",$0.03304,$0.0348,$0.03175,$0.03233,"$3,177,842","$4,248,668"
"Dec 05, 2022",$0.03254,$0.03304,$0.03225,$0.03304,"$3,510,835","$4,341,709"
"Dec 04, 2022",$0.03152,$0.0336,$0.03144,$0.03254,"$2,621,909","$4,276,620"
"Dec 03, 2022",$0.03293,$0.03293,$0.0311,$0.03152,"$2,670,919","$4,142,810"
"Dec 02, 2022",$0.03356,$0.03406,$0.0324,$0.03293,"$3,064,964","$4,327,910"
"Dec 01, 2022",$0.0345,$0.03467,$0.03348,$0.03356,"$3,230,441","$4,410,226"
"Nov 30, 2022",$0.03465,$0.03513,$0.03382,$0.0345,"$4,066,333","$4,533,759"
"Nov 29, 2022",$0.03501,$0.0358,$0.03418,$0.03465,"$3,436,913","$4,553,701"
"Nov 28, 2022",$0.03647,$0.03663,$0.03425,$0.03501,"$3,661,152","$4,600,593"
"Nov 27, 2022",$0.0352,$0.03735,$0.03486,$0.03648,"$3,163,655","$4,793,599"
"Nov 26, 2022",$0.03588,$0.03803,$0.03476,$0.0352,"$3,055,283","$4,626,611"
"Nov 25, 2022",$0.03599,$0.03677,$0.03375,$0.03588,"$3,324,507","$4,715,265"
"Nov 24, 2022",$0.03452,$0.03721,$0.03349,$0.03599,"$3,759,003","$4,730,197"
"Nov 23, 2022",$0.03436,$0.03531,$0.03306,$0.03452,"$4,044,432","$4,536,105"
"Nov 22, 2022",$0.03306,$0.03511,$0.03169,$0.03435,"$4,062,589","$4,514,687"
"Nov 21, 2022",$0.0343,$0.03467,$0.032,$0.03307,"$4,319,619","$4,346,054"
"Nov 20, 2022",$0.03877,$0.03894,$0.03377,$0.0343,"$3,265,398","$4,507,657"
"Nov 19, 2022",$0.03762,$0.0388,$0.03658,$0.03876,"$2,860,922","$5,094,419"
"Nov 18, 2022",$0.03418,$0.04277,$0.03268,$0.03762,"$3,241,908","$4,943,881"
"Nov 17, 2022",$0.03316,$0.03456,$0.03161,$0.03418,"$3,775,595","$4,492,161"
"Nov 16, 2022",$0.03318,$0.03395,$0.03109,$0.03316,"$4,181,977","$4,358,021"
"Nov 15, 2022",$0.0314,$0.0344,$0.03107,$0.03318,"$4,461,109","$4,360,860"
