Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.04963,$0.05019,$0.04927,$0.04931,"$3,568,399","$16,815,914"
"Dec 30, 2022",$0.05144,$0.05154,$0.0491,$0.04962,"$6,782,205","$16,920,950"
"Dec 29, 2022",$0.05203,$0.05273,$0.05115,$0.05143,"$3,682,632","$17,539,223"
"Dec 28, 2022",$0.05281,$0.05326,$0.0514,$0.05202,"$3,698,483","$17,739,966"
"Dec 27, 2022",$0.05323,$0.05386,$0.0522,$0.05278,"$3,443,654","$17,996,400"
"Dec 26, 2022",$0.05246,$0.05327,$0.0523,$0.05323,"$3,182,471","$18,152,372"
"Dec 25, 2022",$0.05235,$0.05273,$0.05159,$0.05244,"$2,877,019","$17,883,722"
"Dec 24, 2022",$0.05189,$0.05245,$0.05188,$0.05234,"$2,311,990","$17,848,403"
"Dec 23, 2022",$0.05205,$0.05247,$0.05176,$0.0519,"$3,218,148","$17,697,558"
"Dec 22, 2022",$0.05279,$0.05303,$0.05078,$0.05205,"$3,410,020","$17,748,291"
"Dec 21, 2022",$0.05414,$0.05414,$0.05212,$0.05279,"$3,102,992","$18,001,956"
"Dec 20, 2022",$0.05137,$0.05447,$0.05127,$0.05428,"$3,872,203","$18,509,947"
"Dec 19, 2022",$0.05358,$0.05426,$0.05088,$0.05136,"$4,353,927","$17,513,980"
"Dec 18, 2022",$0.05433,$0.0544,$0.05277,$0.05357,"$3,931,109","$18,267,026"
"Dec 17, 2022",$0.0536,$0.05443,$0.05202,$0.05433,"$4,750,779","$18,525,341"
"Dec 16, 2022",$0.06238,$0.06354,$0.05307,$0.05361,"$7,894,123","$18,281,056"
"Dec 15, 2022",$0.06288,$0.064,$0.06191,$0.06238,"$5,129,240","$21,271,687"
"Dec 14, 2022",$0.06287,$0.06603,$0.06227,$0.06287,"$8,091,767","$21,440,134"
"Dec 13, 2022",$0.06102,$0.06328,$0.05899,$0.06287,"$7,015,794","$21,437,857"
"Dec 12, 2022",$0.06296,$0.06296,$0.0597,$0.06101,"$5,377,224","$20,805,693"
"Dec 11, 2022",$0.06466,$0.06511,$0.06296,$0.06298,"$5,186,452","$21,475,300"
"Dec 10, 2022",$0.06375,$0.06511,$0.06375,$0.06468,"$4,329,592","$22,055,778"
"Dec 09, 2022",$0.06365,$0.06474,$0.06334,$0.06373,"$4,713,938","$21,733,077"
"Dec 08, 2022",$0.0624,$0.06371,$0.06164,$0.06366,"$6,271,268","$21,707,220"
"Dec 07, 2022",$0.06596,$0.06667,$0.06218,$0.0624,"$6,367,892","$21,277,933"
"Dec 06, 2022",$0.06512,$0.0667,$0.06481,$0.06595,"$7,415,427","$22,489,725"
"Dec 05, 2022",$0.0656,$0.06687,$0.06492,$0.06512,"$6,706,399","$22,205,518"
"Dec 04, 2022",$0.06497,$0.06719,$0.06493,$0.06562,"$8,384,901","$22,375,360"
"Dec 03, 2022",$0.06575,$0.06953,$0.06492,$0.06497,"$13,354,443","$22,153,753"
"Dec 02, 2022",$0.06445,$0.06598,$0.06386,$0.06574,"$6,535,526","$22,416,421"
"Dec 01, 2022",$0.06532,$0.0659,$0.06375,$0.06445,"$6,497,822","$21,978,130"
"Nov 30, 2022",$0.06389,$0.06545,$0.06318,$0.06532,"$7,463,558","$22,275,428"
"Nov 29, 2022",$0.06215,$0.06531,$0.06152,$0.06389,"$10,293,324","$21,786,153"
"Nov 28, 2022",$0.06149,$0.0625,$0.05869,$0.06216,"$8,145,382","$21,197,477"
"Nov 27, 2022",$0.06124,$0.06261,$0.06067,$0.06149,"$5,410,554","$20,966,827"
"Nov 26, 2022",$0.06124,$0.06337,$0.06091,$0.06124,"$5,386,300","$20,883,960"
"Nov 25, 2022",$0.06077,$0.06166,$0.05937,$0.06124,"$5,408,268","$20,883,901"
"Nov 24, 2022",$0.06134,$0.06228,$0.06041,$0.06077,"$5,882,349","$20,723,909"
"Nov 23, 2022",$0.0604,$0.06199,$0.05981,$0.06134,"$5,804,128","$20,915,903"
"Nov 22, 2022",$0.05687,$0.06082,$0.05434,$0.06037,"$8,119,989","$20,586,264"
"Nov 21, 2022",$0.05676,$0.05742,$0.05471,$0.05689,"$7,854,568","$19,401,187"
"Nov 20, 2022",$0.05849,$0.0622,$0.0562,$0.05676,"$12,682,087","$19,355,954"
"Nov 19, 2022",$0.05833,$0.05848,$0.05692,$0.05848,"$3,754,856","$19,941,488"
"Nov 18, 2022",$0.05741,$0.05902,$0.05736,$0.05832,"$3,462,329","$19,888,762"
"Nov 17, 2022",$0.05894,$0.05925,$0.05738,$0.05742,"$4,001,289","$19,581,807"
"Nov 16, 2022",$0.06037,$0.06045,$0.05762,$0.05896,"$4,755,678","$20,104,408"
"Nov 15, 2022",$0.05829,$0.06271,$0.05807,$0.06038,"$7,324,527","$20,590,727"
"Nov 14, 2022",$0.05688,$0.05837,$0.05333,$0.05828,"$8,058,698","$19,873,153"
"Nov 13, 2022",$0.05677,$0.06074,$0.05498,$0.05688,"$15,670,216","$19,397,081"
"Nov 12, 2022",$0.06029,$0.06043,$0.05633,$0.05676,"$5,125,995","$19,354,347"
"Nov 11, 2022",$0.06229,$0.06415,$0.05674,$0.06028,"$13,590,470","$20,555,425"
"Nov 10, 2022",$0.05333,$0.06258,$0.05286,$0.0623,"$10,917,514","$21,243,973"
"Nov 09, 2022",$0.06451,$0.06451,$0.0523,$0.05332,"$14,032,383","$18,183,718"
"Nov 08, 2022",$0.07972,$0.0806,$0.06125,$0.0645,"$14,270,214","$21,993,845"
"Nov 07, 2022",$0.08002,$0.08217,$0.07779,$0.0797,"$5,050,500","$27,178,391"
"Nov 06, 2022",$0.08386,$0.08994,$0.07993,$0.08002,"$11,341,479","$27,286,196"
"Nov 05, 2022",$0.08779,$0.08957,$0.08304,$0.08386,"$7,731,103","$28,594,619"
"Nov 04, 2022",$0.08514,$0.08855,$0.0818,$0.0878,"$10,369,830","$29,938,500"
"Nov 03, 2022",$0.07419,$0.09099,$0.07395,$0.08513,"$43,416,169","$29,028,829"
"Nov 02, 2022",$0.07809,$0.07809,$0.07179,$0.07421,"$6,147,925","$25,306,744"
"Nov 01, 2022",$0.07932,$0.08055,$0.0779,$0.07808,"$2,659,885","$26,626,473"
"Oct 31, 2022",$0.08021,$0.08105,$0.07764,$0.07938,"$4,153,457","$27,067,111"
"Oct 30, 2022",$0.08131,$0.08353,$0.07854,$0.08022,"$5,865,186","$27,354,366"
"Oct 29, 2022",$0.07613,$0.08403,$0.07609,$0.08131,"$13,292,848","$27,725,333"
"Oct 28, 2022",$0.07589,$0.07677,$0.07383,$0.07613,"$3,463,578","$25,961,903"
"Oct 27, 2022",$0.07793,$0.07987,$0.07567,$0.0759,"$4,032,134","$25,882,023"
"Oct 26, 2022",$0.07623,$0.07855,$0.07618,$0.07793,"$3,422,933","$26,574,383"
"Oct 25, 2022",$0.07481,$0.0775,$0.07403,$0.07625,"$3,050,042","$26,001,503"
"Oct 24, 2022",$0.07663,$0.07721,$0.07435,$0.07481,"$1,973,803","$25,509,765"
"Oct 23, 2022",$0.07504,$0.07664,$0.07373,$0.07663,"$2,052,644","$26,131,120"
"Oct 22, 2022",$0.07454,$0.07587,$0.07391,$0.07505,"$1,966,460","$25,591,996"
"Oct 21, 2022",$0.07551,$0.07551,$0.07104,$0.07454,"$2,727,419","$25,417,510"
"Oct 20, 2022",$0.07619,$0.07755,$0.0749,$0.07551,"$2,761,550","$25,748,168"
"Oct 19, 2022",$0.07909,$0.07946,$0.07608,$0.07619,"$3,633,604","$25,980,150"
"Oct 18, 2022",$0.08002,$0.08108,$0.07781,$0.07908,"$4,464,458","$26,966,229"
"Oct 17, 2022",$0.0783,$0.0802,$0.07824,$0.08001,"$3,281,491","$27,284,094"
"Oct 16, 2022",$0.07633,$0.08007,$0.07624,$0.07831,"$6,202,257","$26,703,230"
"Oct 15, 2022",$0.07566,$0.07741,$0.07487,$0.07632,"$4,224,952","$26,026,402"
"Oct 14, 2022",$0.07591,$0.07897,$0.07476,$0.07566,"$3,459,505","$25,800,807"
"Oct 13, 2022",$0.07853,$0.0787,$0.06956,$0.07594,"$7,374,958","$25,895,235"
"Oct 12, 2022",$0.07823,$0.07927,$0.0778,$0.07853,"$2,316,838","$26,778,553"
"Oct 11, 2022",$0.08,$0.08,$0.07683,$0.07823,"$4,229,648","$26,674,819"
"Oct 10, 2022",$0.08374,$0.08448,$0.08001,$0.08001,"$3,429,253","$27,283,638"
"Oct 09, 2022",$0.08268,$0.08405,$0.08264,$0.08374,"$1,988,588","$28,554,477"
"Oct 08, 2022",$0.08382,$0.08474,$0.08233,$0.08269,"$2,320,962","$28,197,221"
"Oct 07, 2022",$0.08407,$0.08503,$0.08318,$0.08381,"$3,175,718","$28,577,554"
"Oct 06, 2022",$0.08612,$0.08717,$0.08357,$0.08406,"$3,169,771","$28,664,428"
"Oct 05, 2022",$0.08736,$0.08843,$0.08493,$0.08612,"$3,840,210","$29,367,417"
"Oct 04, 2022",$0.08877,$0.09045,$0.08715,$0.08736,"$5,145,929","$29,789,554"
"Oct 03, 2022",$0.09021,$0.09275,$0.08823,$0.08878,"$12,012,478","$30,272,317"
"Oct 02, 2022",$0.08621,$0.09225,$0.08621,$0.09021,"$16,348,841","$30,761,139"
"Oct 01, 2022",$0.08889,$0.08908,$0.08557,$0.08621,"$6,459,682","$29,397,272"
