Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1601,$0.1642,$0.1583,$0.164,"$1,812,032","$28,147,867"
"Dec 30, 2022",$0.1665,$0.167,$0.1587,$0.1601,"$1,845,321","$27,478,831"
"Dec 29, 2022",$0.1667,$0.1696,$0.1654,$0.1665,"$1,471,731","$28,579,540"
"Dec 28, 2022",$0.1712,$0.1718,$0.165,$0.1668,"$1,784,889","$28,632,827"
"Dec 27, 2022",$0.1757,$0.177,$0.1699,$0.1712,"$1,636,913","$29,378,466"
"Dec 26, 2022",$0.1761,$0.1807,$0.1745,$0.1754,"$1,716,473","$30,107,226"
"Dec 25, 2022",$0.1758,$0.1804,$0.174,$0.1762,"$1,716,594","$30,233,987"
"Dec 24, 2022",$0.1769,$0.1845,$0.1749,$0.1758,"$1,924,876","$30,177,723"
"Dec 23, 2022",$0.1722,$0.1799,$0.1708,$0.1769,"$1,888,613","$30,365,283"
"Dec 22, 2022",$0.1775,$0.1785,$0.1676,$0.1722,"$2,076,406","$29,549,155"
"Dec 21, 2022",$0.1816,$0.1821,$0.177,$0.1775,"$1,907,929","$30,461,663"
"Dec 20, 2022",$0.1848,$0.1853,$0.18,$0.1816,"$1,749,749","$31,164,831"
"Dec 19, 2022",$0.1889,$0.1889,$0.1847,$0.1848,"$1,485,211","$31,721,332"
"Dec 18, 2022",$0.1887,$0.1894,$0.184,$0.1888,"$942,643","$32,411,185"
"Dec 17, 2022",$0.187,$0.1887,$0.1787,$0.1887,"$1,854,473","$32,383,627"
"Dec 16, 2022",$0.1989,$0.2035,$0.1864,$0.187,"$1,748,837","$32,092,901"
"Dec 15, 2022",$0.2055,$0.2056,$0.1979,$0.1989,"$1,320,460","$34,136,076"
"Dec 14, 2022",$0.2058,$0.2115,$0.2037,$0.2054,"$1,864,534","$35,257,479"
"Dec 13, 2022",$0.2034,$0.207,$0.2021,$0.2058,"$1,785,387","$35,314,044"
"Dec 12, 2022",$0.2015,$0.2044,$0.1986,$0.2035,"$1,509,113","$34,918,900"
"Dec 11, 2022",$0.2034,$0.2114,$0.2014,$0.2015,"$1,455,449","$34,585,751"
"Dec 10, 2022",$0.2045,$0.2072,$0.2027,$0.2033,"$948,528","$34,892,396"
"Dec 09, 2022",$0.2012,$0.2085,$0.1998,$0.2044,"$1,373,767","$35,082,631"
"Dec 08, 2022",$0.1994,$0.2019,$0.1961,$0.2012,"$1,040,293","$34,535,357"
"Dec 07, 2022",$0.2039,$0.205,$0.1968,$0.1994,"$1,168,912","$34,218,261"
"Dec 06, 2022",$0.2045,$0.2064,$0.2026,$0.2039,"$914,514","$34,986,399"
"Dec 05, 2022",$0.2046,$0.2079,$0.201,$0.2047,"$961,754","$35,129,533"
"Dec 04, 2022",$0.2043,$0.2064,$0.2013,$0.2046,"$962,161","$35,116,150"
"Dec 03, 2022",$0.213,$0.213,$0.2021,$0.2043,"$1,157,770","$35,063,430"
"Dec 02, 2022",$0.2024,$0.2134,$0.2018,$0.213,"$1,082,174","$36,548,694"
"Dec 01, 2022",$0.2019,$0.2075,$0.2015,$0.2024,"$967,259","$34,742,542"
"Nov 30, 2022",$0.2,$0.2084,$0.1991,$0.2019,"$1,549,547","$34,652,191"
"Nov 29, 2022",$0.2008,$0.2011,$0.1972,$0.2,"$1,155,209","$34,317,683"
"Nov 28, 2022",$0.2018,$0.2024,$0.1987,$0.2009,"$1,415,560","$34,487,407"
"Nov 27, 2022",$0.2004,$0.2033,$0.1997,$0.2018,"$1,188,377","$34,636,054"
"Nov 26, 2022",$0.2029,$0.2055,$0.199,$0.2004,"$1,314,802","$34,387,888"
"Nov 25, 2022",$0.2087,$0.2142,$0.2019,$0.2029,"$1,837,292","$34,829,241"
"Nov 24, 2022",$0.2012,$0.2227,$0.2001,$0.2086,"$2,214,491","$35,802,519"
"Nov 23, 2022",$0.1956,$0.2069,$0.1945,$0.2014,"$1,379,993","$34,558,994"
"Nov 22, 2022",$0.1929,$0.2086,$0.189,$0.1955,"$2,006,123","$33,558,097"
"Nov 21, 2022",$0.2021,$0.2021,$0.1915,$0.1929,"$1,411,663","$33,113,433"
"Nov 20, 2022",$0.2181,$0.2191,$0.2019,$0.2021,"$1,748,498","$34,684,578"
"Nov 19, 2022",$0.2331,$0.234,$0.2144,$0.2181,"$3,302,626","$37,438,373"
"Nov 18, 2022",$0.1929,$0.2582,$0.1913,$0.2329,"$12,353,881","$39,979,247"
"Nov 17, 2022",$0.1958,$0.1976,$0.1913,$0.1932,"$1,270,338","$33,159,986"
"Nov 16, 2022",$0.2032,$0.2034,$0.1887,$0.1957,"$956,632","$33,593,756"
"Nov 15, 2022",$0.1904,$0.2068,$0.1904,$0.2032,"$1,484,478","$34,866,747"
"Nov 14, 2022",$0.2006,$0.2009,$0.1894,$0.1906,"$1,474,271","$32,705,169"
"Nov 13, 2022",$0.2115,$0.2144,$0.2003,$0.2006,"$1,735,247","$34,429,927"
"Nov 12, 2022",$0.2227,$0.227,$0.2078,$0.2115,"$1,494,472","$36,293,172"
"Nov 11, 2022",$0.2398,$0.2403,$0.2137,$0.2227,"$2,487,712","$38,212,194"
"Nov 10, 2022",$0.2135,$0.2405,$0.2054,$0.2398,"$5,444,907","$41,151,434"
"Nov 09, 2022",$0.2644,$0.2651,$0.2111,$0.2137,"$3,628,483","$36,668,416"
"Nov 08, 2022",$0.2957,$0.299,$0.2622,$0.2644,"$2,930,842","$45,373,636"
"Nov 07, 2022",$0.3026,$0.3041,$0.2932,$0.2956,"$1,415,466","$50,738,421"
"Nov 06, 2022",$0.3218,$0.322,$0.3026,$0.3026,"$927,553","$51,937,937"
"Nov 05, 2022",$0.3203,$0.3364,$0.3194,$0.3218,"$1,273,717","$55,222,339"
"Nov 04, 2022",$0.2985,$0.3209,$0.2983,$0.3203,"$1,339,219","$54,969,100"
"Nov 03, 2022",$0.2921,$0.3051,$0.2921,$0.2985,"$1,031,532","$51,238,171"
