Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.001889,$0.002548,$0.00188,$0.002547,"$357,713","$2,525,001"
"Dec 30, 2022",$0.001597,$0.002073,$0.001563,$0.001907,"$192,661","$1,890,032"
"Dec 29, 2022",$0.001606,$0.001633,$0.001512,$0.001601,"$164,663","$1,587,416"
"Dec 28, 2022",$0.001679,$0.001727,$0.001584,$0.001606,"$167,694","$1,592,419"
"Dec 27, 2022",$0.001665,$0.00176,$0.001637,$0.001679,"$165,101","$1,664,075"
"Dec 26, 2022",$0.001898,$0.001915,$0.001616,$0.001662,"$154,950","$1,647,376"
"Dec 25, 2022",$0.002015,$0.002027,$0.001866,$0.001898,"$168,719","$1,881,277"
"Dec 24, 2022",$0.002013,$0.002067,$0.001872,$0.002015,"$183,790","$1,997,646"
"Dec 23, 2022",$0.001692,$0.00223,$0.001678,$0.002013,"$198,506","$1,995,528"
"Dec 22, 2022",$0.001487,$0.001846,$0.001446,$0.001693,"$119,443","$1,677,758"
"Dec 21, 2022",$0.001682,$0.00169,$0.001463,$0.001482,"$70,085","$1,469,128"
"Dec 20, 2022",$0.00174,$0.00174,$0.001669,$0.001682,"$63,301","$1,667,243"
"Dec 19, 2022",$0.00164,$0.001769,$0.001619,$0.00174,"$487,770","$1,724,502"
"Dec 18, 2022",$0.001653,$0.001713,$0.001565,$0.00164,"$607,001","$1,625,420"
"Dec 17, 2022",$0.001721,$0.001742,$0.001587,$0.001653,"$496,917","$1,638,989"
"Dec 16, 2022",$0.001852,$0.00191,$0.001683,$0.001721,"$233,776","$1,706,408"
"Dec 15, 2022",$0.001898,$0.001942,$0.001849,$0.001852,"$118,682","$1,836,070"
"Dec 14, 2022",$0.001796,$0.001996,$0.001768,$0.001899,"$141,415","$1,881,967"
"Dec 13, 2022",$0.001833,$0.001868,$0.001763,$0.001796,"$124,239","$1,780,105"
"Dec 12, 2022",$0.001864,$0.001918,$0.001781,$0.001841,"$131,766","$1,824,462"
"Dec 11, 2022",$0.00178,$0.002009,$0.001743,$0.001864,"$70,208","$1,847,680"
"Dec 10, 2022",$0.001623,$0.001783,$0.001605,$0.00178,"$84,067","$1,764,866"
"Dec 09, 2022",$0.001613,$0.001707,$0.001612,$0.001623,"$72,981","$1,609,207"
"Dec 08, 2022",$0.001617,$0.001674,$0.00157,$0.001613,"$66,498","$1,598,670"
"Dec 07, 2022",$0.001881,$0.001881,$0.001551,$0.001617,"$97,322","$1,603,080"
"Dec 06, 2022",$0.001698,$0.00188,$0.001613,$0.00188,"$106,193","$1,863,971"
"Dec 05, 2022",$0.001686,$0.001794,$0.001597,$0.001698,"$87,819","$1,683,585"
"Dec 04, 2022",$0.001758,$0.001829,$0.001666,$0.001686,"$95,743","$1,671,162"
"Dec 03, 2022",$0.001768,$0.00185,$0.001705,$0.001758,"$75,408","$1,743,125"
"Dec 02, 2022",$0.001828,$0.001883,$0.001754,$0.001768,"$81,370","$1,752,599"
"Dec 01, 2022",$0.001839,$0.0019,$0.00181,$0.001828,"$71,254","$1,812,255"
"Nov 30, 2022",$0.001816,$0.001922,$0.001776,$0.001839,"$98,660","$1,822,716"
"Nov 29, 2022",$0.001806,$0.001916,$0.001768,$0.001816,"$117,736","$1,800,463"
"Nov 28, 2022",$0.001813,$0.001826,$0.001776,$0.001806,"$77,553","$1,790,459"
"Nov 27, 2022",$0.001941,$0.001962,$0.001812,$0.001813,"$99,194","$1,797,089"
"Nov 26, 2022",$0.002046,$0.002156,$0.001841,$0.001941,"$91,598","$1,924,430"
"Nov 25, 2022",$0.002123,$0.002136,$0.001981,$0.002046,"$83,591","$2,028,453"
"Nov 24, 2022",$0.002072,$0.002136,$0.001989,$0.002124,"$81,110","$2,105,007"
"Nov 23, 2022",$0.001983,$0.002092,$0.001944,$0.002072,"$73,907","$2,054,054"
"Nov 22, 2022",$0.001891,$0.002012,$0.00189,$0.00198,"$72,151","$1,962,299"
"Nov 21, 2022",$0.002048,$0.002048,$0.001876,$0.001891,"$72,740","$1,874,884"
"Nov 20, 2022",$0.002171,$0.002193,$0.002021,$0.002048,"$60,564","$2,029,770"
"Nov 19, 2022",$0.001979,$0.0022,$0.001959,$0.002171,"$87,182","$2,151,828"
"Nov 18, 2022",$0.001996,$0.002033,$0.001881,$0.001979,"$76,704","$1,961,650"
"Nov 17, 2022",$0.002084,$0.002103,$0.001953,$0.001996,"$116,607","$1,978,710"
"Nov 16, 2022",$0.002153,$0.00217,$0.002049,$0.002084,"$82,264","$2,065,519"
"Nov 15, 2022",$0.002121,$0.002184,$0.002115,$0.002153,"$65,234","$2,133,914"
"Nov 14, 2022",$0.002244,$0.002295,$0.002083,$0.002121,"$88,463","$2,102,058"
"Nov 13, 2022",$0.002132,$0.002346,$0.00202,$0.002237,"$96,068","$2,217,243"
"Nov 12, 2022",$0.00223,$0.002243,$0.002063,$0.002132,"$76,821","$2,113,701"
"Nov 11, 2022",$0.002458,$0.00247,$0.002103,$0.00223,"$89,642","$2,210,678"
"Nov 10, 2022",$0.002124,$0.002563,$0.002057,$0.002458,"$101,465","$2,436,942"
"Nov 09, 2022",$0.002676,$0.002682,$0.002089,$0.002124,"$75,901","$2,105,126"
"Nov 08, 2022",$0.003366,$0.003373,$0.0026,$0.002676,"$90,184","$2,652,276"
"Nov 07, 2022",$0.003317,$0.003401,$0.003249,$0.003366,"$83,516","$3,336,764"
"Nov 06, 2022",$0.003288,$0.003486,$0.003177,$0.003317,"$91,447","$3,288,555"
"Nov 05, 2022",$0.003263,$0.00339,$0.003253,$0.003288,"$78,772","$3,259,129"
"Nov 04, 2022",$0.003054,$0.003447,$0.003044,$0.003263,"$121,875","$3,234,216"
"Nov 03, 2022",$0.002787,$0.003263,$0.002785,$0.003054,"$111,524","$3,027,633"
"Nov 02, 2022",$0.002619,$0.003055,$0.002577,$0.002787,"$191,493","$2,763,054"
"Nov 01, 2022",$0.002786,$0.002794,$0.002458,$0.002619,"$100,590","$2,596,308"
"Oct 31, 2022",$0.002644,$0.003211,$0.002528,$0.002786,"$113,921","$2,762,043"
"Oct 30, 2022",$0.002734,$0.002738,$0.002601,$0.002644,"$70,144","$2,620,698"
