Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.8659,$0.8893,$0.8471,$0.8732,"$3,081,557","$141,444,388"
"Dec 30, 2022",$0.8141,$0.8876,$0.8093,$0.8649,"$3,959,540","$139,830,692"
"Dec 29, 2022",$0.7798,$0.825,$0.7798,$0.8138,"$3,024,840","$131,315,612"
"Dec 28, 2022",$0.8029,$0.8043,$0.7743,$0.78,"$2,600,880","$125,716,227"
"Dec 27, 2022",$0.8117,$0.8155,$0.7928,$0.803,"$1,905,331","$129,418,591"
"Dec 26, 2022",$0.8037,$0.8291,$0.8031,$0.8111,"$2,890,812","$130,667,494"
"Dec 25, 2022",$0.8205,$0.8265,$0.7922,$0.8038,"$1,803,092","$129,420,099"
"Dec 24, 2022",$0.7854,$0.8239,$0.7837,$0.8205,"$2,505,723","$132,139,283"
"Dec 23, 2022",$0.8012,$0.8045,$0.7705,$0.7855,"$3,179,453","$126,305,563"
"Dec 22, 2022",$0.7792,$0.8051,$0.7561,$0.8018,"$3,867,038","$128,800,654"
"Dec 21, 2022",$0.8015,$0.8124,$0.7765,$0.779,"$2,267,054","$125,109,391"
"Dec 20, 2022",$0.7798,$0.828,$0.7781,$0.8016,"$3,298,749","$128,767,274"
"Dec 19, 2022",$0.9062,$0.9265,$0.7706,$0.7792,"$11,399,119","$125,142,512"
"Dec 18, 2022",$0.7275,$0.9794,$0.7273,$0.9065,"$25,096,131","$145,809,965"
"Dec 17, 2022",$0.7261,$0.7369,$0.6975,$0.7275,"$3,382,350","$116,125,879"
"Dec 16, 2022",$0.8164,$0.8331,$0.7251,$0.7267,"$4,280,241","$116,083,103"
"Dec 15, 2022",$0.868,$0.8694,$0.7952,$0.8167,"$3,716,135","$130,331,700"
"Dec 14, 2022",$0.8179,$0.8994,$0.8164,$0.8667,"$5,496,868","$138,255,776"
"Dec 13, 2022",$0.7707,$0.8467,$0.7502,$0.8171,"$4,071,091","$130,223,327"
"Dec 12, 2022",$0.806,$0.806,$0.7197,$0.7701,"$6,694,753","$122,632,785"
"Dec 11, 2022",$0.7978,$0.8199,$0.7966,$0.8061,"$1,922,373","$127,582,643"
"Dec 10, 2022",$0.8132,$0.8232,$0.7965,$0.7978,"$1,810,471","$126,140,977"
"Dec 09, 2022",$0.8531,$0.857,$0.809,$0.8136,"$3,120,777","$128,678,220"
"Dec 08, 2022",$0.8567,$0.8707,$0.8328,$0.8531,"$4,948,316","$134,883,000"
"Dec 07, 2022",$0.898,$0.8985,$0.8209,$0.8572,"$5,046,172","$135,350,423"
"Dec 06, 2022",$0.9357,$0.9604,$0.8802,$0.8978,"$2,883,375","$141,761,647"
"Dec 05, 2022",$0.9024,$0.9795,$0.8865,$0.9353,"$5,724,555","$147,497,622"
"Dec 04, 2022",$0.8919,$0.9371,$0.8892,$0.9023,"$3,410,936","$142,101,051"
"Dec 03, 2022",$0.8471,$0.9374,$0.8294,$0.8913,"$5,937,344","$140,283,824"
"Dec 02, 2022",$0.7869,$0.8499,$0.7863,$0.847,"$3,877,934","$132,776,533"
"Dec 01, 2022",$0.7988,$0.8177,$0.7695,$0.7865,"$4,730,310","$123,110,234"
"Nov 30, 2022",$0.7279,$0.8049,$0.7264,$0.7988,"$4,920,790","$125,070,092"
"Nov 29, 2022",$0.6888,$0.746,$0.6858,$0.728,"$3,884,637","$113,789,986"
"Nov 28, 2022",$0.7137,$0.7162,$0.6806,$0.689,"$2,279,899","$107,618,059"
"Nov 27, 2022",$0.7079,$0.7351,$0.7068,$0.7139,"$2,211,801","$111,530,259"
"Nov 26, 2022",$0.6891,$0.7402,$0.6887,$0.7078,"$3,335,564","$110,559,459"
"Nov 25, 2022",$0.6669,$0.7139,$0.6494,$0.6891,"$3,524,700","$107,503,052"
"Nov 24, 2022",$0.672,$0.6845,$0.6643,$0.6668,"$2,846,539","$104,396,830"
"Nov 23, 2022",$0.6292,$0.6728,$0.6281,$0.6723,"$2,800,384","$105,246,417"
