Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.03226,$0.03338,$0.03209,$0.03298,"$282,579","$10,342,112"
"Dec 30, 2022",$0.03414,$0.03523,$0.03212,$0.03228,"$518,362","$10,122,379"
"Dec 29, 2022",$0.03435,$0.03542,$0.03301,$0.03407,"$349,514","$10,683,521"
"Dec 28, 2022",$0.03459,$0.03528,$0.03364,$0.03437,"$529,614","$10,778,203"
"Dec 27, 2022",$0.03413,$0.03526,$0.0336,$0.03454,"$398,761","$10,831,497"
"Dec 26, 2022",$0.03461,$0.03471,$0.03381,$0.03413,"$247,013","$10,702,243"
"Dec 25, 2022",$0.03486,$0.03556,$0.03395,$0.03476,"$466,794","$10,900,449"
"Dec 24, 2022",$0.03404,$0.04071,$0.03387,$0.03485,"$559,735","$10,927,653"
"Dec 23, 2022",$0.03452,$0.03463,$0.03387,$0.03399,"$337,831","$10,658,755"
"Dec 22, 2022",$0.03526,$0.03532,$0.03429,$0.03452,"$267,305","$10,824,839"
"Dec 21, 2022",$0.03469,$0.03554,$0.03418,$0.0353,"$295,083","$11,068,707"
"Dec 20, 2022",$0.03408,$0.03475,$0.03392,$0.03469,"$229,835","$10,879,439"
"Dec 19, 2022",$0.03448,$0.0359,$0.03401,$0.03406,"$437,301","$10,682,009"
"Dec 18, 2022",$0.03488,$0.03541,$0.0341,$0.03448,"$245,186","$10,811,986"
"Dec 17, 2022",$0.03442,$0.03582,$0.03406,$0.03488,"$897,646","$10,938,967"
"Dec 16, 2022",$0.0356,$0.03619,$0.03445,$0.03449,"$578,842","$10,817,380"
"Dec 15, 2022",$0.0355,$0.03659,$0.03527,$0.03561,"$643,653","$11,165,860"
"Dec 14, 2022",$0.03809,$0.03861,$0.03528,$0.03549,"$564,819","$11,129,840"
"Dec 13, 2022",$0.03462,$0.03861,$0.03449,$0.03808,"$1,363,060","$11,940,548"
"Dec 12, 2022",$0.03562,$0.03571,$0.03424,$0.0346,"$326,547","$10,851,448"
"Dec 11, 2022",$0.03512,$0.03735,$0.03483,$0.0356,"$399,753","$11,163,484"
"Dec 10, 2022",$0.0381,$0.04412,$0.03484,$0.03512,"$3,832,121","$11,012,701"
"Dec 09, 2022",$0.03422,$0.03815,$0.03396,$0.03812,"$653,431","$11,954,576"
"Dec 08, 2022",$0.03438,$0.03467,$0.03313,$0.03422,"$303,277","$10,732,429"
"Dec 07, 2022",$0.03354,$0.03492,$0.03325,$0.03438,"$395,792","$10,782,550"
"Dec 06, 2022",$0.03464,$0.03538,$0.03351,$0.03354,"$334,275","$10,517,550"
"Dec 05, 2022",$0.03681,$0.03691,$0.03449,$0.03464,"$457,090","$10,862,434"
"Dec 04, 2022",$0.03595,$0.04071,$0.03588,$0.03679,"$1,467,203","$11,538,089"
"Dec 03, 2022",$0.03569,$0.0361,$0.03532,$0.03595,"$376,441","$11,275,066"
"Dec 02, 2022",$0.03546,$0.03579,$0.03524,$0.03569,"$318,212","$11,191,452"
"Dec 01, 2022",$0.03487,$0.0358,$0.03414,$0.03546,"$352,208","$11,119,801"
"Nov 30, 2022",$0.03437,$0.03506,$0.03415,$0.0349,"$322,703","$10,942,957"
"Nov 29, 2022",$0.03407,$0.03498,$0.03354,$0.03437,"$320,753","$10,777,673"
"Nov 28, 2022",$0.03543,$0.03625,$0.03363,$0.03405,"$414,112","$10,679,083"
"Nov 27, 2022",$0.03587,$0.03611,$0.03532,$0.03543,"$334,636","$11,111,978"
"Nov 26, 2022",$0.0361,$0.03621,$0.03565,$0.03581,"$345,938","$11,230,175"
"Nov 25, 2022",$0.03699,$0.03722,$0.03574,$0.03611,"$425,873","$11,323,300"
"Nov 24, 2022",$0.03723,$0.03744,$0.03683,$0.03699,"$390,116","$11,598,553"
"Nov 23, 2022",$0.03572,$0.03744,$0.03556,$0.03729,"$390,362","$11,694,534"
"Nov 22, 2022",$0.03492,$0.03587,$0.03476,$0.03569,"$394,033","$11,191,050"
"Nov 21, 2022",$0.03654,$0.03657,$0.03439,$0.03485,"$402,362","$10,930,337"
"Nov 20, 2022",$0.0367,$0.03701,$0.03633,$0.03661,"$393,921","$11,480,106"
"Nov 19, 2022",$0.03716,$0.03753,$0.03644,$0.03664,"$400,759","$11,490,654"
"Nov 18, 2022",$0.03698,$0.03877,$0.03635,$0.03717,"$533,008","$11,656,870"
"Nov 17, 2022",$0.03555,$0.04159,$0.03553,$0.03701,"$1,152,855","$11,605,093"
"Nov 16, 2022",$0.03546,$0.03629,$0.03507,$0.03556,"$364,581","$11,150,701"
"Nov 15, 2022",$0.0353,$0.03681,$0.03526,$0.03549,"$333,518","$11,128,400"
"Nov 14, 2022",$0.03654,$0.03658,$0.03289,$0.03531,"$403,684","$11,072,453"
"Nov 13, 2022",$0.03874,$0.03888,$0.03574,$0.03654,"$388,012","$11,459,646"
"Nov 12, 2022",$0.03912,$0.04008,$0.03816,$0.03875,"$434,643","$12,151,739"
"Nov 11, 2022",$0.04194,$0.04224,$0.03809,$0.0391,"$380,106","$12,260,748"
"Nov 10, 2022",$0.03465,$0.04273,$0.03428,$0.04196,"$436,261","$13,159,181"
"Nov 09, 2022",$0.04214,$0.04292,$0.03436,$0.03465,"$635,144","$10,865,383"
"Nov 08, 2022",$0.04679,$0.0469,$0.04089,$0.04214,"$952,004","$13,215,685"
"Nov 07, 2022",$0.04691,$0.04735,$0.04645,$0.0468,"$426,404","$14,676,113"
"Nov 06, 2022",$0.04754,$0.04809,$0.0462,$0.0469,"$605,180","$14,708,537"
"Nov 05, 2022",$0.04641,$0.04824,$0.04637,$0.04753,"$397,048","$14,903,607"
"Nov 04, 2022",$0.04576,$0.04724,$0.04556,$0.04641,"$449,222","$14,554,190"
"Nov 03, 2022",$0.04582,$0.04681,$0.04505,$0.04576,"$568,501","$14,351,036"
"Nov 02, 2022",$0.04627,$0.04631,$0.04549,$0.04582,"$467,332","$14,370,161"
"Nov 01, 2022",$0.04581,$0.04653,$0.04543,$0.04627,"$446,439","$14,510,605"
"Oct 31, 2022",$0.04602,$0.04659,$0.04531,$0.04576,"$425,809","$14,350,404"
"Oct 30, 2022",$0.04708,$0.04744,$0.04597,$0.04605,"$417,461","$14,440,417"
"Oct 29, 2022",$0.04601,$0.04728,$0.04595,$0.04707,"$476,228","$14,760,997"
"Oct 28, 2022",$0.04615,$0.04751,$0.04561,$0.04601,"$484,985","$14,427,981"
