Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1824,$0.1827,$0.1786,$0.1806,"$819,093","$19,420,434"
"Dec 30, 2022",$0.1831,$0.1839,$0.1802,$0.1824,"$784,136","$19,614,178"
"Dec 29, 2022",$0.1842,$0.1858,$0.1812,$0.1832,"$1,060,062","$19,068,694"
"Dec 28, 2022",$0.2004,$0.2005,$0.1816,$0.1841,"$2,012,329","$19,163,617"
"Dec 27, 2022",$0.1963,$0.2029,$0.1956,$0.2003,"$2,019,010","$20,844,001"
"Dec 26, 2022",$0.1931,$0.197,$0.1906,$0.1963,"$1,926,055","$20,429,546"
"Dec 25, 2022",$0.1942,$0.1953,$0.1885,$0.193,"$1,894,302","$20,088,903"
"Dec 24, 2022",$0.1953,$0.1971,$0.1917,$0.1951,"$1,763,866","$20,300,941"
"Dec 23, 2022",$0.1919,$0.1953,$0.1896,$0.1953,"$1,902,668","$20,321,492"
"Dec 22, 2022",$0.1932,$0.1941,$0.1875,$0.1919,"$1,940,737","$19,967,677"
"Dec 21, 2022",$0.1955,$0.1957,$0.192,$0.1932,"$1,917,802","$20,102,007"
"Dec 20, 2022",$0.1926,$0.199,$0.1904,$0.1954,"$1,983,017","$20,339,162"
"Dec 19, 2022",$0.2023,$0.2027,$0.1915,$0.1927,"$2,093,092","$20,053,831"
"Dec 18, 2022",$0.2063,$0.2068,$0.1936,$0.2024,"$795,597","$21,062,519"
"Dec 17, 2022",$0.1969,$0.2106,$0.1936,$0.2063,"$1,855,598","$21,466,303"
"Dec 16, 2022",$0.2129,$0.2166,$0.1966,$0.1968,"$1,928,096","$20,484,887"
"Dec 15, 2022",$0.2252,$0.2276,$0.2129,$0.2129,"$1,919,559","$22,152,148"
"Dec 14, 2022",$0.2315,$0.2317,$0.2248,$0.2252,"$1,963,290","$23,438,299"
"Dec 13, 2022",$0.2239,$0.2319,$0.221,$0.2315,"$2,106,692","$24,091,675"
"Dec 12, 2022",$0.233,$0.2333,$0.2214,$0.224,"$1,909,034","$23,310,813"
"Dec 11, 2022",$0.223,$0.2371,$0.2222,$0.2333,"$1,634,978","$24,281,300"
"Dec 10, 2022",$0.2268,$0.2276,$0.2183,$0.223,"$1,549,876","$23,210,636"
"Dec 09, 2022",$0.2225,$0.2288,$0.2187,$0.2268,"$1,639,266","$23,601,436"
"Dec 08, 2022",$0.2264,$0.2285,$0.2154,$0.2225,"$1,690,573","$23,154,359"
"Dec 07, 2022",$0.2368,$0.2389,$0.2132,$0.2264,"$1,685,538","$23,562,934"
"Dec 06, 2022",$0.2472,$0.248,$0.2376,$0.2377,"$1,553,656","$24,735,445"
"Dec 05, 2022",$0.2436,$0.2514,$0.2427,$0.2472,"$1,647,947","$25,727,946"
"Dec 04, 2022",$0.2382,$0.2465,$0.2376,$0.2436,"$1,719,617","$25,352,139"
"Dec 03, 2022",$0.2463,$0.2471,$0.2373,$0.2384,"$1,658,239","$24,806,385"
"Dec 02, 2022",$0.2352,$0.25,$0.2273,$0.2462,"$1,801,926","$25,625,372"
"Dec 01, 2022",$0.2369,$0.2587,$0.2338,$0.2353,"$2,019,389","$24,483,524"
"Nov 30, 2022",$0.2337,$0.2437,$0.2094,$0.2368,"$1,834,700","$24,640,258"
"Nov 29, 2022",$0.1837,$0.2612,$0.1805,$0.2329,"$1,930,697","$23,430,507"
"Nov 28, 2022",$0.1855,$0.1863,$0.1769,$0.1835,"$625,237","$18,466,093"
"Nov 27, 2022",$0.1841,$0.1879,$0.1808,$0.1854,"$518,272","$18,655,303"
