Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.929,$0.9896,$0.9171,$0.9296,"$718,622","$120,687,506"
"Dec 30, 2022",$0.8434,$0.9321,$0.8222,$0.9294,"$1,029,228","$120,652,343"
"Dec 29, 2022",$0.8589,$0.8596,$0.8422,$0.843,"$467,251","$109,438,551"
"Dec 28, 2022",$0.8726,$0.875,$0.8576,$0.8585,"$630,412","$111,453,448"
"Dec 27, 2022",$0.8804,$0.9022,$0.8713,$0.8734,"$636,666","$113,395,048"
"Dec 26, 2022",$0.901,$0.9011,$0.8746,$0.8807,"$545,795","$114,338,197"
"Dec 25, 2022",$0.8912,$0.9024,$0.8833,$0.901,"$414,951","$116,971,847"
"Dec 24, 2022",$0.8977,$0.9043,$0.8913,$0.8915,"$169,541","$115,741,243"
"Dec 23, 2022",$0.9223,$0.9243,$0.8971,$0.898,"$584,009","$116,586,966"
"Dec 22, 2022",$0.9418,$0.9499,$0.9085,$0.9222,"$608,044","$119,722,400"
"Dec 21, 2022",$0.8846,$0.9725,$0.8804,$0.942,"$1,024,830","$122,296,915"
"Dec 20, 2022",$0.8916,$0.8971,$0.8844,$0.8852,"$626,656","$114,922,196"
"Dec 19, 2022",$0.8958,$0.9178,$0.8784,$0.8918,"$787,859","$115,775,718"
"Dec 18, 2022",$0.895,$0.9044,$0.8907,$0.8955,"$361,515","$116,262,031"
"Dec 17, 2022",$0.8822,$0.9404,$0.8822,$0.8949,"$734,491","$116,184,360"
"Dec 16, 2022",$0.9304,$0.9351,$0.8802,$0.8825,"$775,446","$114,572,236"
"Dec 15, 2022",$0.9503,$0.9538,$0.9239,$0.9307,"$681,286","$120,830,205"
"Dec 14, 2022",$0.9476,$1.02,$0.9327,$0.9501,"$880,165","$123,340,589"
"Dec 13, 2022",$0.9583,$0.9595,$0.9302,$0.9476,"$681,718","$123,017,793"
"Dec 12, 2022",$0.9679,$0.9711,$0.954,$0.9585,"$673,264","$124,435,721"
"Dec 11, 2022",$0.9603,$0.9702,$0.9541,$0.9678,"$694,726","$125,643,463"
"Dec 10, 2022",$0.9808,$0.9819,$0.9583,$0.9598,"$803,300","$124,609,421"
"Dec 09, 2022",$0.9025,$1.02,$0.9005,$0.9803,"$1,172,429","$127,270,937"
"Dec 08, 2022",$0.9183,$0.9438,$0.9009,$0.9026,"$927,682","$117,174,004"
"Dec 07, 2022",$0.9897,$0.9907,$0.9184,$0.9188,"$1,063,266","$117,134,612"
"Dec 06, 2022",$0.9924,$1.00,$0.9856,$0.9891,"$838,263","$126,101,612"
"Dec 05, 2022",$1.03,$1.03,$0.9866,$0.9928,"$1,490,056","$126,564,568"
"Dec 04, 2022",$1.07,$1.12,$1.02,$1.03,"$1,468,611","$131,376,967"
"Dec 03, 2022",$1.02,$1.38,$0.9862,$1.07,"$4,350,076","$136,814,021"
"Dec 02, 2022",$0.8754,$1.06,$0.8607,$1.02,"$1,990,818","$130,004,089"
"Dec 01, 2022",$0.936,$0.9361,$0.8735,$0.8754,"$649,702","$111,600,892"
"Nov 30, 2022",$0.8914,$0.937,$0.8844,$0.937,"$857,285","$119,456,021"
"Nov 29, 2022",$0.9411,$0.9524,$0.8804,$0.8912,"$1,134,014","$113,613,984"
"Nov 28, 2022",$0.9235,$1.16,$0.8566,$0.9415,"$2,682,238","$120,030,150"
"Nov 27, 2022",$0.7881,$1.00,$0.7877,$0.9273,"$1,359,759","$118,222,361"
"Nov 26, 2022",$0.794,$0.8195,$0.784,$0.788,"$617,535","$100,457,047"
"Nov 25, 2022",$0.8446,$0.8508,$0.7905,$0.7942,"$767,677","$101,245,403"
"Nov 24, 2022",$0.8317,$0.8939,$0.8138,$0.8447,"$1,075,774","$107,685,276"
"Nov 23, 2022",$0.7915,$0.8578,$0.7727,$0.8312,"$1,194,204","$105,973,144"
"Nov 22, 2022",$0.8,$1.06,$0.7486,$0.7912,"$2,871,481","$100,865,202"
"Nov 21, 2022",$0.8133,$0.855,$0.7832,$0.8001,"$960,698","$101,999,621"
"Nov 20, 2022",$0.8995,$0.9415,$0.8125,$0.8133,"$1,168,332","$103,683,693"
"Nov 19, 2022",$0.9152,$0.9238,$0.8896,$0.8993,"$907,373","$114,645,313"
"Nov 18, 2022",$0.9081,$0.9342,$0.9012,$0.9154,"$742,179","$116,706,693"
"Nov 17, 2022",$0.9542,$0.9542,$0.9085,$0.9085,"$776,756","$115,824,533"
"Nov 16, 2022",$0.9984,$0.9993,$0.9395,$0.9535,"$794,207","$121,553,396"
"Nov 15, 2022",$0.9991,$1.03,$0.9694,$0.9983,"$794,826","$127,275,244"
"Nov 14, 2022",$0.996,$1.03,$0.9763,$0.9999,"$597,116","$124,520,999"
"Nov 13, 2022",$1.07,$1.07,$0.996,$0.996,"$580,645","$124,031,750"
"Nov 12, 2022",$1.04,$1.16,$1.01,$1.07,"$731,624","$132,721,143"
"Nov 11, 2022",$1.21,$1.21,$0.9964,$1.04,"$748,112","$128,922,209"
"Nov 10, 2022",$1.02,$1.27,$1.01,$1.21,"$740,447","$150,163,228"
"Nov 09, 2022",$1.45,$1.47,$1.01,$1.02,"$736,427","$126,673,795"
"Nov 08, 2022",$1.58,$1.58,$1.38,$1.45,"$1,031,240","$180,937,939"
"Nov 07, 2022",$1.59,$1.59,$1.54,$1.58,"$768,398","$196,339,935"
"Nov 06, 2022",$1.61,$1.62,$1.59,$1.59,"$718,843","$198,043,542"
"Nov 05, 2022",$1.58,$1.64,$1.58,$1.61,"$852,872","$200,084,628"
"Nov 04, 2022",$1.53,$1.63,$1.51,$1.58,"$979,528","$196,788,183"
"Nov 03, 2022",$1.55,$1.58,$1.52,$1.53,"$864,986","$190,815,611"
"Nov 02, 2022",$1.58,$1.60,$1.55,$1.55,"$813,918","$193,145,138"
"Nov 01, 2022",$1.64,$1.70,$1.58,$1.58,"$893,117","$197,100,976"
"Oct 31, 2022",$1.74,$1.79,$1.60,$1.64,"$1,554,957","$200,048,663"
"Oct 30, 2022",$1.56,$2.00,$1.55,$1.75,"$1,847,732","$214,226,365"
"Oct 29, 2022",$1.65,$1.65,$1.56,$1.56,"$1,156,449","$191,161,960"
"Oct 28, 2022",$1.70,$1.70,$1.45,$1.65,"$1,462,802","$201,775,356"
"Oct 27, 2022",$1.77,$1.78,$1.70,$1.70,"$1,178,635","$207,893,622"
"Oct 26, 2022",$1.77,$1.84,$1.72,$1.77,"$1,216,899","$216,716,908"
"Oct 25, 2022",$1.77,$1.82,$1.73,$1.77,"$1,447,655","$216,570,770"
"Oct 24, 2022",$1.85,$1.86,$1.77,$1.77,"$901,335","$216,491,002"
"Oct 23, 2022",$1.82,$1.85,$1.77,$1.85,"$877,021","$226,089,213"
"Oct 22, 2022",$1.83,$1.84,$1.82,$1.82,"$904,481","$222,775,585"
