Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.07911,$0.09264,$0.07833,$0.08727,"$197,117","$2,604,225"
"Dec 30, 2022",$0.0801,$0.08174,$0.07706,$0.07906,"$120,146","$2,359,208"
"Dec 29, 2022",$0.09151,$0.09471,$0.07972,$0.08014,"$184,215","$2,391,436"
"Dec 28, 2022",$0.09689,$0.099,$0.09118,$0.09147,"$176,057","$2,729,595"
"Dec 27, 2022",$0.09066,$0.09869,$0.08978,$0.09684,"$146,160","$2,889,720"
"Dec 26, 2022",$0.08985,$0.09151,$0.08867,$0.09074,"$122,060","$2,707,563"
"Dec 25, 2022",$0.08937,$0.09117,$0.08642,$0.0897,"$145,152","$2,676,784"
"Dec 24, 2022",$0.08884,$0.1139,$0.0855,$0.08948,"$276,012","$2,670,000"
"Dec 23, 2022",$0.07301,$0.09488,$0.07071,$0.0889,"$272,151","$2,652,792"
"Dec 22, 2022",$0.0724,$0.07352,$0.07004,$0.073,"$115,856","$2,178,225"
"Dec 21, 2022",$0.07421,$0.07528,$0.06893,$0.07243,"$135,980","$2,161,426"
"Dec 20, 2022",$0.0569,$0.07687,$0.05553,$0.07417,"$338,643","$2,213,100"
"Dec 19, 2022",$0.05289,$0.05788,$0.05103,$0.057,"$103,087","$1,700,975"
"Dec 18, 2022",$0.0536,$0.0542,$0.05174,$0.05292,"$98,100","$1,579,259"
"Dec 17, 2022",$0.05292,$0.05368,$0.05022,$0.0536,"$83,711","$1,599,297"
"Dec 16, 2022",$0.05839,$0.05926,$0.05252,$0.05252,"$102,151","$1,567,177"
"Dec 15, 2022",$0.06006,$0.06176,$0.05707,$0.0583,"$107,061","$1,739,543"
"Dec 14, 2022",$0.06195,$0.06368,$0.05926,$0.05994,"$105,061","$1,788,611"
"Dec 13, 2022",$0.0632,$0.06611,$0.06003,$0.06193,"$82,372","$1,848,041"
"Dec 12, 2022",$0.06322,$0.06828,$0.06101,$0.06327,"$94,666","$1,888,027"
"Dec 11, 2022",$0.07271,$0.07394,$0.05702,$0.06327,"$210,649","$1,887,932"
"Dec 10, 2022",$0.09209,$0.09601,$0.07228,$0.07271,"$226,726","$2,169,595"
"Dec 09, 2022",$0.2055,$0.2205,$0.08319,$0.09206,"$679,689","$2,746,970"
"Dec 08, 2022",$0.2043,$0.2088,$0.1983,$0.205,"$172,837","$6,117,566"
"Dec 07, 2022",$0.2084,$0.2155,$0.194,$0.2044,"$233,276","$6,099,520"
"Dec 06, 2022",$0.2038,$0.2217,$0.1943,$0.2083,"$329,911","$6,215,688"
"Dec 05, 2022",$0.182,$0.2274,$0.1802,$0.2039,"$270,097","$6,085,192"
"Dec 04, 2022",$0.1927,$0.193,$0.1797,$0.182,"$120,773","$5,429,713"
"Dec 03, 2022",$0.2053,$0.2174,$0.1908,$0.1926,"$258,179","$5,748,183"
"Dec 02, 2022",$0.2066,$0.2153,$0.1604,$0.2053,"$441,855","$6,126,026"
"Dec 01, 2022",$0.2341,$0.2507,$0.2038,$0.2064,"$177,258","$6,160,096"
"Nov 30, 2022",$0.2427,$0.2428,$0.2265,$0.2341,"$249,471","$6,985,856"
"Nov 29, 2022",$0.2513,$0.2777,$0.2386,$0.2418,"$284,259","$7,215,639"
"Nov 28, 2022",$0.3149,$0.3225,$0.2379,$0.2512,"$756,537","$7,495,606"
"Nov 27, 2022",$0.4675,$0.4675,$0.3096,$0.3152,"$847,242","$9,404,711"
"Nov 26, 2022",$0.4739,$0.4993,$0.455,$0.4675,"$335,715","$13,949,258"
"Nov 25, 2022",$0.5129,$0.5394,$0.4679,$0.4749,"$671,864","$14,172,353"
"Nov 24, 2022",$0.6646,$0.7052,$0.5138,$0.5143,"$1,176,623","$15,347,427"
"Nov 23, 2022",$0.5738,$0.7593,$0.46,$0.6662,"$1,462,739","$19,879,736"
"Nov 22, 2022",$0.7659,$0.7945,$0.5501,$0.568,"$1,497,979","$16,948,148"
"Nov 21, 2022",$0.8399,$0.8462,$0.7389,$0.7631,"$961,714","$22,771,154"
"Nov 20, 2022",$1.06,$1.07,$0.831,$0.8398,"$1,009,596","$25,060,489"
"Nov 19, 2022",$1.03,$1.10,$0.9848,$1.06,"$1,271,502","$31,769,047"
"Nov 18, 2022",$0.9562,$1.07,$0.945,$1.03,"$1,307,025","$30,597,574"
"Nov 17, 2022",$0.8901,$0.9864,$0.8819,$0.9579,"$973,263","$28,583,673"
"Nov 16, 2022",$0.7943,$0.8917,$0.7923,$0.8901,"$630,880","$26,560,842"
"Nov 15, 2022",$0.6872,$0.8054,$0.6848,$0.796,"$440,074","$23,751,734"
"Nov 14, 2022",$0.6881,$0.7496,$0.6324,$0.6872,"$312,229","$20,505,844"
"Nov 13, 2022",$0.7128,$0.7444,$0.6422,$0.6804,"$284,620","$20,302,981"
"Nov 12, 2022",$0.7437,$0.7559,$0.6577,$0.7128,"$250,424","$21,270,548"
"Nov 11, 2022",$0.7553,$0.8616,$0.6838,$0.7435,"$560,963","$22,187,480"
"Nov 10, 2022",$0.5078,$0.8348,$0.4862,$0.7553,"$732,511","$22,537,426"
"Nov 09, 2022",$0.8638,$0.8638,$0.5031,$0.5078,"$673,450","$15,153,604"
"Nov 08, 2022",$0.9777,$1.02,$0.6708,$0.8638,"$856,554","$25,776,192"
"Nov 07, 2022",$1.00,$1.02,$0.9642,$0.9777,"$743,182","$29,175,459"
"Nov 06, 2022",$1.00,$1.03,$0.996,$1.00,"$784,534","$29,898,112"
"Nov 05, 2022",$1.03,$1.04,$0.9862,$1.00,"$510,987","$29,870,353"
"Nov 04, 2022",$1.01,$1.10,$0.9846,$1.03,"$599,647","$30,868,977"
"Nov 03, 2022",$1.02,$1.10,$0.9553,$1.01,"$744,316","$30,006,948"
"Nov 02, 2022",$0.9948,$1.02,$0.9282,$1.02,"$365,858","$30,405,190"
"Nov 01, 2022",$0.9791,$1.04,$0.9703,$0.9955,"$413,828","$29,705,609"
"Oct 31, 2022",$0.9552,$1.02,$0.9416,$0.9791,"$419,085","$29,215,787"
"Oct 30, 2022",$0.9332,$1.02,$0.9279,$0.9552,"$382,652","$28,502,078"
"Oct 29, 2022",$0.9399,$0.9744,$0.9218,$0.9335,"$233,536","$27,856,053"
"Oct 28, 2022",$0.9676,$0.9775,$0.9321,$0.9398,"$200,951","$28,043,241"
"Oct 27, 2022",$0.9629,$0.9867,$0.9579,$0.9677,"$204,194","$28,875,936"
"Oct 26, 2022",$1.01,$1.03,$0.9577,$0.9634,"$387,721","$28,748,872"
"Oct 25, 2022",$1.01,$1.02,$0.998,$1.01,"$290,386","$30,226,689"
"Oct 24, 2022",$0.9646,$1.01,$0.9565,$1.01,"$311,755","$30,032,767"
"Oct 23, 2022",$0.9848,$0.9992,$0.9489,$0.9646,"$236,733","$28,784,485"
"Oct 22, 2022",$1.02,$1.02,$0.9743,$0.9848,"$278,945","$29,385,016"
"Oct 21, 2022",$1.01,$1.04,$0.9777,$1.02,"$341,952","$30,354,802"
"Oct 20, 2022",$0.9704,$1.02,$0.9643,$1.01,"$352,038",$0
"Oct 19, 2022",$1.03,$1.03,$0.963,$0.9704,"$339,940",$0
"Oct 18, 2022",$0.9176,$1.06,$0.9147,$1.03,"$572,860",$0
