Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$2.09,$2.31,$2.07,$2.07,"$347,276","$9,021,956"
"Dec 30, 2022",$2.14,$2.15,$2.05,$2.09,"$24,466","$9,081,001"
"Dec 29, 2022",$2.14,$2.17,$2.14,$2.15,"$1,341","$9,356,750"
"Dec 28, 2022",$2.15,$2.19,$2.13,$2.14,"$1,860","$9,340,631"
"Dec 27, 2022",$2.14,$2.18,$2.12,$2.14,"$125,235","$9,325,668"
"Dec 26, 2022",$2.15,$2.16,$2.11,$2.14,"$10,038","$9,323,149"
"Dec 25, 2022",$2.16,$2.19,$2.13,$2.15,"$6,011","$9,350,334"
"Dec 24, 2022",$2.21,$2.22,$2.14,$2.16,"$13,130","$9,412,384"
"Dec 23, 2022",$2.20,$2.25,$2.18,$2.21,"$6,396","$9,640,423"
"Dec 22, 2022",$2.19,$2.21,$2.15,$2.20,"$1,212","$9,580,555"
"Dec 21, 2022",$2.17,$2.22,$2.14,$2.19,"$2,488","$9,558,480"
"Dec 20, 2022",$2.10,$2.21,$2.10,$2.17,"$1,530","$9,464,431"
"Dec 19, 2022",$2.16,$2.21,$2.09,$2.10,"$2,913","$9,152,513"
"Dec 18, 2022",$2.20,$2.33,$2.13,$2.16,"$1,396","$9,391,758"
"Dec 17, 2022",$2.19,$2.21,$2.16,$2.20,"$6,805","$9,573,602"
"Dec 16, 2022",$2.26,$2.27,$2.18,$2.19,"$10,589","$9,522,291"
"Dec 15, 2022",$2.28,$2.33,$2.23,$2.26,"$14,492","$9,849,263"
"Dec 14, 2022",$2.36,$2.41,$2.26,$2.28,"$12,890","$9,938,657"
"Dec 13, 2022",$2.30,$2.42,$2.15,$2.36,"$145,011","$10,261,922"
"Dec 12, 2022",$2.32,$2.36,$2.23,$2.30,"$17,552","$10,035,821"
"Dec 11, 2022",$2.45,$2.46,$2.17,$2.32,"$65,904","$10,115,924"
"Dec 10, 2022",$2.50,$2.51,$2.35,$2.45,"$5,027","$10,679,274"
"Dec 09, 2022",$2.58,$2.61,$2.49,$2.50,"$10,014","$10,896,568"
"Dec 08, 2022",$2.60,$2.61,$2.51,$2.59,"$191,001","$11,257,178"
"Dec 07, 2022",$2.58,$2.67,$2.53,$2.59,"$9,253","$11,293,724"
"Dec 06, 2022",$2.62,$2.67,$2.52,$2.58,"$256,770","$11,224,688"
"Dec 05, 2022",$2.75,$2.79,$2.61,$2.62,"$162,032","$11,427,125"
"Dec 04, 2022",$2.71,$2.78,$2.71,$2.75,"$62,275","$11,973,059"
"Dec 03, 2022",$2.93,$2.93,$2.66,$2.71,"$135,325","$11,799,106"
"Dec 02, 2022",$2.86,$2.93,$2.82,$2.93,"$150,444","$12,744,991"
"Dec 01, 2022",$3.01,$3.01,$2.80,$2.86,"$383,681","$12,446,243"
"Nov 30, 2022",$3.00,$3.04,$2.98,$3.01,"$218,560","$13,089,990"
"Nov 29, 2022",$3.00,$3.02,$2.99,$3.00,"$357,774","$13,068,117"
"Nov 28, 2022",$3.03,$3.03,$2.99,$3.00,"$678,255","$13,057,098"
"Nov 27, 2022",$3.03,$3.05,$3.02,$3.03,"$808,760","$13,213,420"
"Nov 26, 2022",$3.03,$3.05,$3.02,$3.03,"$675,155","$13,213,419"
"Nov 25, 2022",$3.09,$3.09,$3.03,$3.03,"$408,266","$13,213,411"
"Nov 24, 2022",$3.05,$3.09,$3.03,$3.09,"$475,165","$13,462,966"
"Nov 23, 2022",$3.02,$3.07,$3.00,$3.05,"$927,583","$13,301,892"
"Nov 22, 2022",$3.01,$3.03,$2.98,$3.02,"$1,011,823","$13,164,293"
"Nov 21, 2022",$3.06,$3.06,$2.98,$3.01,"$795,281","$13,112,243"
"Nov 20, 2022",$3.06,$3.13,$3.04,$3.06,$614,"$13,307,192"
"Nov 19, 2022",$3.09,$3.16,$3.04,$3.06,"$39,944","$13,319,732"
"Nov 18, 2022",$3.19,$3.21,$3.09,$3.09,"$48,189","$13,467,314"
"Nov 17, 2022",$3.41,$3.45,$3.11,$3.19,"$107,454","$13,880,838"
"Nov 16, 2022",$3.62,$3.65,$3.17,$3.41,"$92,243","$14,868,054"
"Nov 15, 2022",$3.63,$3.68,$3.51,$3.62,"$94,840","$15,759,086"
"Nov 14, 2022",$3.69,$3.70,$3.46,$3.63,"$65,712","$15,814,579"
"Nov 13, 2022",$3.75,$3.81,$3.53,$3.69,"$90,544","$16,071,273"
"Nov 12, 2022",$3.89,$3.92,$3.56,$3.75,"$32,293","$16,322,855"
"Nov 11, 2022",$3.50,$3.92,$3.44,$3.89,"$408,608","$16,958,419"
"Nov 10, 2022",$3.44,$3.63,$3.32,$3.47,"$195,702","$15,102,043"
"Nov 09, 2022",$3.62,$3.75,$3.30,$3.44,"$106,729","$14,982,710"
"Nov 08, 2022",$3.88,$3.95,$3.54,$3.62,"$126,209","$15,767,398"
"Nov 07, 2022",$3.95,$4.00,$3.85,$3.88,"$58,024","$16,902,803"
