Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.02638,$0.03232,$0.02606,$0.0323,"$217,799","$2,649,624"
"Dec 30, 2022",$0.02451,$0.02642,$0.02415,$0.02633,"$176,751","$2,159,749"
"Dec 29, 2022",$0.02522,$0.0263,$0.02427,$0.02451,"$188,477","$2,010,069"
"Dec 28, 2022",$0.02574,$0.02583,$0.02498,$0.02522,"$165,493","$2,068,396"
"Dec 27, 2022",$0.02654,$0.02769,$0.02546,$0.0257,"$165,727","$2,108,026"
"Dec 26, 2022",$0.02635,$0.0273,$0.02626,$0.02668,"$143,780","$2,188,614"
"Dec 25, 2022",$0.02674,$0.02749,$0.02623,$0.02637,"$147,596","$2,162,723"
"Dec 24, 2022",$0.02794,$0.02811,$0.02646,$0.02674,"$232,271","$2,193,328"
"Dec 23, 2022",$0.02906,$0.02955,$0.02787,$0.02794,"$173,072","$2,291,230"
"Dec 22, 2022",$0.028,$0.02942,$0.02795,$0.02906,"$183,481","$2,383,618"
"Dec 21, 2022",$0.02837,$0.02855,$0.02759,$0.02798,"$171,483","$2,294,531"
"Dec 20, 2022",$0.0282,$0.02929,$0.02809,$0.02849,"$339,987","$2,336,499"
"Dec 19, 2022",$0.02932,$0.02973,$0.0281,$0.0282,"$140,873","$2,312,806"
"Dec 18, 2022",$0.03076,$0.03172,$0.02892,$0.02932,"$127,785","$2,404,509"
"Dec 17, 2022",$0.02995,$0.03096,$0.0285,$0.0308,"$163,078","$2,525,875"
"Dec 16, 2022",$0.03143,$0.0321,$0.02891,$0.03002,"$234,295","$2,461,929"
"Dec 15, 2022",$0.03185,$0.0324,$0.03097,$0.03141,"$212,392","$2,576,405"
"Dec 14, 2022",$0.03074,$0.0332,$0.03049,$0.03188,"$233,547","$2,615,070"
"Dec 13, 2022",$0.03055,$0.03158,$0.02879,$0.03071,"$213,574","$2,518,551"
"Dec 12, 2022",$0.03045,$0.03198,$0.02991,$0.0306,"$240,762","$2,510,086"
"Dec 11, 2022",$0.03131,$0.03165,$0.03034,$0.03045,"$223,414","$2,497,671"
"Dec 10, 2022",$0.03151,$0.03248,$0.03096,$0.03131,"$229,539","$2,567,650"
"Dec 09, 2022",$0.03219,$0.03249,$0.03122,$0.03151,"$272,592","$2,584,302"
"Dec 08, 2022",$0.03172,$0.03243,$0.03156,$0.03219,"$279,458","$2,640,599"
"Dec 07, 2022",$0.03226,$0.03251,$0.0313,$0.03172,"$218,181","$2,601,583"
"Dec 06, 2022",$0.03305,$0.03325,$0.03205,$0.03223,"$217,665","$2,643,825"
"Dec 05, 2022",$0.03403,$0.03458,$0.03289,$0.03305,"$224,599","$2,710,389"
"Dec 04, 2022",$0.03418,$0.03439,$0.03357,$0.03412,"$251,045","$2,798,249"
"Dec 03, 2022",$0.03508,$0.03516,$0.03391,$0.03425,"$235,344","$2,808,900"
"Dec 02, 2022",$0.03486,$0.0352,$0.03431,$0.0351,"$232,533","$2,878,538"
"Dec 01, 2022",$0.03547,$0.03551,$0.03428,$0.03485,"$224,307","$2,858,724"
"Nov 30, 2022",$0.03448,$0.03601,$0.03438,$0.03547,"$259,647","$2,908,984"
"Nov 29, 2022",$0.03411,$0.0356,$0.03365,$0.03448,"$205,691","$2,828,379"
"Nov 28, 2022",$0.03522,$0.03585,$0.03359,$0.0341,"$243,842","$2,797,256"
"Nov 27, 2022",$0.03422,$0.03558,$0.034,$0.03522,"$208,060","$2,888,764"
"Nov 26, 2022",$0.03402,$0.03564,$0.03363,$0.03423,"$178,212","$2,807,872"
"Nov 25, 2022",$0.03415,$0.03436,$0.03323,$0.03399,"$242,904","$2,788,183"
"Nov 24, 2022",$0.03461,$0.03565,$0.03364,$0.03415,"$295,325","$2,801,093"
"Nov 23, 2022",$0.03047,$0.03509,$0.03041,$0.03464,"$167,410","$2,840,912"
"Nov 22, 2022",$0.0304,$0.03131,$0.02928,$0.03058,"$102,277","$2,507,939"
"Nov 21, 2022",$0.0304,$0.0309,$0.02965,$0.03039,"$145,358","$2,492,265"
"Nov 20, 2022",$0.03127,$0.03153,$0.03001,$0.03043,"$146,841","$2,495,447"
"Nov 19, 2022",$0.03133,$0.03167,$0.03062,$0.03127,"$143,044","$2,564,870"
"Nov 18, 2022",$0.03116,$0.03191,$0.031,$0.03133,"$141,139","$2,569,306"
"Nov 17, 2022",$0.03151,$0.03158,$0.03048,$0.03114,"$83,640","$2,554,204"
"Nov 16, 2022",$0.03153,$0.03201,$0.03098,$0.03152,"$169,920","$2,585,254"
"Nov 15, 2022",$0.03183,$0.0323,$0.03102,$0.03152,"$155,746","$2,585,331"
"Nov 14, 2022",$0.03149,$0.03262,$0.03073,$0.03171,"$188,012","$2,601,055"
"Nov 13, 2022",$0.03157,$0.03306,$0.03126,$0.03146,"$165,474","$2,580,156"
"Nov 12, 2022",$0.03386,$0.04222,$0.03105,$0.03158,"$234,900","$2,590,373"
"Nov 11, 2022",$0.03488,$0.03499,$0.03281,$0.0338,"$147,599","$2,772,623"
"Nov 10, 2022",$0.03148,$0.0361,$0.03128,$0.03493,"$156,150","$2,864,998"
"Nov 09, 2022",$0.03677,$0.03712,$0.031,$0.03159,"$179,249","$2,591,156"
"Nov 08, 2022",$0.03954,$0.04497,$0.03557,$0.03679,"$240,320","$3,017,617"
"Nov 07, 2022",$0.03878,$0.04229,$0.03804,$0.03954,"$206,009","$3,242,705"
"Nov 06, 2022",$0.04051,$0.04126,$0.03875,$0.0388,"$179,135","$3,182,138"
"Nov 05, 2022",$0.04149,$0.0426,$0.04026,$0.04055,"$44,220","$3,325,798"
"Nov 04, 2022",$0.03843,$0.04151,$0.03837,$0.0414,"$173,074","$3,395,428"
"Nov 03, 2022",$0.03806,$0.03948,$0.03765,$0.0386,"$152,654","$3,165,807"
"Nov 02, 2022",$0.03843,$0.03897,$0.03729,$0.03812,"$167,733","$3,126,920"
"Nov 01, 2022",$0.03912,$0.03953,$0.03796,$0.03843,"$169,845","$3,151,815"
"Oct 31, 2022",$0.03793,$0.03949,$0.03723,$0.03912,"$186,743","$3,208,921"
"Oct 30, 2022",$0.03757,$0.03877,$0.03747,$0.03793,"$172,371","$3,111,356"
"Oct 29, 2022",$0.03677,$0.03858,$0.03638,$0.03757,"$184,317","$3,081,638"
"Oct 28, 2022",$0.03777,$0.03786,$0.0358,$0.03677,"$204,656","$3,015,883"
"Oct 27, 2022",$0.0372,$0.03866,$0.03687,$0.03777,"$178,532","$3,098,097"
"Oct 26, 2022",$0.03711,$0.03797,$0.03679,$0.0372,"$179,859","$3,051,371"
"Oct 25, 2022",$0.03567,$0.03732,$0.03507,$0.03708,"$179,025","$3,041,486"
"Oct 24, 2022",$0.03605,$0.03608,$0.03533,$0.03567,"$164,880","$2,925,345"
"Oct 23, 2022",$0.03598,$0.03607,$0.03587,$0.03605,"$159,003","$2,956,557"
"Oct 22, 2022",$0.036,$0.03607,$0.03582,$0.03598,"$155,051","$2,951,186"
"Oct 21, 2022",$0.03609,$0.03617,$0.03594,$0.036,"$163,312","$2,952,879"
"Oct 20, 2022",$0.03586,$0.03635,$0.03563,$0.03609,"$164,912","$2,960,211"
"Oct 19, 2022",$0.03493,$0.036,$0.03477,$0.03587,"$193,437","$2,941,744"
"Oct 18, 2022",$0.03488,$0.035,$0.03478,$0.03493,"$151,695","$2,865,328"
"Oct 17, 2022",$0.03411,$0.03492,$0.03409,$0.03488,"$165,852","$2,860,798"
"Oct 16, 2022",$0.03408,$0.03413,$0.03406,$0.03411,"$147,473","$2,797,846"
"Oct 15, 2022",$0.03395,$0.0341,$0.03393,$0.03408,"$149,264","$2,795,273"
"Oct 14, 2022",$0.0339,$0.03421,$0.0338,$0.03395,"$156,433","$2,784,930"
"Oct 13, 2022",$0.03359,$0.03394,$0.03309,$0.0339,"$162,624","$2,780,375"
"Oct 12, 2022",$0.03379,$0.03394,$0.03349,$0.03359,"$142,157","$2,754,847"
"Oct 11, 2022",$0.03437,$0.0344,$0.03375,$0.03379,"$155,233","$2,771,539"
"Oct 10, 2022",$0.03537,$0.03538,$0.03421,$0.03437,"$170,899","$2,819,219"
"Oct 09, 2022",$0.03543,$0.03555,$0.03527,$0.03537,"$160,489","$2,900,829"
"Oct 08, 2022",$0.03591,$0.03591,$0.03539,$0.03543,"$163,013","$2,905,618"
"Oct 07, 2022",$0.03651,$0.03678,$0.03574,$0.03588,"$202,618","$2,943,104"
"Oct 06, 2022",$0.03741,$0.03753,$0.03634,$0.03652,"$188,873","$2,994,955"
"Oct 05, 2022",$0.03771,$0.03779,$0.03714,$0.03741,"$179,169","$3,068,611"
"Oct 04, 2022",$0.03601,$0.03817,$0.03596,$0.03771,"$227,725","$3,093,186"
"Oct 03, 2022",$0.03571,$0.03627,$0.03531,$0.03601,"$157,583","$2,953,539"
"Oct 02, 2022",$0.03447,$0.03587,$0.03414,$0.03572,"$153,253","$2,929,552"
"Oct 01, 2022",$0.03273,$0.03506,$0.03252,$0.03447,"$172,431","$2,826,991"
"Sep 30, 2022",$0.0312,$0.03312,$0.03112,$0.03273,"$199,626","$2,684,368"
"Sep 29, 2022",$0.03036,$0.03138,$0.03035,$0.03122,"$162,282","$2,560,733"
"Sep 28, 2022",$0.03007,$0.03047,$0.02969,$0.03035,"$145,996","$2,489,391"
"Sep 27, 2022",$0.03016,$0.03063,$0.03006,$0.03007,"$142,069","$2,466,385"
"Sep 26, 2022",$0.03067,$0.03071,$0.03004,$0.03016,"$160,616","$2,473,940"
"Sep 25, 2022",$0.03069,$0.03087,$0.03052,$0.03067,"$146,711","$2,515,512"
"Sep 24, 2022",$0.03089,$0.03127,$0.03061,$0.03068,"$96,113","$2,516,144"
"Sep 23, 2022",$0.03096,$0.031,$0.03063,$0.03089,"$137,816","$2,533,247"
"Sep 22, 2022",$0.03069,$0.031,$0.03046,$0.03096,"$136,303","$2,539,401"
"Sep 21, 2022",$0.03066,$0.03081,$0.03055,$0.03069,"$134,034","$2,517,173"
"Sep 20, 2022",$0.03087,$0.03095,$0.03057,$0.03066,"$133,810","$2,515,118"
"Sep 19, 2022",$0.03049,$0.03093,$0.03042,$0.03087,"$143,862","$2,532,203"
"Sep 18, 2022",$0.03066,$0.03078,$0.03044,$0.03049,"$135,600","$2,500,980"
"Sep 17, 2022",$0.0305,$0.03078,$0.03045,$0.03066,"$131,546","$2,514,685"
"Sep 16, 2022",$0.03081,$0.03095,$0.03043,$0.0305,"$127,414","$2,501,776"
"Sep 15, 2022",$0.03349,$0.03352,$0.03071,$0.03081,"$173,385","$2,526,878"
"Sep 14, 2022",$0.03369,$0.03377,$0.03337,$0.03349,"$101,498","$2,746,541"
"Sep 13, 2022",$0.03353,$0.03385,$0.03309,$0.03366,"$108,677","$2,760,672"
"Sep 12, 2022",$0.03279,$0.03372,$0.03271,$0.03353,"$140,604","$2,750,364"
