Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1064,$0.1075,$0.1055,$0.1059,"$87,986","$6,132,971"
"Dec 30, 2022",$0.1008,$0.1065,$0.09927,$0.1062,"$142,333","$6,146,886"
"Dec 29, 2022",$0.106,$0.1073,$0.1001,$0.1008,"$131,281","$5,836,123"
"Dec 28, 2022",$0.1037,$0.1069,$0.1028,$0.106,"$159,631","$6,139,950"
"Dec 27, 2022",$0.1074,$0.109,$0.1032,$0.1035,"$149,627","$5,995,988"
"Dec 26, 2022",$0.1086,$0.1102,$0.1052,$0.1075,"$141,251","$6,222,212"
"Dec 25, 2022",$0.1089,$0.1099,$0.1077,$0.1086,"$107,202","$6,289,491"
"Dec 24, 2022",$0.1077,$0.1095,$0.1072,$0.1089,"$93,202","$6,308,459"
"Dec 23, 2022",$0.1115,$0.1129,$0.1067,$0.1077,"$132,116","$6,236,845"
"Dec 22, 2022",$0.1088,$0.112,$0.1082,$0.1115,"$163,603","$6,458,257"
"Dec 21, 2022",$0.1078,$0.1094,$0.106,$0.1087,"$206,098","$6,292,627"
"Dec 20, 2022",$0.1007,$0.1083,$0.1003,$0.1083,"$234,495","$6,268,298"
"Dec 19, 2022",$0.1047,$0.1057,$0.09989,$0.1007,"$127,475","$5,832,133"
"Dec 18, 2022",$0.106,$0.1086,$0.1028,$0.1047,"$105,198","$6,065,049"
"Dec 17, 2022",$0.1028,$0.1066,$0.09649,$0.1062,"$114,549","$6,147,081"
"Dec 16, 2022",$0.1097,$0.1116,$0.09983,$0.103,"$219,780","$5,966,559"
"Dec 15, 2022",$0.1132,$0.1133,$0.109,$0.1097,"$194,089","$6,350,302"
"Dec 14, 2022",$0.1135,$0.116,$0.1107,$0.1133,"$230,227","$6,559,809"
"Dec 13, 2022",$0.1148,$0.1201,$0.1099,$0.1134,"$186,754","$6,566,187"
"Dec 12, 2022",$0.113,$0.1292,$0.1103,$0.1151,"$245,250","$6,662,142"
"Dec 11, 2022",$0.1122,$0.1154,$0.109,$0.1131,"$156,660","$6,549,924"
"Dec 10, 2022",$0.1119,$0.114,$0.1115,$0.1121,"$151,846","$6,493,656"
"Dec 09, 2022",$0.1155,$0.1155,$0.1115,$0.1119,"$121,580","$6,481,838"
"Dec 08, 2022",$0.1132,$0.1163,$0.1127,$0.1155,"$58,288","$6,686,505"
"Dec 07, 2022",$0.1155,$0.116,$0.1111,$0.1132,"$60,262","$6,555,577"
"Dec 06, 2022",$0.1175,$0.1216,$0.1148,$0.1154,"$169,659","$6,680,700"
"Dec 05, 2022",$0.1137,$0.1402,$0.1121,$0.1175,"$170,023","$6,803,575"
"Dec 04, 2022",$0.1153,$0.1175,$0.1105,$0.114,"$37,141","$6,599,798"
"Dec 03, 2022",$0.1152,$0.1159,$0.1136,$0.1156,"$27,639","$6,693,106"
"Dec 02, 2022",$0.1163,$0.1189,$0.1129,$0.1152,"$58,373","$6,673,309"
"Dec 01, 2022",$0.1135,$0.1188,$0.1123,$0.1163,"$66,624","$6,734,804"
"Nov 30, 2022",$0.111,$0.1147,$0.1087,$0.1135,"$117,032","$6,569,888"
"Nov 29, 2022",$0.1104,$0.1169,$0.1089,$0.111,"$100,565","$6,427,779"
"Nov 28, 2022",$0.1143,$0.1153,$0.1099,$0.1104,"$103,147","$6,390,516"
"Nov 27, 2022",$0.1217,$0.1236,$0.1143,$0.1143,"$81,619","$6,616,722"
"Nov 26, 2022",$0.1193,$0.1249,$0.1191,$0.1218,"$77,270","$7,051,479"
"Nov 25, 2022",$0.1204,$0.1204,$0.1125,$0.1192,"$95,063","$6,899,698"
"Nov 24, 2022",$0.1111,$0.1207,$0.1097,$0.1204,"$122,373","$6,970,126"
"Nov 23, 2022",$0.1125,$0.1202,$0.1038,$0.1111,"$148,261","$6,434,925"
"Nov 22, 2022",$0.1246,$0.1257,$0.1045,$0.1129,"$222,642","$6,537,304"
"Nov 21, 2022",$0.1371,$0.1375,$0.1231,$0.1245,"$105,600","$7,209,032"
"Nov 20, 2022",$0.1338,$0.1396,$0.1333,$0.1372,"$102,266","$7,946,395"
"Nov 19, 2022",$0.1298,$0.1347,$0.127,$0.1338,"$88,762","$7,748,856"
"Nov 18, 2022",$0.1307,$0.1335,$0.1279,$0.1298,"$97,506","$7,513,547"
"Nov 17, 2022",$0.1328,$0.1333,$0.1277,$0.1307,"$85,883","$7,567,088"
"Nov 16, 2022",$0.1414,$0.1431,$0.1313,$0.1329,"$120,461","$7,694,291"
"Nov 15, 2022",$0.1287,$0.1418,$0.1276,$0.1414,"$140,013","$8,188,607"
"Nov 14, 2022",$0.1313,$0.1322,$0.1251,$0.1282,"$150,034","$7,426,117"
"Nov 13, 2022",$0.1414,$0.1434,$0.1307,$0.1312,"$107,712","$7,594,640"
"Nov 12, 2022",$0.1479,$0.1594,$0.134,$0.1415,"$155,295","$8,191,147"
"Nov 11, 2022",$0.1381,$0.1566,$0.1329,$0.1477,"$275,280","$8,550,973"
"Nov 10, 2022",$0.1352,$0.1645,$0.1344,$0.1382,"$477,171","$8,005,238"
"Nov 09, 2022",$0.168,$0.1701,$0.13,$0.1357,"$853,957","$7,858,707"
"Nov 08, 2022",$0.1781,$0.1931,$0.1606,$0.1681,"$1,223,213","$9,736,533"
"Nov 07, 2022",$0.1829,$0.1831,$0.1765,$0.1781,"$241,699","$10,313,759"
"Nov 06, 2022",$0.1846,$0.1876,$0.1826,$0.1829,"$153,954","$10,590,494"
"Nov 05, 2022",$0.1937,$0.1954,$0.1835,$0.1847,"$221,116","$10,697,584"
"Nov 04, 2022",$0.1901,$0.2021,$0.1898,$0.1932,"$394,727","$11,188,346"
"Nov 03, 2022",$0.1898,$0.1945,$0.1865,$0.1909,"$217,237","$11,054,901"
"Nov 02, 2022",$0.1955,$0.1969,$0.1857,$0.1901,"$339,862","$11,008,512"
"Nov 01, 2022",$0.2031,$0.2074,$0.1935,$0.1955,"$257,463","$11,322,066"
"Oct 31, 2022",$0.2077,$0.2094,$0.2006,$0.2031,"$346,734","$11,762,896"
"Oct 30, 2022",$0.2039,$0.2128,$0.2034,$0.2077,"$257,173","$12,026,803"
"Oct 29, 2022",$0.2064,$0.2114,$0.197,$0.2039,"$346,981","$11,804,865"
"Oct 28, 2022",$0.2106,$0.2196,$0.2056,$0.2064,"$285,118","$11,953,423"
"Oct 27, 2022",$0.2116,$0.2136,$0.1984,$0.2106,"$317,887","$12,192,562"
"Oct 26, 2022",$0.2051,$0.2126,$0.2044,$0.2116,"$367,182","$12,254,269"
"Oct 25, 2022",$0.2074,$0.2143,$0.2028,$0.205,"$359,344","$11,872,227"
"Oct 24, 2022",$0.2136,$0.2137,$0.2046,$0.2074,"$204,063","$12,006,937"
"Oct 23, 2022",$0.2007,$0.2164,$0.1995,$0.2135,"$174,389","$12,362,275"
"Oct 22, 2022",$0.1982,$0.2013,$0.1961,$0.2007,"$114,205","$11,620,590"
"Oct 21, 2022",$0.2047,$0.2061,$0.197,$0.1983,"$240,374","$11,481,485"
"Oct 20, 2022",$0.2081,$0.2203,$0.2011,$0.2036,"$238,215","$11,789,111"
"Oct 19, 2022",$0.2113,$0.2115,$0.2078,$0.2081,"$207,795","$12,052,643"
"Oct 18, 2022",$0.2187,$0.2188,$0.2085,$0.2112,"$257,331","$12,230,672"
"Oct 17, 2022",$0.2253,$0.2256,$0.2155,$0.2188,"$256,008","$12,667,360"
"Oct 16, 2022",$0.2342,$0.2349,$0.2238,$0.2253,"$155,699","$13,045,942"
"Oct 15, 2022",$0.245,$0.2452,$0.2326,$0.2341,"$168,787","$13,555,502"
