Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.002973,$0.002988,$0.002949,$0.002964,"$74,614","$9,201,513"
"Dec 30, 2022",$0.003045,$0.003212,$0.002939,$0.002968,"$90,583","$9,214,360"
"Dec 29, 2022",$0.003058,$0.003097,$0.003021,$0.003045,"$73,175","$9,455,144"
"Dec 28, 2022",$0.00314,$0.003156,$0.003042,$0.003058,"$77,107","$9,494,952"
"Dec 27, 2022",$0.00315,$0.003179,$0.003085,$0.003136,"$74,999","$9,735,466"
"Dec 26, 2022",$0.003185,$0.003208,$0.003117,$0.003167,"$64,956","$9,831,397"
"Dec 25, 2022",$0.00315,$0.00319,$0.003131,$0.003187,"$49,995","$9,894,540"
"Dec 24, 2022",$0.003132,$0.00316,$0.003122,$0.00315,"$63,281","$9,779,254"
"Dec 23, 2022",$0.003221,$0.003285,$0.003123,$0.003132,"$67,720","$9,723,012"
"Dec 22, 2022",$0.003192,$0.003234,$0.00315,$0.003221,"$65,224","$9,999,280"
"Dec 21, 2022",$0.003114,$0.003268,$0.003087,$0.00319,"$65,760","$9,902,996"
"Dec 20, 2022",$0.003086,$0.003222,$0.003075,$0.003114,"$78,270","$9,669,427"
"Dec 19, 2022",$0.00323,$0.003261,$0.003026,$0.003086,"$98,973","$9,582,091"
"Dec 18, 2022",$0.003242,$0.003376,$0.003165,$0.00323,"$63,108","$10,029,718"
"Dec 17, 2022",$0.003327,$0.003372,$0.0032,$0.003242,"$60,606","$10,065,661"
"Dec 16, 2022",$0.003429,$0.003521,$0.003224,$0.003327,"$77,918","$10,330,454"
"Dec 15, 2022",$0.003506,$0.003507,$0.003384,$0.003427,"$81,754","$10,641,372"
"Dec 14, 2022",$0.003589,$0.003663,$0.003485,$0.003509,"$20,680","$10,894,546"
"Dec 13, 2022",$0.003561,$0.003682,$0.003458,$0.003585,"$67,592","$11,130,676"
"Dec 12, 2022",$0.003593,$0.003626,$0.003485,$0.003567,"$36,902","$11,075,308"
"Dec 11, 2022",$0.003679,$0.003703,$0.003581,$0.003593,"$30,152","$11,156,677"
"Dec 10, 2022",$0.003678,$0.003715,$0.003667,$0.003679,"$30,753","$11,422,413"
"Dec 09, 2022",$0.003704,$0.003754,$0.003664,$0.003678,"$63,736","$11,418,098"
"Dec 08, 2022",$0.003681,$0.003761,$0.003625,$0.003704,"$52,530","$11,501,235"
"Dec 07, 2022",$0.004281,$0.0043,$0.003605,$0.003681,"$59,565","$11,427,229"
"Dec 06, 2022",$0.004341,$0.004378,$0.004239,$0.004278,"$102,050","$13,280,971"
"Dec 05, 2022",$0.004436,$0.004545,$0.004324,$0.004341,"$77,529","$13,477,404"
"Dec 04, 2022",$0.004468,$0.004532,$0.00441,$0.004448,"$67,222","$13,809,148"
"Dec 03, 2022",$0.004468,$0.004951,$0.004449,$0.00448,"$83,359","$13,910,889"
"Dec 02, 2022",$0.004475,$0.004496,$0.004319,$0.00447,"$76,546","$13,879,650"
"Dec 01, 2022",$0.004572,$0.004615,$0.004394,$0.004475,"$113,565","$13,892,913"
"Nov 30, 2022",$0.00446,$0.004609,$0.004406,$0.004572,"$78,717","$14,196,275"
"Nov 29, 2022",$0.00452,$0.004638,$0.004448,$0.00446,"$66,214","$13,848,793"
"Nov 28, 2022",$0.004458,$0.004583,$0.004389,$0.004519,"$70,927","$14,031,166"
"Nov 27, 2022",$0.004546,$0.004622,$0.004424,$0.004458,"$43,757","$13,839,902"
"Nov 26, 2022",$0.00457,$0.00468,$0.00451,$0.004548,"$48,968","$14,119,030"
"Nov 25, 2022",$0.004703,$0.004703,$0.004521,$0.004566,"$78,569","$14,176,999"
"Nov 24, 2022",$0.004701,$0.005138,$0.004647,$0.004703,"$78,184","$14,601,684"
"Nov 23, 2022",$0.004622,$0.005004,$0.00458,$0.004704,"$131,470","$14,604,156"
"Nov 22, 2022",$0.005246,$0.005263,$0.004545,$0.004638,"$1,389,589","$14,399,135"
"Nov 21, 2022",$0.005722,$0.005737,$0.005127,$0.005243,"$147,015","$16,279,125"
"Nov 20, 2022",$0.006133,$0.006176,$0.005676,$0.005727,"$151,487","$17,780,151"
