Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.005518,$0.005526,$0.005079,$0.005108,"$179,635","$4,185,898"
"Dec 30, 2022",$0.00533,$0.005546,$0.004935,$0.005514,"$205,932","$4,519,003"
"Dec 29, 2022",$0.005332,$0.005644,$0.005287,$0.00533,"$186,314","$4,367,798"
"Dec 28, 2022",$0.005668,$0.005671,$0.005316,$0.00533,"$165,160","$4,368,156"
"Dec 27, 2022",$0.005607,$0.005838,$0.005593,$0.005661,"$202,061","$4,639,491"
"Dec 26, 2022",$0.005619,$0.005881,$0.005574,$0.005608,"$216,195","$4,595,626"
"Dec 25, 2022",$0.005481,$0.005636,$0.005478,$0.005619,"$190,377","$4,604,999"
"Dec 24, 2022",$0.005276,$0.005485,$0.005272,$0.00548,"$190,730","$4,491,414"
"Dec 23, 2022",$0.00548,$0.005774,$0.005267,$0.005276,"$203,864","$4,324,005"
"Dec 22, 2022",$0.005255,$0.005495,$0.005248,$0.005481,"$184,698","$4,491,916"
"Dec 21, 2022",$0.005423,$0.005692,$0.005245,$0.005254,"$167,926","$4,305,904"
"Dec 20, 2022",$0.005543,$0.005577,$0.005407,$0.005421,"$171,178","$4,442,642"
"Dec 19, 2022",$0.005523,$0.00576,$0.005513,$0.005542,"$160,537","$4,542,199"
"Dec 18, 2022",$0.005505,$0.005572,$0.005497,$0.005523,"$170,089","$4,526,574"
"Dec 17, 2022",$0.005566,$0.005577,$0.005484,$0.005512,"$179,994","$4,516,911"
"Dec 16, 2022",$0.005775,$0.005799,$0.005552,$0.005561,"$178,033","$4,557,334"
"Dec 15, 2022",$0.006785,$0.006802,$0.005747,$0.005774,"$219,141","$4,732,136"
"Dec 14, 2022",$0.005999,$0.00751,$0.005969,$0.006786,"$185,286","$5,560,924"
"Dec 13, 2022",$0.006337,$0.007503,$0.005983,$0.005999,"$167,056","$4,916,230"
"Dec 12, 2022",$0.006922,$0.007222,$0.006269,$0.006329,"$137,998","$5,186,482"
"Dec 11, 2022",$0.006603,$0.006936,$0.006241,$0.006922,"$162,425","$5,672,767"
"Dec 10, 2022",$0.006541,$0.006622,$0.006358,$0.006602,"$173,319","$5,410,371"
"Dec 09, 2022",$0.006384,$0.006539,$0.006365,$0.006539,"$158,173","$5,359,117"
"Dec 08, 2022",$0.006521,$0.006548,$0.006254,$0.006384,"$175,341","$5,232,270"
"Dec 07, 2022",$0.006148,$0.006531,$0.006126,$0.006521,"$141,302","$5,344,046"
"Dec 06, 2022",$0.006633,$0.006698,$0.005907,$0.006144,"$177,524","$5,034,775"
"Dec 05, 2022",$0.0066,$0.006791,$0.006471,$0.006632,"$231,553","$5,435,228"
"Dec 04, 2022",$0.005976,$0.00666,$0.00597,$0.006613,"$162,579","$5,419,340"
"Dec 03, 2022",$0.006078,$0.006151,$0.005728,$0.005982,"$172,293","$4,902,535"
"Dec 02, 2022",$0.005966,$0.006167,$0.005892,$0.006078,"$157,801","$4,980,975"
"Dec 01, 2022",$0.005742,$0.005974,$0.005561,$0.005957,"$165,828","$4,881,767"
"Nov 30, 2022",$0.005598,$0.005868,$0.005407,$0.005735,"$159,398","$4,699,805"
"Nov 29, 2022",$0.005487,$0.00578,$0.005447,$0.005597,"$159,804","$4,586,650"
"Nov 28, 2022",$0.006079,$0.006211,$0.005231,$0.005499,"$190,276","$4,506,450"
"Nov 27, 2022",$0.005922,$0.00632,$0.00498,$0.006077,"$237,786","$4,980,626"
"Nov 26, 2022",$0.004404,$0.006686,$0.004365,$0.005919,"$266,014","$4,850,725"
"Nov 25, 2022",$0.004526,$0.004535,$0.004216,$0.004404,"$136,447","$3,609,190"
"Nov 24, 2022",$0.00431,$0.004894,$0.004297,$0.004527,"$149,504","$3,709,961"
