Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.02744,$0.02817,$0.02694,$0.0276,"$4,196,607","$293,556,063"
"Dec 30, 2022",$0.02749,$0.02785,$0.02664,$0.02745,"$3,862,665","$291,916,125"
"Dec 29, 2022",$0.02733,$0.02865,$0.02704,$0.0275,"$4,076,170","$291,939,405"
"Dec 28, 2022",$0.02892,$0.02892,$0.02706,$0.02733,"$3,613,776","$290,115,524"
"Dec 27, 2022",$0.0287,$0.02892,$0.02814,$0.02892,"$3,681,545","$306,940,449"
"Dec 26, 2022",$0.02763,$0.02886,$0.02757,$0.0287,"$3,280,784","$304,520,974"
"Dec 25, 2022",$0.02705,$0.02772,$0.02698,$0.02763,"$3,376,230","$293,090,430"
"Dec 24, 2022",$0.0269,$0.02728,$0.02685,$0.02705,"$2,946,556","$286,872,647"
"Dec 23, 2022",$0.02654,$0.02737,$0.02652,$0.0269,"$3,465,424","$285,234,611"
"Dec 22, 2022",$0.0265,$0.02681,$0.02604,$0.02654,"$4,008,250","$281,398,463"
"Dec 21, 2022",$0.02646,$0.0267,$0.02604,$0.02648,"$4,740,455","$280,738,834"
"Dec 20, 2022",$0.02683,$0.02686,$0.026,$0.02647,"$5,046,116","$280,561,155"
"Dec 19, 2022",$0.02783,$0.02783,$0.02654,$0.02682,"$5,340,374","$284,212,961"
"Dec 18, 2022",$0.02749,$0.02787,$0.02738,$0.02783,"$3,086,227","$294,809,951"
"Dec 17, 2022",$0.02704,$0.02786,$0.027,$0.02749,"$3,938,445","$291,157,769"
"Dec 16, 2022",$0.02849,$0.029,$0.02697,$0.02704,"$4,624,740","$286,282,922"
"Dec 15, 2022",$0.02929,$0.02975,$0.02845,$0.02849,"$3,978,399","$301,582,004"
"Dec 14, 2022",$0.02992,$0.03043,$0.02925,$0.02929,"$4,617,495","$310,009,762"
"Dec 13, 2022",$0.02972,$0.03043,$0.02907,$0.02991,"$5,000,554","$316,550,638"
"Dec 12, 2022",$0.02992,$0.02998,$0.02938,$0.02972,"$3,784,249","$314,456,611"
"Dec 11, 2022",$0.02985,$0.03047,$0.02985,$0.02993,"$4,688,679","$316,584,374"
"Dec 10, 2022",$0.02966,$0.03015,$0.02949,$0.02984,"$3,657,507","$315,547,964"
"Dec 09, 2022",$0.02953,$0.02971,$0.02915,$0.02966,"$3,898,317","$313,643,071"
"Dec 08, 2022",$0.02949,$0.02968,$0.0289,$0.02953,"$4,701,811","$312,163,719"
"Dec 07, 2022",$0.02979,$0.02983,$0.02844,$0.02947,"$4,131,783","$311,509,279"
"Dec 06, 2022",$0.02996,$0.03011,$0.02967,$0.02979,"$3,736,587","$314,774,625"
"Dec 05, 2022",$0.03035,$0.03058,$0.02977,$0.02995,"$4,946,228","$316,379,553"
"Dec 04, 2022",$0.03008,$0.03055,$0.02999,$0.03036,"$4,800,600","$320,696,884"
"Dec 03, 2022",$0.02998,$0.03036,$0.02966,$0.03008,"$4,491,214","$317,676,713"
"Dec 02, 2022",$0.02942,$0.03001,$0.02941,$0.02998,"$4,537,247","$316,565,395"
"Dec 01, 2022",$0.03058,$0.03072,$0.02917,$0.02942,"$5,433,164","$310,539,854"
"Nov 30, 2022",$0.03017,$0.03087,$0.02991,$0.03058,"$7,410,222","$322,773,217"
"Nov 29, 2022",$0.03016,$0.03056,$0.02967,$0.03017,"$6,142,970","$317,910,467"
"Nov 28, 2022",$0.03121,$0.0313,$0.02958,$0.03016,"$6,264,247","$317,734,224"
"Nov 27, 2022",$0.03076,$0.03164,$0.03066,$0.03122,"$5,261,152","$328,801,172"
"Nov 26, 2022",$0.03074,$0.03136,$0.03036,$0.03076,"$6,722,741","$323,902,409"
"Nov 25, 2022",$0.02948,$0.03084,$0.02886,$0.03075,"$7,849,755","$323,705,180"
"Nov 24, 2022",$0.03003,$0.0309,$0.02854,$0.02948,"$8,257,445","$310,328,298"
"Nov 23, 2022",$0.02835,$0.03018,$0.02804,$0.03002,"$12,209,190","$315,979,474"
"Nov 22, 2022",$0.02776,$0.02836,$0.02687,$0.02834,"$7,717,357","$298,191,508"
"Nov 21, 2022",$0.02735,$0.0289,$0.02697,$0.02777,"$8,989,554","$292,104,463"
"Nov 20, 2022",$0.0282,$0.02876,$0.02701,$0.02735,"$6,900,149","$287,687,884"
"Nov 19, 2022",$0.02743,$0.02863,$0.02726,$0.0282,"$6,455,035","$296,493,222"
"Nov 18, 2022",$0.02731,$0.02884,$0.02709,$0.02743,"$9,312,621","$288,389,095"
"Nov 17, 2022",$0.02814,$0.02828,$0.02674,$0.02732,"$11,712,740","$287,122,829"
"Nov 16, 2022",$0.0291,$0.02927,$0.02756,$0.02815,"$10,228,626","$295,787,424"
"Nov 15, 2022",$0.02914,$0.03037,$0.02828,$0.02911,"$11,558,449","$305,852,488"
"Nov 14, 2022",$0.03029,$0.03076,$0.02743,$0.02914,"$15,579,044","$306,079,893"
"Nov 13, 2022",$0.03388,$0.03411,$0.03004,$0.0303,"$11,727,606","$318,215,552"
"Nov 12, 2022",$0.03487,$0.03494,$0.03234,$0.03389,"$8,961,531","$355,823,182"
"Nov 11, 2022",$0.03582,$0.03652,$0.03363,$0.03487,"$12,473,945","$366,054,162"
"Nov 10, 2022",$0.03141,$0.03668,$0.03129,$0.03584,"$15,792,381","$376,140,771"
"Nov 09, 2022",$0.03717,$0.03984,$0.03069,$0.03142,"$35,465,445","$329,691,328"
"Nov 08, 2022",$0.03949,$0.03965,$0.03321,$0.03714,"$24,118,249","$389,723,629"
"Nov 07, 2022",$0.0393,$0.04146,$0.03851,$0.03949,"$15,422,214","$414,271,310"
"Nov 06, 2022",$0.04059,$0.04075,$0.03897,$0.03931,"$11,543,710","$412,265,093"
"Nov 05, 2022",$0.04101,$0.04203,$0.03973,$0.04057,"$15,080,639","$425,385,491"
"Nov 04, 2022",$0.03909,$0.04141,$0.03906,$0.04101,"$14,068,827","$429,961,435"
"Nov 03, 2022",$0.03885,$0.04028,$0.03857,$0.03909,"$10,142,374","$409,761,300"
"Nov 02, 2022",$0.03966,$0.03966,$0.0377,$0.03885,"$10,752,688","$407,148,078"
"Nov 01, 2022",$0.04105,$0.04158,$0.03941,$0.03967,"$8,647,807","$415,586,292"
"Oct 31, 2022",$0.04162,$0.04162,$0.03907,$0.04105,"$14,167,115","$429,981,521"
"Oct 30, 2022",$0.04048,$0.04337,$0.0389,$0.04163,"$19,029,285","$435,950,481"
"Oct 29, 2022",$0.04222,$0.04327,$0.04023,$0.04047,"$20,843,606","$423,194,548"
"Oct 28, 2022",$0.04434,$0.04507,$0.04186,$0.04219,"$20,744,935","$441,106,283"
"Oct 27, 2022",$0.04755,$0.04755,$0.04405,$0.04433,"$18,944,681","$463,351,602"
"Oct 26, 2022",$0.04741,$0.04937,$0.04733,$0.0476,"$16,237,907","$497,429,461"
"Oct 25, 2022",$0.04692,$0.04977,$0.04627,$0.04742,"$17,935,435","$495,451,590"
