Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.07088,$0.08005,$0.07054,$0.07479,"$5,106,008","$60,262,596"
"Dec 30, 2022",$0.07105,$0.07137,$0.06984,$0.07088,"$1,841,754","$57,109,582"
"Dec 29, 2022",$0.07243,$0.07271,$0.07059,$0.07108,"$2,701,996","$57,274,063"
"Dec 28, 2022",$0.07631,$0.07636,$0.07225,$0.07246,"$3,281,766","$58,379,612"
"Dec 27, 2022",$0.07734,$0.07817,$0.07567,$0.0763,"$5,548,415","$61,476,107"
"Dec 26, 2022",$0.07684,$0.07769,$0.07635,$0.07741,"$5,977,197","$62,373,379"
"Dec 25, 2022",$0.07815,$0.07867,$0.07665,$0.07684,"$5,775,807","$61,914,717"
"Dec 24, 2022",$0.07917,$0.07967,$0.07787,$0.07815,"$3,491,639","$62,967,890"
"Dec 23, 2022",$0.07877,$0.07977,$0.07847,$0.07915,"$5,186,975","$63,774,990"
"Dec 22, 2022",$0.07859,$0.07972,$0.07737,$0.07858,"$7,075,956","$63,314,274"
"Dec 21, 2022",$0.08075,$0.08122,$0.07833,$0.07856,"$3,929,186","$63,296,732"
"Dec 20, 2022",$0.07735,$0.08121,$0.07735,$0.08077,"$7,879,896","$65,075,786"
"Dec 19, 2022",$0.0826,$0.08295,$0.07712,$0.07736,"$6,259,706","$62,330,107"
"Dec 18, 2022",$0.08342,$0.08451,$0.08123,$0.08257,"$12,393,674","$66,530,229"
"Dec 17, 2022",$0.08519,$0.08524,$0.08138,$0.08342,"$13,101,327","$67,213,352"
"Dec 16, 2022",$0.09284,$0.09351,$0.08517,$0.08517,"$7,463,420","$68,626,049"
"Dec 15, 2022",$0.09367,$0.0943,$0.09193,$0.09282,"$15,731,255","$74,784,379"
"Dec 14, 2022",$0.09491,$0.09566,$0.09325,$0.09363,"$8,306,284","$75,441,519"
"Dec 13, 2022",$0.09389,$0.09617,$0.09281,$0.09491,"$25,946,313","$76,466,881"
"Dec 12, 2022",$0.09417,$0.09511,$0.09213,$0.09389,"$15,156,168","$75,645,262"
"Dec 11, 2022",$0.09621,$0.09755,$0.09403,$0.09419,"$19,662,075","$75,891,154"
"Dec 10, 2022",$0.09486,$0.0963,$0.09444,$0.09602,"$28,754,503","$77,361,864"
"Dec 09, 2022",$0.09596,$0.0965,$0.09431,$0.09484,"$9,822,931","$76,415,734"
"Dec 08, 2022",$0.09505,$0.0965,$0.09473,$0.09593,"$13,751,450","$77,294,715"
"Dec 07, 2022",$0.0978,$0.09815,$0.09466,$0.09503,"$11,047,502","$76,571,284"
"Dec 06, 2022",$0.09656,$0.1004,$0.09655,$0.09777,"$18,254,740","$78,775,997"
"Dec 05, 2022",$0.09589,$0.1009,$0.09586,$0.09658,"$14,010,403","$77,813,328"
"Dec 04, 2022",$0.09597,$0.09689,$0.09533,$0.0959,"$13,619,854","$77,268,253"
"Dec 03, 2022",$0.09525,$0.09791,$0.09376,$0.09599,"$42,010,391","$77,342,700"
"Dec 02, 2022",$0.09365,$0.09529,$0.093,$0.09524,"$27,708,491","$76,740,370"
"Dec 01, 2022",$0.09688,$0.09708,$0.09345,$0.09364,"$17,607,805","$75,448,070"
"Nov 30, 2022",$0.0934,$0.09693,$0.0933,$0.09687,"$11,572,793","$78,051,435"
"Nov 29, 2022",$0.09273,$0.09563,$0.09239,$0.09334,"$6,978,748","$75,207,520"
"Nov 28, 2022",$0.09562,$0.096,$0.09244,$0.0927,"$26,352,439","$74,693,751"
"Nov 27, 2022",$0.09671,$0.0973,$0.09565,$0.09567,"$6,030,297","$77,086,733"
"Nov 26, 2022",$0.0955,$0.1001,$0.09533,$0.09673,"$6,350,000","$77,939,096"
"Nov 25, 2022",$0.09739,$0.09761,$0.09481,$0.0955,"$9,974,933","$76,945,811"
"Nov 24, 2022",$0.098,$0.09888,$0.09636,$0.09737,"$13,546,620","$78,450,726"
"Nov 23, 2022",$0.09537,$0.09936,$0.09498,$0.09801,"$13,255,622","$78,966,529"
"Nov 22, 2022",$0.09416,$0.09565,$0.09164,$0.09535,"$14,083,546","$76,821,937"
"Nov 21, 2022",$0.09736,$0.09736,$0.09268,$0.09414,"$16,221,369","$75,853,188"
"Nov 20, 2022",$0.1051,$0.1071,$0.09662,$0.09739,"$5,872,281","$78,470,079"
"Nov 19, 2022",$0.1062,$0.111,$0.1005,$0.1051,"$8,926,081","$84,658,104"
"Nov 18, 2022",$0.09849,$0.1098,$0.09823,$0.1062,"$9,691,560","$85,527,232"
"Nov 17, 2022",$0.09823,$0.09895,$0.09711,$0.09848,"$9,484,568","$79,349,556"
"Nov 16, 2022",$0.1004,$0.102,$0.09734,$0.09826,"$5,711,793","$79,172,342"
"Nov 15, 2022",$0.09882,$0.1009,$0.09801,$0.1004,"$11,212,601","$80,880,021"
"Nov 14, 2022",$0.09812,$0.1012,$0.09344,$0.09881,"$15,506,594","$79,615,543"
"Nov 13, 2022",$0.1011,$0.1018,$0.097,$0.09804,"$13,729,581","$78,989,544"
"Nov 12, 2022",$0.1029,$0.1052,$0.09909,$0.101,"$8,965,559","$81,389,495"
"Nov 11, 2022",$0.112,$0.1139,$0.101,$0.1028,"$6,628,458","$82,849,809"
"Nov 10, 2022",$0.09443,$0.117,$0.09412,$0.112,"$7,336,394","$90,207,216"
"Nov 09, 2022",$0.1186,$0.1196,$0.09368,$0.0944,"$8,852,198","$76,061,014"
"Nov 08, 2022",$0.134,$0.1357,$0.1107,$0.1187,"$8,677,472","$95,608,405"
"Nov 07, 2022",$0.1353,$0.1366,$0.1331,$0.1341,"$4,859,639","$108,049,825"
"Nov 06, 2022",$0.1406,$0.1421,$0.1353,$0.1353,"$4,461,647","$108,995,074"
