Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.009375,$0.00956,$0.009304,$0.009474,"$2,589,710","$67,128,638"
"Dec 30, 2022",$0.009452,$0.009452,$0.009216,$0.009375,"$2,959,224","$66,429,589"
"Dec 29, 2022",$0.009698,$0.009754,$0.009244,$0.009453,"$4,044,804","$66,977,894"
"Dec 28, 2022",$0.01019,$0.01023,$0.009667,$0.009697,"$3,173,848","$68,710,868"
"Dec 27, 2022",$0.01041,$0.01043,$0.01005,$0.01018,"$2,712,203","$72,159,566"
"Dec 26, 2022",$0.01032,$0.01042,$0.01028,$0.01042,"$2,248,371","$73,809,571"
"Dec 25, 2022",$0.01047,$0.01052,$0.01025,$0.01032,"$2,972,987","$73,120,585"
"Dec 24, 2022",$0.0104,$0.01051,$0.01034,$0.01047,"$3,105,011","$74,176,379"
"Dec 23, 2022",$0.01033,$0.01045,$0.01029,$0.0104,"$2,333,251","$73,661,657"
"Dec 22, 2022",$0.01033,$0.01039,$0.01007,$0.01033,"$3,026,170","$73,182,445"
"Dec 21, 2022",$0.01053,$0.01054,$0.01019,$0.01033,"$2,654,450","$73,158,471"
"Dec 20, 2022",$0.01002,$0.01057,$0.009951,$0.01053,"$2,835,067","$74,616,972"
"Dec 19, 2022",$0.0106,$0.01072,$0.009826,$0.01002,"$3,154,114","$70,987,502"
"Dec 18, 2022",$0.01062,$0.01073,$0.01051,$0.0106,"$2,235,827","$75,127,243"
"Dec 17, 2022",$0.0104,$0.01067,$0.01014,$0.01062,"$3,320,504","$75,248,092"
"Dec 16, 2022",$0.01179,$0.0119,$0.01032,$0.0104,"$4,101,110","$73,705,614"
"Dec 15, 2022",$0.01207,$0.01208,$0.01177,$0.01179,"$2,820,109","$83,543,827"
"Dec 14, 2022",$0.01226,$0.01245,$0.01197,$0.01207,"$3,493,189","$85,504,613"
"Dec 13, 2022",$0.01211,$0.01232,$0.01151,$0.01226,"$5,498,721","$86,890,242"
"Dec 12, 2022",$0.0123,$0.0123,$0.01182,$0.01211,"$4,138,944","$85,819,122"
"Dec 11, 2022",$0.01245,$0.01264,$0.01226,$0.0123,"$4,040,743","$87,155,255"
"Dec 10, 2022",$0.01231,$0.01289,$0.01231,$0.01245,"$6,311,297","$88,225,275"
"Dec 09, 2022",$0.01218,$0.01245,$0.01209,$0.01231,"$5,450,952","$87,223,695"
"Dec 08, 2022",$0.01204,$0.0122,$0.0118,$0.01218,"$5,045,168","$86,326,175"
"Dec 07, 2022",$0.0123,$0.01231,$0.01167,$0.01204,"$4,384,855","$85,303,721"
"Dec 06, 2022",$0.012,$0.01284,$0.012,$0.0123,"$8,514,589","$87,161,102"
"Dec 05, 2022",$0.01212,$0.01245,$0.01189,$0.012,"$4,855,424","$85,057,690"
"Dec 04, 2022",$0.01204,$0.01222,$0.01184,$0.01212,"$6,802,517","$85,847,542"
"Dec 03, 2022",$0.01244,$0.01266,$0.01204,$0.01204,"$2,710,407","$85,305,833"
"Dec 02, 2022",$0.01206,$0.01244,$0.01196,$0.01244,"$4,671,730","$88,125,997"
"Dec 01, 2022",$0.01228,$0.01228,$0.01198,$0.01206,"$4,465,178","$85,467,949"
"Nov 30, 2022",$0.01181,$0.01238,$0.01181,$0.01228,"$5,261,609","$86,981,670"
"Nov 29, 2022",$0.01161,$0.0122,$0.01151,$0.01182,"$4,765,972","$83,735,700"
"Nov 28, 2022",$0.01202,$0.01223,$0.01155,$0.01161,"$6,333,277","$82,283,749"
"Nov 27, 2022",$0.01194,$0.01248,$0.01189,$0.01202,"$5,330,601","$85,163,573"
"Nov 26, 2022",$0.01193,$0.01281,$0.0118,$0.01194,"$13,373,588","$84,587,343"
"Nov 25, 2022",$0.01179,$0.01196,$0.01139,$0.01193,"$3,998,310","$84,546,010"
"Nov 24, 2022",$0.01195,$0.01216,$0.01168,$0.01179,"$4,752,539","$83,524,628"
"Nov 23, 2022",$0.01153,$0.01197,$0.01146,$0.01195,"$6,041,851","$84,682,965"
"Nov 22, 2022",$0.01098,$0.01155,$0.01063,$0.01153,"$6,480,831","$81,717,672"
"Nov 21, 2022",$0.01083,$0.01128,$0.01048,$0.01098,"$9,435,234","$77,813,204"
"Nov 20, 2022",$0.01144,$0.01164,$0.01079,$0.01083,"$5,196,544","$76,761,824"
"Nov 19, 2022",$0.01129,$0.01152,$0.01103,$0.01144,"$4,425,198","$81,058,999"
"Nov 18, 2022",$0.01109,$0.01136,$0.01105,$0.01129,"$5,639,195","$79,991,718"
"Nov 17, 2022",$0.01108,$0.01124,$0.01084,$0.01109,"$4,386,083","$78,582,576"
"Nov 16, 2022",$0.01128,$0.01146,$0.01088,$0.01108,"$3,765,958","$78,521,905"
"Nov 15, 2022",$0.01114,$0.01161,$0.01107,$0.01128,"$4,052,741","$79,953,000"
"Nov 14, 2022",$0.01086,$0.01126,$0.01019,$0.01114,"$6,412,934","$78,910,213"
"Nov 13, 2022",$0.01115,$0.0115,$0.01071,$0.01086,"$6,181,451","$76,947,167"
"Nov 12, 2022",$0.01206,$0.01208,$0.01108,$0.01115,"$4,619,272","$78,994,529"
"Nov 11, 2022",$0.01256,$0.01259,$0.01135,$0.01206,"$8,949,544","$85,439,280"
"Nov 10, 2022",$0.01067,$0.01286,$0.0105,$0.01256,"$12,951,562","$89,007,660"
"Nov 09, 2022",$0.01363,$0.01374,$0.01042,$0.01068,"$15,411,439","$75,647,758"
"Nov 08, 2022",$0.01655,$0.01668,$0.01283,$0.01363,"$17,981,461","$96,576,198"
"Nov 07, 2022",$0.01605,$0.01682,$0.01591,$0.01656,"$10,150,671","$117,315,217"
"Nov 06, 2022",$0.01704,$0.01725,$0.01601,$0.01605,"$11,326,952","$113,714,762"
"Nov 05, 2022",$0.01732,$0.01774,$0.01676,$0.01704,"$13,579,338","$120,722,992"
"Nov 04, 2022",$0.01584,$0.01849,$0.01562,$0.01733,"$35,936,738","$122,796,041"
"Nov 03, 2022",$0.01442,$0.01596,$0.01442,$0.01584,"$13,066,570","$112,234,109"
"Nov 02, 2022",$0.01489,$0.01509,$0.01412,$0.01443,"$9,512,725","$102,217,347"
"Nov 01, 2022",$0.01538,$0.01558,$0.01488,$0.01489,"$6,952,590","$105,524,229"
"Oct 31, 2022",$0.01536,$0.01554,$0.01481,$0.01538,"$10,133,484","$108,972,124"
"Oct 30, 2022",$0.01553,$0.01638,$0.01514,$0.01536,"$10,143,677","$108,820,491"
"Oct 29, 2022",$0.01573,$0.01619,$0.0153,$0.01553,"$9,792,679","$110,061,209"
"Oct 28, 2022",$0.01498,$0.01604,$0.01486,$0.01572,"$7,353,805","$111,417,231"
"Oct 27, 2022",$0.0151,$0.01585,$0.01493,$0.01498,"$7,103,080","$106,157,563"
