Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$1.07,$1.08,$1.06,$1.08,"$26,293","$26,320,843"
"Dec 30, 2022",$1.07,$1.08,$1.05,$1.07,"$21,226","$26,195,442"
"Dec 29, 2022",$1.07,$1.07,$1.05,$1.07,"$19,130","$26,180,078"
"Dec 28, 2022",$1.07,$1.07,$1.05,$1.07,"$19,484","$26,143,627"
"Dec 27, 2022",$1.06,$1.07,$1.05,$1.07,"$50,323","$26,181,773"
"Dec 26, 2022",$1.06,$1.07,$1.04,$1.06,"$81,244","$26,164,277"
"Dec 25, 2022",$1.06,$1.07,$1.05,$1.06,"$24,435","$26,229,319"
"Dec 24, 2022",$1.06,$1.07,$1.05,$1.06,"$18,392","$26,108,665"
"Dec 23, 2022",$1.06,$1.07,$1.05,$1.06,"$20,159","$26,159,126"
"Dec 22, 2022",$1.06,$1.07,$1.05,$1.06,"$19,121","$26,217,531"
"Dec 21, 2022",$1.07,$1.07,$1.05,$1.06,"$25,225","$26,107,718"
"Dec 20, 2022",$1.06,$1.08,$1.06,$1.07,"$16,291","$26,416,854"
"Dec 19, 2022",$1.05,$1.07,$1.05,$1.06,"$24,933","$26,227,807"
"Dec 18, 2022",$1.06,$1.06,$1.05,$1.05,"$13,759","$35,627,192"
"Dec 17, 2022",$1.06,$1.07,$1.05,$1.06,"$19,333","$35,848,241"
"Dec 16, 2022",$1.06,$1.08,$1.05,$1.06,"$15,853","$35,990,787"
"Dec 15, 2022",$1.06,$1.07,$1.04,$1.06,"$24,601","$36,041,114"
"Dec 14, 2022",$1.07,$1.07,$1.05,$1.06,"$25,565","$35,950,194"
"Dec 13, 2022",$1.05,$1.07,$1.05,$1.07,"$17,881","$36,102,096"
"Dec 12, 2022",$1.05,$1.06,$1.04,$1.05,"$15,713","$35,597,411"
"Dec 11, 2022",$1.05,$1.06,$1.04,$1.05,"$413,644","$35,559,640"
"Dec 10, 2022",$1.06,$1.06,$1.04,$1.05,"$9,461","$35,673,299"
"Dec 09, 2022",$1.05,$1.07,$1.05,$1.06,"$12,502","$35,837,946"
"Dec 08, 2022",$1.05,$1.07,$1.04,$1.05,"$14,192","$35,639,237"
"Dec 07, 2022",$1.05,$1.06,$1.04,$1.05,"$13,339","$35,555,507"
"Dec 06, 2022",$1.05,$1.06,$1.04,$1.05,"$16,003","$35,506,500"
