Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1505,$0.1528,$0.1478,$0.1492,"$140,194","$53,748,233"
"Dec 30, 2022",$0.159,$0.1603,$0.15,$0.1505,"$192,580","$54,232,974"
"Dec 29, 2022",$0.1633,$0.1633,$0.1574,$0.1591,"$288,959","$57,335,467"
"Dec 28, 2022",$0.1657,$0.1659,$0.1617,$0.1633,"$249,672","$58,825,603"
"Dec 27, 2022",$0.1688,$0.1696,$0.1643,$0.1658,"$252,337","$59,733,184"
"Dec 26, 2022",$0.167,$0.1702,$0.1655,$0.1688,"$248,509","$60,800,623"
"Dec 25, 2022",$0.1688,$0.1697,$0.1651,$0.1668,"$168,565","$60,076,387"
"Dec 24, 2022",$0.1697,$0.1714,$0.1681,$0.1692,"$297,174","$60,960,916"
"Dec 23, 2022",$0.1727,$0.1732,$0.1679,$0.1699,"$315,396","$61,196,396"
"Dec 22, 2022",$0.1772,$0.1776,$0.1706,$0.1724,"$340,027","$62,109,031"
"Dec 21, 2022",$0.1842,$0.1848,$0.1772,$0.1772,"$395,518","$63,845,038"
"Dec 20, 2022",$0.1774,$0.1844,$0.176,$0.184,"$253,113","$66,299,466"
"Dec 19, 2022",$0.1838,$0.1844,$0.176,$0.1774,"$315,464","$63,906,887"
"Dec 18, 2022",$0.1854,$0.1873,$0.1816,$0.1839,"$106,273","$66,266,786"
"Dec 17, 2022",$0.19,$0.1919,$0.1835,$0.1853,"$260,727","$66,766,794"
"Dec 16, 2022",$0.1994,$0.2019,$0.19,$0.19,"$458,867","$68,463,821"
"Dec 15, 2022",$0.1932,$0.2208,$0.1914,$0.1994,"$1,457,219","$71,844,197"
"Dec 14, 2022",$0.1924,$0.1946,$0.1885,$0.1931,"$269,011","$69,566,631"
"Dec 13, 2022",$0.1916,$0.1971,$0.189,$0.1924,"$226,892","$69,327,882"
"Dec 12, 2022",$0.1963,$0.1979,$0.1906,$0.1916,"$219,514","$69,029,751"
"Dec 11, 2022",$0.2005,$0.204,$0.1953,$0.1963,"$265,981","$70,729,278"
"Dec 10, 2022",$0.1982,$0.2022,$0.1965,$0.2003,"$231,097","$72,164,224"
"Dec 09, 2022",$0.1984,$0.2034,$0.1947,$0.1987,"$186,308","$71,569,573"
"Dec 08, 2022",$0.1987,$0.2019,$0.1964,$0.1986,"$237,454","$71,537,070"
"Dec 07, 2022",$0.2072,$0.2076,$0.1972,$0.1987,"$212,831","$71,581,071"
"Dec 06, 2022",$0.213,$0.2142,$0.2052,$0.2072,"$261,423","$74,640,282"
"Dec 05, 2022",$0.2167,$0.2179,$0.2118,$0.2129,"$255,437","$76,715,637"
"Dec 04, 2022",$0.2164,$0.2209,$0.2156,$0.2167,"$292,250","$78,058,616"
"Dec 03, 2022",$0.2218,$0.2222,$0.2152,$0.2162,"$277,264","$77,889,534"
"Dec 02, 2022",$0.2187,$0.2222,$0.2131,$0.2219,"$273,046","$79,927,607"
"Dec 01, 2022",$0.2238,$0.2251,$0.2141,$0.2187,"$242,589","$78,799,455"
"Nov 30, 2022",$0.2221,$0.2261,$0.2149,$0.2237,"$234,377","$77,550,457"
"Nov 29, 2022",$0.2122,$0.2225,$0.2122,$0.2221,"$264,119","$76,969,167"
"Nov 28, 2022",$0.2127,$0.2183,$0.2108,$0.212,"$251,395","$73,495,372"
"Nov 27, 2022",$0.2146,$0.2165,$0.2087,$0.2127,"$245,600","$73,708,074"
"Nov 26, 2022",$0.2141,$0.2206,$0.2118,$0.2146,"$259,928","$74,377,465"
"Nov 25, 2022",$0.1906,$0.2207,$0.1828,$0.2141,"$236,557","$74,202,265"
"Nov 24, 2022",$0.2212,$0.2221,$0.1875,$0.1907,"$248,845","$66,088,793"
"Nov 23, 2022",$0.211,$0.2226,$0.209,$0.2209,"$245,678","$76,567,206"
"Nov 22, 2022",$0.2104,$0.2188,$0.2066,$0.2111,"$232,569","$73,166,887"
"Nov 21, 2022",$0.2165,$0.2277,$0.2092,$0.2103,"$246,076","$72,879,902"
"Nov 20, 2022",$0.2202,$0.2314,$0.2146,$0.2171,"$242,860","$75,253,403"
"Nov 19, 2022",$0.2257,$0.2378,$0.2164,$0.2201,"$241,878","$76,292,207"
"Nov 18, 2022",$0.2174,$0.2383,$0.2163,$0.2254,"$268,012","$78,139,293"
"Nov 17, 2022",$0.215,$0.2269,$0.2128,$0.2175,"$251,809","$75,392,476"
"Nov 16, 2022",$0.2282,$0.2387,$0.2084,$0.2152,"$247,811","$74,575,124"
"Nov 15, 2022",$0.2065,$0.2512,$0.2057,$0.2286,"$263,096","$79,219,656"
"Nov 14, 2022",$0.2099,$0.2146,$0.1994,$0.2063,"$259,087","$71,517,800"
"Nov 13, 2022",$0.22,$0.2206,$0.2055,$0.21,"$314,895","$72,787,101"
"Nov 12, 2022",$0.2176,$0.2276,$0.2099,$0.2201,"$244,851","$76,281,582"
"Nov 11, 2022",$0.2322,$0.2324,$0.2129,$0.2178,"$251,207","$75,478,094"
"Nov 10, 2022",$0.2217,$0.2356,$0.2074,$0.2322,"$341,727","$80,477,306"
"Nov 09, 2022",$0.2584,$0.2588,$0.2203,$0.2217,"$312,208","$76,839,778"
"Nov 08, 2022",$0.2795,$0.3018,$0.2542,$0.2585,"$587,542","$89,599,233"
"Nov 07, 2022",$0.2804,$0.2835,$0.2706,$0.2794,"$423,296","$96,845,769"
"Nov 06, 2022",$0.2731,$0.3091,$0.2648,$0.2803,"$552,983","$97,159,602"
"Nov 05, 2022",$0.2801,$0.291,$0.273,$0.2731,"$342,690","$94,643,313"
"Nov 04, 2022",$0.2522,$0.2904,$0.2521,$0.2807,"$567,083","$97,279,648"
"Nov 03, 2022",$0.2812,$0.3571,$0.2509,$0.2524,"$745,955","$87,479,469"
"Nov 02, 2022",$0.2332,$0.2905,$0.2305,$0.2816,"$879,269","$97,595,966"
"Nov 01, 2022",$0.2321,$0.2369,$0.2295,$0.2333,"$298,634","$80,855,260"
"Oct 31, 2022",$0.2379,$0.2393,$0.2303,$0.232,"$293,747","$77,242,332"
"Oct 30, 2022",$0.2413,$0.2434,$0.2332,$0.237,"$337,246","$78,927,773"
"Oct 29, 2022",$0.2403,$0.2475,$0.2337,$0.2414,"$356,214","$80,367,175"
"Oct 28, 2022",$0.2243,$0.2603,$0.2241,$0.2404,"$507,705","$80,053,976"
"Oct 27, 2022",$0.2278,$0.234,$0.2229,$0.2241,"$306,691","$74,628,106"
"Oct 26, 2022",$0.2275,$0.2503,$0.2193,$0.2277,"$605,361","$75,821,961"
"Oct 25, 2022",$0.2216,$0.2346,$0.2186,$0.2275,"$299,007","$75,755,120"
"Oct 24, 2022",$0.2246,$0.2307,$0.2196,$0.2216,"$337,274","$73,790,121"
"Oct 23, 2022",$0.2277,$0.2392,$0.2215,$0.2246,"$295,365","$74,784,510"
"Oct 22, 2022",$0.233,$0.2437,$0.2256,$0.2277,"$345,474","$75,803,487"
"Oct 21, 2022",$0.2212,$0.2755,$0.2194,$0.233,"$983,538","$77,573,288"
"Oct 20, 2022",$0.2216,$0.2425,$0.2207,$0.2212,"$342,896","$73,647,636"
"Oct 19, 2022",$0.2362,$0.2373,$0.2216,$0.2216,"$313,667","$73,792,258"
"Oct 18, 2022",$0.2299,$0.2436,$0.2299,$0.2362,"$340,701","$78,654,436"
"Oct 17, 2022",$0.244,$0.2788,$0.2285,$0.23,"$491,350","$76,568,700"
"Oct 16, 2022",$0.2449,$0.2586,$0.2439,$0.244,"$287,795","$81,241,480"
"Oct 15, 2022",$0.2441,$0.2462,$0.2431,$0.2449,"$313,215","$81,552,610"
"Oct 14, 2022",$0.2388,$0.2449,$0.237,$0.2442,"$337,709","$81,304,782"
"Oct 13, 2022",$0.2523,$0.2599,$0.2338,$0.2388,"$327,910","$79,517,043"
"Oct 12, 2022",$0.2519,$0.2655,$0.2505,$0.2523,"$424,396","$84,008,064"
"Oct 11, 2022",$0.2652,$0.2674,$0.251,$0.2519,"$311,072","$83,878,888"
"Oct 10, 2022",$0.2701,$0.2713,$0.262,$0.2651,"$347,320","$88,280,982"
"Oct 09, 2022",$0.2682,$0.2727,$0.2662,$0.2701,"$299,280","$89,934,009"
"Oct 08, 2022",$0.2744,$0.2768,$0.2661,$0.2682,"$349,629","$89,294,111"
"Oct 07, 2022",$0.287,$0.2883,$0.2709,$0.2745,"$366,390","$91,382,265"
"Oct 06, 2022",$0.2898,$0.2922,$0.2867,$0.287,"$359,530","$95,557,427"
"Oct 05, 2022",$0.2912,$0.2926,$0.2877,$0.2898,"$365,690","$96,497,584"
"Oct 04, 2022",$0.2873,$0.2929,$0.2851,$0.2911,"$381,812","$96,940,259"
"Oct 03, 2022",$0.2862,$0.2904,$0.2838,$0.2873,"$381,984","$95,661,392"
"Oct 02, 2022",$0.2935,$0.296,$0.2804,$0.2862,"$395,576","$95,306,496"
"Oct 01, 2022",$0.2955,$0.3053,$0.2913,$0.2935,"$386,655","$97,718,463"
"Sep 30, 2022",$0.2974,$0.3022,$0.2933,$0.2955,"$374,056","$93,851,939"
"Sep 29, 2022",$0.3141,$0.315,$0.2953,$0.2975,"$466,055","$94,491,995"
"Sep 28, 2022",$0.316,$0.3164,$0.3089,$0.3141,"$348,248","$99,761,295"
"Sep 27, 2022",$0.3142,$0.3246,$0.3141,$0.316,"$365,372","$100,357,453"
"Sep 26, 2022",$0.3078,$0.3167,$0.3048,$0.3143,"$382,688","$99,813,997"
"Sep 25, 2022",$0.3142,$0.3161,$0.3044,$0.3077,"$375,263","$97,748,692"
"Sep 24, 2022",$0.316,$0.3245,$0.3122,$0.3142,"$357,858","$99,786,601"
"Sep 23, 2022",$0.325,$0.3301,$0.3112,$0.316,"$354,080","$100,383,671"
"Sep 22, 2022",$0.322,$0.3446,$0.3206,$0.3249,"$494,989","$103,203,082"
"Sep 21, 2022",$0.3227,$0.3462,$0.316,$0.3221,"$514,649","$102,305,123"
