Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.05773,$0.06129,$0.05477,$0.05639,"$495,699","$6,205,593"
"Dec 30, 2022",$0.05922,$0.06003,$0.05659,$0.05773,"$548,636","$6,353,329"
"Dec 29, 2022",$0.06266,$0.06312,$0.05842,$0.05922,"$868,986","$6,516,584"
"Dec 28, 2022",$0.06164,$0.0642,$0.06117,$0.06265,"$1,241,531","$6,893,958"
"Dec 27, 2022",$0.06682,$0.06843,$0.06166,$0.06166,"$1,043,540","$6,785,728"
"Dec 26, 2022",$0.06688,$0.0673,$0.06516,$0.06684,"$659,075","$7,355,989"
"Dec 25, 2022",$0.07356,$0.07531,$0.06495,$0.06688,"$903,314","$7,359,723"
"Dec 24, 2022",$0.07149,$0.074,$0.07084,$0.07357,"$401,215","$8,095,978"
"Dec 23, 2022",$0.06809,$0.07727,$0.06801,$0.07147,"$357,859","$7,864,535"
"Dec 22, 2022",$0.06502,$0.07188,$0.06498,$0.06803,"$518,629","$7,486,431"
"Dec 21, 2022",$0.06437,$0.06638,$0.06316,$0.06496,"$328,482","$7,148,553"
"Dec 20, 2022",$0.06368,$0.06455,$0.05955,$0.06438,"$575,685","$7,084,318"
"Dec 19, 2022",$0.06493,$0.06747,$0.06367,$0.06368,"$1,096,461","$7,007,637"
"Dec 18, 2022",$0.06007,$0.06528,$0.05953,$0.065,"$525,141","$7,153,164"
"Dec 17, 2022",$0.06364,$0.06465,$0.05933,$0.06006,"$492,019","$6,609,775"
"Dec 16, 2022",$0.06649,$0.06663,$0.06322,$0.06364,"$434,691","$7,003,630"
"Dec 15, 2022",$0.0717,$0.07226,$0.06534,$0.06662,"$1,078,233","$7,331,762"
"Dec 14, 2022",$0.07486,$0.07675,$0.06942,$0.07177,"$1,555,645","$7,898,384"
"Dec 13, 2022",$0.07459,$0.07655,$0.07409,$0.07485,"$581,585","$8,237,057"
"Dec 12, 2022",$0.07645,$0.07657,$0.07278,$0.07456,"$640,554","$8,205,344"
"Dec 11, 2022",$0.07645,$0.07882,$0.07596,$0.07657,"$747,515","$8,426,204"
"Dec 10, 2022",$0.06875,$0.07653,$0.06779,$0.07651,"$409,948","$8,420,080"
"Dec 09, 2022",$0.07322,$0.07331,$0.06772,$0.06875,"$626,298","$7,565,415"
"Dec 08, 2022",$0.07684,$0.07832,$0.07202,$0.07322,"$738,609","$8,057,440"
"Dec 07, 2022",$0.08337,$0.08417,$0.07558,$0.07682,"$1,309,112","$8,453,489"
"Dec 06, 2022",$0.0809,$0.08444,$0.07995,$0.08337,"$456,919","$9,175,096"
"Dec 05, 2022",$0.0849,$0.0878,$0.07888,$0.08092,"$2,258,535","$8,905,379"
"Dec 04, 2022",$0.0903,$0.09041,$0.07703,$0.08489,"$1,969,363","$9,341,421"
"Dec 03, 2022",$0.08874,$0.09307,$0.08734,$0.0903,"$3,369,355","$9,936,759"
"Dec 02, 2022",$0.08491,$0.08928,$0.07972,$0.08874,"$2,867,519","$9,765,486"
"Dec 01, 2022",$0.07723,$0.08496,$0.07663,$0.08491,"$1,466,969","$9,343,862"
"Nov 30, 2022",$0.07276,$0.0782,$0.07189,$0.07726,"$1,814,178","$8,502,257"
"Nov 29, 2022",$0.08292,$0.0834,$0.07077,$0.07277,"$2,351,283","$8,008,098"
"Nov 28, 2022",$0.07343,$0.08324,$0.06998,$0.08292,"$1,556,231","$9,125,125"
"Nov 27, 2022",$0.07104,$0.07511,$0.06852,$0.07344,"$1,636,251","$8,081,283"
"Nov 26, 2022",$0.0752,$0.07875,$0.07091,$0.07104,"$1,524,808","$7,817,361"
"Nov 25, 2022",$0.07803,$0.07845,$0.06382,$0.07518,"$2,701,042","$8,273,670"
"Nov 24, 2022",$0.05895,$0.07889,$0.05793,$0.07805,"$2,055,177","$8,589,071"
"Nov 23, 2022",$0.05579,$0.05901,$0.05494,$0.05895,"$973,744","$6,487,263"
