Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1001,$0.102,$0.09961,$0.1002,"$36,834,059","$615,122,043"
"Dec 30, 2022",$0.1021,$0.1023,$0.09772,$0.1001,"$60,688,498","$614,218,756"
"Dec 29, 2022",$0.1023,$0.1045,$0.1002,$0.1021,"$76,802,719","$626,384,853"
"Dec 28, 2022",$0.1073,$0.1075,$0.1023,$0.1023,"$70,430,469","$627,941,458"
"Dec 27, 2022",$0.1104,$0.1107,$0.1058,$0.1073,"$50,424,102","$658,653,783"
"Dec 26, 2022",$0.1106,$0.1115,$0.1086,$0.1104,"$43,779,307","$677,644,444"
"Dec 25, 2022",$0.1117,$0.1121,$0.1097,$0.1106,"$36,301,961","$678,898,250"
"Dec 24, 2022",$0.1117,$0.1123,$0.1111,$0.1117,"$28,200,035","$685,501,356"
"Dec 23, 2022",$0.1113,$0.1124,$0.1103,$0.1117,"$47,201,367","$685,405,618"
"Dec 22, 2022",$0.111,$0.1124,$0.1075,$0.1113,"$59,711,061","$683,171,153"
"Dec 21, 2022",$0.1132,$0.1132,$0.1087,$0.111,"$66,545,214","$681,444,423"
"Dec 20, 2022",$0.1065,$0.1152,$0.1065,$0.1132,"$91,711,409","$694,469,346"
"Dec 19, 2022",$0.118,$0.1197,$0.1049,$0.1065,"$105,999,223","$653,382,808"
"Dec 18, 2022",$0.1201,$0.1264,$0.1162,$0.118,"$176,341,887","$724,095,033"
"Dec 17, 2022",$0.1211,$0.1218,$0.1129,$0.1201,"$154,325,452","$737,142,313"
"Dec 16, 2022",$0.1422,$0.1448,$0.1195,$0.1211,"$218,522,395","$742,970,418"
"Dec 15, 2022",$0.1363,$0.1467,$0.1325,$0.1422,"$249,992,549","$872,634,161"
"Dec 14, 2022",$0.1404,$0.1417,$0.1347,$0.1363,"$129,516,542","$836,683,877"
"Dec 13, 2022",$0.1381,$0.1429,$0.1323,$0.1404,"$145,523,661","$861,538,272"
"Dec 12, 2022",$0.1437,$0.1437,$0.1347,$0.1381,"$142,862,567","$847,336,793"
"Dec 11, 2022",$0.1488,$0.1509,$0.1426,$0.1437,"$99,922,981","$882,077,980"
"Dec 10, 2022",$0.1501,$0.1515,$0.1485,$0.1489,"$73,029,197","$913,574,336"
"Dec 09, 2022",$0.1531,$0.1539,$0.1489,$0.1501,"$86,970,406","$921,475,855"
"Dec 08, 2022",$0.1519,$0.1543,$0.1483,$0.1531,"$119,224,993","$939,659,794"
"Dec 07, 2022",$0.1603,$0.1615,$0.1499,$0.1519,"$133,865,363","$932,022,693"
"Dec 06, 2022",$0.1622,$0.1626,$0.1588,$0.1603,"$110,453,365","$983,906,882"
"Dec 05, 2022",$0.1664,$0.1699,$0.1594,$0.1623,"$189,153,587","$995,862,068"
"Dec 04, 2022",$0.1646,$0.1693,$0.1646,$0.1664,"$102,386,894","$1,021,351,840"
"Dec 03, 2022",$0.1699,$0.1702,$0.164,$0.1646,"$149,148,794","$1,010,487,415"
"Dec 02, 2022",$0.1602,$0.1721,$0.1555,$0.1699,"$298,966,835","$1,042,739,064"
"Dec 01, 2022",$0.1656,$0.166,$0.1594,$0.1602,"$135,234,737","$983,379,753"
"Nov 30, 2022",$0.1634,$0.1676,$0.1575,$0.1656,"$204,855,134","$1,016,202,508"
"Nov 29, 2022",$0.1646,$0.1674,$0.1614,$0.1633,"$169,368,650","$1,002,428,174"
"Nov 28, 2022",$0.1699,$0.1702,$0.1572,$0.1647,"$332,587,926","$1,010,582,303"
"Nov 27, 2022",$0.1727,$0.1759,$0.1696,$0.1699,"$154,443,301","$1,042,505,499"
"Nov 26, 2022",$0.1764,$0.1792,$0.1705,$0.1727,"$192,710,935","$1,060,131,345"
"Nov 25, 2022",$0.1773,$0.1773,$0.1692,$0.1764,"$206,310,106","$1,082,782,145"
"Nov 24, 2022",$0.1844,$0.1844,$0.1745,$0.1773,"$231,932,422","$1,088,225,590"
"Nov 23, 2022",$0.1822,$0.1865,$0.1764,$0.1844,"$354,285,287","$1,131,510,755"
"Nov 22, 2022",$0.1858,$0.1883,$0.1701,$0.1821,"$531,216,955","$1,117,787,229"
"Nov 21, 2022",$0.1977,$0.2014,$0.1801,$0.1858,"$702,815,187","$1,140,502,564"
"Nov 20, 2022",$0.2449,$0.2455,$0.1936,$0.1977,"$1,083,890,167","$1,213,082,266"
"Nov 19, 2022",$0.2681,$0.2714,$0.2439,$0.2449,"$854,411,149","$1,502,805,363"
"Nov 18, 2022",$0.2338,$0.2691,$0.2335,$0.2682,"$885,090,924","$1,645,803,688"
"Nov 17, 2022",$0.2296,$0.2384,$0.2213,$0.2338,"$524,148,303","$1,423,207,334"
"Nov 16, 2022",$0.2199,$0.2383,$0.2175,$0.2296,"$827,361,098","$1,397,433,990"
"Nov 15, 2022",$0.1978,$0.2256,$0.1939,$0.2199,"$657,222,430","$1,338,500,106"
"Nov 14, 2022",$0.2004,$0.2097,$0.1794,$0.1978,"$674,641,015","$1,195,774,031"
"Nov 13, 2022",$0.2138,$0.2172,$0.1929,$0.2005,"$417,555,329","$1,211,741,871"
"Nov 12, 2022",$0.2264,$0.2282,$0.2052,$0.2138,"$507,046,319","$1,284,119,663"
"Nov 11, 2022",$0.2128,$0.2347,$0.203,$0.2264,"$1,298,669,511","$1,360,273,375"
"Nov 10, 2022",$0.1545,$0.2147,$0.1517,$0.2127,"$1,087,561,167","$1,277,603,679"
"Nov 09, 2022",$0.2121,$0.2144,$0.1471,$0.1545,"$972,587,948","$927,851,266"
"Nov 08, 2022",$0.2751,$0.278,$0.1822,$0.212,"$1,721,181,244","$1,273,589,062"
"Nov 07, 2022",$0.2736,$0.2952,$0.2564,$0.2751,"$937,357,262","$1,652,295,577"
"Nov 06, 2022",$0.2688,$0.2906,$0.2625,$0.2738,"$827,072,189","$1,644,754,164"
"Nov 05, 2022",$0.2559,$0.2774,$0.2524,$0.2688,"$625,223,171","$1,614,739,034"
"Nov 04, 2022",$0.2367,$0.2571,$0.2294,$0.256,"$480,129,911","$1,537,606,046"
"Nov 03, 2022",$0.2398,$0.2493,$0.2337,$0.2368,"$482,246,904","$1,422,169,592"
"Nov 02, 2022",$0.227,$0.2464,$0.2228,$0.2397,"$781,795,075","$1,440,008,817"
"Nov 01, 2022",$0.2207,$0.2354,$0.2169,$0.227,"$530,631,262","$1,363,544,040"
"Oct 31, 2022",$0.2249,$0.2384,$0.2177,$0.2206,"$627,151,608","$1,325,374,797"
"Oct 30, 2022",$0.1969,$0.2283,$0.1944,$0.2248,"$702,899,675","$1,350,642,726"
"Oct 29, 2022",$0.1981,$0.2037,$0.1939,$0.1969,"$271,257,522","$1,182,502,430"
"Oct 28, 2022",$0.1913,$0.2014,$0.187,$0.1982,"$246,972,515","$1,190,170,610"
"Oct 27, 2022",$0.2016,$0.2069,$0.1908,$0.1913,"$272,353,022","$1,148,928,387"
"Oct 26, 2022",$0.1981,$0.204,$0.1955,$0.2016,"$270,933,691","$1,210,633,501"
"Oct 25, 2022",$0.1926,$0.1995,$0.189,$0.1981,"$311,722,358","$1,189,507,943"
"Oct 24, 2022",$0.185,$0.195,$0.1785,$0.1926,"$265,272,746","$1,156,314,508"
"Oct 23, 2022",$0.1839,$0.1854,$0.1774,$0.185,"$146,467,672","$1,110,902,028"
"Oct 22, 2022",$0.1845,$0.1878,$0.1812,$0.1839,"$174,340,146","$1,104,258,887"
"Oct 21, 2022",$0.1685,$0.1854,$0.1645,$0.1846,"$299,856,484","$1,108,218,784"
"Oct 20, 2022",$0.1702,$0.1729,$0.1647,$0.1685,"$140,087,814","$1,011,915,021"
"Oct 19, 2022",$0.1829,$0.1835,$0.1673,$0.1702,"$145,747,075","$1,021,539,128"
"Oct 18, 2022",$0.1869,$0.1894,$0.1797,$0.1829,"$145,921,602","$1,097,480,618"
"Oct 17, 2022",$0.1815,$0.1879,$0.1789,$0.1869,"$132,913,291","$1,121,457,025"
"Oct 16, 2022",$0.1801,$0.1862,$0.1788,$0.1815,"$138,806,903","$1,088,858,623"
"Oct 15, 2022",$0.18,$0.1826,$0.1748,$0.1801,"$159,173,513","$1,080,853,195"
"Oct 14, 2022",$0.1841,$0.1935,$0.1771,$0.1801,"$214,999,289","$1,080,384,840"
"Oct 13, 2022",$0.1898,$0.1899,$0.1662,$0.1841,"$380,148,727","$1,104,904,143"
"Oct 12, 2022",$0.1944,$0.1958,$0.188,$0.1898,"$144,587,708","$1,139,074,491"
"Oct 11, 2022",$0.1889,$0.1959,$0.1841,$0.1944,"$264,032,574","$1,166,292,615"
"Oct 10, 2022",$0.215,$0.2169,$0.1889,$0.1889,"$314,088,971","$1,133,559,200"
"Oct 09, 2022",$0.2144,$0.2168,$0.2123,$0.215,"$112,668,751","$1,290,195,639"
"Oct 08, 2022",$0.221,$0.2221,$0.2117,$0.2142,"$141,536,622","$1,285,475,156"
"Oct 07, 2022",$0.2141,$0.2216,$0.213,$0.221,"$311,226,385","$1,326,359,736"
"Oct 06, 2022",$0.2168,$0.2201,$0.2129,$0.2141,"$195,215,560","$1,284,559,577"
"Oct 05, 2022",$0.2185,$0.2239,$0.2106,$0.2168,"$262,110,287","$1,301,049,406"
"Oct 04, 2022",$0.2212,$0.2219,$0.2139,$0.2185,"$282,384,676","$1,311,075,802"
"Oct 03, 2022",$0.2161,$0.2225,$0.2095,$0.2212,"$335,332,271","$1,327,494,300"
"Oct 02, 2022",$0.2382,$0.2417,$0.2161,$0.2161,"$358,478,456","$1,296,844,493"
"Oct 01, 2022",$0.235,$0.2489,$0.2348,$0.2382,"$286,784,681","$1,429,080,287"
"Sep 30, 2022",$0.2409,$0.2419,$0.2331,$0.235,"$267,667,530","$1,409,915,673"
"Sep 29, 2022",$0.24,$0.241,$0.2311,$0.241,"$353,699,772","$1,445,864,230"
"Sep 28, 2022",$0.2491,$0.2492,$0.2321,$0.2399,"$390,172,694","$1,439,757,010"
"Sep 27, 2022",$0.2566,$0.2662,$0.2436,$0.2491,"$546,870,566","$1,494,925,913"
"Sep 26, 2022",$0.2564,$0.262,$0.245,$0.2564,"$479,960,403","$1,538,733,168"
"Sep 25, 2022",$0.2648,$0.2742,$0.2538,$0.2564,"$493,556,345","$1,538,331,882"
"Sep 24, 2022",$0.2703,$0.2722,$0.2564,$0.2649,"$483,314,072","$1,589,528,219"
"Sep 23, 2022",$0.2687,$0.2816,$0.2599,$0.2703,"$918,103,360","$1,621,834,816"
"Sep 22, 2022",$0.2283,$0.2721,$0.2281,$0.2687,"$813,783,956","$1,612,487,836"
"Sep 21, 2022",$0.2399,$0.2492,$0.2226,$0.2283,"$704,739,858","$1,369,958,637"
"Sep 20, 2022",$0.2528,$0.2546,$0.2361,$0.2399,"$559,237,924","$1,439,727,162"
"Sep 19, 2022",$0.2293,$0.2544,$0.2231,$0.2527,"$1,031,500,191","$1,516,291,804"
"Sep 18, 2022",$0.2253,$0.2443,$0.2217,$0.2293,"$767,203,067","$1,375,868,660"
"Sep 17, 2022",$0.2099,$0.2269,$0.2087,$0.2255,"$433,775,512","$1,352,875,560"
"Sep 16, 2022",$0.1901,$0.2118,$0.1898,$0.2099,"$535,081,374","$1,259,192,707"
"Sep 15, 2022",$0.1918,$0.197,$0.1803,$0.19,"$377,685,752","$1,140,162,770"
"Sep 14, 2022",$0.1934,$0.1987,$0.1883,$0.1918,"$278,919,939","$1,150,951,507"
"Sep 13, 2022",$0.2011,$0.2086,$0.1907,$0.1961,"$461,591,675","$1,176,713,390"
"Sep 12, 2022",$0.208,$0.2085,$0.1961,$0.2011,"$278,540,813","$1,206,820,421"
"Sep 11, 2022",$0.2016,$0.2199,$0.1975,$0.208,"$379,448,537","$1,248,223,242"
"Sep 10, 2022",$0.2033,$0.2054,$0.198,$0.2017,"$210,027,712","$1,210,169,977"
"Sep 09, 2022",$0.1868,$0.2069,$0.1864,$0.2033,"$427,230,708","$1,219,881,332"
"Sep 08, 2022",$0.1933,$0.1969,$0.1839,$0.1868,"$256,967,391","$1,121,080,956"
"Sep 07, 2022",$0.185,$0.1939,$0.1835,$0.1933,"$277,934,328","$1,159,852,107"
"Sep 06, 2022",$0.2071,$0.2095,$0.1828,$0.1851,"$378,223,891","$1,110,843,457"
"Sep 05, 2022",$0.2127,$0.2139,$0.2017,$0.2071,"$225,070,798","$1,242,790,818"
"Sep 04, 2022",$0.2175,$0.2175,$0.2099,$0.2127,"$184,262,748","$1,276,075,952"
"Sep 03, 2022",$0.2183,$0.2252,$0.2128,$0.2175,"$318,830,575","$1,305,298,578"
"Sep 02, 2022",$0.213,$0.226,$0.2085,$0.2182,"$385,135,881","$1,309,357,788"
"Sep 01, 2022",$0.2165,$0.2197,$0.2022,$0.213,"$378,313,205","$1,278,238,002"
"Aug 31, 2022",$0.1963,$0.2198,$0.1963,$0.2163,"$618,559,706","$1,297,705,328"
"Aug 30, 2022",$0.215,$0.2166,$0.1933,$0.1963,"$399,375,510","$1,177,839,592"
"Aug 29, 2022",$0.2108,$0.2173,$0.2027,$0.215,"$460,715,625","$1,289,808,432"
"Aug 28, 2022",$0.2203,$0.2321,$0.2112,$0.2112,"$478,273,895","$1,267,203,686"
"Aug 27, 2022",$0.207,$0.2227,$0.207,$0.2203,"$500,194,464","$1,321,674,547"
"Aug 26, 2022",$0.2243,$0.2389,$0.2032,$0.2071,"$777,686,389","$1,242,683,110"
"Aug 25, 2022",$0.2423,$0.2429,$0.2203,$0.2243,"$465,252,495","$1,345,799,533"
"Aug 24, 2022",$0.2496,$0.2636,$0.2352,$0.2422,"$751,523,780","$1,453,576,305"
"Aug 23, 2022",$0.2218,$0.2578,$0.2161,$0.2495,"$901,883,753","$1,497,089,147"
"Aug 22, 2022",$0.187,$0.2228,$0.1829,$0.2218,"$624,878,780","$1,330,732,555"
"Aug 21, 2022",$0.183,$0.1932,$0.1792,$0.1871,"$346,843,463","$1,122,431,336"
"Aug 20, 2022",$0.1953,$0.1991,$0.1751,$0.183,"$407,822,872","$1,098,115,186"
"Aug 19, 2022",$0.2102,$0.2102,$0.1913,$0.1953,"$644,346,739","$1,172,115,561"
"Aug 18, 2022",$0.2219,$0.2286,$0.2103,$0.2103,"$568,717,768","$1,262,048,724"
