Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.09676,$0.09679,$0.0945,$0.09455,"$449,316","$3,200,954"
"Dec 30, 2022",$0.09749,$0.09767,$0.09671,$0.09675,"$476,361","$3,275,458"
"Dec 29, 2022",$0.09677,$0.09905,$0.09666,$0.09749,"$820,580","$3,300,485"
"Dec 28, 2022",$0.0966,$0.09747,$0.09616,$0.09677,"$516,313","$3,276,060"
"Dec 27, 2022",$0.09741,$0.09917,$0.09525,$0.09655,"$515,872","$3,268,567"
"Dec 26, 2022",$0.09667,$0.09781,$0.09646,$0.09747,"$471,773","$3,299,807"
"Dec 25, 2022",$0.0973,$0.09763,$0.096,$0.09667,"$541,798","$3,272,613"
"Dec 24, 2022",$0.09652,$0.09751,$0.09582,$0.0973,"$550,569","$3,293,968"
"Dec 23, 2022",$0.09618,$0.09732,$0.09521,$0.09651,"$559,497","$3,267,403"
"Dec 22, 2022",$0.09488,$0.09818,$0.0928,$0.0962,"$485,377","$3,256,743"
"Dec 21, 2022",$0.09777,$0.09796,$0.09467,$0.09482,"$529,315","$3,210,074"
"Dec 20, 2022",$0.09677,$0.09796,$0.09673,$0.09777,"$549,533","$3,309,762"
"Dec 19, 2022",$0.0982,$0.09911,$0.0954,$0.09677,"$581,041","$3,276,012"
"Dec 18, 2022",$0.09882,$0.09967,$0.09738,$0.0982,"$575,478","$3,324,548"
"Dec 17, 2022",$0.09723,$0.1009,$0.09574,$0.09885,"$559,281","$3,346,497"
"Dec 16, 2022",$0.09978,$0.1,$0.09649,$0.09732,"$558,635","$3,294,546"
"Dec 15, 2022",$0.1026,$0.1026,$0.09909,$0.09978,"$557,024","$3,378,023"
"Dec 14, 2022",$0.1043,$0.1056,$0.1022,$0.1026,"$565,445","$3,472,909"
"Dec 13, 2022",$0.1058,$0.1073,$0.1,$0.1042,"$569,659","$3,528,168"
"Dec 12, 2022",$0.1069,$0.1069,$0.1057,$0.1058,"$541,103","$3,582,783"
"Dec 11, 2022",$0.1073,$0.1084,$0.1068,$0.1069,"$544,285","$3,617,653"
"Dec 10, 2022",$0.1082,$0.1083,$0.1072,$0.1073,"$569,145","$3,632,335"
"Dec 09, 2022",$0.1091,$0.1091,$0.108,$0.1082,"$579,433","$3,662,818"
"Dec 08, 2022",$0.1103,$0.1107,$0.1089,$0.1091,"$577,445","$3,692,742"
"Dec 07, 2022",$0.1129,$0.113,$0.1102,$0.1103,"$577,893","$3,732,923"
"Dec 06, 2022",$0.1087,$0.122,$0.1073,$0.1129,"$573,094","$3,822,050"
"Dec 05, 2022",$0.1095,$0.1131,$0.1081,$0.1087,"$606,223","$3,681,093"
"Dec 04, 2022",$0.1088,$0.1098,$0.1067,$0.1095,"$617,234","$3,708,552"
"Dec 03, 2022",$0.1083,$0.1156,$0.1033,$0.1088,"$620,868","$3,684,017"
"Dec 02, 2022",$0.1039,$0.1085,$0.1037,$0.1083,"$650,641","$3,666,738"
"Dec 01, 2022",$0.1204,$0.1354,$0.1037,$0.1039,"$869,639","$3,518,108"
"Nov 30, 2022",$0.07083,$0.1205,$0.07079,$0.1204,"$1,541,180","$4,077,552"
"Nov 29, 2022",$0.06925,$0.07085,$0.0691,$0.07083,"$565,079","$2,397,936"
"Nov 28, 2022",$0.06734,$0.07051,$0.06567,$0.06924,"$594,252","$2,343,978"
"Nov 27, 2022",$0.06754,$0.06813,$0.06734,$0.06734,"$571,572","$2,279,775"
"Nov 26, 2022",$0.06728,$0.06878,$0.06722,$0.06755,"$533,017","$2,286,762"
"Nov 25, 2022",$0.06725,$0.06767,$0.06646,$0.06725,"$674,674","$2,276,818"
"Nov 24, 2022",$0.06825,$0.06872,$0.06705,$0.06725,"$597,435","$2,276,861"
"Nov 23, 2022",$0.06545,$0.06881,$0.06529,$0.06827,"$463,008","$2,311,162"
"Nov 22, 2022",$0.06333,$0.06575,$0.06323,$0.06554,"$431,036","$2,218,786"
