Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1564,$0.1592,$0.1528,$0.1577,"$7,597,792","$34,214,531"
"Dec 30, 2022",$0.1594,$0.1613,$0.1561,$0.1564,"$6,305,610","$33,919,488"
"Dec 29, 2022",$0.1591,$0.161,$0.154,$0.1594,"$10,883,598","$34,581,115"
"Dec 28, 2022",$0.1737,$0.1737,$0.1573,$0.1591,"$10,605,960","$34,522,006"
"Dec 27, 2022",$0.1696,$0.1737,$0.1674,$0.1737,"$10,159,573","$37,675,308"
"Dec 26, 2022",$0.1689,$0.1713,$0.1661,$0.1697,"$7,322,159","$36,811,301"
"Dec 25, 2022",$0.1765,$0.1766,$0.1673,$0.1689,"$8,203,147","$36,638,768"
"Dec 24, 2022",$0.1811,$0.1834,$0.1758,$0.1766,"$7,344,376","$38,301,868"
"Dec 23, 2022",$0.1841,$0.1852,$0.1808,$0.1811,"$6,245,204","$39,286,245"
"Dec 22, 2022",$0.1881,$0.1893,$0.18,$0.1841,"$5,485,118","$39,929,342"
"Dec 21, 2022",$0.1918,$0.192,$0.1857,$0.1881,"$5,267,035","$40,801,770"
"Dec 20, 2022",$0.1837,$0.1922,$0.1831,$0.1918,"$5,658,069","$41,616,572"
"Dec 19, 2022",$0.1936,$0.1964,$0.1806,$0.1837,"$7,138,228","$39,856,207"
"Dec 18, 2022",$0.197,$0.1971,$0.1905,$0.1936,"$6,424,301","$42,006,069"
"Dec 17, 2022",$0.1939,$0.198,$0.1884,$0.197,"$10,104,354","$42,735,379"
"Dec 16, 2022",$0.2232,$0.2263,$0.1925,$0.1939,"$13,533,547","$42,064,412"
"Dec 15, 2022",$0.2298,$0.23,$0.2221,$0.2232,"$8,984,119","$48,417,647"
"Dec 14, 2022",$0.2376,$0.2394,$0.2282,$0.2298,"$9,180,532","$49,846,788"
"Dec 13, 2022",$0.234,$0.2412,$0.2213,$0.2376,"$18,625,450","$51,537,530"
"Dec 12, 2022",$0.2297,$0.2419,$0.2238,$0.234,"$22,108,492","$50,768,475"
"Dec 11, 2022",$0.2322,$0.2361,$0.2298,$0.2298,"$8,860,584","$49,852,109"
"Dec 10, 2022",$0.228,$0.2348,$0.228,$0.2323,"$12,671,415","$50,398,459"
"Dec 09, 2022",$0.2285,$0.2331,$0.2257,$0.228,"$12,717,731","$49,459,248"
"Dec 08, 2022",$0.2217,$0.2319,$0.2187,$0.2285,"$19,639,046","$49,580,317"
"Dec 07, 2022",$0.2312,$0.2341,$0.2202,$0.2218,"$15,882,899","$48,112,585"
"Dec 06, 2022",$0.2339,$0.2344,$0.2284,$0.2312,"$9,562,370","$50,161,386"
"Dec 05, 2022",$0.2435,$0.2462,$0.2312,$0.2338,"$13,183,944","$50,732,129"
"Dec 04, 2022",$0.2405,$0.2454,$0.2393,$0.2435,"$20,647,245","$52,825,338"
"Dec 03, 2022",$0.2431,$0.2471,$0.2385,$0.2406,"$26,753,399","$52,196,702"
"Dec 02, 2022",$0.2403,$0.2509,$0.2365,$0.243,"$24,718,177","$52,714,688"
"Dec 01, 2022",$0.2412,$0.2417,$0.2338,$0.2404,"$14,165,633","$52,143,677"
"Nov 30, 2022",$0.2344,$0.2427,$0.2342,$0.2412,"$14,669,567","$52,324,448"
"Nov 29, 2022",$0.2287,$0.2395,$0.2252,$0.2344,"$24,128,037","$50,850,889"
"Nov 28, 2022",$0.2331,$0.2354,$0.2196,$0.2286,"$11,135,054","$49,603,601"
"Nov 27, 2022",$0.2341,$0.2414,$0.2327,$0.2331,"$9,593,475","$50,568,245"
"Nov 26, 2022",$0.2366,$0.242,$0.2312,$0.234,"$17,971,565","$50,767,869"
"Nov 25, 2022",$0.2405,$0.2418,$0.231,$0.2365,"$12,413,282","$51,307,258"
"Nov 24, 2022",$0.2426,$0.2609,$0.2389,$0.2405,"$23,878,583","$52,174,385"
"Nov 23, 2022",$0.2388,$0.244,$0.2337,$0.2426,"$13,148,518","$52,630,088"
"Nov 22, 2022",$0.2363,$0.239,$0.2213,$0.2387,"$12,607,542","$51,787,159"
"Nov 21, 2022",$0.2367,$0.2446,$0.2283,$0.2363,"$22,467,365","$51,258,252"
"Nov 20, 2022",$0.2644,$0.265,$0.2357,$0.2367,"$22,375,801","$51,354,139"
"Nov 19, 2022",$0.2684,$0.2699,$0.2579,$0.2644,"$17,092,898","$57,370,047"
"Nov 18, 2022",$0.2611,$0.2825,$0.2611,$0.2684,"$38,850,807","$58,223,422"
"Nov 17, 2022",$0.2713,$0.2764,$0.2573,$0.261,"$27,748,115","$56,631,886"
"Nov 16, 2022",$0.2878,$0.3013,$0.2664,$0.2713,"$45,227,357","$58,858,405"
"Nov 15, 2022",$0.3205,$0.3318,$0.2873,$0.2878,"$85,850,801","$62,444,080"
"Nov 14, 2022",$0.2649,$0.3374,$0.2326,$0.3208,"$126,056,684","$69,602,299"
"Nov 13, 2022",$0.2036,$0.2933,$0.2036,$0.265,"$109,733,483","$57,484,677"
"Nov 12, 2022",$0.2164,$0.2167,$0.2011,$0.2037,"$11,128,147","$44,185,551"
"Nov 11, 2022",$0.2181,$0.2272,$0.1983,$0.2164,"$28,633,288","$46,940,529"
"Nov 10, 2022",$0.1806,$0.224,$0.1785,$0.2181,"$31,569,241","$47,325,286"
"Nov 09, 2022",$0.2345,$0.237,$0.1764,$0.1806,"$38,726,112","$39,177,047"
"Nov 08, 2022",$0.3204,$0.3262,$0.2123,$0.2344,"$47,298,678","$50,851,875"
"Nov 07, 2022",$0.3208,$0.3288,$0.3129,$0.3204,"$17,656,858","$69,509,170"
"Nov 06, 2022",$0.3394,$0.349,$0.3204,$0.3207,"$14,582,258","$69,570,673"
"Nov 05, 2022",$0.3505,$0.3595,$0.3358,$0.3394,"$24,608,970","$73,626,104"
"Nov 04, 2022",$0.325,$0.3509,$0.3229,$0.3505,"$25,959,392","$76,036,458"
"Nov 03, 2022",$0.3024,$0.3372,$0.3018,$0.325,"$37,471,515","$70,496,533"
"Nov 02, 2022",$0.3124,$0.3175,$0.299,$0.3024,"$21,155,183","$65,596,340"
"Nov 01, 2022",$0.3211,$0.3265,$0.312,$0.3124,"$12,485,614","$67,770,659"
"Oct 31, 2022",$0.3309,$0.335,$0.3172,$0.3211,"$17,422,309","$69,664,611"
"Oct 30, 2022",$0.3372,$0.3491,$0.3265,$0.3309,"$31,206,439","$71,783,392"
"Oct 29, 2022",$0.3286,$0.3692,$0.3286,$0.3371,"$73,432,759","$73,134,312"
"Oct 28, 2022",$0.3113,$0.3453,$0.3068,$0.3285,"$59,667,779","$71,272,645"
"Oct 27, 2022",$0.3047,$0.3185,$0.3044,$0.3113,"$16,136,385","$67,531,536"
"Oct 26, 2022",$0.2998,$0.3093,$0.2988,$0.3047,"$10,371,918","$66,106,468"
"Oct 25, 2022",$0.2944,$0.306,$0.2941,$0.2998,"$11,913,740","$65,038,132"
"Oct 24, 2022",$0.3111,$0.3122,$0.2934,$0.2944,"$12,023,252","$63,862,556"
"Oct 23, 2022",$0.3131,$0.3159,$0.3013,$0.3111,"$7,387,119","$67,480,661"
"Oct 22, 2022",$0.313,$0.3148,$0.3091,$0.3131,"$3,889,167","$67,927,664"
"Oct 21, 2022",$0.3096,$0.3135,$0.2995,$0.313,"$6,801,918","$67,901,298"
"Oct 20, 2022",$0.3151,$0.3222,$0.308,$0.3097,"$7,212,327","$67,178,357"
"Oct 19, 2022",$0.3337,$0.3344,$0.3149,$0.315,"$8,287,401","$68,342,576"
"Oct 18, 2022",$0.3395,$0.3423,$0.3276,$0.3337,"$12,453,870","$72,405,071"
"Oct 17, 2022",$0.3331,$0.3402,$0.3301,$0.3395,"$7,336,217","$73,646,826"
"Oct 16, 2022",$0.3235,$0.3367,$0.3235,$0.3331,"$8,061,671","$72,263,914"
"Oct 15, 2022",$0.324,$0.3275,$0.3194,$0.3234,"$6,168,584","$70,169,641"
"Oct 14, 2022",$0.3265,$0.3396,$0.3209,$0.324,"$8,766,369","$70,292,768"
"Oct 13, 2022",$0.34,$0.3408,$0.3056,$0.3266,"$15,528,709","$70,849,880"
"Oct 12, 2022",$0.3538,$0.3578,$0.3396,$0.34,"$17,726,194","$73,755,993"
"Oct 11, 2022",$0.3441,$0.3537,$0.3301,$0.3537,"$23,737,623","$76,725,712"
"Oct 10, 2022",$0.3584,$0.3625,$0.3442,$0.3442,"$34,428,642","$74,662,346"
"Oct 09, 2022",$0.3541,$0.3589,$0.3539,$0.3583,"$6,138,405","$77,735,910"
"Oct 08, 2022",$0.3592,$0.3622,$0.3506,$0.354,"$9,716,071","$76,794,137"
"Oct 07, 2022",$0.3595,$0.3656,$0.3557,$0.3592,"$25,808,336","$77,934,565"
"Oct 06, 2022",$0.3657,$0.3721,$0.3583,$0.3595,"$15,012,679","$77,991,898"
"Oct 05, 2022",$0.3724,$0.3731,$0.3583,$0.3656,"$12,387,298","$79,320,145"
"Oct 04, 2022",$0.3673,$0.3763,$0.3665,$0.3724,"$13,427,830","$80,785,679"
"Oct 03, 2022",$0.3552,$0.3705,$0.3527,$0.3674,"$16,024,675","$79,706,237"
"Oct 02, 2022",$0.3596,$0.3636,$0.3531,$0.3552,"$11,849,389","$77,064,835"
"Oct 01, 2022",$0.3613,$0.3642,$0.356,$0.3596,"$7,382,095","$78,023,140"
