Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.043,$0.05241,$0.04231,$0.0508,"$3,860","$1,004,629"
"Dec 30, 2022",$0.04044,$0.04448,$0.03969,$0.043,"$1,090","$849,806"
"Dec 29, 2022",$0.0389,$0.04404,$0.03885,$0.04044,$967,"$807,185"
"Dec 28, 2022",$0.03995,$0.04125,$0.03861,$0.0389,$287,"$776,639"
"Dec 27, 2022",$0.04094,$0.04187,$0.03933,$0.03995,$446,"$794,468"
"Dec 26, 2022",$0.03891,$0.04238,$0.0384,$0.04095,$498,"$813,984"
"Dec 25, 2022",$0.03858,$0.04243,$0.03854,$0.0389,$249,"$773,255"
"Dec 24, 2022",$0.03863,$0.03954,$0.03853,$0.03858,$134,"$766,674"
"Dec 23, 2022",$0.03955,$0.0399,$0.03847,$0.03863,$211,"$769,020"
"Dec 22, 2022",$0.04087,$0.04446,$0.03864,$0.03955,$535,"$787,163"
"Dec 21, 2022",$0.04023,$0.04132,$0.03767,$0.04087,"$1,274","$814,561"
"Dec 20, 2022",$0.03847,$0.04143,$0.0381,$0.04024,$396,"$803,440"
"Dec 19, 2022",$0.03905,$0.04076,$0.03815,$0.03847,$850,"$768,255"
"Dec 18, 2022",$0.04333,$0.04353,$0.03883,$0.03905,$670,"$778,606"
"Dec 17, 2022",$0.03945,$0.0438,$0.03921,$0.04333,$929,"$864,917"
"Dec 16, 2022",$0.04289,$0.04509,$0.03931,$0.03945,$637,"$787,384"
"Dec 15, 2022",$0.04275,$0.04476,$0.04274,$0.04289,$176,"$857,210"
"Dec 14, 2022",$0.04588,$0.05111,$0.04258,$0.04276,"$3,586","$854,760"
"Dec 13, 2022",$0.04456,$0.0471,$0.04388,$0.04588,"$1,112","$917,231"
"Dec 12, 2022",$0.04532,$0.0462,$0.04403,$0.04456,$92,"$893,288"
"Dec 11, 2022",$0.04419,$0.04688,$0.04419,$0.04533,$317,"$905,905"
"Dec 10, 2022",$0.04369,$0.04516,$0.04351,$0.04419,$453,"$883,053"
"Dec 09, 2022",$0.04549,$0.04641,$0.04352,$0.04369,"$1,150","$872,860"
"Dec 08, 2022",$0.0433,$0.04576,$0.04281,$0.0455,$269,"$903,159"
"Dec 07, 2022",$0.04375,$0.04495,$0.04271,$0.0433,$231,"$859,381"
"Dec 06, 2022",$0.0438,$0.04511,$0.04337,$0.04375,$132,"$868,116"
"Dec 05, 2022",$0.04556,$0.04623,$0.04358,$0.0438,"$1,207","$867,430"
"Dec 04, 2022",$0.04582,$0.04621,$0.04489,$0.04557,$272,"$902,400"
"Dec 03, 2022",$0.04888,$0.04895,$0.04579,$0.04582,$395,"$907,254"
"Dec 02, 2022",$0.04649,$0.0507,$0.04494,$0.04887,"$4,216","$967,537"
"Dec 01, 2022",$0.04481,$0.04854,$0.04354,$0.04649,"$1,469","$920,064"
"Nov 30, 2022",$0.04292,$0.04582,$0.04269,$0.04481,"$1,169","$886,354"
"Nov 29, 2022",$0.04265,$0.0459,$0.04123,$0.04292,"$2,416","$847,473"
"Nov 28, 2022",$0.04011,$0.045,$0.03911,$0.04265,"$5,254","$842,052"
"Nov 27, 2022",$0.0405,$0.0424,$0.03982,$0.04012,"$1,468","$791,968"
"Nov 26, 2022",$0.0375,$0.04348,$0.0375,$0.0405,"$3,013","$799,229"
"Nov 25, 2022",$0.03935,$0.04005,$0.03742,$0.0375,"$1,924","$740,001"
"Nov 24, 2022",$0.03987,$0.04079,$0.03887,$0.03935,"$2,565","$776,396"
"Nov 23, 2022",$0.03757,$0.04013,$0.03729,$0.03987,"$1,618","$786,330"
"Nov 22, 2022",$0.03725,$0.03949,$0.03686,$0.03756,"$4,847","$740,707"
"Nov 21, 2022",$0.0378,$0.03854,$0.03563,$0.03726,"$2,193","$735,855"
"Nov 20, 2022",$0.03944,$0.0404,$0.0363,$0.0378,"$1,185","$746,360"
"Nov 19, 2022",$0.0399,$0.04071,$0.03922,$0.03944,"$2,509","$778,622"
"Nov 18, 2022",$0.04022,$0.04152,$0.03942,$0.03991,"$1,655","$793,145"
"Nov 17, 2022",$0.04034,$0.04196,$0.03909,$0.04022,"$2,067","$795,083"
