Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.03975,$0.03978,$0.03746,$0.03746,"$215,651","$47,463,210"
"Dec 30, 2022",$0.04013,$0.04041,$0.03911,$0.03974,"$182,305","$50,352,242"
"Dec 29, 2022",$0.03846,$0.04075,$0.03801,$0.04014,"$225,657","$50,851,019"
"Dec 28, 2022",$0.03904,$0.03905,$0.03717,$0.03848,"$187,540","$48,751,714"
"Dec 27, 2022",$0.04069,$0.04076,$0.03842,$0.03904,"$153,368","$49,454,967"
"Dec 26, 2022",$0.03964,$0.04218,$0.03935,$0.0407,"$246,713","$51,557,407"
"Dec 25, 2022",$0.03915,$0.04008,$0.03785,$0.03964,"$173,565","$50,219,598"
"Dec 24, 2022",$0.03899,$0.03918,$0.03792,$0.03915,"$130,733","$49,605,695"
"Dec 23, 2022",$0.03781,$0.03902,$0.0366,$0.0388,"$189,404","$49,157,104"
"Dec 22, 2022",$0.03618,$0.03804,$0.03459,$0.03781,"$262,763","$47,902,776"
"Dec 21, 2022",$0.03819,$0.03821,$0.03494,$0.03612,"$358,712","$45,759,610"
"Dec 20, 2022",$0.03756,$0.03938,$0.03716,$0.0382,"$271,597","$48,390,301"
"Dec 19, 2022",$0.04066,$0.04072,$0.03657,$0.03752,"$257,892","$47,535,447"
"Dec 18, 2022",$0.04132,$0.04149,$0.04018,$0.04066,"$121,369","$51,507,163"
"Dec 17, 2022",$0.04118,$0.04259,$0.04031,$0.04139,"$205,355","$52,443,123"
"Dec 16, 2022",$0.04256,$0.04435,$0.04099,$0.04118,"$265,107","$52,174,386"
"Dec 15, 2022",$0.04311,$0.04416,$0.04222,$0.04256,"$178,931","$53,922,470"
"Dec 14, 2022",$0.04331,$0.04589,$0.04278,$0.04313,"$270,555","$54,647,490"
"Dec 13, 2022",$0.04296,$0.045,$0.04222,$0.04332,"$209,516","$54,876,904"
"Dec 12, 2022",$0.04293,$0.04395,$0.04214,$0.04296,"$180,041","$54,427,095"
"Dec 11, 2022",$0.04321,$0.04348,$0.04235,$0.04293,"$146,141","$54,390,292"
"Dec 10, 2022",$0.04351,$0.04398,$0.04289,$0.04323,"$117,081","$54,772,495"
"Dec 09, 2022",$0.04461,$0.04469,$0.04308,$0.04357,"$153,316","$55,203,828"
"Dec 08, 2022",$0.04454,$0.04507,$0.04374,$0.04461,"$201,816","$56,516,027"
"Dec 07, 2022",$0.04271,$0.04468,$0.04179,$0.04454,"$298,818","$56,426,285"
"Dec 06, 2022",$0.04568,$0.04642,$0.04233,$0.04269,"$288,126","$54,087,897"
"Dec 05, 2022",$0.04638,$0.04802,$0.04429,$0.04568,"$383,164","$57,873,130"
"Dec 04, 2022",$0.04673,$0.04796,$0.04553,$0.04628,"$177,528","$58,631,854"
"Dec 03, 2022",$0.04676,$0.04973,$0.04633,$0.0467,"$257,811","$59,167,141"
"Dec 02, 2022",$0.0492,$0.04984,$0.04603,$0.04676,"$683,974","$59,238,979"
"Dec 01, 2022",$0.04998,$0.05459,$0.0472,$0.04919,"$439,221","$62,324,818"
"Nov 30, 2022",$0.04729,$0.05325,$0.0471,$0.04998,"$553,045","$63,320,809"
"Nov 29, 2022",$0.04777,$0.04916,$0.04657,$0.04729,"$386,583","$59,906,861"
"Nov 28, 2022",$0.04994,$0.05052,$0.04722,$0.04777,"$240,513","$60,520,849"
"Nov 27, 2022",$0.05145,$0.05288,$0.04949,$0.04995,"$179,412","$63,281,369"
"Nov 26, 2022",$0.05021,$0.05427,$0.05,$0.05146,"$416,642","$65,189,089"
"Nov 25, 2022",$0.05193,$0.05196,$0.04902,$0.05021,"$241,676","$63,614,546"
"Nov 24, 2022",$0.04944,$0.05459,$0.04785,$0.05195,"$582,842","$65,810,483"
"Nov 23, 2022",$0.04491,$0.05027,$0.04403,$0.04945,"$374,846","$62,652,096"
"Nov 22, 2022",$0.04514,$0.04551,$0.04279,$0.04489,"$276,702","$56,873,717"
"Nov 21, 2022",$0.04466,$0.04638,$0.04393,$0.04515,"$322,692","$57,197,272"
"Nov 20, 2022",$0.04721,$0.04827,$0.04409,$0.04471,"$246,701","$56,649,203"
"Nov 19, 2022",$0.04907,$0.04924,$0.0458,$0.04721,"$276,636","$59,808,709"
"Nov 18, 2022",$0.04842,$0.05223,$0.04815,$0.04909,"$201,704","$62,187,315"
"Nov 17, 2022",$0.04852,$0.05154,$0.04672,$0.04832,"$358,217","$61,212,805"
"Nov 16, 2022",$0.05013,$0.05167,$0.04707,$0.04849,"$391,912","$61,435,704"
"Nov 15, 2022",$0.04715,$0.05297,$0.04693,$0.05015,"$560,859","$63,534,149"
"Nov 14, 2022",$0.0462,$0.05157,$0.0446,$0.04723,"$752,610","$59,837,912"
"Nov 13, 2022",$0.05347,$0.05396,$0.04603,$0.04628,"$828,639","$58,626,849"
"Nov 12, 2022",$0.05026,$0.05359,$0.04985,$0.05351,"$499,069","$67,790,131"
"Nov 11, 2022",$0.0543,$0.05581,$0.04796,$0.05023,"$734,567","$63,633,485"
"Nov 10, 2022",$0.04894,$0.05908,$0.04853,$0.0543,"$1,261,722","$68,792,437"
"Nov 09, 2022",$0.0596,$0.0596,$0.04639,$0.04901,"$1,553,523","$62,088,166"
