Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.01209,$0.01217,$0.01189,$0.01208,"$191,871","$34,991,770"
"Dec 30, 2022",$0.01215,$0.01217,$0.01182,$0.01202,"$439,619","$34,837,893"
"Dec 29, 2022",$0.01231,$0.01265,$0.01177,$0.01215,"$594,279","$35,194,347"
"Dec 28, 2022",$0.01268,$0.01268,$0.01196,$0.0123,"$584,710","$35,648,799"
"Dec 27, 2022",$0.0128,$0.01307,$0.01249,$0.01268,"$810,041","$36,748,606"
"Dec 26, 2022",$0.01378,$0.01379,$0.01271,$0.0128,"$1,243,083","$37,096,314"
"Dec 25, 2022",$0.01301,$0.01472,$0.01289,$0.01378,"$3,024,896","$39,922,252"
"Dec 24, 2022",$0.01283,$0.01327,$0.01279,$0.01301,"$504,591","$37,704,349"
"Dec 23, 2022",$0.01254,$0.0133,$0.01239,$0.01283,"$959,244","$37,169,326"
"Dec 22, 2022",$0.01251,$0.01277,$0.01236,$0.01254,"$604,370","$36,346,328"
"Dec 21, 2022",$0.01242,$0.0127,$0.01231,$0.01251,"$338,922","$36,234,230"
"Dec 20, 2022",$0.01224,$0.01252,$0.01213,$0.01243,"$284,549","$36,016,848"
"Dec 19, 2022",$0.01235,$0.01277,$0.01218,$0.01227,"$601,088","$35,548,119"
"Dec 18, 2022",$0.01231,$0.01263,$0.01218,$0.01237,"$243,382","$35,831,609"
"Dec 17, 2022",$0.01218,$0.01254,$0.01205,$0.01231,"$399,816","$35,654,663"
"Dec 16, 2022",$0.01231,$0.01289,$0.0121,$0.01218,"$1,268,504","$35,292,932"
"Dec 15, 2022",$0.01253,$0.01257,$0.0122,$0.0123,"$644,867","$35,635,705"
"Dec 14, 2022",$0.01249,$0.01283,$0.01235,$0.01253,"$442,301","$36,303,920"
"Dec 13, 2022",$0.01222,$0.01295,$0.01188,$0.01249,"$1,218,268","$36,200,985"
"Dec 12, 2022",$0.01242,$0.01242,$0.01152,$0.01211,"$539,750","$35,076,679"
"Dec 11, 2022",$0.01246,$0.01257,$0.01228,$0.01242,"$218,192","$35,987,928"
"Dec 10, 2022",$0.01251,$0.01265,$0.01228,$0.01246,"$449,628","$36,099,002"
"Dec 09, 2022",$0.01233,$0.01267,$0.01226,$0.01251,"$548,574","$36,255,942"
"Dec 08, 2022",$0.01242,$0.01269,$0.0122,$0.01238,"$789,618","$35,861,706"
"Dec 07, 2022",$0.01197,$0.01285,$0.01141,$0.01242,"$1,237,034","$35,974,706"
"Dec 06, 2022",$0.01197,$0.01239,$0.01183,$0.01197,"$552,823","$34,686,962"
"Dec 05, 2022",$0.01234,$0.01239,$0.01192,$0.01197,"$684,572","$34,686,488"
"Dec 04, 2022",$0.01237,$0.01256,$0.01203,$0.01234,"$632,180","$35,750,122"
"Dec 03, 2022",$0.01214,$0.01269,$0.01211,$0.01235,"$529,405","$35,790,540"
"Dec 02, 2022",$0.01236,$0.0125,$0.01202,$0.01214,"$826,801","$35,170,691"
"Dec 01, 2022",$0.01237,$0.01266,$0.01216,$0.01236,"$601,832","$35,803,081"
"Nov 30, 2022",$0.01206,$0.0124,$0.01191,$0.01237,"$350,353","$35,847,536"
"Nov 29, 2022",$0.01205,$0.0122,$0.01181,$0.01206,"$306,038","$34,936,149"
"Nov 28, 2022",$0.01232,$0.01239,$0.01168,$0.01205,"$450,876","$34,917,214"
"Nov 27, 2022",$0.01211,$0.01263,$0.01194,$0.01225,"$363,378","$35,491,898"
"Nov 26, 2022",$0.01216,$0.01262,$0.01162,$0.01212,"$645,350","$35,123,095"
"Nov 25, 2022",$0.0124,$0.01248,$0.0117,$0.01214,"$1,370,037","$35,164,336"
"Nov 24, 2022",$0.01297,$0.01311,$0.01225,$0.0124,"$1,376,361","$35,929,777"
"Nov 23, 2022",$0.0133,$0.01351,$0.0127,$0.01299,"$1,727,190","$37,623,771"
"Nov 22, 2022",$0.01406,$0.01466,$0.01314,$0.01334,"$1,391,719","$38,653,311"
"Nov 21, 2022",$0.01396,$0.01565,$0.01352,$0.01406,"$2,191,451","$40,744,649"
"Nov 20, 2022",$0.01401,$0.01581,$0.01386,$0.01396,"$4,373,893","$40,454,664"
"Nov 19, 2022",$0.01305,$0.0141,$0.01305,$0.01395,"$920,443","$40,411,420"
