Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.00166,$0.001721,$0.001646,$0.001679,"$232,761","$2,793,931"
"Dec 30, 2022",$0.001554,$0.001718,$0.001541,$0.001661,"$436,325","$2,763,526"
"Dec 29, 2022",$0.001629,$0.00192,$0.001474,$0.001556,"$774,600","$2,589,233"
"Dec 28, 2022",$0.002093,$0.002095,$0.001448,$0.001631,"$896,904","$2,714,066"
"Dec 27, 2022",$0.002014,$0.002224,$0.001921,$0.002094,"$901,684","$3,484,262"
"Dec 26, 2022",$0.001755,$0.002054,$0.001749,$0.001996,"$1,154,126","$3,321,044"
"Dec 25, 2022",$0.002759,$0.00276,$0.001732,$0.001755,"$4,180,379","$2,920,185"
"Dec 24, 2022",$0.0004395,$0.003802,$0.0004383,$0.002759,"$7,662,082","$4,591,211"
"Dec 23, 2022",$0.0004423,$0.00048,$0.0004295,$0.0004374,"$171,968","$727,835"
"Dec 22, 2022",$0.0004401,$0.0004508,$0.0004371,$0.0004417,"$132,940","$734,871"
"Dec 21, 2022",$0.0004605,$0.0004606,$0.0004386,$0.0004401,"$134,871","$732,257"
"Dec 20, 2022",$0.0004383,$0.0004632,$0.0004346,$0.0004605,"$140,785","$766,222"
"Dec 19, 2022",$0.0004662,$0.0004701,$0.000436,$0.0004381,"$146,790","$728,929"
"Dec 18, 2022",$0.0004612,$0.0004699,$0.0004485,$0.000466,"$138,081","$775,373"
"Dec 17, 2022",$0.000477,$0.0004808,$0.0004419,$0.0004604,"$191,064","$765,987"
"Dec 16, 2022",$0.0005127,$0.000519,$0.0004715,$0.0004788,"$161,983","$796,642"
"Dec 15, 2022",$0.0005245,$0.0005258,$0.0004883,$0.0005127,"$187,326","$853,093"
"Dec 14, 2022",$0.000541,$0.0005454,$0.0005201,$0.0005249,"$147,721","$873,433"
"Dec 13, 2022",$0.0005314,$0.0005466,$0.000513,$0.000541,"$151,357","$900,207"
"Dec 12, 2022",$0.0005453,$0.0005464,$0.0005272,$0.0005316,"$159,353","$884,448"
