Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$9.36,$9.44,$9.28,$9.35,"$66,653,708","$2,677,160,936"
"Dec 30, 2022",$9.35,$9.39,$9.25,$9.36,"$93,288,918","$2,681,621,647"
"Dec 29, 2022",$9.12,$9.38,$9.04,$9.35,"$106,684,288","$2,676,540,175"
"Dec 28, 2022",$9.21,$9.24,$8.95,$9.12,"$105,329,939","$2,611,989,969"
"Dec 27, 2022",$9.18,$9.41,$9.15,$9.21,"$94,588,379","$2,638,744,146"
"Dec 26, 2022",$9.02,$9.19,$9.01,$9.18,"$75,683,024","$2,629,193,538"
"Dec 25, 2022",$8.97,$9.10,$8.86,$9.02,"$69,795,596","$2,583,178,816"
"Dec 24, 2022",$8.91,$9.04,$8.90,$8.97,"$72,256,010","$2,569,088,317"
"Dec 23, 2022",$8.99,$9.04,$8.89,$8.91,"$77,145,610","$2,551,868,720"
"Dec 22, 2022",$8.85,$9.00,$8.69,$8.99,"$90,375,469","$2,574,077,753"
"Dec 21, 2022",$8.96,$9.04,$8.78,$8.85,"$87,031,233","$2,533,395,428"
"Dec 20, 2022",$8.64,$9.02,$8.58,$8.96,"$93,567,091","$2,566,187,353"
"Dec 19, 2022",$8.87,$8.93,$8.60,$8.64,"$94,807,147","$2,474,978,301"
"Dec 18, 2022",$8.80,$8.93,$8.77,$8.86,"$56,840,678","$2,538,573,670"
"Dec 17, 2022",$8.59,$8.80,$8.50,$8.80,"$94,190,054","$2,519,456,373"
"Dec 16, 2022",$9.43,$9.51,$8.50,$8.59,"$135,790,224","$2,459,515,455"
"Dec 15, 2022",$9.61,$9.66,$9.41,$9.43,"$100,062,731","$2,699,506,283"
"Dec 14, 2022",$9.74,$9.97,$9.58,$9.61,"$141,404,080","$2,751,771,926"
"Dec 13, 2022",$9.62,$9.85,$9.18,$9.74,"$154,353,754","$2,788,150,692"
"Dec 12, 2022",$9.54,$9.64,$9.46,$9.62,"$110,573,227","$2,753,522,048"
"Dec 11, 2022",$9.94,$9.98,$9.54,$9.54,"$82,387,241","$2,732,823,036"
"Dec 10, 2022",$9.75,$10.26,$9.66,$9.94,"$161,729,914","$2,846,903,754"
"Dec 09, 2022",$9.82,$9.89,$9.65,$9.75,"$90,417,412","$2,792,382,033"
"Dec 08, 2022",$9.61,$9.85,$9.52,$9.82,"$99,760,578","$2,812,865,279"
"Dec 07, 2022",$10.17,$10.17,$9.53,$9.61,"$153,367,252","$2,750,891,583"
"Dec 06, 2022",$10.26,$10.37,$10.00,$10.17,"$118,580,493","$2,912,456,432"
"Dec 05, 2022",$10.26,$10.55,$10.17,$10.26,"$132,072,657","$2,938,570,590"
"Dec 04, 2022",$10.04,$10.27,$10.04,$10.27,"$78,933,141","$2,940,009,989"
"Dec 03, 2022",$10.36,$10.39,$10.02,$10.04,"$81,374,257","$2,875,201,521"
"Dec 02, 2022",$10.26,$10.36,$10.14,$10.36,"$96,019,273","$2,966,310,874"
