Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.05539,$0.05539,$0.05334,$0.05358,"$3,380,575","$59,396,795"
"Dec 30, 2022",$0.05748,$0.05748,$0.05457,$0.05535,"$4,214,625","$61,365,922"
"Dec 29, 2022",$0.05788,$0.05856,$0.0563,$0.05749,"$3,256,868","$63,731,648"
"Dec 28, 2022",$0.05911,$0.05929,$0.05702,$0.05788,"$3,045,210","$64,166,153"
"Dec 27, 2022",$0.05915,$0.05969,$0.05862,$0.05912,"$3,106,051","$65,547,506"
"Dec 26, 2022",$0.05804,$0.05915,$0.05785,$0.05915,"$2,555,895","$65,572,217"
"Dec 25, 2022",$0.05832,$0.05846,$0.05742,$0.05804,"$2,248,531","$64,345,244"
"Dec 24, 2022",$0.05792,$0.05847,$0.05774,$0.05832,"$1,676,132","$64,650,778"
"Dec 23, 2022",$0.0579,$0.05861,$0.05772,$0.05792,"$1,979,796","$64,208,727"
"Dec 22, 2022",$0.05768,$0.05827,$0.05645,$0.0579,"$3,143,686","$64,194,662"
"Dec 21, 2022",$0.05821,$0.05822,$0.05675,$0.05768,"$2,800,435","$63,949,337"
"Dec 20, 2022",$0.05628,$0.05845,$0.05594,$0.05823,"$2,644,590","$64,551,128"
"Dec 19, 2022",$0.05898,$0.0597,$0.05581,$0.05628,"$4,489,426","$62,390,889"
"Dec 18, 2022",$0.05921,$0.0602,$0.05856,$0.05898,"$2,857,530","$65,393,018"
"Dec 17, 2022",$0.0585,$0.05956,$0.05719,$0.0592,"$3,265,273","$65,631,121"
"Dec 16, 2022",$0.06727,$0.06803,$0.05817,$0.0585,"$5,347,367","$64,853,387"
"Dec 15, 2022",$0.06935,$0.06939,$0.06713,$0.06729,"$2,993,085","$74,604,240"
"Dec 14, 2022",$0.07043,$0.07135,$0.0687,$0.0694,"$4,878,782","$76,939,328"
"Dec 13, 2022",$0.06883,$0.07059,$0.06636,$0.0704,"$5,299,651","$78,050,623"
"Dec 12, 2022",$0.07022,$0.07023,$0.0679,$0.06883,"$4,238,316","$76,308,844"
"Dec 11, 2022",$0.07183,$0.07206,$0.07006,$0.07022,"$7,045,585","$77,850,446"
"Dec 10, 2022",$0.07099,$0.07215,$0.07099,$0.07182,"$4,644,385","$79,623,397"
"Dec 09, 2022",$0.07152,$0.07232,$0.07084,$0.071,"$7,170,740","$78,709,902"
"Dec 08, 2022",$0.07005,$0.07177,$0.06963,$0.07152,"$3,713,870","$79,292,148"
"Dec 07, 2022",$0.07234,$0.07255,$0.06922,$0.07005,"$5,672,254","$77,658,262"
"Dec 06, 2022",$0.07375,$0.07397,$0.07155,$0.07233,"$5,576,185","$80,186,815"
"Dec 05, 2022",$0.07252,$0.07469,$0.07232,$0.07377,"$7,522,845","$81,784,193"
"Dec 04, 2022",$0.07209,$0.07301,$0.07165,$0.07252,"$6,256,789","$80,401,660"
"Dec 03, 2022",$0.07328,$0.07381,$0.07202,$0.07212,"$3,365,387","$79,959,629"
"Dec 02, 2022",$0.07161,$0.07329,$0.07083,$0.07329,"$4,099,399","$81,252,611"
"Dec 01, 2022",$0.07482,$0.07482,$0.07138,$0.07161,"$4,585,365","$79,387,343"
"Nov 30, 2022",$0.07178,$0.07495,$0.07174,$0.07485,"$5,045,730","$82,976,623"
"Nov 29, 2022",$0.071,$0.07399,$0.07033,$0.07178,"$4,809,477","$79,582,838"
"Nov 28, 2022",$0.07254,$0.07305,$0.06944,$0.07101,"$4,865,859","$78,723,269"
"Nov 27, 2022",$0.07343,$0.07476,$0.07243,$0.07251,"$4,197,577","$80,387,971"
"Nov 26, 2022",$0.07336,$0.07524,$0.0728,$0.07344,"$4,237,287","$81,414,139"
"Nov 25, 2022",$0.07352,$0.07374,$0.07153,$0.07333,"$4,235,833","$81,292,930"
"Nov 24, 2022",$0.07342,$0.07474,$0.07298,$0.0735,"$5,656,165","$81,488,979"
"Nov 23, 2022",$0.07044,$0.07398,$0.07039,$0.07344,"$8,980,709","$81,418,766"
"Nov 22, 2022",$0.0675,$0.07049,$0.06628,$0.07045,"$8,529,987","$78,101,602"
"Nov 21, 2022",$0.07352,$0.08036,$0.06585,$0.06751,"$21,982,977","$74,847,022"
"Nov 20, 2022",$0.07187,$0.07519,$0.07108,$0.07352,"$12,310,500","$81,508,718"
"Nov 19, 2022",$0.07041,$0.07219,$0.06928,$0.07187,"$4,727,158","$79,677,147"
"Nov 18, 2022",$0.07174,$0.07354,$0.07013,$0.07041,"$5,780,347","$78,063,546"
"Nov 17, 2022",$0.07213,$0.07247,$0.07003,$0.07176,"$5,268,749","$79,552,467"
"Nov 16, 2022",$0.07345,$0.07434,$0.0709,$0.07214,"$5,732,763","$79,973,164"
"Nov 15, 2022",$0.07148,$0.07566,$0.07148,$0.07345,"$7,666,184","$81,429,244"
"Nov 14, 2022",$0.06932,$0.07204,$0.06645,$0.07148,"$14,492,463","$79,242,109"
"Nov 13, 2022",$0.07662,$0.07923,$0.06852,$0.06933,"$11,871,903","$76,866,000"
"Nov 12, 2022",$0.08,$0.08009,$0.07548,$0.07661,"$6,115,492","$84,938,323"
"Nov 11, 2022",$0.08685,$0.08751,$0.07722,$0.07999,"$12,752,293","$88,679,021"
"Nov 10, 2022",$0.07678,$0.08782,$0.07584,$0.08686,"$16,563,957","$96,301,615"
"Nov 09, 2022",$0.09573,$0.09658,$0.07422,$0.0768,"$21,073,935","$85,138,844"
"Nov 08, 2022",$0.1127,$0.1138,$0.08715,$0.09571,"$38,134,675","$106,103,806"
"Nov 07, 2022",$0.1036,$0.1152,$0.1034,$0.1127,"$24,043,553","$124,994,208"
"Nov 06, 2022",$0.1102,$0.1111,$0.1036,$0.1036,"$9,298,579","$114,882,607"
"Nov 05, 2022",$0.1139,$0.1157,$0.1092,$0.1102,"$12,098,769","$122,220,134"
"Nov 04, 2022",$0.1025,$0.1139,$0.1018,$0.1139,"$27,607,456","$126,306,383"
"Nov 03, 2022",$0.09826,$0.1035,$0.09818,$0.1025,"$12,398,334","$113,657,493"
"Nov 02, 2022",$0.1017,$0.1017,$0.09652,$0.09827,"$10,561,652","$108,941,031"
"Nov 01, 2022",$0.103,$0.1043,$0.1016,$0.1017,"$5,352,752","$112,736,873"
"Oct 31, 2022",$0.1048,$0.1059,$0.1016,$0.103,"$8,509,995","$114,203,874"
"Oct 30, 2022",$0.1055,$0.1094,$0.1036,$0.1049,"$8,579,953","$116,258,471"
"Oct 29, 2022",$0.1036,$0.1075,$0.1035,$0.1055,"$10,062,345","$116,919,055"
"Oct 28, 2022",$0.1033,$0.1039,$0.1012,$0.1036,"$7,263,540","$114,891,810"
"Oct 27, 2022",$0.1039,$0.1071,$0.1032,$0.1033,"$10,613,365","$114,540,703"
"Oct 26, 2022",$0.1019,$0.1047,$0.1019,$0.1039,"$6,621,229","$115,202,736"
"Oct 25, 2022",$0.09998,$0.1039,$0.09997,$0.1019,"$9,954,947","$112,998,632"
"Oct 24, 2022",$0.1011,$0.1012,$0.09882,$0.09999,"$4,888,253","$110,855,056"
"Oct 23, 2022",$0.09844,$0.1014,$0.09748,$0.1011,"$6,429,130","$112,072,548"
"Oct 22, 2022",$0.09907,$0.1003,$0.09809,$0.09843,"$4,374,158","$109,128,310"
"Oct 21, 2022",$0.09696,$0.09931,$0.09574,$0.09907,"$6,261,513","$109,831,109"
"Oct 20, 2022",$0.09718,$0.09931,$0.09634,$0.09696,"$5,781,613","$107,499,462"
"Oct 19, 2022",$0.09857,$0.1009,$0.0968,$0.09716,"$6,958,348","$107,716,966"
"Oct 18, 2022",$0.102,$0.1026,$0.09727,$0.09855,"$6,954,413","$109,253,184"
"Oct 17, 2022",$0.09944,$0.1033,$0.09843,$0.1019,"$8,492,243","$113,024,232"
"Oct 16, 2022",$0.09918,$0.101,$0.0986,$0.09946,"$9,423,849","$110,267,095"
"Oct 15, 2022",$0.09659,$0.1011,$0.09634,$0.0992,"$8,995,627","$109,974,257"
"Oct 14, 2022",$0.09993,$0.1024,$0.09537,$0.09652,"$11,334,702","$107,003,489"
"Oct 13, 2022",$0.1026,$0.1028,$0.09379,$0.09993,"$12,941,568","$110,784,720"
"Oct 12, 2022",$0.1048,$0.1058,$0.1019,$0.1027,"$6,454,628","$113,813,290"
"Oct 11, 2022",$0.1073,$0.1073,$0.1042,$0.1048,"$10,990,514","$116,133,419"
"Oct 10, 2022",$0.1143,$0.1157,$0.1073,$0.1073,"$15,315,144","$118,979,860"
"Oct 09, 2022",$0.1121,$0.1158,$0.1121,$0.1143,"$9,180,615","$126,696,985"
"Oct 08, 2022",$0.1154,$0.1163,$0.1105,$0.1121,"$7,431,796","$124,251,686"
"Oct 07, 2022",$0.1177,$0.1184,$0.1133,$0.1153,"$12,910,401","$127,847,910"
"Oct 06, 2022",$0.1223,$0.1233,$0.1161,$0.1178,"$16,365,750","$130,545,427"
"Oct 05, 2022",$0.1219,$0.1272,$0.1197,$0.1223,"$20,129,821","$135,617,938"
"Oct 04, 2022",$0.1272,$0.1296,$0.1213,$0.1219,"$31,665,184","$135,152,768"
"Oct 03, 2022",$0.1086,$0.1287,$0.108,$0.1272,"$81,027,244","$140,976,523"
"Oct 02, 2022",$0.1075,$0.1117,$0.1065,$0.1086,"$18,191,520","$120,368,854"
"Oct 01, 2022",$0.1075,$0.1101,$0.1056,$0.1075,"$14,486,980","$119,191,449"
"Sep 30, 2022",$0.1076,$0.1086,$0.1047,$0.1075,"$15,011,173","$119,199,634"
"Sep 29, 2022",$0.105,$0.1084,$0.1026,$0.1076,"$19,047,249","$119,246,917"
"Sep 28, 2022",$0.1041,$0.1076,$0.1016,$0.105,"$27,055,755","$116,384,884"
"Sep 27, 2022",$0.1021,$0.1062,$0.1015,$0.1042,"$17,386,982","$115,477,445"
"Sep 26, 2022",$0.1072,$0.1083,$0.1004,$0.1021,"$16,165,671","$113,216,885"
"Sep 25, 2022",$0.1061,$0.1073,$0.1003,$0.1071,"$17,864,983","$118,731,714"
"Sep 24, 2022",$0.1073,$0.1097,$0.1036,$0.1061,"$15,209,952","$117,614,805"
"Sep 23, 2022",$0.1001,$0.1093,$0.1001,$0.1073,"$35,619,484","$118,937,566"
"Sep 22, 2022",$0.09688,$0.1004,$0.09595,$0.1002,"$13,869,791","$111,047,050"
"Sep 21, 2022",$0.09541,$0.09846,$0.09117,$0.09694,"$16,846,379","$107,477,385"
"Sep 20, 2022",$0.09411,$0.09959,$0.09399,$0.09543,"$14,321,305","$105,798,759"
"Sep 19, 2022",$0.09136,$0.0943,$0.08932,$0.09411,"$9,832,937","$104,329,755"
"Sep 18, 2022",$0.09583,$0.1021,$0.09096,$0.09134,"$13,618,576","$101,262,274"
"Sep 17, 2022",$0.09782,$0.0985,$0.09439,$0.09583,"$9,185,960","$106,243,604"
"Sep 16, 2022",$0.09048,$0.1127,$0.08937,$0.09781,"$44,685,371","$108,435,021"
"Sep 15, 2022",$0.09491,$0.09491,$0.09038,$0.09047,"$7,042,471","$100,296,209"
"Sep 14, 2022",$0.09239,$0.09522,$0.09192,$0.09492,"$6,740,658","$105,228,590"
"Sep 13, 2022",$0.1025,$0.1045,$0.09211,$0.09317,"$12,486,652","$103,290,494"
"Sep 12, 2022",$0.09967,$0.1046,$0.09812,$0.1025,"$12,818,514","$113,624,596"
"Sep 11, 2022",$0.09887,$0.1015,$0.09753,$0.09967,"$5,947,925","$110,493,531"
"Sep 10, 2022",$0.09833,$0.1008,$0.09822,$0.09886,"$7,628,283","$109,605,570"
"Sep 09, 2022",$0.09695,$0.09902,$0.09678,$0.09833,"$9,035,218","$109,013,539"
"Sep 08, 2022",$0.09507,$0.09867,$0.09422,$0.09695,"$10,090,805","$107,484,534"
"Sep 07, 2022",$0.08852,$0.09563,$0.08838,$0.0951,"$7,428,774","$105,430,048"
"Sep 06, 2022",$0.09394,$0.09581,$0.087,$0.08854,"$8,011,844","$98,159,699"
"Sep 05, 2022",$0.09579,$0.09624,$0.09284,$0.09396,"$4,468,913","$104,164,720"
"Sep 04, 2022",$0.09493,$0.09606,$0.09353,$0.09577,"$4,814,501","$106,172,573"
"Sep 03, 2022",$0.09301,$0.09551,$0.09239,$0.09495,"$5,806,616","$105,267,335"
"Sep 02, 2022",$0.0923,$0.09458,$0.09094,$0.09299,"$5,605,484","$103,096,525"
"Sep 01, 2022",$0.08974,$0.09242,$0.08878,$0.09231,"$7,023,185","$102,337,408"
"Aug 31, 2022",$0.08924,$0.0923,$0.08924,$0.08974,"$4,646,176","$99,486,990"
"Aug 30, 2022",$0.09235,$0.09398,$0.08737,$0.08923,"$5,149,874","$98,921,153"
"Aug 29, 2022",$0.08586,$0.09285,$0.08547,$0.09234,"$6,945,960","$102,376,782"
"Aug 28, 2022",$0.09116,$0.09147,$0.08586,$0.08586,"$4,851,869","$95,189,565"
"Aug 27, 2022",$0.08843,$0.09179,$0.08795,$0.09118,"$5,126,065","$101,085,282"
"Aug 26, 2022",$0.09902,$0.09942,$0.08804,$0.0884,"$10,219,418","$98,006,440"
"Aug 25, 2022",$0.09913,$0.1018,$0.09794,$0.09902,"$7,815,557","$109,779,690"
"Aug 24, 2022",$0.1008,$0.1019,$0.09902,$0.09917,"$5,830,090","$109,942,551"
"Aug 23, 2022",$0.0978,$0.1017,$0.09654,$0.1008,"$6,732,832","$111,805,682"
"Aug 22, 2022",$0.1007,$0.103,$0.09461,$0.0978,"$9,557,131","$108,430,057"
"Aug 21, 2022",$0.09546,$0.1008,$0.09506,$0.1008,"$4,835,317","$111,753,728"
"Aug 20, 2022",$0.09724,$0.0989,$0.09312,$0.09551,"$6,741,838","$105,891,574"
"Aug 19, 2022",$0.1041,$0.1041,$0.09516,$0.09721,"$10,158,794","$107,775,231"
"Aug 18, 2022",$0.109,$0.1115,$0.1041,$0.1041,"$6,096,560","$115,380,435"
"Aug 17, 2022",$0.1137,$0.1186,$0.1086,$0.109,"$10,209,536","$120,797,579"
"Aug 16, 2022",$0.1147,$0.1164,$0.1126,$0.1137,"$7,248,993","$126,097,711"
"Aug 15, 2022",$0.117,$0.1196,$0.1136,$0.1147,"$8,045,310","$127,154,908"
"Aug 14, 2022",$0.123,$0.1256,$0.1165,$0.117,"$8,633,224","$129,731,734"
"Aug 13, 2022",$0.1234,$0.1244,$0.1219,$0.1229,"$7,471,690","$136,274,512"
"Aug 12, 2022",$0.1213,$0.1239,$0.1196,$0.1233,"$6,797,592","$136,728,169"
"Aug 11, 2022",$0.1213,$0.1243,$0.1208,$0.1212,"$10,320,085","$134,401,491"
