Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1688,$0.1768,$0.1505,$0.1513,"$11,776","$2,539,256"
"Dec 30, 2022",$0.1603,$0.1824,$0.1599,$0.1688,"$8,092","$2,833,411"
"Dec 29, 2022",$0.157,$0.1695,$0.1527,$0.1604,"$94,438","$2,691,968"
"Dec 28, 2022",$0.1596,$0.1615,$0.1562,$0.157,"$2,596","$2,635,524"
"Dec 27, 2022",$0.1668,$0.1668,$0.1584,$0.1596,"$2,525","$2,678,602"
"Dec 26, 2022",$0.1708,$0.172,$0.1663,$0.1668,$844,"$2,799,637"
"Dec 25, 2022",$0.1755,$0.1756,$0.1706,$0.1708,$789,"$2,866,705"
"Dec 24, 2022",$0.178,$0.1785,$0.1753,$0.1755,$498,"$2,945,865"
"Dec 23, 2022",$0.1887,$0.1903,$0.1774,$0.178,"$7,067","$2,987,518"
"Dec 22, 2022",$0.1892,$0.1916,$0.1846,$0.1887,"$89,010","$3,168,581"
"Dec 21, 2022",$0.1883,$0.1926,$0.1863,$0.1892,"$109,069","$3,176,268"
"Dec 20, 2022",$0.1741,$0.2019,$0.1741,$0.1886,"$170,412","$3,166,409"
"Dec 19, 2022",$0.1745,$0.1781,$0.1724,$0.1729,"$108,854","$2,903,091"
"Dec 18, 2022",$0.1757,$0.1775,$0.1726,$0.1745,"$99,370","$2,930,159"
"Dec 17, 2022",$0.1725,$0.1766,$0.1706,$0.1757,"$93,150","$2,948,913"
"Dec 16, 2022",$0.1824,$0.184,$0.1723,$0.1725,"$115,594","$2,895,907"
"Dec 15, 2022",$0.1874,$0.1879,$0.1804,$0.1824,"$103,807","$3,062,436"
"Dec 14, 2022",$0.1915,$0.2035,$0.1858,$0.1874,"$119,660","$3,146,164"
"Dec 13, 2022",$0.1837,$0.1966,$0.1837,$0.1915,"$86,904","$3,215,420"
"Dec 12, 2022",$0.1794,$0.1842,$0.1764,$0.1837,"$105,938","$3,083,380"
"Dec 11, 2022",$0.1776,$0.1805,$0.1772,$0.1794,"$87,146","$3,012,469"
"Dec 10, 2022",$0.1746,$0.1789,$0.1745,$0.1776,"$94,182","$2,981,149"
"Dec 09, 2022",$0.1717,$0.2055,$0.1693,$0.1744,"$205,167","$2,927,326"
"Dec 08, 2022",$0.1604,$0.1728,$0.1593,$0.1717,"$81,397","$2,882,995"
"Dec 07, 2022",$0.1628,$0.1631,$0.1563,$0.1604,"$87,447","$2,692,743"
"Dec 06, 2022",$0.1597,$0.1642,$0.1572,$0.1627,"$74,696","$2,732,198"
"Dec 05, 2022",$0.1604,$0.1653,$0.1583,$0.1597,"$89,019","$2,680,349"
"Dec 04, 2022",$0.1602,$0.1819,$0.1594,$0.1605,"$104,886","$2,693,854"
"Dec 03, 2022",$0.1657,$0.1666,$0.1598,$0.1601,"$100,057","$2,687,377"
"Dec 02, 2022",$0.1624,$0.1659,$0.1611,$0.1659,"$97,630","$2,784,498"
"Dec 01, 2022",$0.1684,$0.1692,$0.1621,$0.1623,"$93,090","$2,724,284"
"Nov 30, 2022",$0.1639,$0.1701,$0.1637,$0.1684,"$111,064","$2,827,242"
"Nov 29, 2022",$0.1597,$0.1649,$0.1587,$0.1639,"$91,159","$2,751,220"
"Nov 28, 2022",$0.1606,$0.1613,$0.1553,$0.1598,"$88,176","$2,682,008"
"Nov 27, 2022",$0.1645,$0.1668,$0.1604,$0.1606,"$91,102","$2,695,869"
"Nov 26, 2022",$0.1664,$0.1705,$0.1635,$0.1646,"$75,512","$2,762,663"
"Nov 25, 2022",$0.1706,$0.1749,$0.1654,$0.1664,"$84,236","$2,793,203"
"Nov 24, 2022",$0.17,$0.1721,$0.164,$0.1706,"$99,669","$2,864,384"
"Nov 23, 2022",$0.1665,$0.1723,$0.163,$0.17,"$97,762","$2,854,459"
"Nov 22, 2022",$0.1628,$0.1672,$0.1585,$0.1665,"$96,728","$2,795,712"
